season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025047,1,6,Tottenham_Hotspur,Home,94758,115556.0,Ben Davies,ben-davies,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025047,1,6,Tottenham_Hotspur,Home,361420,154566.0,Dominic Solanke,dominic-solanke,F,True,,,,1.0,,1.0,,,,,,,,,,,,2.0,,,0.00123412,0.08,,,0.0,,,,,,,,0.19,1.07,0.48,0.12,0.65,19.0,,,,,1.0,,,6.4,,,1.0,,1.0,,,,,,1.0,,1.0,,,1,1.0,7.0,1.0,1.0,,1.0
2025-26,14025047,1,6,Tottenham_Hotspur,Home,364612,154296.0,João Palhinha,joao-palhinha,M,True,,,,7.0,4.0,11.0,,,,,,,,,,,1.0,,,,0.00197898,,,1.0,0.0,,,,,,,,0.13,0.82,0.44,0.07,0.39,10.0,,,,,2.0,,,6.5,,,,,,,,,2.0,,9.0,4.0,13.0,,,0,,14.0,,,,
2025-26,14025047,1,6,Tottenham_Hotspur,Home,553606,184254.0,Guglielmo Vicario,guglielmo-vicario,G,False,,,4.0,1.0,42.0,43.0,,,,7.0,,,,,,,,,,,0.00022241,,,,0.0,,1.0692,,,,,,0.01,2.13,0.22,0.0,3.35,90.0,,,,,3.0,,1.0,8.0,2.0,4.0,,,1.0,,,,7.0,,2.0,44.0,46.0,,,0,,55.0,,,,
2025-26,14025047,1,6,Tottenham_Hotspur,Home,791190,202993.0,Rodrigo Bentancur,rodrigo-bentancur,M,True,,,,6.0,8.0,14.0,,,,1.0,,,,,,,,1.0,,,0.0013197,,,,0.0,,,,,,,,0.22,1.18,0.58,0.09,0.71,19.0,,,,,,,,6.8,,,,,1.0,,,,,,6.0,8.0,14.0,,,0,1.0,17.0,,,,1.0
2025-26,14025047,1,6,Tottenham_Hotspur,Home,794953,135720.0,Kevin Danso,kevin-danso,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025047,1,6,Tottenham_Hotspur,Home,829932,221632.0,Cristian Romero,cristian-romero,D,False,,,2.0,20.0,58.0,78.0,2.0,4.0,,3.0,,,,,,,5.0,5.0,,1.0,0.0202256,,,3.0,0.0,,,,,,,,0.27,3.81,1.06,0.18,3.45,90.0,,2.0,,,11.0,,,7.2,,,,,3.0,,,,4.0,,29.0,59.0,88.0,,,0,,95.0,1.0,1.0,,
2025-26,14025047,1,6,Tottenham_Hotspur,Home,840217,212319.0,Richarlison,richarlison,F,False,,,1.0,4.0,2.0,6.0,2.0,3.0,,2.0,,1.0,1.0,,,,3.0,5.0,,,0.00719741,0.7796,1.8313,1.0,0.0,2.0,,,,,,,0.49,3.35,1.03,0.11,2.54,71.0,3.0,,,,4.0,,,9.5,,,1.0,,3.0,2.0,,,1.0,,5.0,2.0,7.0,,,5,,23.0,3.0,,2.0,
2025-26,14025047,1,6,Tottenham_Hotspur,Home,905163,460842.0,Mohammed Kudus,mohammed-kudus,M,False,5.0,,3.0,13.0,9.0,22.0,1.0,,,3.0,,,,,,1.0,3.0,5.0,,,0.577959,0.0599,,,2.0,,,,,,5.0,,0.45,3.77,1.1,0.38,2.95,85.0,,,,,11.0,,,8.8,,,2.0,,,3.0,10.0,,4.0,,15.0,9.0,24.0,,,2,1.0,46.0,2.0,2.0,2.0,1.0
2025-26,14025047,1,6,Tottenham_Hotspur,Home,913654,441164.0,Pedro Porro,pedro-porro,D,False,2.0,,5.0,30.0,16.0,46.0,1.0,,,4.0,,,,3.0,,,6.0,4.0,,,0.257314,0.0223,,2.0,0.0,,,,,,3.0,,0.74,4.66,1.47,0.31,3.12,90.0,,,,,23.0,,,7.6,,,1.0,,2.0,1.0,8.0,,13.0,,38.0,24.0,62.0,,,1,2.0,94.0,1.0,1.0,1.0,
2025-26,14025047,1,6,Tottenham_Hotspur,Home,945798,232859.0,Djed Spence,djed-spence,D,False,,,1.0,31.0,17.0,48.0,1.0,1.0,,2.0,,,,,,,2.0,2.0,,,0.0692794,0.1793,0.1153,1.0,0.0,,,,,,,,0.65,3.84,1.21,0.48,3.31,90.0,1.0,,,,5.0,,,7.1,,,1.0,,3.0,1.0,2.0,,3.0,,34.0,17.0,51.0,,,2,,62.0,,,1.0,
2025-26,14025047,1,6,Tottenham_Hotspur,Home,998247,491279.0,Micky van de Ven,micky-van-de-ven,D,False,,,,16.0,47.0,63.0,2.0,3.0,,4.0,,,,,,,3.0,5.0,,,0.00544451,0.5881,,,0.0,,,,,1.0,,1.0,0.39,3.64,1.02,0.29,3.76,90.0,,,,,7.0,,,6.9,,,2.0,,4.0,1.0,,,3.0,,19.0,49.0,68.0,,,2,1.0,82.0,1.0,1.0,,1.0
2025-26,14025047,1,6,Tottenham_Hotspur,Home,1002711,482442.0,Pape Matar Sarr,pape-matar-sarr,M,False,,,1.0,24.0,19.0,43.0,1.0,4.0,,4.0,1.0,,,1.0,,2.0,5.0,10.0,,,0.217707,,,,1.0,,,,,,1.0,,0.71,4.99,1.65,0.24,3.11,90.0,,,,,12.0,,,7.8,,,,,4.0,4.0,,,1.0,,29.0,23.0,52.0,,,0,2.0,66.0,,1.0,3.0,1.0
2025-26,14025047,1,6,Tottenham_Hotspur,Home,1031251,485055.0,Antonín Kinský,antonin-kinsky,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025047,1,6,Tottenham_Hotspur,Home,1048888,511499.0,Mathys Tel,mathys-tel,F,True,,,,1.0,2.0,3.0,2.0,,,,,,,,,,4.0,,,,0.00038468,,,2.0,0.0,,,,,,,,0.12,0.59,0.17,0.05,0.2,9.0,,,,,1.0,,,6.2,,,,,,,,,,,2.0,2.0,4.0,,,0,,5.0,,,,
2025-26,14025047,1,6,Tottenham_Hotspur,Home,1085180,242898.0,Brennan Johnson,brennan-johnson,F,False,1.0,,,9.0,4.0,13.0,1.0,,,1.0,,,,1.0,,,2.0,1.0,,,0.0614563,0.4975,0.4578,,0.0,1.0,,,,,2.0,,0.6,4.09,1.13,0.26,2.71,80.0,1.0,,,,8.0,,,7.7,,,1.0,,1.0,,6.0,,,,11.0,4.0,15.0,,,2,1.0,27.0,1.0,,,1.0
2025-26,14025047,1,6,Tottenham_Hotspur,Home,1142335,547701.0,Archie Gray,archie-gray,M,False,,,2.0,23.0,15.0,38.0,2.0,2.0,,5.0,,,,1.0,,,6.0,3.0,,,0.0468106,,,3.0,0.0,,,,,,,,0.57,4.53,1.51,0.18,2.07,71.0,,,,,4.0,,,6.7,,,,,2.0,,,,2.0,,24.0,17.0,41.0,,,0,1.0,46.0,1.0,,,1.0
2025-26,14025047,1,6,Tottenham_Hotspur,Home,1142679,550839.0,Wilson Odobert,wilson-odobert,F,True,,,,2.0,1.0,3.0,,,,1.0,,,,,,,,,,,0.00547388,,,,0.0,,,,,,1.0,,0.17,0.76,0.33,0.05,0.35,10.0,,,,,1.0,,,6.5,,,,,,,,,,,2.0,1.0,3.0,,,0,,4.0,1.0,,,
2025-26,14025047,1,6,Tottenham_Hotspur,Home,1391251,570526.0,Lucas Bergvall,lucas-bergvall,M,False,,,1.0,13.0,6.0,19.0,3.0,,,1.0,,,,1.0,,,5.0,4.0,,,0.00657239,0.1158,0.2031,1.0,0.0,,,,,,,,0.73,5.2,1.9,0.23,2.43,80.0,1.0,,,,8.0,,,6.9,,,,,1.0,2.0,1.0,,2.0,,15.0,7.0,22.0,,,1,2.0,33.0,1.0,,2.0,2.0
2025-26,14025047,1,6,Tottenham_Hotspur,Home,1405212,,Luka Vušković,luka-vuskovic,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025083,2,6,Tottenham_Hotspur,Away,94758,115556.0,Ben Davies,ben-davies,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025083,2,6,Tottenham_Hotspur,Away,361420,154566.0,Dominic Solanke,dominic-solanke,F,True,,,,,1.0,1.0,2.0,,,,,,,,,,2.0,,,,1.64e-06,0.1212,0.4291,,0.0,,,,,1.0,,,,,,,,12.0,1.0,,,,1.0,,,6.4,,,,,,,,,,,,1.0,1.0,,,1,,5.0,1.0,,,
2025-26,14025083,2,6,Tottenham_Hotspur,Away,364612,154296.0,João Palhinha,joao-palhinha,M,False,,,1.0,6.0,17.0,23.0,,2.0,,2.0,,,,2.0,,,4.0,8.0,,,0.00213392,0.1364,0.8874,1.0,0.0,1.0,,,,,,,,,,,,89.0,1.0,1.0,,,8.0,,,8.4,,,,,2.0,2.0,1.0,,3.0,,9.0,18.0,27.0,,,1,4.0,41.0,1.0,1.0,1.0,2.0
2025-26,14025083,2,6,Tottenham_Hotspur,Away,553606,184254.0,Guglielmo Vicario,guglielmo-vicario,G,False,,,6.0,2.0,29.0,31.0,,,,6.0,,,,,,,,,,,0.00690814,,,,0.0,,0.6394,,,,,,,,,,,90.0,,,,,16.0,,1.0,7.4,2.0,4.0,,,1.0,,,,22.0,,17.0,30.0,47.0,,,0,,56.0,,,,
2025-26,14025083,2,6,Tottenham_Hotspur,Away,791190,202993.0,Rodrigo Bentancur,rodrigo-bentancur,M,False,,,1.0,8.0,19.0,27.0,,,,6.0,,,,1.0,,,2.0,3.0,,,0.0028566,,,,0.0,,,,,1.0,1.0,,,,,,,90.0,,,,,10.0,,,6.8,,,,,2.0,2.0,,,3.0,,14.0,21.0,35.0,,,0,2.0,46.0,1.0,,1.0,1.0
2025-26,14025083,2,6,Tottenham_Hotspur,Away,794953,135720.0,Kevin Danso,kevin-danso,D,True,,,,1.0,1.0,2.0,,1.0,,,,,,,,,,1.0,,,7.223e-05,,,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,1.0,1.0,2.0,,,0,,4.0,,,,
2025-26,14025083,2,6,Tottenham_Hotspur,Away,829932,221632.0,Cristian Romero,cristian-romero,D,False,,,2.0,4.0,29.0,33.0,,,,6.0,,,,,,,1.0,4.0,,,0.00079788,,,1.0,0.0,,,,,3.0,,,,,,,,90.0,,1.0,,,8.0,,,7.1,,,,,3.0,,,,6.0,,10.0,30.0,40.0,,,0,3.0,53.0,1.0,1.0,,2.0
2025-26,14025083,2,6,Tottenham_Hotspur,Away,840217,212319.0,Richarlison,richarlison,F,False,,,2.0,5.0,2.0,7.0,5.0,2.0,,4.0,1.0,,1.0,1.0,,,9.0,6.0,,,0.110346,0.1012,,1.0,1.0,,,,,1.0,1.0,,,,,,,78.0,,,,,10.0,,,7.3,,,2.0,,1.0,2.0,1.0,,2.0,1.0,5.0,4.0,9.0,,,3,2.0,29.0,5.0,2.0,,2.0
2025-26,14025083,2,6,Tottenham_Hotspur,Away,905163,460842.0,Mohammed Kudus,mohammed-kudus,M,False,1.0,,,8.0,7.0,15.0,1.0,,,6.0,,,,,,,5.0,7.0,,,0.090897,,,1.0,0.0,,,,,,1.0,,,,,,,86.0,,,,,17.0,,,7.0,,,,,,6.0,4.0,,,,10.0,8.0,18.0,,,0,3.0,43.0,6.0,1.0,3.0,2.0
2025-26,14025083,2,6,Tottenham_Hotspur,Away,913654,441164.0,Pedro Porro,pedro-porro,D,False,2.0,,5.0,12.0,14.0,26.0,,,,4.0,,,1.0,2.0,,,5.0,2.0,,1.0,0.128397,0.0817,,2.0,0.0,,,,,,2.0,,,,,,,90.0,,,,,19.0,,,7.0,,,1.0,,5.0,2.0,4.0,,14.0,,22.0,17.0,39.0,,,2,1.0,66.0,2.0,,1.0,1.0
2025-26,14025083,2,6,Tottenham_Hotspur,Away,945798,232859.0,Djed Spence,djed-spence,D,False,,,2.0,13.0,11.0,24.0,1.0,1.0,,4.0,,,,,,2.0,6.0,4.0,,,0.0183208,,,,0.0,,,,,,,,,,,,,90.0,,,,,19.0,,,6.8,,,,,4.0,3.0,,,5.0,,19.0,16.0,35.0,,,0,2.0,62.0,1.0,1.0,,1.0
2025-26,14025083,2,6,Tottenham_Hotspur,Away,998247,491279.0,Micky van de Ven,micky-van-de-ven,D,False,,,,7.0,32.0,39.0,1.0,1.0,,3.0,,,,,,,3.0,2.0,,,0.00294112,,,2.0,0.0,,,,,,,,,,,,,90.0,,1.0,,,4.0,,,7.1,,,,,2.0,,,,1.0,,7.0,35.0,42.0,,,0,1.0,47.0,1.0,,,1.0
2025-26,14025083,2,6,Tottenham_Hotspur,Away,1002711,482442.0,Pape Matar Sarr,pape-matar-sarr,M,False,,,,9.0,5.0,14.0,2.0,1.0,,6.0,,,,1.0,,2.0,10.0,3.0,,,0.00527758,0.0334,0.0795,3.0,0.0,,,,,1.0,,,,,,,,90.0,1.0,,,,11.0,,,6.1,,,,,,2.0,,,,,11.0,6.0,17.0,,,1,2.0,33.0,3.0,,,2.0
