season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352309,1,6,Tottenham_Hotspur,Away,38710,45034,Ivan Perišić,ivan-perisic,M,True,1.0,,,7.0,3.0,9.0,,,1.0,,,,,,,,3.0,,,0.0671576,0.0,0.0,,,,,,,,1.0,,15.0,,,,,,,6.0,,7.1,,,,,3.0,3.0,,,,11.0,3.0,11.0,0,,20.0,,,3.0,
2023-24,11352309,1,6,Tottenham_Hotspur,Away,94758,115556,Ben Davies,ben-davies,D,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352309,1,6,Tottenham_Hotspur,Away,111505,85971,Son Heung-min,son-heung-min,F,False,,,,27.0,3.0,30.0,,,2.0,,,,1.0,,2.0,5.0,3.0,,,0.0463333,0.1005,0.1274,1.0,,,,,,,,,75.0,1.0,,,1.0,,,9.0,,6.7,,,1.0,,2.0,2.0,,,,33.0,3.0,34.0,2,1.0,46.0,,1.0,1.0,1.0
2023-24,11352309,1,6,Tottenham_Hotspur,Away,149593,132015,Pierre-Emile Højbjerg,pierre-emile-hjbjerg,M,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352309,1,6,Tottenham_Hotspur,Away,356398,172780,James Maddison,james-maddison,M,False,2.0,,2.0,49.0,9.0,56.0,1.0,1.0,3.0,1.0,,1.0,,,2.0,7.0,4.0,,,0.945747,0.0711,0.0223,3.0,2.0,,,,,1.0,6.0,,90.0,1.0,,,,,,21.0,,8.2,,,,1.0,1.0,12.0,,5.0,,66.0,9.0,63.0,2,1.0,87.0,1.0,2.0,,
2023-24,11352309,1,6,Tottenham_Hotspur,Away,553606,184254,Guglielmo Vicario,guglielmo-vicario,G,False,,3.0,3.0,2.0,15.0,17.0,,2.0,10.0,,,,,,,,2.0,,,0.00140139,0.0,0.0,,,,-0.2673,2.0,,,,,90.0,,,,,1.0,,11.0,,7.3,4.0,4.0,,2.0,,,4.0,12.0,,10.0,17.0,27.0,0,,39.0,,,,
2023-24,11352309,1,6,Tottenham_Hotspur,Away,566102,173904,Davinson Sánchez,davinson-sanchez,D,True,,,3.0,43.0,24.0,67.0,1.0,3.0,4.0,,,,,,,3.0,4.0,,,0.0281999,0.1205,0.0,2.0,,,,,,1.0,,,76.0,,2.0,,,,,8.0,,7.0,,,1.0,2.0,,,,6.0,,47.0,27.0,74.0,1,,84.0,1.0,1.0,,
2023-24,11352309,1,6,Tottenham_Hotspur,Away,798835,200826,Giovani Lo Celso,lo-celso-giovani,M,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352309,1,6,Tottenham_Hotspur,Away,829932,221632,Cristian Romero,cristian-romero,D,False,,,,5.0,3.0,8.0,1.0,,1.0,,,,,,,1.0,,,,0.00678429,0.5809,0.6226,,,1.0,,,,,,,14.0,1.0,,,,,,,,7.5,,,,1.0,,,,,,5.0,3.0,8.0,1,,10.0,,,,
2023-24,11352309,1,6,Tottenham_Hotspur,Away,840217,212319,Richarlison,richarlison,F,False,,,,10.0,3.0,13.0,5.0,,1.0,,,1.0,,,3.0,10.0,3.0,,,0.0147996,0.1736,0.0626,,,,,,,,1.0,,90.0,1.0,,,,,,13.0,,6.6,,,,,5.0,,,,,13.0,5.0,18.0,2,,36.0,3.0,,3.0,
2023-24,11352309,1,6,Tottenham_Hotspur,Away,844842,227127,Yves Bissouma,yves-bissouma,M,False,,,1.0,81.0,26.0,107.0,1.0,,7.0,,,2.0,,,,4.0,9.0,,,0.110519,0.035,0.0,2.0,,,,,,4.0,1.0,,90.0,,,,,,,10.0,,8.0,,,1.0,2.0,6.0,,,2.0,,89.0,27.0,116.0,3,3.0,138.0,,1.0,5.0,1.0
