season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576188,1,6,Tottenham_Hotspur,Home,9048,37915,Hugo Lloris,hugo-lloris,G,False,,,12.0,9.0,6.0,15.0,1.0,,8.0,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,90.0,,,,,,,10.0,,7.7,3.0,4.0,,1.0,,,,21.0,,15.0,9.0,24.0,0,,34.0,,,,
2021-22,9576188,1,6,Tottenham_Hotspur,Home,27014,45268,Moussa Sissoko,moussa-sissoko,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576188,1,6,Tottenham_Hotspur,Home,94758,115556,Ben Davies,ben-davies,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576188,1,6,Tottenham_Hotspur,Home,111505,85971,Son Heung-min,son-heung-min,F,False,1.0,,,22.0,4.0,25.0,7.0,2.0,4.0,,,2.0,,,,1.0,8.0,4.0,,,,,1.0,,,,,1.0,,90.0,1.0,,,,,,12.0,,7.7,,,2.0,,1.0,6.0,,,1.0,30.0,4.0,28.0,5,,49.0,2.0,1.0,1.0,
2021-22,9576188,1,6,Tottenham_Hotspur,Home,143047,87835,Matt Doherty,matt-doherty,D,True,,,,1.0,1.0,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,13.0,,,,,,,2.0,,6.7,,,,1.0,1.0,,,,,2.0,1.0,3.0,0,,7.0,,,1.0,
2021-22,9576188,1,6,Tottenham_Hotspur,Home,146101,93264,Eric Dier,eric-dier,D,False,,,4.0,3.0,13.0,16.0,,,2.0,,,,1.0,,,,1.0,,,,,,,,,,2.0,,,90.0,,1.0,,,,,8.0,,6.9,,,,5.0,,,,9.0,,8.0,16.0,24.0,0,,32.0,,,,
2021-22,9576188,1,6,Tottenham_Hotspur,Home,149593,132015,Pierre-Emile Højbjerg,pierre-emile-hjbjerg,M,False,,,1.0,15.0,16.0,31.0,,,8.0,,,1.0,4.0,,,1.0,6.0,5.0,,,1.0,,,,,,1.0,2.0,,89.0,,,,,,,15.0,,6.7,,,,,3.0,2.0,,5.0,,24.0,18.0,40.0,1,2.0,58.0,1.0,,3.0,1.0
2021-22,9576188,1,6,Tottenham_Hotspur,Home,149710,95715,Lucas Moura,lucas-moura,F,False,,,1.0,19.0,10.0,29.0,2.0,5.0,10.0,,,1.0,2.0,,,3.0,13.0,16.0,,,2.0,,,,,,1.0,3.0,,90.0,1.0,,,,,,17.0,,7.5,,,1.0,3.0,10.0,,,1.0,1.0,24.0,12.0,36.0,3,1.0,68.0,2.0,4.0,6.0,
2021-22,9576188,1,6,Tottenham_Hotspur,Home,198028,108823,Dele Alli,dele-alli,M,False,,,1.0,13.0,4.0,17.0,1.0,,5.0,,,,7.0,,,2.0,12.0,5.0,,,2.0,,,,,,1.0,,,90.0,,,,,,,8.0,,6.2,,,,3.0,1.0,,,1.0,,17.0,5.0,22.0,0,3.0,37.0,1.0,1.0,1.0,1.0
2021-22,9576188,1,6,Tottenham_Hotspur,Home,329175,156683,Pierluigi Gollini,pierluigi-gollini,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
