season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385518,1,6,Tottenham_Hotspur,Home,9048,37915,Hugo Lloris,hugo-lloris,G,False,,,3.0,2.0,13.0,15.0,,,8.0,,,,,,,,,,,,0.000199,0.0,0.0,,,,-0.4043,,,,,,90.0,,,,,,,,,1.0,,6.5,1.0,1.0,,,,,,4.0,,2.0,14.0,16.0,0,,21.0,,,,
2022-23,10385518,1,6,Tottenham_Hotspur,Home,19314,40383,Fraser Forster,fraser-forster,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385518,1,6,Tottenham_Hotspur,Home,38710,45034,Ivan Perišić,ivan-perisic,M,True,2.0,,,2.0,3.0,3.0,,,,,,,,,,1.0,1.0,1.0,,,0.0154187,0.0,0.0,,,,,,,,,,24.0,,,,,,,,,4.0,,6.6,,,,1.0,,2.0,,2.0,,4.0,4.0,6.0,0,1.0,13.0,,,,1.0
2022-23,10385518,1,6,Tottenham_Hotspur,Home,94758,115556,Ben Davies,ben-davies,D,False,1.0,,5.0,25.0,37.0,61.0,4.0,4.0,3.0,,,,,,,1.0,6.0,5.0,,,0.0264292,0.0379,0.2178,1.0,,,,,,,1.0,,86.0,1.0,,,,,,,,11.0,,7.0,,,,3.0,,2.0,,6.0,,30.0,42.0,70.0,1,1.0,79.0,,,,1.0
2022-23,10385518,1,6,Tottenham_Hotspur,Home,108579,78830,Harry Kane,harry-kane,F,False,,,,14.0,5.0,19.0,1.0,1.0,3.0,,,,,,,4.0,7.0,1.0,,,0.107475,0.1382,0.2075,1.0,,,,,,,2.0,,90.0,2.0,,,,,,,,15.0,,6.7,,,,2.0,1.0,2.0,,1.0,,22.0,6.0,26.0,2,,41.0,,,,
2022-23,10385518,1,6,Tottenham_Hotspur,Home,111505,85971,Son Heung-min,son-heung-min,F,False,2.0,,1.0,21.0,5.0,24.0,1.0,,4.0,,,1.0,,,,,2.0,4.0,,,0.318281,0.3619,0.0842,,1.0,,,,,,4.0,,90.0,2.0,,,,,,,,19.0,,7.9,,,1.0,,1.0,7.0,,1.0,,34.0,6.0,33.0,4,3.0,55.0,3.0,1.0,,2.0
2022-23,10385518,1,6,Tottenham_Hotspur,Home,143047,87835,Matt Doherty,matt-doherty,D,True,,,,,1.0,1.0,,,,,,,,,,,,,,,2.44e-06,0.0,0.0,,,,,,,,,,3.0,,1.0,,,,,,,2.0,,,,,,,,,,,,,3.0,3.0,0,,4.0,,,,
2022-23,10385518,1,6,Tottenham_Hotspur,Home,146101,93264,Eric Dier,eric-dier,D,False,,,11.0,17.0,38.0,55.0,1.0,1.0,4.0,,,,1.0,,,,2.0,1.0,,,0.0028654,0.0583,0.161,,,1.0,,,,1.0,,,90.0,1.0,,,,,,,,8.0,,7.4,,,,1.0,,,,15.0,,22.0,41.0,63.0,1,,67.0,,,,
2022-23,10385518,1,6,Tottenham_Hotspur,Home,149593,132015,Pierre-Emile Højbjerg,pierre-emile-hjbjerg,M,False,,,8.0,33.0,28.0,61.0,1.0,,6.0,,,,2.0,,,1.0,5.0,6.0,,,0.144634,0.0,0.0,1.0,,,,,,,2.0,,90.0,,,,,,,,,12.0,,7.3,,,,2.0,1.0,,,11.0,,40.0,29.0,69.0,0,3.0,83.0,3.0,2.0,1.0,2.0
2022-23,10385518,1,6,Tottenham_Hotspur,Home,149710,95715,Lucas Moura,lucas-moura,F,True,,,,,2.0,2.0,,,,,,,1.0,,,,1.0,1.0,,,1.433e-05,0.0,0.0,,,,,,,,,,8.0,,,,,,,,,,,6.5,,,,,,,,,,,2.0,2.0,0,1.0,3.0,,,,1.0
