playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,substituteOn,cornersTakenInclShortCorners,aerialDuels,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,tacklesLost,lastPlayerTackle,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,blocks,leftsidePasses,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,catches,savesMadeFromOutsideBox,goalKicks,cleanSheets,penaltiesFaced,punches,groundDuelsLost,savesMade,goalkeeperSmother,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeFromInsideBox,throwInsToOppositionPlayer,timesTackled,successfulDribbles,totalFoulsConceded,overruns,throughBalls,successfulLayoffs,putthroughBlockedDistributionWon,unsuccessfulDribbles,shotsOffTargetIncWoodwork,foulAttemptedTackle,shotsBlockedInBox,blockedShots,offsides,iboxBlocked,unsuccessfulLayoffs,expectedGoalsFreekick,oboxBlocked,freekickTotal,attemptsFromSetPieces,shotsBlockedOutsideBox,penaltiesConceded,shotsOnTargetOutsideBox,oboxTarget,clearancesOffTheLine
122798,Andy Robertson,Defender,Spurs,6,Scotland,2026-27,2.0,1.0,0.0784,0.0,1.0,0.0874,3.0,1.0,18.0,3.0,2.0,25.0,5.0,118.0,1.0,4.0,4.0,2.0,1.0,187.0,1.0,2.0,7.0,3.0,5.0,91.0,1.0,6.0,3.3643,2.0,1.0,7.0,4.0,53.0,2.0,0.0,9.0,37.0,5.0,3.0,1.0,1.0,49.0,4.0,8.0,5.0,2.0,0.0,114.0,1.0,34.0,2.0,3.0,10.0,2.0,2.0,2.0,18.0,160.0,12.0,1.0,4.0,46.0,0.0647,0.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485055,Antonín Kinsky,Goalkeeper,Spurs,6,Czech Republic,2026-27,2.0,,0.0053,0.0,,,,,1.0,3.0,3.0,35.0,,116.0,,,1.0,,,270.0,,,2.0,,1.0,65.0,,,3.8215,1.0,1.0,6.0,5.0,29.0,1.0,0.0,4.0,57.0,26.0,3.0,,,8.0,5.0,,3.0,1.0,0.0,95.0,,36.0,,,30.0,,,16.0,,149.0,,,14.0,73.0,,0.0,34.0,7.0,1.0,2.0,11.0,1.0,1.0,3.0,2.0,6.0,1.0,24.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
547701,Archie Gray,Midfielder,Spurs,6,England,2026-27,3.0,,0.0162,0.0,,,1.0,,10.0,2.0,2.0,12.0,2.0,59.0,,,1.0,,,154.0,,2.0,7.0,,6.0,47.0,,,3.0203,,,3.0,4.0,2.0,4.0,0.0,10.0,24.0,5.0,2.0,,,27.0,4.0,2.0,9.0,1.0,0.0,55.0,1.0,18.0,1.0,,18.0,2.0,,,15.0,80.0,4.0,2.0,2.0,20.0,,0.0,2.0,7.0,,,,,,,3.0,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
115556,Ben Davies,Defender,Spurs,6,Wales,2026-27,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232787,Conor Gallagher,Midfielder,Spurs,6,England,2026-27,7.0,,0.1178,0.0,,,5.0,1.0,5.0,2.0,2.0,5.0,2.0,51.0,,,5.0,,,128.0,,4.0,12.0,3.0,11.0,44.0,,1.0,1.5109,,,,2.0,14.0,6.0,0.0,19.0,11.0,8.0,2.0,2.0,,24.0,2.0,2.0,14.0,1.0,0.0,46.0,2.0,11.0,3.0,,10.0,1.0,,2.0,16.0,74.0,,2.0,,22.0,0.017,1.0,,2.0,,,,,,,3.0,,,,,,,2.0,,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
487053,Destiny Udogie,Defender,Spurs,6,Italy,2026-27,7.0,,0.234,0.0,,,1.0,,5.0,3.0,1.0,6.0,2.0,50.0,2.0,,4.0,,,87.0,,1.0,7.0,5.0,4.0,44.0,,2.0,0.8012,1.0,,2.0,1.0,20.0,3.0,0.0,14.0,22.0,4.0,3.0,,,26.0,1.0,2.0,10.0,3.0,0.0,49.0,,15.0,1.0,,1.0,1.0,,,7.0,82.0,8.0,1.0,,18.0,,1.0,1.0,2.0,,,,,,,6.0,,,,,,1.0,3.0,,3.0,,,,3.0,1.0,,1.0,,,,,,,,,,,,,,
154566,Dominic Solanke,Forward,Spurs,6,England,2026-27,6.0,,0.0033,0.0,1.0,,1.0,2.0,1.0,3.0,,1.0,,3.0,3.0,,5.0,,1.0,43.0,1.0,5.0,2.0,,2.0,2.0,,4.0,0.4753,,,1.0,,1.0,2.0,0.0,8.0,2.0,,3.0,1.0,,2.0,,,3.0,,0.0,3.0,,4.0,,,,,,,,15.0,,,,,0.4444,0.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,
172780,James Maddison,Midfielder,Spurs,6,England,2026-27,6.0,1.0,0.0142,0.0,,,,,1.0,1.0,,1.0,,16.0,1.0,,1.0,1.0,,22.0,,1.0,2.0,,2.0,15.0,,4.0,0.4753,,,1.0,,4.0,2.0,0.0,8.0,5.0,1.0,1.0,,,13.0,,,7.0,,0.0,16.0,,8.0,,,4.0,,,,3.0,29.0,,,,3.0,,0.0,,1.0,,,,,,,5.0,,,,,,,5.0,,,,,2.0,,4.0,,,,,,,,,,,,,,,,
469142,Jan Paul van Hecke,Defender,Spurs,6,Netherlands,2026-27,13.0,,0.0772,0.0,1.0,0.3128,5.0,3.0,6.0,3.0,3.0,12.0,,216.0,,,18.0,,1.0,270.0,1.0,9.0,18.0,1.0,9.0,192.0,,4.0,3.8215,2.0,2.0,13.0,5.0,50.0,4.0,0.0,31.0,70.0,11.0,3.0,2.0,1.0,96.0,5.0,,13.0,9.0,0.0,208.0,,15.0,3.0,3.0,85.0,1.0,,12.0,11.0,255.0,3.0,,1.0,108.0,0.1981,0.0,6.0,3.0,,,,1.0,,,4.0,,,,,,,,,4.0,,,1.0,,,2.0,2.0,,,,,,,,,,,,,,
611917,Luca Williams-Barnett,Midfielder,Spurs,6,England,2026-27,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
