playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goalKicks,throwInsToOppositionPlayer,penaltyGoalsConceded,lastPlayerTackle,gkSuccessfulDistribution,attemptsFromSetPieces,unsuccessfulCornersIntoBox,hitWoodwork,handballsConceded,secondGoalAssists,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,drops,crossesNotClaimed,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesTaken,headedGoals,penaltyGoals,clearancesOffTheLine,setPiecesGoals,penaltiesConceded,redCards2ndYellow,ownGoalScored
17349,Aaron Lennon,Midfielder,Spurs,6,England,2011-12,73.0,13.0,0.0,6.0,5.0,5.0,15.0,12.0,6.0,75.0,23.0,5.0,46.0,1.0,19.0,79.0,40.0,569.0,3.0,3.0,1.0,4.0,2.0,10.0,2.0,14.0,1581.0,4.0,6.0,54.0,3.0,50.0,482.0,1.0,90.0,36.0,2.0,4.0,21.0,67.0,90.0,14.0,4.0,127.0,2.0,93.0,57.0,23.0,1.0,5.0,2.0,27.0,364.0,18.0,40.0,53.0,117.0,4.0,0.0,566.0,7.0,19.0,193.0,10.0,21.0,1.0,167.0,8.0,13.0,8.0,219.0,817.0,19.0,12.0,2.0,140.0,1.0,4.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54469,Adam Smith,Defender,Spurs,6,England,2011-12,,,0.0,,,,1.0,,,,1.0,,1.0,,,1.0,1.0,11.0,,,,1.0,,,,,14.0,,,1.0,,1.0,10.0,,,,,,,,1.0,,0.0,1.0,,1.0,,1.0,,,,,3.0,,1.0,,1.0,,0.0,11.0,,1.0,2.0,1.0,,1.0,6.0,,1.0,,3.0,16.0,1.0,,,7.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60252,Andros Townsend,Midfielder,Spurs,6,England,2011-12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28146,Benoit Assou-Ekotto,Defender,Spurs,6,Cameroon,2011-12,120.0,25.0,0.0,9.0,5.0,4.0,62.0,21.0,5.0,272.0,34.0,4.0,25.0,,34.0,401.0,66.0,2019.0,2.0,3.0,0.0,,2.0,30.0,11.0,25.0,2962.0,,16.0,148.0,7.0,134.0,1382.0,,32.0,41.0,44.0,79.0,39.0,104.0,830.0,41.0,2.0,268.0,2.0,921.0,240.0,34.0,,18.0,2.0,13.0,897.0,32.0,68.0,52.0,238.0,14.0,0.0,1974.0,16.0,19.0,608.0,44.0,31.0,4.0,63.0,36.0,92.0,236.0,205.0,2895.0,237.0,5.0,89.0,746.0,6.0,129.0,93.0,1.0,33.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
61887,Bongani Khumalo,Defender,Spurs,6,South Africa,2011-12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,Brad Friedel,Goalkeeper,Spurs,6,United States,2011-12,1.0,,0.0,,,,,,,15.0,38.0,,4.0,,38.0,410.0,,989.0,,,,,,2.0,14.0,,3420.0,,,7.0,8.0,5.0,305.0,,,1.0,84.0,25.0,41.0,1.0,95.0,5.0,0.0,8.0,,723.0,417.0,38.0,,,,,169.0,33.0,,,6.0,2.0,0.0,545.0,,,421.0,,,,170.0,,,274.0,1.0,1431.0,,,189.0,410.0,0.0,395.0,37.0,327.0,,1.0,,415.0,,,,,,24.0,56.0,28.0,1.0,12.0,114.0,4.0,1.0,168.0,27.0,58.0,,,,,,,,
95703,Cameron Lancaster,Forward,Spurs,6,England,2011-12,,,0.0,,,,1.0,1.0,,,1.0,,,,,,1.0,4.0,,,,1.0,,,,,11.0,,,2.0,,2.0,4.0,,1.0,1.0,,,1.0,,2.0,,0.0,2.0,,1.0,3.0,1.0,,,,,3.0,1.0,1.0,,2.0,,0.0,4.0,1.0,,1.0,1.0,1.0,,,,,,1.0,8.0,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38290,Danny Rose,Defender,Spurs,6,England,2011-12,13.0,3.0,1.0,,1.0,2.0,12.0,1.0,,18.0,11.0,,2.0,,3.0,24.0,11.0,159.0,,1.0,,8.0,,1.0,1.0,3.0,311.0,,,20.0,1.0,19.0,130.0,,5.0,2.0,2.0,7.0,2.0,13.0,68.0,6.0,0.0,33.0,,62.0,19.0,11.0,,2.0,,4.0,78.0,1.0,11.0,7.0,32.0,1.0,1.0,157.0,,2.0,58.0,10.0,1.0,3.0,6.0,5.0,9.0,5.0,23.0,264.0,23.0,,4.0,60.0,1.0,6.0,9.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17500,Emmanuel Adebayor,Forward,Spurs,6,Togo,2011-12,257.0,4.0,0.0,10.0,48.0,14.0,26.0,90.0,9.0,206.0,33.0,11.0,122.0,1.0,32.0,217.0,15.0,1131.0,17.0,52.0,8.0,1.0,1.0,129.0,11.0,4.0,2840.0,23.0,65.0,140.0,6.0,76.0,880.0,,233.0,50.0,,26.0,26.0,192.0,356.0,23.0,8.0,397.0,9.0,190.0,86.0,33.0,14.0,9.0,1.0,35.0,708.0,20.0,15.0,140.0,268.0,64.0,0.0,1125.0,42.0,24.0,505.0,17.0,27.0,2.0,205.0,52.0,22.0,34.0,380.0,1704.0,16.0,7.0,2.0,210.0,3.0,11.0,20.0,,,,,,,,,10.0,,,,,,,,,,,,,4.0,2.0,3.0,,,,,
36903,Gareth Bale,Forward,Spurs,6,Wales,2011-12,203.0,34.0,0.0,38.0,45.0,19.0,43.0,98.0,22.0,225.0,36.0,10.0,90.0,1.0,36.0,253.0,136.0,1447.0,9.0,5.0,4.0,,27.0,82.0,12.0,46.0,3217.0,3.0,46.0,195.0,7.0,159.0,1137.0,10.0,189.0,79.0,1.0,39.0,38.0,157.0,555.0,51.0,6.0,398.0,5.0,325.0,143.0,36.0,,13.0,8.0,71.0,846.0,31.0,149.0,128.0,316.0,36.0,0.0,1425.0,53.0,67.0,634.0,30.0,65.0,5.0,245.0,16.0,54.0,57.0,322.0,2430.0,95.0,1.0,8.0,394.0,3.0,28.0,53.0,,14.0,1.0,,,6.0,10.0,4.0,,,,,,,,,,,,,,,1.0,,2.0,,,,
