playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,expectedAssists,fiftyFifty,blockedShots,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,foulWonPenalty,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,shotsOnTargetIncGoals,expectedGoalsOnTarget,successfulLayoffs,goals,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,rightFootGoals,substituteOff,throughBalls,shotsOnTargetOutsideBox,oboxTarget,goalsConcededOutsideBox,penaltiesConceded,ownGoalScored,expectedGoalsFreekick,oboxBlocked,freekickTotal,attemptsFromSetPieces,shotsBlockedOutsideBox,handballsConceded,successfulCornersIntoBox,leftFootGoals,clearancesOffTheLine,headedGoals,secondGoalAssists,penaltiesTaken,penaltyGoals,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,redCards2ndYellow
95715,Lucas Moura,Forward,Spurs,6,Brazil,2020-21,0.0,0.0,1.0,158.0,2.0,1.3891,74.0,5.0,32.0,13.0,124.0,30.0,4.0,,31.0,14.0,141.0,13.0,569.0,3.0,1.0,16.0,10.0,64.0,2.0,5.0,1402.0,41.0,135.0,37.0,112.0,422.0,39.0,,2.0,18.143,12.0,,10.0,18.0,4.0,117.0,132.0,47.0,0.0,293.0,12.0,2.0,149.0,79.0,30.0,16.0,37.0,303.0,17.0,21.0,74.0,4.0,229.0,23.0,562.0,7.0,7.0,292.0,16.0,33.0,,149.0,23.0,18.0,6.0,6.0,139.0,951.0,4.0,,9.0,130.0,17.0,1.9065,17.0,34.0,6.0,2.1001,20.0,3.0,3.0,3.0,3.0,,7.0,1.0,,,1.0,,,,1.0,,,1.0,1.0,3.0,2.0,,1.0,,,,,,,,,,,,,,,,
87835,Matt Doherty,Defender,Spurs,6,Ireland,2020-21,0.0,1.0,2.0,84.0,8.0,0.5852,37.0,2.0,29.0,1.0,108.0,17.0,2.0,,21.0,13.0,132.0,23.0,676.0,,0.0,4.0,,74.0,3.0,8.0,1238.0,25.0,95.0,35.0,46.0,523.0,16.0,27.0,5.0,17.266,9.0,3.0,36.0,15.0,,59.0,31.0,12.0,0.0,179.0,15.0,0.0,234.0,57.0,17.0,14.0,12.0,274.0,15.0,23.0,21.0,,105.0,49.0,669.0,,7.0,226.0,15.0,5.0,5.0,279.0,20.0,23.0,,21.0,132.0,1053.0,105.0,,9.0,278.0,16.0,0.3746,24.0,52.0,1.0,0.2095,,,1.0,1.0,,,1.0,,,,,1.0,,,2.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,1.0
45268,Moussa Sissoko,Midfielder,Spurs,6,France,2020-21,0.0,0.0,3.0,78.0,1.0,0.3221,53.0,2.0,22.0,1.0,94.0,25.0,,,33.0,15.0,119.0,8.0,761.0,,0.0,10.0,,38.0,4.0,1.0,1577.0,22.0,65.0,17.0,49.0,612.0,11.0,4.0,5.0,18.9765,4.0,4.0,22.0,22.0,2.0,56.0,154.0,9.0,0.0,143.0,7.0,0.0,204.0,113.0,25.0,6.0,9.0,288.0,21.0,8.0,23.0,2.0,105.0,16.0,749.0,,,176.0,16.0,18.0,4.0,254.0,22.0,23.0,,30.0,149.0,999.0,36.0,,17.0,355.0,11.0,0.2188,25.0,47.0,1.0,0.0891,5.0,,1.0,1.0,2.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
461212,Nile John,Midfielder,Spurs,6,England,2020-21,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132015,Pierre-Emile Højbjerg,Midfielder,Spurs,6,Denmark,2020-21,0.0,0.0,9.0,209.0,1.0,1.3394,126.0,2.0,98.0,12.0,223.0,38.0,4.0,,65.0,38.0,317.0,5.0,2765.0,,0.0,,,80.0,12.0,1.0,3420.0,36.0,217.0,65.0,173.0,2340.0,22.0,1.0,10.0,47.1395,12.0,10.0,64.0,45.0,,173.0,757.0,53.0,0.0,426.0,42.0,2.0,887.0,296.0,38.0,47.0,9.0,1187.0,44.0,5.0,29.0,,346.0,44.0,2662.0,5.0,3.0,395.0,51.0,23.0,9.0,746.0,69.0,48.0,,108.0,375.0,3259.0,6.0,,44.0,1262.0,39.0,1.112,94.0,98.0,7.0,1.5653,14.0,2.0,3.0,3.0,,2.0,,2.0,2.0,2.0,1.0,1.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
199249,Sergio Reguilón,Defender,Spurs,6,Spain,2020-21,0.0,0.0,5.0,128.0,15.0,1.9112,85.0,7.0,47.0,13.0,188.0,27.0,3.0,1.0,40.0,26.0,272.0,43.0,1200.0,1.0,0.0,1.0,2.0,66.0,7.0,15.0,2248.0,37.0,117.0,69.0,88.0,890.0,49.0,31.0,6.0,30.7926,14.0,13.0,41.0,31.0,2.0,91.0,508.0,19.0,0.0,245.0,32.0,0.0,393.0,134.0,27.0,22.0,27.0,491.0,30.0,47.0,42.0,2.0,179.0,29.0,1187.0,9.0,15.0,436.0,25.0,22.0,7.0,42.0,26.0,32.0,1.0,38.0,257.0,1807.0,149.0,,45.0,452.0,18.0,1.0518,84.0,96.0,4.0,0.4144,,,3.0,3.0,,,6.0,,1.0,1.0,1.0,1.0,1.0,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
85971,Son Heung-Min,Forward,Spurs,6,South Korea,2020-21,0.0,0.0,0.0,212.0,4.0,5.1232,102.0,15.0,32.0,53.0,160.0,37.0,10.0,,39.0,36.0,176.0,34.0,1057.0,16.0,9.0,1.0,96.0,83.0,7.0,36.0,3121.0,63.0,145.0,57.0,125.0,853.0,134.0,,8.0,39.6945,65.0,1.0,3.0,36.0,7.0,149.0,362.0,54.0,6.0,357.0,25.0,8.0,181.0,145.0,37.0,14.0,33.0,650.0,36.0,112.0,83.0,7.0,274.0,20.0,1023.0,17.0,28.0,441.0,18.0,39.0,3.0,173.0,14.0,14.0,62.0,28.0,341.0,1657.0,11.0,5.0,5.0,267.0,8.0,9.703,16.0,45.0,36.0,13.7177,34.0,17.0,14.0,14.0,7.0,11.0,13.0,1.0,5.0,5.0,,,,0.0535,8.0,1.0,1.0,8.0,1.0,30.0,5.0,,1.0,,1.0,1.0,,,,,,,,,,,,,
194252,Steven Bergwijn,Forward,Spurs,6,Netherlands,2020-21,0.0,0.0,3.0,79.0,,0.783,59.0,1.0,15.0,14.0,58.0,21.0,3.0,1.0,34.0,13.0,68.0,10.0,416.0,1.0,0.0,8.0,4.0,13.0,1.0,1.0,1211.0,11.0,55.0,14.0,53.0,345.0,35.0,,5.0,17.3787,10.0,2.0,7.0,15.0,1.0,68.0,84.0,16.0,0.0,134.0,6.0,1.0,78.0,76.0,21.0,8.0,23.0,236.0,15.0,12.0,38.0,1.0,121.0,2.0,411.0,8.0,5.0,154.0,7.0,22.0,1.0,122.0,20.0,5.0,2.0,3.0,132.0,613.0,1.0,1.0,4.0,113.0,12.0,2.0151,10.0,14.0,6.0,1.4735,7.0,1.0,4.0,4.0,1.0,1.0,11.0,,1.0,1.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,
80226,Sèrge Aurier,Defender,Spurs,6,Cote d’Ivoire,2020-21,0.0,0.0,0.0,115.0,10.0,1.8612,61.0,1.0,55.0,14.0,125.0,19.0,3.0,,28.0,19.0,152.0,25.0,792.0,1.0,2.0,,,77.0,4.0,10.0,1608.0,40.0,123.0,55.0,86.0,619.0,26.0,31.0,4.0,21.1539,15.0,3.0,41.0,22.0,1.0,75.0,31.0,15.0,0.0,238.0,23.0,0.0,289.0,111.0,19.0,22.0,15.0,288.0,21.0,25.0,28.0,1.0,161.0,37.0,788.0,8.0,10.0,266.0,33.0,17.0,5.0,326.0,23.0,19.0,,21.0,146.0,1280.0,122.0,,15.0,362.0,14.0,1.0575,27.0,62.0,6.0,1.385,,2.0,3.0,3.0,,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
231372,Tanguy Ndombélé,Midfielder,Spurs,6,France,2020-21,0.0,0.0,3.0,127.0,2.0,1.5186,106.0,8.0,41.0,10.0,148.0,33.0,2.0,,63.0,28.0,169.0,5.0,1172.0,,3.0,5.0,,28.0,2.0,2.0,2106.0,18.0,186.0,45.0,176.0,982.0,42.0,,6.0,28.2118,12.0,,11.0,24.0,4.0,109.0,308.0,61.0,0.0,313.0,24.0,0.0,323.0,122.0,33.0,21.0,25.0,576.0,24.0,5.0,58.0,4.0,285.0,10.0,1135.0,3.0,5.0,301.0,20.0,74.0,4.0,296.0,26.0,19.0,,21.0,245.0,1616.0,3.0,,6.0,429.0,20.0,1.5679,21.0,40.0,7.0,2.1454,15.0,3.0,4.0,4.0,3.0,2.0,22.0,8.0,,,,,,,4.0,,,4.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
55605,Toby Alderweireld,Defender,Spurs,6,Belgium,2020-21,0.0,0.0,2.0,66.0,1.0,0.7569,43.0,4.0,35.0,6.0,95.0,25.0,,,22.0,25.0,251.0,,1437.0,,0.0,,,82.0,9.0,1.0,2241.0,36.0,87.0,21.0,41.0,1075.0,14.0,1.0,6.0,24.8871,8.0,11.0,115.0,25.0,4.0,30.0,396.0,3.0,0.0,153.0,12.0,1.0,502.0,117.0,25.0,13.0,,286.0,24.0,,2.0,4.0,71.0,46.0,1376.0,3.0,4.0,258.0,22.0,4.0,28.0,458.0,17.0,10.0,,111.0,81.0,1708.0,12.0,1.0,42.0,901.0,10.0,0.7465,156.0,97.0,3.0,0.1853,1.0,1.0,2.0,2.0,,,1.0,2.0,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
62974,Érik Lamela,Midfielder,Spurs,6,Argentina,2020-21,0.0,1.0,4.0,77.0,,0.9213,38.0,6.0,17.0,15.0,54.0,23.0,,,20.0,5.0,57.0,7.0,338.0,,1.0,18.0,16.0,18.0,,3.0,704.0,12.0,58.0,21.0,52.0,273.0,27.0,1.0,5.0,14.5538,9.0,1.0,1.0,17.0,3.0,65.0,43.0,10.0,0.0,135.0,10.0,0.0,66.0,40.0,23.0,8.0,15.0,184.0,17.0,20.0,28.0,3.0,117.0,6.0,321.0,6.0,6.0,129.0,9.0,25.0,1.0,127.0,24.0,6.0,10.0,8.0,102.0,524.0,,3.0,,100.0,18.0,1.1161,3.0,14.0,9.0,1.6637,10.0,1.0,4.0,4.0,2.0,,5.0,1.0,4.0,4.0,,,,0.2885,3.0,4.0,4.0,3.0,,3.0,1.0,,,2.0,,,,,,,,,,,,,,,1.0
