playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCornersIntoBox,successfulLaunches,attemptsFromSetPieces,unsuccessfulCornersIntoBox,penaltiesConceded,secondGoalAssists,punches,catches,savesMade,goalkeeperSmother,savesMadeFromOutsideBox,goalKicks,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,penaltiesFaced,savesMadeParried,savesMadeFromInsideBox,expectedAssists,expectedGoalsOnTarget,oboxBlocked,shotsOnTargetOutsideBox,expectedGoalsOnTargetConceded,shotsBlockedInBox,oboxTarget,lastPlayerTackle,iboxBlocked,shotsBlockedOutsideBox,expectedGoals,headedGoals,setPiecesGoals,ownGoalScored,drops,crossesNotClaimed
17349,Aaron Lennon,Midfielder,Spurs,6,England,2012-13,127.0,14.0,0.0,13.0,8.0,8.0,41.0,16.0,10.0,133.0,34.0,7.0,43.0,33.0,136.0,62.0,879.0,4.0,6.0,1.0,1.0,2.0,16.0,4.0,14.0,2838.0,2.0,10.0,132.0,1.0,126.0,727.0,123.0,1.0,2.0,60.0,15.0,32.0,117.0,105.0,42.0,4.0,259.0,3.0,200.0,113.0,34.0,3.0,12.0,1.0,52.0,563.0,31.0,62.0,89.0,243.0,6.0,0.0,873.0,8.0,39.0,330.0,29.0,43.0,4.0,281.0,14.0,28.0,1.0,16.0,293.0,1347.0,23.0,15.0,1.0,2.0,194.0,1.0,1.0,3.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60252,Andros Townsend,Midfielder,Spurs,6,England,2012-13,85.0,8.0,0.0,14.0,7.0,6.0,37.0,23.0,2.0,59.0,17.0,1.0,8.0,12.0,70.0,37.0,338.0,2.0,,1.0,5.0,7.0,5.0,1.0,9.0,1047.0,,5.0,111.0,5.0,111.0,263.0,16.0,1.0,2.0,19.0,7.0,21.0,80.0,44.0,23.0,0.0,196.0,1.0,111.0,75.0,17.0,,4.0,2.0,28.0,196.0,16.0,44.0,61.0,191.0,,0.0,334.0,16.0,7.0,211.0,33.0,51.0,1.0,127.0,7.0,16.0,,5.0,56.0,687.0,7.0,2.0,,11.0,81.0,,2.0,11.0,23.0,1.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28146,Benoit Assou-Ekotto,Defender,Spurs,6,Cameroon,2012-13,51.0,15.0,0.0,2.0,4.0,2.0,20.0,7.0,1.0,120.0,15.0,,4.0,12.0,171.0,37.0,641.0,1.0,,0.0,3.0,2.0,24.0,2.0,15.0,1141.0,,7.0,60.0,,43.0,392.0,6.0,25.0,2.0,14.0,61.0,13.0,44.0,300.0,13.0,0.0,111.0,1.0,264.0,84.0,15.0,,4.0,1.0,8.0,280.0,13.0,39.0,19.0,87.0,17.0,0.0,619.0,3.0,8.0,269.0,16.0,10.0,5.0,27.0,16.0,45.0,1.0,78.0,50.0,1051.0,110.0,2.0,,56.0,205.0,1.0,2.0,51.0,34.0,,6.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,Brad Friedel,Goalkeeper,Spurs,6,United States,2012-13,,,0.0,,,,,,,4.0,11.0,,,11.0,157.0,,323.0,,,,,,,,,990.0,,,,1.0,,90.0,,,1.0,,7.0,17.0,,15.0,,0.0,,,261.0,105.0,11.0,,,,,55.0,16.0,,,,,0.0,185.0,,,161.0,,,,47.0,,,,76.0,,426.0,,,,80.0,111.0,,0.0,153.0,18.0,,32.0,,,,,4.0,7.0,26.0,3.0,8.0,102.0,98.0,1.0,60.0,1.0,6.0,18.0,,,,,,,,,,,,,,,,
20226,Clint Dempsey,Forward,Spurs,6,United States,2012-13,203.0,,0.0,21.0,26.0,2.0,25.0,49.0,8.0,136.0,29.0,4.0,43.0,22.0,143.0,11.0,763.0,7.0,11.0,4.0,7.0,,160.0,2.0,,1998.0,2.0,102.0,136.0,2.0,78.0,602.0,72.0,,,29.0,29.0,26.0,101.0,203.0,45.0,4.0,339.0,3.0,191.0,72.0,29.0,5.0,6.0,2.0,20.0,431.0,24.0,11.0,68.0,179.0,58.0,0.0,762.0,23.0,18.0,264.0,19.0,8.0,3.0,174.0,27.0,21.0,,18.0,195.0,1123.0,6.0,11.0,1.0,1.0,189.0,3.0,4.0,7.0,18.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101623,Cristian Ceballos,Forward,Spurs,6,Spain,2012-13,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38290,Danny Rose,Defender,Spurs,6,England,2012-13,122.0,6.0,0.0,5.0,3.0,14.0,63.0,10.0,2.0,161.0,27.0,1.0,4.0,25.0,225.0,47.0,971.0,1.0,,1.0,2.0,1.0,49.0,5.0,6.0,2222.0,1.0,21.0,180.0,5.0,152.0,695.0,10.0,66.0,2.0,10.0,64.0,36.0,101.0,309.0,61.0,0.0,302.0,0.0,519.0,150.0,27.0,,8.0,1.0,29.0,434.0,31.0,48.0,51.0,253.0,28.0,0.0,941.0,7.0,14.0,422.0,55.0,28.0,10.0,57.0,30.0,73.0,1.0,51.0,86.0,1714.0,186.0,8.0,2.0,35.0,318.0,2.0,6.0,64.0,56.0,,12.0,,,,,,,,,,,,,,,,,0.5764,0.8939,7.0,4.0,43.1748,1.0,4.0,1.0,1.0,7.0,0.7528,,,,,
17500,Emmanuel Adebayor,Forward,Spurs,6,Togo,2012-13,174.0,2.0,1.0,12.0,19.0,7.0,18.0,30.0,3.0,116.0,25.0,1.0,72.0,18.0,118.0,11.0,615.0,5.0,21.0,3.0,7.0,1.0,94.0,2.0,2.0,1597.0,10.0,56.0,96.0,,58.0,477.0,111.0,2.0,1.0,26.0,15.0,18.0,118.0,186.0,24.0,4.0,270.0,2.0,106.0,43.0,25.0,3.0,4.0,1.0,29.0,381.0,18.0,11.0,89.0,176.0,38.0,1.0,610.0,11.0,20.0,268.0,14.0,16.0,,121.0,31.0,3.0,,20.0,202.0,915.0,9.0,8.0,2.0,,118.0,4.0,3.0,2.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
36903,Gareth Bale,Forward,Spurs,6,Wales,2012-13,249.0,18.0,0.0,32.0,73.0,16.0,33.0,133.0,6.0,223.0,33.0,4.0,77.0,33.0,243.0,121.0,1131.0,21.0,11.0,13.0,,103.0,139.0,6.0,62.0,2924.0,6.0,82.0,196.0,1.0,139.0,853.0,152.0,6.0,3.0,71.0,60.0,36.0,167.0,412.0,47.0,18.0,445.0,8.0,291.0,109.0,33.0,4.0,9.0,16.0,79.0,689.0,35.0,210.0,132.0,306.0,57.0,0.0,1113.0,60.0,59.0,672.0,24.0,59.0,3.0,203.0,24.0,42.0,,35.0,225.0,2143.0,59.0,4.0,6.0,10.0,261.0,1.0,6.0,20.0,44.0,36.0,5.0,27.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,
55422,Gylfi Sigurdsson,Midfielder,Spurs,6,Iceland,2012-13,106.0,5.0,0.0,19.0,17.0,5.0,27.0,34.0,10.0,74.0,33.0,4.0,18.0,12.0,84.0,27.0,432.0,3.0,1.0,2.0,21.0,46.0,31.0,,15.0,1219.0,1.0,25.0,55.0,1.0,49.0,338.0,46.0,,1.0,21.0,13.0,22.0,81.0,141.0,15.0,0.0,161.0,1.0,104.0,64.0,33.0,3.0,7.0,,21.0,233.0,21.0,69.0,48.0,130.0,6.0,0.0,429.0,17.0,15.0,233.0,20.0,7.0,,74.0,16.0,35.0,,10.0,113.0,782.0,4.0,8.0,2.0,4.0,130.0,1.0,0.0,10.0,19.0,9.0,,3.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
