playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,expectedAssists,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulLayoffs,cornersTakenInclShortCorners,successfulCornersIntoBox,goalAssists,goals,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,penaltiesTaken,rightFootGoals,leftFootGoals,penaltyGoals,handballsConceded,expectedGoalsFreekick,penaltiesConceded,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,foulWonPenalty,headedGoals,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,clearancesOffTheLine,secondGoalAssists,ownGoalScored,redCards2ndYellow
175941,Alfie Whiteman,Goalkeeper,Spurs,6,England,2019-20,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115556,Ben Davies,Defender,Spurs,6,Wales,2019-20,0.0,0.0,6.0,80.0,10.0,0.6441,4.0,1.0,0.3141,28.0,3.0,1.0,131.0,18.0,16.0,186.0,19.0,796.0,1.0,2.0,2.0,66.0,4.0,1.0,10.0,1431.0,21.0,90.0,2.0,39.0,45.0,585.0,18.0,38.0,1.0,20.1249,9.0,10.0,41.0,19.0,2.0,59.0,337.0,8.0,170.0,16.0,329.0,61.0,18.0,1.0,13.0,9.0,308.0,17.0,19.0,2.0,104.0,45.0,784.0,2.0,4.0,271.0,15.0,9.0,12.0,27.0,27.0,22.0,25.0,103.0,1181.0,113.0,3.0,1.0,2.0,28.0,312.0,21.0,0.2026,55.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214572,Brandon Austin,Goalkeeper,Spurs,6,England,2019-20,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38290,Danny Rose,Defender,Spurs,6,England,2019-20,0.0,0.0,7.0,82.0,8.0,0.4697,1.0,,,39.0,1.0,1.0,120.0,23.0,20.0,173.0,33.0,835.0,,1.0,3.0,38.0,4.0,,10.0,1759.0,18.0,113.0,4.0,38.0,93.0,643.0,17.0,30.0,2.0,17.0452,14.0,7.0,41.0,28.0,,64.0,297.0,40.0,195.0,15.0,381.0,95.0,23.0,,16.0,14.0,362.0,24.0,35.0,,157.0,20.0,810.0,1.0,6.0,281.0,23.0,15.0,10.0,61.0,25.0,18.0,19.0,96.0,1248.0,85.0,6.0,,1.0,16.0,310.0,17.0,0.0842,53.0,54.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108823,Dele Alli,Midfielder,Spurs,6,England,2019-20,0.0,0.0,2.0,150.0,,2.8567,7.0,19.0,8.2872,34.0,35.0,4.0,164.0,25.0,21.0,192.0,7.0,810.0,6.0,1.0,4.0,59.0,,3.0,,1851.0,40.0,115.0,3.0,66.0,96.0,601.0,83.0,4.0,4.0,27.8257,19.0,1.0,14.0,26.0,6.0,110.0,268.0,33.0,265.0,32.0,231.0,103.0,25.0,3.0,18.0,37.0,401.0,23.0,7.0,6.0,206.0,19.0,753.0,16.0,12.0,342.0,16.0,29.0,3.0,116.0,12.0,17.0,17.0,195.0,1241.0,14.0,9.0,,1.0,8.0,217.0,2.0,8.1301,28.0,41.0,15.0,4.0,,4.0,8.0,8.0,8.0,4.0,1.0,6.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
461195,Dennis Cirkin,Defender,Spurs,6,Latvia,2019-20,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173904,Dávinson Sánchez,Defender,Spurs,6,Colombia,2019-20,0.0,0.0,6.0,101.0,,0.1377,,3.0,0.7133,44.0,7.0,,108.0,29.0,27.0,218.0,2.0,1544.0,1.0,,2.0,99.0,4.0,,,2431.0,46.0,117.0,4.0,21.0,64.0,1262.0,15.0,2.0,4.0,41.1261,1.0,13.0,121.0,37.0,,55.0,363.0,12.0,218.0,12.0,537.0,144.0,29.0,,17.0,2.0,343.0,33.0,2.0,,119.0,53.0,1521.0,4.0,3.0,244.0,27.0,8.0,28.0,547.0,27.0,34.0,64.0,97.0,1895.0,14.0,1.0,,,66.0,983.0,16.0,0.6465,110.0,92.0,,,,,,3.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
93264,Eric Dier,Defender,Spurs,6,England,2019-20,0.0,0.0,5.0,75.0,,0.3761,,1.0,0.1984,21.0,8.0,3.0,111.0,19.0,15.0,176.0,3.0,914.0,1.0,,4.0,108.0,3.0,,,1341.0,42.0,95.0,2.0,12.0,29.0,691.0,13.0,1.0,3.0,21.5957,5.0,6.0,61.0,23.0,,33.0,295.0,4.0,170.0,5.0,339.0,59.0,19.0,,9.0,,238.0,21.0,3.0,,62.0,66.0,894.0,7.0,2.0,193.0,12.0,4.0,9.0,219.0,19.0,21.0,47.0,61.0,1097.0,,2.0,1.0,,27.0,500.0,11.0,0.8527,65.0,66.0,1.0,,,2.0,,1.0,1.0,,,,,,,0.0649,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
195774,Gedson Fernandes,Midfielder,Spurs,6,Portugal,2019-20,0.0,0.0,0.0,9.0,2.0,0.0795,1.0,,,2.0,,,6.0,7.0,,6.0,5.0,39.0,,1.0,7.0,1.0,,,2.0,62.0,1.0,6.0,,4.0,6.0,33.0,5.0,3.0,1.0,1.2893,2.0,,,1.0,,8.0,8.0,2.0,15.0,1.0,11.0,7.0,7.0,,2.0,6.0,26.0,1.0,5.0,,14.0,,39.0,,2.0,23.0,,2.0,,7.0,,1.0,,13.0,75.0,4.0,,,1.0,,9.0,,0.0261,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200826,Giovani Lo Celso,Midfielder,Spurs,6,Argentina,2019-20,0.0,0.0,6.0,146.0,,1.4616,6.0,3.0,0.4747,51.0,12.0,9.0,123.0,28.0,15.0,144.0,11.0,964.0,,4.0,13.0,30.0,2.0,1.0,12.0,1486.0,23.0,135.0,3.0,32.0,128.0,778.0,30.0,1.0,2.0,22.9716,27.0,,17.0,18.0,2.0,123.0,252.0,45.0,281.0,16.0,283.0,123.0,28.0,1.0,22.0,19.0,558.0,15.0,45.0,2.0,251.0,7.0,919.0,9.0,11.0,295.0,29.0,32.0,4.0,283.0,28.0,9.0,42.0,146.0,1374.0,7.0,8.0,,4.0,1.0,274.0,19.0,1.3266,21.0,33.0,14.0,40.0,10.0,2.0,,2.0,2.0,1.0,,,,,2.0,0.0477,,1.0,1.0,25.0,,,,,,,,,,,,,,,,,,,,
