playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goalsConcededOutsideBox,penaltyGoalsConceded,rightFootGoals,otherGoals,freekickTotal,attemptsFromSetPieces,hitWoodwork,secondGoalAssists,expectedGoalsFreekick,unsuccessfulLayoffs,foulWonPenalty,penaltiesTaken,headedGoals,penaltyGoals,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,ownGoalScored,clearancesOffTheLine,penaltiesConceded
115556,Ben Davies,Defender,Spurs,6,Wales,2016-17,81.0,13.0,2.1861,0.0,7.0,4.0,0.494,39.0,6.0,1.0,158.0,23.0,3.0,3.0,18.0,219.0,51.0,1053.0,1.0,2.0,1.0,6.0,5.0,14.0,91.0,8.0,1.0,19.0,2.0,1735.0,2.0,43.0,121.0,43.0,73.0,789.0,6.0,23.0,40.0,20.6806,26.0,12.0,78.0,13.0,1.0,38.0,417.0,26.0,0.0,202.0,13.0,0.0,412.0,61.0,23.0,1.0,11.0,1.0,4.0,541.0,13.0,56.0,13.0,1.0,111.0,48.0,0.0,1029.0,2.0,13.0,346.0,28.0,8.0,7.0,48.0,13.0,11.0,5.0,45.0,176.0,1606.0,173.0,1.0,6.0,37.0,312.0,8.0,1.0,0.4386,1.0,61.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168763,Cameron Carter-Vickers,Defender,Spurs,6,United States,2016-17,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80607,Christian Eriksen,Midfielder,Spurs,6,Denmark,2016-17,187.0,13.0,8.1447,0.0,47.0,45.0,10.7235,45.0,86.0,20.0,335.0,36.0,15.0,91.0,36.0,392.0,54.0,1977.0,8.0,2.0,3.0,36.0,,195.0,57.0,13.0,25.0,55.0,12.0,3164.0,12.0,36.0,119.0,97.0,98.0,1479.0,39.0,106.0,1.0,34.786,97.0,1.0,20.0,24.0,11.0,151.0,436.0,26.0,2.0,306.0,43.0,5.0,595.0,187.0,36.0,25.0,11.0,5.0,35.0,1230.0,22.0,190.0,85.0,11.0,249.0,21.0,0.0,1860.0,41.0,55.0,742.0,34.0,27.0,,494.0,20.0,21.0,106.0,106.0,452.0,2754.0,18.0,10.0,36.0,12.0,410.0,14.0,,8.6755,0.0,57.0,65.0,2.0,2.0,2.0,1.0,22.0,22.0,5.0,2.0,1.5175,2.0,,,,,,,,,,,,,,,,,,,,,
38290,Danny Rose,Defender,Spurs,6,England,2016-17,97.0,11.0,1.51,0.0,8.0,5.0,0.6728,50.0,15.0,,128.0,18.0,2.0,2.0,18.0,178.0,50.0,783.0,2.0,1.0,0.0,4.0,,7.0,43.0,7.0,2.0,14.0,1.0,1533.0,1.0,16.0,148.0,44.0,121.0,548.0,4.0,35.0,56.0,14.6523,24.0,8.0,52.0,11.0,4.0,81.0,281.0,48.0,1.0,245.0,20.0,2.0,349.0,81.0,18.0,2.0,16.0,2.0,18.0,415.0,10.0,51.0,37.0,4.0,202.0,27.0,0.0,749.0,10.0,14.0,362.0,34.0,25.0,3.0,41.0,26.0,22.0,1.0,57.0,112.0,1417.0,168.0,3.0,4.0,17.0,204.0,16.0,2.0,0.8494,8.0,50.0,36.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108823,Dele Alli,Midfielder,Spurs,6,England,2016-17,273.0,,3.4092,0.0,20.0,44.0,17.0808,52.0,74.0,14.0,232.0,37.0,7.0,74.0,35.0,256.0,22.0,1330.0,18.0,11.0,9.0,11.0,2.0,3.0,40.0,8.0,11.0,,15.0,3043.0,15.0,26.0,190.0,71.0,176.0,1014.0,,147.0,3.0,33.8523,45.0,2.0,17.0,22.0,9.0,247.0,433.0,76.0,5.0,463.0,35.0,9.0,349.0,165.0,37.0,11.0,16.0,5.0,80.0,814.0,20.0,22.0,157.0,9.0,423.0,14.0,0.0,1302.0,30.0,22.0,551.0,36.0,49.0,1.0,224.0,50.0,11.0,,60.0,324.0,2027.0,15.0,13.0,11.0,8.0,260.0,26.0,4.0,13.2661,4.0,24.0,27.0,2.0,1.0,9.0,,,,3.0,,,5.0,4.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,
93264,Eric Dier,Defender,Spurs,6,England,2016-17,114.0,4.0,1.5456,0.0,6.0,7.0,1.0897,48.0,17.0,,175.0,36.0,,12.0,34.0,263.0,16.0,1981.0,2.0,3.0,1.0,4.0,2.0,,129.0,15.0,,4.0,5.0,3044.0,5.0,55.0,141.0,42.0,67.0,1531.0,,33.0,2.0,32.5694,14.0,13.0,149.0,24.0,2.0,59.0,399.0,18.0,1.0,255.0,18.0,1.0,730.0,161.0,36.0,,13.0,,4.0,687.0,22.0,16.0,19.0,2.0,126.0,74.0,0.0,1914.0,10.0,10.0,318.0,35.0,4.0,17.0,677.0,23.0,35.0,,187.0,175.0,2402.0,19.0,3.0,4.0,30.0,1035.0,11.0,,1.1614,6.0,88.0,82.0,2.0,2.0,2.0,,3.0,3.0,,2.0,0.1761,1.0,,,,,,,,,,,,,,,,,,,,,
157665,Filip Lesniak,Midfielder,Spurs,6,Slovakia,2016-17,2.0,,0.0016,0.0,,,,1.0,,,,1.0,1.0,1.0,,,,6.0,,,,,1.0,,1.0,,,,,4.0,,1.0,1.0,,1.0,6.0,,,,,,,,,,1.0,1.0,,0.0,3.0,,,2.0,1.0,1.0,,,,,2.0,,,,,2.0,,0.0,6.0,,,,1.0,,,1.0,1.0,,,,2.0,7.0,,,,,4.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168566,Georges-Kévin N'Koudou,Midfielder,Spurs,6,Cameroon,2016-17,9.0,1.0,0.0973,0.0,,1.0,0.2328,,2.0,,5.0,8.0,,,,6.0,6.0,30.0,,,,,8.0,,,,,1.0,1.0,49.0,1.0,,10.0,2.0,10.0,23.0,,5.0,,0.0591,,,3.0,,,9.0,15.0,3.0,0.0,19.0,1.0,,5.0,3.0,8.0,,,,4.0,21.0,,6.0,7.0,,19.0,,0.0,30.0,1.0,2.0,20.0,,7.0,,5.0,2.0,,,1.0,5.0,64.0,2.0,,,,4.0,1.0,,0.0853,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78830,Harry Kane,Forward,Spurs,6,England,2016-17,183.0,5.0,2.3246,0.0,21.0,58.0,24.5752,22.0,89.0,2.0,156.0,30.0,7.0,37.0,29.0,169.0,24.0,597.0,29.0,17.0,12.0,8.0,1.0,1.0,112.0,3.0,12.0,5.0,17.0,2531.0,17.0,66.0,147.0,49.0,101.0,409.0,,151.0,,27.314,34.0,1.0,21.0,19.0,13.0,117.0,182.0,45.0,10.0,330.0,23.0,17.0,161.0,68.0,30.0,12.0,7.0,7.0,38.0,352.0,17.0,24.0,88.0,13.0,218.0,46.0,0.0,574.0,31.0,37.0,378.0,15.0,38.0,,122.0,23.0,4.0,,19.0,132.0,1116.0,14.0,16.0,8.0,1.0,81.0,11.0,,18.5913,3.0,13.0,17.0,2.0,2.0,20.0,,4.0,4.0,3.0,1.0,0.2531,4.0,1.0,6.0,2.0,5.0,,,,,,,,,,,,,,,,,
157668,Harry Winks,Midfielder,Spurs,6,England,2016-17,27.0,,0.3116,0.0,2.0,2.0,0.8495,10.0,4.0,1.0,29.0,21.0,1.0,13.0,3.0,36.0,6.0,366.0,1.0,,0.0,1.0,18.0,2.0,5.0,,1.0,,,477.0,,4.0,32.0,16.0,31.0,304.0,,6.0,,5.9207,7.0,3.0,6.0,6.0,1.0,23.0,111.0,10.0,0.0,59.0,11.0,1.0,95.0,36.0,21.0,1.0,2.0,,1.0,186.0,6.0,7.0,6.0,1.0,54.0,1.0,0.0,359.0,2.0,2.0,53.0,8.0,11.0,2.0,94.0,10.0,5.0,1.0,26.0,66.0,451.0,,1.0,1.0,,144.0,4.0,1.0,0.9911,1.0,7.0,12.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
