playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,expectedAssists,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,throughBalls,setPiecesGoals,goals,offsides,rightFootGoals,leftFootGoals,freekickTotal,attemptsFromSetPieces,hitWoodwork,expectedGoalsFreekick,goalAssists,shotsOnTargetOutsideBox,oboxTarget,foulWonPenalty,headedGoals,clearancesOffTheLine,penaltiesConceded,ownGoalScored,penaltiesTaken,penaltyGoals,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,redCards2ndYellow
175941,Alfie Whiteman,Goalkeeper,Spurs,6,England,2018-19,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115556,Ben Davies,Defender,Spurs,6,Wales,2018-19,0.0,0.0,2.0,90.0,8.0,1.5434,7.0,1.0,0.0682,56.0,7.0,134.0,27.0,1.0,20.0,187.0,29.0,1085.0,2.0,7.0,7.0,82.0,6.0,9.0,1.0,1839.0,1.0,1.0,37.0,118.0,3.0,47.0,73.0,866.0,1.0,29.0,34.0,3.0,27.212,15.0,7.0,62.0,26.0,5.0,53.0,433.0,14.0,208.0,13.0,406.0,92.0,27.0,26.0,12.0,494.0,23.0,34.0,5.0,126.0,45.0,1073.0,6.0,7.0,296.0,30.0,4.0,10.0,59.0,18.0,23.0,4.0,32.0,187.0,1602.0,158.0,2.0,2.0,29.0,413.0,13.0,1.0,0.5349,53.0,64.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80607,Christian Eriksen,Midfielder,Spurs,6,Denmark,2018-19,0.0,0.0,3.0,140.0,15.0,7.6736,28.0,30.0,6.7772,41.0,55.0,275.0,35.0,37.0,30.0,355.0,37.0,1872.0,19.0,5.0,67.0,47.0,6.0,33.0,7.0,2771.0,7.0,2.0,34.0,88.0,4.0,60.0,75.0,1438.0,16.0,72.0,,3.0,42.3385,61.0,2.0,7.0,37.0,9.0,106.0,466.0,16.0,228.0,23.0,564.0,188.0,35.0,16.0,18.0,1053.0,33.0,84.0,9.0,181.0,13.0,1794.0,25.0,28.0,560.0,25.0,18.0,3.0,516.0,17.0,15.0,33.0,79.0,326.0,2392.0,10.0,3.0,19.0,11.0,497.0,9.0,1.0,5.4401,80.0,60.0,1.0,24.0,1.0,8.0,2.0,5.0,3.0,12.0,12.0,3.0,0.7775,12.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,
38290,Danny Rose,Defender,Spurs,6,England,2018-19,0.0,0.0,5.0,105.0,14.0,1.9822,6.0,2.0,0.1126,49.0,9.0,173.0,26.0,3.0,20.0,244.0,60.0,929.0,2.0,6.0,17.0,44.0,5.0,20.0,1.0,1798.0,1.0,1.0,17.0,158.0,1.0,69.0,131.0,660.0,5.0,49.0,23.0,,23.1701,23.0,4.0,20.0,16.0,4.0,88.0,327.0,47.0,263.0,20.0,381.0,105.0,26.0,18.0,36.0,427.0,15.0,69.0,4.0,219.0,27.0,901.0,7.0,19.0,455.0,31.0,36.0,4.0,44.0,26.0,24.0,9.0,25.0,177.0,1569.0,138.0,6.0,2.0,31.0,278.0,20.0,3.0,0.7382,71.0,76.0,,2.0,,,1.0,,,,,1.0,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
108823,Dele Alli,Midfielder,Spurs,6,England,2018-19,0.0,0.0,4.0,116.0,2.0,2.1944,7.0,19.0,5.9268,33.0,32.0,180.0,25.0,22.0,22.0,203.0,8.0,1028.0,3.0,3.0,3.0,40.0,5.0,2.0,12.0,1833.0,12.0,2.0,20.0,102.0,3.0,61.0,82.0,799.0,,100.0,1.0,1.0,20.6028,24.0,1.0,17.0,21.0,4.0,96.0,370.0,20.0,218.0,28.0,247.0,124.0,25.0,14.0,25.0,543.0,18.0,8.0,4.0,178.0,20.0,995.0,13.0,21.0,333.0,19.0,29.0,5.0,171.0,23.0,19.0,,26.0,240.0,1408.0,9.0,12.0,3.0,3.0,284.0,19.0,,4.7647,23.0,28.0,,18.0,,5.0,3.0,1.0,,,,,,3.0,2.0,2.0,,4.0,1.0,,,,,,,,,,,,,,,,,,,,
173904,Dávinson Sánchez,Defender,Spurs,6,Colombia,2018-19,0.0,0.0,2.0,90.0,,0.2386,2.0,3.0,0.5108,37.0,12.0,87.0,23.0,,22.0,146.0,,1440.0,,1.0,,116.0,6.0,,2.0,1943.0,2.0,,50.0,114.0,2.0,12.0,48.0,1232.0,,18.0,,,25.9498,3.0,10.0,101.0,22.0,2.0,40.0,403.0,10.0,204.0,8.0,430.0,115.0,23.0,17.0,2.0,361.0,20.0,,2.0,88.0,66.0,1418.0,9.0,,159.0,20.0,1.0,9.0,495.0,20.0,30.0,,62.0,112.0,1699.0,3.0,2.0,,35.0,933.0,8.0,,1.3818,59.0,63.0,,,,1.0,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
93264,Eric Dier,Defender,Spurs,6,England,2018-19,0.0,0.0,4.0,97.0,1.0,0.9149,2.0,3.0,1.2489,26.0,7.0,121.0,20.0,8.0,18.0,163.0,5.0,1082.0,1.0,2.0,,67.0,5.0,1.0,,1509.0,,,31.0,72.0,3.0,35.0,36.0,874.0,,14.0,,1.0,26.1407,8.0,5.0,43.0,18.0,1.0,66.0,305.0,9.0,169.0,16.0,338.0,79.0,20.0,10.0,5.0,409.0,15.0,5.0,1.0,102.0,36.0,1059.0,4.0,2.0,195.0,16.0,2.0,12.0,308.0,24.0,22.0,,45.0,131.0,1285.0,3.0,6.0,1.0,13.0,511.0,14.0,1.0,0.9541,42.0,55.0,,5.0,,3.0,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
19760,Fernando Llorente,Forward,Spurs,6,Spain,2018-19,0.0,0.0,2.0,75.0,,0.8767,5.0,5.0,0.8681,4.0,19.0,70.0,20.0,25.0,6.0,75.0,1.0,223.0,1.0,14.0,,104.0,1.0,,4.0,684.0,4.0,6.0,50.0,68.0,1.0,12.0,14.0,144.0,,60.0,,,12.72,10.0,1.0,10.0,8.0,4.0,25.0,56.0,6.0,143.0,5.0,43.0,14.0,20.0,2.0,,111.0,7.0,1.0,4.0,39.0,54.0,222.0,14.0,3.0,118.0,2.0,5.0,2.0,70.0,12.0,1.0,,4.0,54.0,341.0,,3.0,1.0,,37.0,5.0,,3.3815,5.0,6.0,,1.0,,1.0,5.0,,,,,1.0,,4.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
204820,George Marsh,Midfielder,Spurs,6,England,2018-19,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168566,Georges-Kévin N'Koudou,Midfielder,Spurs,6,Cameroon,2018-19,0.0,0.0,0.0,,1.0,0.3676,,,,,,1.0,1.0,,,1.0,1.0,3.0,,1.0,,,,1.0,,4.0,,1.0,,1.0,,,1.0,2.0,,,,,,,,,,,,2.0,1.0,1.0,,,1.0,1.0,,,3.0,,1.0,,1.0,,3.0,,,2.0,,,,,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
