playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goalAssists,goals,awayGoals,unsuccessfulLayoffs,penaltyGoalsConceded,successfulLaunches,shotsBlockedInBox,homeGoals,rightFootGoals,headedGoals,iboxBlocked,hitWoodwork,handballsConceded,throwInsToOppositionPlayer,ownGoalScored,leftFootGoals,blocks,setPiecesGoals,successfulCornersIntoBox,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,penaltiesConceded,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,lastPlayerTackle,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,foulWonPenalty,penaltiesTaken,penaltyGoals,clearancesOffTheLine,secondGoalAssists
83564,Antonio Luna,Defender,A Villa,7,Spain,2013-14,68.0,3.0,0.3486,0.0,,,1.0,2.0,0.9001,43.0,1.0,,78.0,17.0,1.0,16.0,106.0,18.0,440.0,2.0,,1.0,1.0,20.0,4.0,,3.0,,1381.0,,9.0,75.0,1.0,34.0,64.0,309.0,7.0,19.5189,5.0,30.0,18.0,59.0,135.0,10.0,0.0,143.0,20.0,210.0,73.0,17.0,,8.0,12.0,157.0,17.0,18.0,26.0,,123.0,11.0,0.0,424.0,,6.0,197.0,35.0,13.0,,17.0,13.0,26.0,,25.0,78.0,857.0,146.0,2.0,,34.0,180.0,2.0,0.3559,2.0,28.0,39.0,,1.0,1.0,,,12.0,,0.0,,,,,,30.0,1.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
58845,Ciaran Clark,Defender,A Villa,7,Ireland,2013-14,81.0,3.0,0.6359,0.0,,2.0,2.0,,,44.0,12.0,,151.0,27.0,,23.0,233.0,5.0,861.0,1.0,,4.0,,106.0,5.0,,3.0,2.0,2202.0,2.0,42.0,125.0,4.0,15.0,61.0,568.0,27.0,35.3824,7.0,202.0,38.0,39.0,222.0,16.0,0.0,206.0,10.0,442.0,71.0,27.0,,8.0,3.0,201.0,34.0,5.0,6.0,,100.0,64.0,0.0,835.0,10.0,4.0,276.0,36.0,5.0,,111.0,30.0,25.0,,60.0,86.0,1307.0,36.0,2.0,,95.0,430.0,11.0,0.959,8.0,82.0,61.0,,,,,3.0,26.0,2.0,,,,2.0,1.0,3.0,20.0,,,24.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,
154936,Janoi Donacien,Defender,A Villa,7,St Lucia,2013-14,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56981,Joe Bennett,Defender,A Villa,7,England,2013-14,6.0,2.0,0.0643,0.0,,,,,,8.0,1.0,,26.0,5.0,1.0,3.0,30.0,4.0,114.0,1.0,,2.0,,4.0,,,2.0,,244.0,,3.0,13.0,1.0,6.0,12.0,80.0,2.0,1.516,,10.0,2.0,3.0,37.0,1.0,0.0,19.0,1.0,54.0,17.0,5.0,,1.0,1.0,44.0,1.0,4.0,1.0,,15.0,1.0,0.0,111.0,1.0,1.0,40.0,7.0,3.0,,5.0,2.0,7.0,,4.0,18.0,178.0,18.0,3.0,,6.0,42.0,1.0,0.0351,2.0,4.0,9.0,,,,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56206,Jordan Bowery,Defender,A Villa,7,St Kitts & Nevis,2013-14,52.0,1.0,0.1792,0.0,,,4.0,2.0,0.5951,3.0,7.0,,24.0,9.0,9.0,2.0,24.0,1.0,90.0,,,7.0,,53.0,,,1.0,4.0,234.0,4.0,34.0,24.0,1.0,3.0,5.0,65.0,10.0,5.595,1.0,1.0,6.0,18.0,17.0,2.0,0.0,76.0,2.0,19.0,7.0,9.0,,,1.0,54.0,5.0,1.0,14.0,,23.0,19.0,0.0,85.0,3.0,5.0,44.0,3.0,,,19.0,6.0,1.0,,1.0,35.0,133.0,1.0,2.0,,,13.0,1.0,0.344,0.0,,3.0,1.0,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
80502,Jores Okore,Defender,A Villa,7,Denmark,2013-14,6.0,,0.0551,0.0,,,,,,5.0,,,7.0,3.0,,2.0,11.0,1.0,92.0,,,1.0,,6.0,,,,,167.0,,3.0,11.0,,3.0,8.0,74.0,1.0,2.0751,2.0,15.0,3.0,3.0,9.0,1.0,0.0,17.0,3.0,31.0,12.0,3.0,,1.0,,25.0,3.0,1.0,,,11.0,3.0,0.0,92.0,,,12.0,4.0,2.0,,38.0,3.0,3.0,,7.0,14.0,123.0,,1.0,,1.0,56.0,1.0,,0.0,4.0,3.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
68983,Matthew Lowton,Defender,A Villa,7,England,2013-14,75.0,6.0,1.488,0.0,,,,4.0,,39.0,2.0,3.0,111.0,23.0,,18.0,157.0,33.0,678.0,,,5.0,,31.0,2.0,,6.0,,1663.0,,16.0,67.0,4.0,19.0,52.0,475.0,8.0,29.6665,12.0,56.0,36.0,59.0,34.0,9.0,0.0,142.0,12.0,281.0,68.0,23.0,,10.0,8.0,297.0,32.0,33.0,16.0,,111.0,15.0,0.0,667.0,2.0,6.0,257.0,29.0,5.0,,246.0,15.0,31.0,,46.0,117.0,1117.0,157.0,3.0,,39.0,230.0,7.0,0.0647,4.0,46.0,42.0,3.0,,,,2.0,7.0,,,,,,,1.0,32.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,
52477,Nathan Baker,Defender,A Villa,7,England,2013-14,145.0,,0.1286,0.0,,,4.0,,0.9857,30.0,12.0,1.0,171.0,30.0,,29.0,216.0,3.0,693.0,2.0,,1.0,,187.0,6.0,,,4.0,2478.0,4.0,88.0,138.0,9.0,13.0,39.0,443.0,32.0,38.0193,3.0,213.0,45.0,57.0,164.0,14.0,0.0,283.0,11.0,320.0,50.0,30.0,,8.0,2.0,93.0,36.0,3.0,4.0,,96.0,99.0,0.0,680.0,8.0,3.0,232.0,22.0,,,154.0,35.0,45.0,,34.0,55.0,1093.0,8.0,2.0,,45.0,384.0,8.0,0.7731,6.0,45.0,87.0,,,,,3.0,10.0,,,,,,1.0,1.0,,1.0,,25.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,
21095,Ron Vlaar,Defender,A Villa,7,Netherlands,2013-14,62.0,,0.3094,0.0,,2.0,2.0,,0.0416,65.0,8.0,2.0,147.0,32.0,,32.0,253.0,3.0,1098.0,,2.0,,,76.0,8.0,,,2.0,2805.0,2.0,29.0,131.0,8.0,17.0,84.0,731.0,7.0,41.3201,3.0,212.0,47.0,33.0,186.0,12.0,0.0,193.0,12.0,517.0,149.0,32.0,,10.0,2.0,227.0,39.0,3.0,9.0,,117.0,47.0,0.0,1055.0,6.0,1.0,279.0,55.0,9.0,,292.0,11.0,64.0,,114.0,103.0,1554.0,4.0,3.0,2.0,104.0,618.0,6.0,0.5295,4.0,106.0,81.0,1.0,,,,4.0,31.0,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,
40146,Ryan Bertrand,Defender,A Villa,7,England,2013-14,60.0,2.0,,0.0,,,1.0,6.0,,30.0,2.0,1.0,109.0,17.0,3.0,17.0,141.0,28.0,597.0,1.0,,,,41.0,2.0,,2.0,,1455.0,,19.0,77.0,6.0,33.0,55.0,444.0,7.0,,4.0,34.0,32.0,41.0,200.0,16.0,0.0,137.0,15.0,251.0,54.0,17.0,,4.0,10.0,270.0,26.0,28.0,18.0,,96.0,22.0,0.0,581.0,1.0,5.0,242.0,26.0,9.0,,40.0,20.0,15.0,,12.0,106.0,1015.0,161.0,6.0,,29.0,188.0,6.0,,3.0,32.0,49.0,,,,,4.0,5.0,,,,,,,1.0,32.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
