playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,expectedAssists,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,awayGoals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,setPiecesGoals,offsides,iboxTarget,shotsOnTargetInBox,successfulCornersIntoBox,leftFootGoals,freekickTotal,attemptsFromSetPieces,handballsConceded,secondGoalAssists,expectedGoalsFreekick,cleanSheets,unsuccessfulLayoffs,throwInsToOppositionPlayer,goalKicks,gkSuccessfulDistribution,gkUnsuccessfulDistribution,penaltiesTaken,rightFootGoals,penaltyGoals,hitWoodwork,foulWonPenalty,lastPlayerTackle,ownGoalScored,penaltiesConceded,savesMade,savesMadeFromOutsideBox,catches,savesMadeCaught,penaltiesFaced,punches,goalkeeperSmother,drops,savesMadeParried,savesMadeFromInsideBox
552030,Aidan Francis-Clarke,Defender,Luton,102,England,2023-24,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437742,Albert Sambi Lokonga,Midfielder,Luton,102,Belgium,2023-24,0.0,0.0,4.0,52.0,1.0,0.7775,4.0,2.0,1.0,0.5892,29.0,4.0,5.0,59.0,17.0,3.0,3.0,16.0,80.0,7.0,740.0,1.0,1.0,3.0,1.0,2.0,25.0,1.0,1.0,1308.0,9.0,82.0,5.0,13.0,66.0,619.0,11.0,2.0,26.2336,6.0,3.0,14.0,31.0,1.0,43.0,170.0,27.0,0.0,134.0,10.0,0.0,208.0,64.0,17.0,1.0,11.0,7.0,335.0,26.0,1.0,12.0,18.0,1.0,109.0,16.0,686.0,2.0,1.0,128.0,18.0,11.0,13.0,241.0,18.0,11.0,2.0,3.0,41.0,121.0,952.0,8.0,8.0,3.0,10.0,326.0,14.0,0.6187,21.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244262,Alfie Doughty,Midfielder,Luton,102,England,2023-24,0.0,0.0,5.0,124.0,31.0,5.395,13.0,8.0,6.0,1.4162,63.0,13.0,,167.0,37.0,8.0,,34.0,270.0,109.0,1090.0,2.0,1.0,5.0,3.0,151.0,35.0,,89.0,2937.0,12.0,128.0,7.0,102.0,105.0,754.0,80.0,4.0,68.6053,62.0,12.0,36.0,74.0,8.0,112.0,356.0,9.0,0.0,252.0,42.0,1.0,403.0,185.0,37.0,,23.0,24.0,487.0,67.0,,251.0,37.0,8.0,217.0,23.0,1050.0,5.0,45.0,659.0,40.0,33.0,9.0,92.0,31.0,31.0,110.0,2.0,66.0,239.0,2095.0,212.0,16.0,5.0,47.0,422.0,18.0,1.3106,103.0,63.0,1.0,13.0,6.0,6.0,41.0,2.0,2.0,2.0,1.0,1.0,0.0964,2.0,1.0,37.0,,,,,,,,,,,,,,,,,,,,,
193195,Allan Campbell,Midfielder,Luton,102,Scotland,2023-24,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165183,Amari'i Bell,Defender,Luton,102,Jamaica,2023-24,0.0,0.0,0.0,77.0,1.0,0.4462,,2.0,1.0,0.3067,50.0,2.0,2.0,98.0,21.0,,1.0,21.0,161.0,12.0,789.0,,,,,,43.0,1.0,1.0,1722.0,22.0,96.0,1.0,41.0,75.0,599.0,6.0,2.0,40.3787,8.0,5.0,55.0,41.0,,55.0,230.0,16.0,0.0,173.0,18.0,,391.0,98.0,21.0,1.0,17.0,15.0,267.0,40.0,,12.0,20.0,,130.0,21.0,770.0,,4.0,229.0,33.0,10.0,15.0,93.0,22.0,25.0,,,29.0,75.0,1111.0,16.0,3.0,,30.0,362.0,18.0,0.2604,63.0,62.0,,,1.0,1.0,,,,,,,,1.0,,13.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,
60252,Andros Townsend,Midfielder,Luton,102,England,2023-24,0.0,0.0,1.0,76.0,13.0,1.8105,9.0,7.0,,1.8086,21.0,11.0,1.0,49.0,27.0,3.0,9.0,14.0,69.0,52.0,349.0,1.0,0.0,7.0,13.0,8.0,10.0,5.0,17.0,1209.0,10.0,49.0,1.0,34.0,49.0,265.0,21.0,,24.8897,15.0,1.0,9.0,27.0,2.0,66.0,53.0,12.0,1.0,125.0,12.0,1.0,77.0,68.0,27.0,5.0,8.0,14.0,206.0,26.0,1.0,57.0,40.0,2.0,115.0,,337.0,4.0,10.0,203.0,13.0,16.0,,113.0,13.0,5.0,4.0,,15.0,106.0,631.0,7.0,13.0,7.0,10.0,91.0,8.0,1.2179,20.0,18.0,,2.0,1.0,1.0,3.0,,2.0,2.0,1.0,,0.1255,,1.0,,,,,,,,,,,,,,,,,,,,,,
547668,Axel Piesold,Defender,Luton,102,England,2023-24,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156700,Carlton Morris,Forward,Luton,102,England,2023-24,0.0,0.0,4.0,292.0,,1.5568,12.0,31.0,3.0,13.08,15.0,59.0,,230.0,38.0,4.0,28.0,32.0,239.0,14.0,720.0,11.0,5.0,2.0,6.0,1.0,306.0,1.0,,2866.0,172.0,222.0,7.0,52.0,88.0,473.0,144.0,4.0,66.0842,18.0,,53.0,72.0,10.0,120.0,155.0,43.0,2.0,514.0,19.0,6.0,203.0,71.0,38.0,1.0,7.0,20.0,292.0,65.0,2.0,15.0,73.0,10.0,208.0,134.0,705.0,28.0,17.0,397.0,8.0,31.0,5.0,178.0,49.0,1.0,1.0,,8.0,184.0,1193.0,3.0,10.0,2.0,6.0,189.0,26.0,11.4039,9.0,36.0,,9.0,19.0,19.0,,,,,5.0,,,,11.0,,,,,5.0,9.0,5.0,4.0,,,,,,,,,,,,,,
91046,Cauley Woodrow,Forward,Luton,102,England,2023-24,0.0,0.0,2.0,40.0,4.0,0.8641,5.0,4.0,,0.8717,16.0,11.0,,30.0,24.0,1.0,7.0,2.0,35.0,4.0,139.0,1.0,1.0,2.0,22.0,3.0,28.0,3.0,4.0,410.0,17.0,32.0,,13.0,21.0,103.0,21.0,1.0,10.6673,8.0,,13.0,11.0,3.0,23.0,25.0,4.0,0.0,72.0,6.0,0.0,30.0,21.0,24.0,3.0,6.0,1.0,68.0,11.0,1.0,6.0,9.0,3.0,44.0,11.0,137.0,7.0,2.0,60.0,10.0,2.0,1.0,26.0,8.0,1.0,2.0,,1.0,58.0,241.0,2.0,2.0,2.0,3.0,40.0,6.0,1.4217,5.0,13.0,,2.0,,,,,1.0,1.0,,,0.1264,,,,,,,,,,1.0,,,,,,,,,,,,,,
229164,Chiedozie Ogbene,Forward,Luton,102,Ireland,2023-24,0.0,0.0,1.0,104.0,11.0,3.5448,17.0,14.0,9.0,3.9993,17.0,18.0,,99.0,30.0,1.0,4.0,20.0,116.0,68.0,629.0,4.0,3.0,5.0,10.0,,53.0,3.0,11.0,1993.0,24.0,156.0,4.0,58.0,127.0,503.0,96.0,1.0,48.8069,25.0,6.0,31.0,47.0,12.0,80.0,106.0,50.0,0.0,260.0,11.0,1.0,168.0,125.0,30.0,3.0,7.0,44.0,358.0,43.0,1.0,68.0,65.0,12.0,207.0,29.0,618.0,4.0,18.0,334.0,10.0,61.0,3.0,172.0,8.0,7.0,,,10.0,183.0,1183.0,65.0,6.0,5.0,14.0,166.0,6.0,4.2447,17.0,37.0,,8.0,7.0,7.0,,,,,2.0,1.0,,1.0,,15.0,,,,,3.0,,1.0,2.0,1.0,,,,,,,,,,,,
