season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576403,1,13,Leicester_City,Home,120538,93100,Jannik Vestergaard,jannik-vestergaard,D,True,,,,2.0,13.0,15.0,1.0,1.0,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,28.0,,,,,,,,,,6.5,,,,,1.0,,,,,,2.0,13.0,15.0,0,,18.0,,,,
2021-22,9576403,1,13,Leicester_City,Home,221200,111931,Ricardo Pereira,ricardo-pereira,D,False,1.0,,1.0,21.0,20.0,40.0,2.0,,1.0,,,,2.0,,,5.0,4.0,,,,1.0,,,,,2.0,1.0,,90.0,,1.0,,,,,,20.0,,7.3,,,,,1.0,3.0,1.0,,4.0,,31.0,26.0,56.0,0,1.0,83.0,1.0,1.0,2.0,
2021-22,9576403,1,13,Leicester_City,Home,758608,218031,Çağlar Söyüncü,caglar-soyuncu,D,False,,,2.0,9.0,78.0,87.0,1.0,,4.0,,,,,,2.0,5.0,4.0,,,1.0,,,,,,1.0,,,90.0,,1.0,,,,,,11.0,,7.1,,,,,2.0,1.0,,,6.0,,13.0,79.0,92.0,0,2.0,108.0,,2.0,,1.0
2021-22,9576403,1,13,Leicester_City,Home,991584,244619,Luke Thomas,luke-thomas,D,False,1.0,,,20.0,32.0,51.0,,,4.0,,,,5.0,,,8.0,3.0,,,1.0,,,,,,4.0,,,90.0,,2.0,,,,,,16.0,,6.6,,,,,2.0,2.0,3.0,,3.0,,29.0,34.0,60.0,0,2.0,91.0,2.0,1.0,,2.0
2021-22,9576389,2,13,Leicester_City,Away,221200,111931,Ricardo Pereira,ricardo-pereira,D,False,,,,12.0,17.0,29.0,3.0,2.0,3.0,,,,1.0,,1.0,6.0,8.0,,,1.0,,,,,,1.0,,,90.0,,,,,,,,11.0,,6.3,,,1.0,,2.0,1.0,,,,,16.0,21.0,37.0,1,4.0,59.0,1.0,1.0,1.0,2.0
2021-22,9576389,2,13,Leicester_City,Away,329417,166477,Timothy Castagne,timothy-castagne,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576389,2,13,Leicester_City,Away,758608,218031,Çağlar Söyüncü,caglar-soyuncu,D,False,,,4.0,8.0,83.0,91.0,2.0,2.0,5.0,,,,1.0,,,4.0,4.0,1.0,,1.0,,,,,,1.0,,,90.0,,,,,,,,15.0,,5.8,,,,,10.0,,,,12.0,,18.0,88.0,106.0,0,1.0,121.0,,1.0,,1.0
2021-22,9576389,2,13,Leicester_City,Away,991584,244619,Luke Thomas,luke-thomas,D,False,,,2.0,13.0,27.0,40.0,3.0,2.0,1.0,,,,,,2.0,7.0,5.0,,,1.0,,,,,,5.0,,,90.0,,,,,,,,12.0,,6.2,,,,,3.0,1.0,,,3.0,,16.0,31.0,47.0,0,2.0,76.0,,1.0,,2.0
2021-22,9576240,3,13,Leicester_City,Away,221200,111931,Ricardo Pereira,ricardo-pereira,D,False,,,,1.0,1.0,2.0,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,1.0,,11.0,,,,,,,,1.0,,7.2,,,,,,,,,,,2.0,1.0,3.0,0,,4.0,,,,
2021-22,9576240,3,13,Leicester_City,Away,329417,166477,Timothy Castagne,timothy-castagne,D,True,,,1.0,15.0,22.0,37.0,1.0,2.0,4.0,,,,1.0,,,4.0,5.0,,,2.0,,,,,,,,,79.0,,,,,,,,12.0,,6.6,,,,,,,2.0,,3.0,,23.0,25.0,46.0,0,3.0,59.0,,,,2.0
