season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2020-21,8897133,36,13,Leicester_City,Away,923894,444463,Wesley Fofana,wesley-fofana,D,False,,,3.0,18.0,53.0,71.0,,2.0,7.0,,,,,,,2.0,6.0,,,2.0,,,,,2.0,,,90.0,,,,,,,,7.0,,7.0,,,,,2.0,,,,6.0,,23.0,55.0,78.0,0,1.0,89.0,,3.0,,1.0
2020-21,8897133,36,13,Leicester_City,Away,991584,244619,Luke Thomas,luke-thomas,D,False,,,1.0,9.0,7.0,16.0,,1.0,4.0,,,,1.0,,,2.0,4.0,,,,,1.0,,,,,,90.0,1.0,,,,,,,10.0,,7.1,,,,,,1.0,1.0,,1.0,,14.0,7.0,20.0,1,2.0,36.0,2.0,1.0,,
2020-21,8897174,37,13,Leicester_City,Away,1262,37402,Christian Fuchs,christian-fuchs,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8897174,37,13,Leicester_City,Away,20375,15033,Wes Morgan,wes-morgan,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8897174,37,13,Leicester_City,Away,221200,111931,Ricardo Pereira,ricardo-pereira,D,True,1.0,,,12.0,1.0,12.0,1.0,,,1.0,,,1.0,,,4.0,1.0,,,2.0,,,,,,2.0,,23.0,,,,,,,,4.0,,6.8,,,,,,,1.0,,,,14.0,1.0,14.0,0,1.0,27.0,,,,
2020-21,8897174,37,13,Leicester_City,Away,329417,166477,Timothy Castagne,timothy-castagne,D,False,,,,11.0,20.0,31.0,,,4.0,,,,,,,,1.0,,,,,,,,1.0,,,90.0,,1.0,,,,,,13.0,,6.4,,,,,2.0,,,,5.0,,17.0,24.0,41.0,0,,50.0,3.0,1.0,,
2020-21,8897174,37,13,Leicester_City,Away,758608,218031,Çağlar Söyüncü,caglar-soyuncu,D,False,,,2.0,12.0,27.0,39.0,1.0,8.0,5.0,,,,1.0,,2.0,6.0,12.0,,,2.0,,,,,1.0,,,90.0,,,,,,,,11.0,,6.8,,,,,5.0,,1.0,,6.0,,16.0,31.0,46.0,0,4.0,62.0,,,,3.0
2020-21,8897174,37,13,Leicester_City,Away,923894,444463,Wesley Fofana,wesley-fofana,D,False,,,2.0,7.0,32.0,39.0,4.0,1.0,8.0,,,,,,,7.0,8.0,,,3.0,,,,,2.0,,,90.0,,2.0,,1.0,,,,8.0,,6.8,,,,,2.0,1.0,,,3.0,,9.0,37.0,46.0,0,3.0,62.0,1.0,3.0,1.0,3.0
2020-21,8897174,37,13,Leicester_City,Away,991584,244619,Luke Thomas,luke-thomas,D,False,,,,4.0,11.0,15.0,3.0,1.0,6.0,,,,1.0,,,8.0,6.0,,,,,,,,1.0,,,90.0,,,,,,,,20.0,,6.1,,,,,,4.0,1.0,,6.0,,14.0,13.0,26.0,0,3.0,54.0,3.0,2.0,,1.0
2020-21,8897228,38,13,Leicester_City,Home,1262,37402,Christian Fuchs,christian-fuchs,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8897228,38,13,Leicester_City,Home,20375,15033,Wes Morgan,wes-morgan,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8897228,38,13,Leicester_City,Home,221200,111931,Ricardo Pereira,ricardo-pereira,D,True,,,1.0,5.0,5.0,10.0,,,2.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,28.0,,,,,,,,7.0,,5.9,,,,,,,,,3.0,,10.0,5.0,15.0,0,1.0,21.0,2.0,,,1.0
2020-21,8897228,38,13,Leicester_City,Home,329417,166477,Timothy Castagne,timothy-castagne,D,False,,,,10.0,30.0,40.0,2.0,,8.0,,,,1.0,,,3.0,1.0,,,,,,,,,,,90.0,,2.0,,,,,,10.0,,6.1,,,,,2.0,,,,2.0,,14.0,34.0,48.0,0,1.0,63.0,1.0,,,1.0
2020-21,8897228,38,13,Leicester_City,Home,758608,218031,Çağlar Söyüncü,caglar-soyuncu,D,False,,,2.0,10.0,22.0,32.0,3.0,3.0,5.0,,,,2.0,,1.0,7.0,8.0,,,1.0,,,,,3.0,,,90.0,1.0,,,,,,,13.0,,6.4,,,,,5.0,2.0,2.0,,7.0,,15.0,28.0,41.0,1,3.0,62.0,,,2.0,2.0
2020-21,8897228,38,13,Leicester_City,Home,923894,444463,Wesley Fofana,wesley-fofana,D,False,,,2.0,5.0,11.0,16.0,,,4.0,,,,,,,,,,,,,,,,1.0,,,21.0,,,,,,,,1.0,,6.7,,,,,,,,,3.0,,5.0,12.0,17.0,0,,18.0,,,,
2020-21,8897228,38,13,Leicester_City,Home,991584,244619,Luke Thomas,luke-thomas,D,False,1.0,,2.0,17.0,11.0,27.0,2.0,2.0,6.0,,,,2.0,,2.0,7.0,10.0,,,,,,,,6.0,,,90.0,,,,,,,,21.0,,6.6,,,1.0,,,2.0,3.0,,5.0,,25.0,17.0,39.0,1,6.0,81.0,1.0,1.0,1.0,5.0
