season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest
2015-16,6767932,1,13,Leicester_City,Home,1203,12413,Robert Huth,robert-huth,D,False,,,1.0,3.0,13.0,16.0,2.0,2.0,2.0,,,,,,,2.0,4.0,4.0,,1.0,,,,,,,,90.0,,,,,,,,6.1,,,,,7.0,,,,1.0,,6.0,14.0,20.0,0,1.0,31.0,,1.0,
2015-16,6767932,1,13,Leicester_City,Home,1262,37402,Christian Fuchs,christian-fuchs,D,True,,,,,6.0,6.0,,,2.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,13.0,,,,,,,,6.6,,,,,,,1.0,,,,1.0,7.0,7.0,0,1.0,11.0,,,
2015-16,6767932,1,13,Leicester_City,Home,20375,15033,Wes Morgan,wes-morgan,D,False,,,1.0,7.0,18.0,25.0,4.0,2.0,4.0,,,1.0,,,,,6.0,3.0,,,3.0,,,,,2.0,,90.0,,,,,,,,6.6,,,,,4.0,,,,3.0,,11.0,20.0,31.0,1,1.0,41.0,,,
2015-16,6767932,1,13,Leicester_City,Home,21515,41321,Yohan Benalouane,yohan-benalouane,D,True,,,,1.0,,1.0,1.0,1.0,,,,,,,,,2.0,1.0,,,1.0,,,,,2.0,,15.0,,,,,,,,6.7,,,,,2.0,,,,1.0,,2.0,1.0,3.0,0,,9.0,,,
2015-16,6767932,1,13,Leicester_City,Home,30420,46695,Ritchie De Laet,ritchie-de-laet,D,False,,,2.0,8.0,7.0,15.0,1.0,,1.0,,,,,,,,1.0,5.0,,,,,,,,1.0,,75.0,,1.0,,,,,,6.8,,,,,2.0,,1.0,,7.0,,17.0,7.0,23.0,0,5.0,39.0,,,
2015-16,6767947,2,13,Leicester_City,Away,1203,12413,Robert Huth,robert-huth,D,False,,,,2.0,9.0,11.0,,2.0,2.0,,,,,,,,,3.0,,,,,,,,1.0,,90.0,1.0,1.0,,,,,,7.1,,,,,14.0,,,,2.0,,4.0,10.0,14.0,1,1.0,33.0,1.0,,
2015-16,6767947,2,13,Leicester_City,Away,1262,37402,Christian Fuchs,christian-fuchs,D,True,,,,,2.0,2.0,2.0,,1.0,,,,,,,,2.0,,,,,,,,,,,8.0,,,,,,,,6.5,,,,,1.0,,,,,,,2.0,2.0,0,,7.0,1.0,,
2015-16,6767947,2,13,Leicester_City,Away,20375,15033,Wes Morgan,wes-morgan,D,False,,,,2.0,8.0,10.0,2.0,3.0,2.0,,,,,,,,2.0,3.0,,,,,,,,3.0,,90.0,,,,,,,,6.8,,,,,8.0,,,,,,3.0,9.0,12.0,0,,25.0,,,
2015-16,6767947,2,13,Leicester_City,Away,21515,41321,Yohan Benalouane,yohan-benalouane,D,True,,,,,1.0,1.0,,1.0,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,1.0,,24.0,,,,,,,,6.5,,,,,,,,,3.0,,3.0,2.0,5.0,0,,7.0,,,
2015-16,6767947,2,13,Leicester_City,Away,30420,46695,Ritchie De Laet,ritchie-de-laet,D,False,,,3.0,6.0,7.0,13.0,,2.0,6.0,,,,3.0,,,,4.0,5.0,,,1.0,,,,,1.0,,66.0,,,,,,,,6.5,,,,,4.0,,1.0,,7.0,,14.0,8.0,21.0,0,3.0,42.0,,,
