playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,setPiecesGoals,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,penaltyGoalsConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,redCards2ndYellow,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulLaunches,leftFootGoals,blocks,clearancesOffTheLine,secondGoalAssists,penaltiesConceded,throwInsToOppositionPlayer,lastPlayerTackle,penaltiesTaken,headedGoals,penaltyGoals,ownGoalScored,foulWonPenalty,otherGoals,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox
39765,Adel Taarabt,Midfielder,QPR,52,Morocco,2011-12,159.0,8.0,1.0,32.0,31.0,12.0,24.0,56.0,18.0,162.0,27.0,1.0,3.0,72.0,24.0,182.0,41.0,1011.0,2.0,1.0,0.0,3.0,93.0,12.0,3.0,37.0,2015.0,4.0,9.0,115.0,8.0,112.0,770.0,27.0,45.0,3.0,57.0,2.0,31.0,150.0,328.0,50.0,2.0,274.0,2.0,265.0,152.0,27.0,2.0,4.0,40.0,624.0,23.0,1.0,111.0,117.0,262.0,3.0,0.0,979.0,25.0,29.0,470.0,20.0,38.0,13.0,176.0,19.0,35.0,50.0,59.0,242.0,1628.0,20.0,11.0,3.0,3.0,242.0,3.0,2.0,20.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
67731,Alejandro Faurlin,Midfielder,QPR,52,Argentina,2011-12,108.0,2.0,0.0,10.0,7.0,1.0,90.0,19.0,6.0,169.0,20.0,,,8.0,20.0,214.0,9.0,1147.0,1.0,,1.0,,7.0,52.0,4.0,6.0,1800.0,,24.0,156.0,6.0,128.0,810.0,3.0,9.0,2.0,28.0,38.0,35.0,84.0,298.0,29.0,0.0,264.0,0.0,434.0,126.0,20.0,,22.0,5.0,614.0,29.0,,15.0,31.0,212.0,28.0,0.0,1142.0,12.0,6.0,295.0,68.0,9.0,4.0,329.0,24.0,46.0,4.0,123.0,86.0,1512.0,1.0,,,17.0,325.0,,3.0,45.0,40.0,10.0,1.0,7.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
49281,Angelo Balanta,Forward,QPR,52,Colombia,2011-12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13898,Anton Ferdinand,Defender,QPR,52,England,2011-12,87.0,,0.0,2.0,,,47.0,3.0,,160.0,34.0,,2.0,,34.0,236.0,1.0,805.0,,,,,,95.0,7.0,,3020.0,,47.0,118.0,7.0,70.0,480.0,,10.0,3.0,3.0,339.0,55.0,40.0,105.0,18.0,0.0,205.0,,482.0,94.0,34.0,,11.0,1.0,208.0,48.0,,1.0,7.0,110.0,48.0,0.0,770.0,3.0,1.0,262.0,36.0,5.0,,146.0,24.0,55.0,,89.0,72.0,1362.0,4.0,1.0,,110.0,361.0,,2.0,76.0,57.0,55.0,,26.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
20488,Armand Traore,Defender,QPR,52,Senegal,2011-12,81.0,15.0,1.0,2.0,2.0,6.0,32.0,5.0,,84.0,24.0,,3.0,6.0,19.0,106.0,49.0,677.0,,1.0,,5.0,,27.0,1.0,15.0,1704.0,,15.0,83.0,6.0,71.0,547.0,,19.0,2.0,17.0,70.0,37.0,66.0,321.0,18.0,0.0,164.0,,218.0,101.0,24.0,,13.0,19.0,310.0,31.0,1.0,50.0,42.0,137.0,12.0,0.0,668.0,3.0,18.0,255.0,19.0,21.0,,37.0,14.0,36.0,,24.0,101.0,1186.0,124.0,6.0,,18.0,276.0,2.0,1.0,22.0,43.0,8.0,,4.0,,,1.0,25.0,1.0,,,,,,,,,,,,,,,,,,,
4570,Bobby Zamora,Forward,QPR,52,England,2011-12,162.0,7.0,0.0,11.0,19.0,1.0,13.0,41.0,7.0,217.0,29.0,,5.0,146.0,28.0,234.0,34.0,897.0,7.0,24.0,0.0,1.0,1.0,77.0,2.0,7.0,2377.0,28.0,47.0,87.0,10.0,57.0,650.0,,139.0,,58.0,42.0,41.0,115.0,210.0,34.0,2.0,249.0,7.0,151.0,66.0,29.0,3.0,5.0,8.0,515.0,31.0,,34.0,67.0,172.0,30.0,0.0,892.0,22.0,14.0,404.0,8.0,10.0,3.0,236.0,38.0,14.0,,13.0,300.0,1275.0,4.0,12.0,4.0,5.0,155.0,3.0,4.0,17.0,31.0,,3.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10589,Brian Murphy,Goalkeeper,QPR,52,Ireland,2011-12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91128,Bruno Andrade,Forward,QPR,52,Portugal,2011-12,,,0.0,,,,,,,,1.0,,,1.0,,,1.0,4.0,,,,1.0,,,,,10.0,,,,,,4.0,,1.0,,,,,,2.0,,0.0,,,,,1.0,,,,2.0,,,1.0,,,,0.0,4.0,,,1.0,,,,,,,,,2.0,5.0,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53238,Bruno Perone,Defender,QPR,52,Brazil,2011-12,8.0,,0.0,,,,1.0,2.0,,3.0,1.0,,,,1.0,6.0,,27.0,,,,,,3.0,,,90.0,,1.0,3.0,2.0,1.0,20.0,,2.0,,1.0,4.0,2.0,7.0,6.0,,0.0,11.0,,16.0,3.0,1.0,,,,8.0,,,,,8.0,2.0,0.0,27.0,2.0,,7.0,1.0,,,3.0,3.0,1.0,,1.0,2.0,37.0,,,1.0,3.0,13.0,,0.0,3.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1216,Clint Hill,Defender,QPR,52,England,2011-12,47.0,2.0,1.0,,3.0,,29.0,11.0,,91.0,22.0,,2.0,,19.0,133.0,9.0,478.0,,1.0,,3.0,,37.0,4.0,2.0,1704.0,,11.0,72.0,8.0,46.0,306.0,,18.0,1.0,10.0,175.0,29.0,36.0,108.0,17.0,0.0,119.0,,296.0,37.0,22.0,,4.0,1.0,173.0,21.0,,9.0,3.0,82.0,26.0,1.0,465.0,8.0,1.0,179.0,25.0,,,40.0,29.0,25.0,,39.0,34.0,869.0,49.0,1.0,1.0,38.0,174.0,2.0,4.0,42.0,20.0,17.0,,20.0,1.0,,,24.0,,,,,,,,,,,,,,,,,,,,
