matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenPost,attPenTarget,attPostHigh,attPostLeft,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2561897,1,2025-08-16 15:00:00,36,Brighton,Home,241.0,21.0,2.0,4.0,2.0,1.0,,137.0,8.0,,3.0,3.0,9.0,28.0,374.0,,,7.0,10.0,14.0,5.0,2.0,1.0,1.0,0.0,,,,,,,,,,1.0,7.0,1.0,,,,,1.0,9.0,5.0,2.0,6.0,4.0,76.0,42.0,1.0,1.0,1.0,,10.0,1.0,5.0,,,4.0,3.0,4.0,0.0,8.0,1.0,44.0,51.0,,27.0,12.0,,,0.610632,1.4766,,1.0209,0.7315,47.0,16.0,15.0,,,2.0,,,123.0,,,,,,,8.0,0.0,1.0,,12.0,,9.0,9.0,1.0,0.0,3.0,108.0,55.0,39.0,3.0,1.0,3.0,4.0,4.0,401.0,1.0,1.0,0.0,43.0,41.0,21.0,,,,,1.0,104.0,104.0,5.0,13.0,19.0,49.8,,2.0,,,13.0,0.0,120.0,1.0,,1.0,1.0,1.0,5.0,,0.0,5.0,66.0,351.0,10.0,7.0,257.0,27.0,27.0,11.0,4.0,11.0,7.0,110291.31,1.0,91.0,5.0,181.0,1.0,,18.0,11.0,50.0,3.0,427.0,1.0,0.0,10.0,19.0,1.0,10.0,3.0,604.0,25.0,22.0,0.0,4.0,4.0,9.0,0.0
2561910,2,2025-08-24 14:00:00,36,Brighton,Away,262.0,13.0,,3.0,3.0,2.0,,152.0,8.0,,9.0,1.0,11.0,12.0,411.0,1.0,,26.0,31.0,16.0,10.0,,,,0.0,,,,,,,,,,1.0,12.0,0.0,,1.0,1.0,,,6.0,6.0,5.0,7.0,6.0,59.0,49.0,1.0,3.0,,2.0,7.0,4.0,9.0,,,2.0,5.0,5.0,0.0,10.0,1.0,70.0,47.0,2.0,24.0,12.0,,,0.869141,2.4331,,1.5401,1.2097,58.0,15.0,6.0,,,1.0,,,155.0,,,,,,,9.0,0.0,,,12.0,2.0,5.0,5.0,1.0,0.0,9.0,142.0,70.0,32.0,2.0,0.0,4.0,6.0,4.0,471.0,1.0,1.0,0.0,42.0,49.0,16.0,,,,,1.0,127.0,127.0,4.0,19.0,15.0,57.6,1.0,,,,11.0,0.0,134.0,,1.0,1.0,2.0,,5.0,1.0,0.0,4.0,81.0,395.0,7.0,10.0,278.0,33.0,24.0,13.0,1.0,11.0,10.0,109124.16,,120.0,4.0,223.0,,,18.0,11.0,44.0,6.0,490.0,2.0,0.0,13.0,17.0,,27.0,3.0,676.0,29.0,17.0,0.0,8.0,2.0,8.0,0.0
2561916,3,2025-08-31 14:00:00,36,Brighton,Home,159.0,12.0,1.0,3.0,2.0,,2.0,79.0,4.0,1.0,4.0,1.0,4.0,14.0,235.0,,1.0,9.0,14.0,9.0,7.0,1.0,2.0,3.0,0.0,,,,,,,,,,,8.0,1.0,,,,,1.0,8.0,8.0,4.0,10.0,2.0,59.0,51.0,1.0,1.0,2.0,1.0,14.0,3.0,14.0,,,3.0,1.0,1.0,0.0,9.0,1.0,58.0,47.0,1.0,10.0,4.0,,1.0,0.70066,2.2975,,3.0718,1.0956,46.0,16.0,13.0,,,5.0,4.0,,117.0,1.0,,1.0,1.0,,,11.0,1.0,1.0,1.0,4.0,,8.0,8.0,,0.0,4.0,63.0,52.0,17.0,2.0,0.0,1.0,8.0,7.0,291.0,1.0,,0.0,36.0,36.0,20.0,,,,,1.0,114.0,114.0,5.0,17.0,21.0,36.3,,,3.0,,22.0,0.0,76.0,2.0,,2.0,,3.0,2.0,,2.0,5.0,41.0,220.0,14.0,9.0,178.0,33.0,10.0,14.0,3.0,8.0,5.0,110350.19,3.0,82.0,2.0,145.0,1.0,1.0,10.0,6.0,49.0,1.0,315.0,,0.0,12.0,17.0,3.0,12.0,2.0,475.0,22.0,10.0,0.0,8.0,3.0,13.0,0.0
2561925,4,2025-09-13 15:00:00,36,Brighton,Away,154.0,15.0,1.0,3.0,2.0,2.0,,142.0,6.0,,4.0,10.0,4.0,24.0,293.0,,,14.0,17.0,9.0,3.0,,1.0,,0.0,,,,,,,,,,,4.0,0.0,,,,,1.0,6.0,7.0,6.0,5.0,1.0,58.0,50.0,2.0,1.0,1.0,2.0,12.0,2.0,6.0,,,4.0,9.0,4.0,0.0,9.0,,51.0,55.0,2.0,35.0,20.0,,,0.375697,0.6229,,1.2767,1.4936,56.0,10.0,16.0,,,2.0,,,144.0,1.0,,1.0,1.0,,,6.0,1.0,,,20.0,,6.0,6.0,1.0,0.0,4.0,67.0,62.0,37.0,4.0,1.0,,4.0,2.0,348.0,4.0,2.0,0.0,48.0,46.0,27.0,1.0,1.0,1.0,,,141.0,141.0,3.0,24.0,17.0,48.7,,,,1.0,26.0,0.0,105.0,2.0,1.0,3.0,,,2.0,1.0,0.0,5.0,67.0,271.0,12.0,4.0,171.0,28.0,35.0,19.0,4.0,17.0,13.0,110543.41,,109.0,10.0,220.0,,,26.0,5.0,52.0,,374.0,,0.0,6.0,20.0,,20.0,4.0,590.0,24.0,20.0,0.0,10.0,4.0,16.0,0.0
2561937,5,2025-09-20 15:00:00,36,Brighton,Home,129.0,17.0,,2.0,2.0,3.0,,109.0,12.0,,3.0,5.0,4.0,22.0,236.0,,,10.0,12.0,13.0,8.0,,1.0,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,9.0,0.0,,,,,,7.0,10.0,2.0,5.0,7.0,46.0,52.0,1.0,,1.0,3.0,6.0,1.0,13.0,,,2.0,3.0,3.0,0.0,16.0,2.0,61.0,57.0,3.0,40.0,21.0,,,0.2983,1.3197,0.0323,1.2682,1.55,51.0,10.0,13.0,,,1.0,,1.0,118.0,1.0,,1.0,1.0,,,14.0,2.0,,,21.0,,5.0,5.0,1.0,0.0,3.0,67.0,48.0,26.0,10.0,2.0,5.0,4.0,4.0,277.0,2.0,2.0,1.0,27.0,29.0,14.0,,,,,,127.0,127.0,6.0,22.0,17.0,36.1,,2.0,,1.0,13.0,0.0,76.0,2.0,,2.0,1.0,1.0,7.0,,0.0,5.0,55.0,211.0,6.0,9.0,152.0,31.0,40.0,16.0,2.0,8.0,6.0,109305.4,1.0,86.0,4.0,163.0,,,26.0,7.0,57.0,,307.0,,0.0,12.0,25.0,,11.0,1.0,512.0,17.0,21.0,0.0,6.0,2.0,17.0,0.0
2561947,6,2025-09-27 15:00:00,36,Brighton,Away,126.0,11.0,,5.0,5.0,2.0,1.0,145.0,4.0,1.0,5.0,1.0,4.0,16.0,266.0,,2.0,14.0,8.0,11.0,3.0,1.0,1.0,1.0,0.0,2.0,,,2.0,,,,,,,8.0,0.0,,,,,1.0,11.0,7.0,6.0,8.0,4.0,51.0,42.0,3.0,1.0,3.0,2.0,5.0,2.0,10.0,,,7.0,7.0,3.0,0.0,10.0,2.0,54.0,48.0,2.0,26.0,12.0,,,1.65372,2.2845,0.1513,1.7729,2.1236,51.0,16.0,9.0,,,5.0,2.0,2.0,105.0,3.0,,3.0,2.0,1.0,,5.0,2.0,,,12.0,,12.0,12.0,1.0,0.0,5.0,81.0,32.0,21.0,5.0,0.0,4.0,3.0,3.0,296.0,6.0,4.0,0.0,40.0,41.0,23.0,,,,,,103.0,103.0,9.0,14.0,14.0,40.5,,,3.0,,16.0,0.0,79.0,,2.0,2.0,,1.0,7.0,,3.0,5.0,92.0,248.0,5.0,7.0,140.0,18.0,26.0,18.0,1.0,13.0,12.0,106095.52,1.0,121.0,4.0,189.0,,1.0,8.0,4.0,29.0,2.0,316.0,1.0,0.0,12.0,21.0,2.0,19.0,5.0,516.0,27.0,13.0,0.0,7.0,7.0,13.0,0.0
2561964,7,2025-10-05 14:00:00,36,Brighton,Away,197.0,16.0,2.0,13.0,11.0,3.0,1.0,243.0,3.0,,5.0,1.0,7.0,26.0,427.0,,,19.0,15.0,12.0,11.0,1.0,3.0,1.0,0.0,1.0,,1.0,2.0,1.0,1.0,,1.0,,,10.0,0.0,,,,,1.0,4.0,5.0,2.0,10.0,7.0,78.0,49.0,1.0,2.0,,1.0,10.0,5.0,6.0,,,8.0,13.0,10.0,1.0,6.0,1.0,56.0,52.0,1.0,16.0,7.0,1.0,,0.66782,0.9208,0.097,1.4592,0.668,66.0,9.0,13.0,,,3.0,2.0,2.0,146.0,1.0,,1.0,1.0,1.0,,3.0,0.0,1.0,,7.0,,9.0,9.0,,0.0,5.0,128.0,42.0,29.0,2.0,0.0,5.0,8.0,6.0,475.0,,5.0,1.0,45.0,70.0,41.0,,,,,,137.0,137.0,,25.0,18.0,58.5,,,1.0,,13.0,0.0,140.0,2.0,1.0,3.0,,1.0,6.0,,0.0,4.0,105.0,410.0,10.0,13.0,222.0,32.0,16.0,28.0,6.0,31.0,25.0,114375.21,1.0,132.0,5.0,301.0,1.0,,11.0,7.0,44.0,3.0,492.0,,0.0,17.0,19.0,1.0,23.0,4.0,725.0,28.0,16.0,0.0,8.0,8.0,10.0,0.0
2561965,8,2025-10-18 15:00:00,36,Brighton,Home,186.0,12.0,2.0,4.0,2.0,,,159.0,11.0,,3.0,2.0,6.0,16.0,341.0,,2.0,11.0,13.0,16.0,8.0,1.0,2.0,1.0,0.0,,,,,,1.0,,,,1.0,11.0,0.0,,,,,,6.0,10.0,6.0,6.0,7.0,78.0,50.0,1.0,,1.0,1.0,10.0,5.0,10.0,,,8.0,10.0,2.0,0.0,11.0,1.0,49.0,57.0,1.0,30.0,14.0,,,1.15192,0.9144,,1.4405,1.0555,48.0,9.0,9.0,2.0,,,,,141.0,1.0,,1.0,1.0,,,12.0,2.0,,,14.0,,5.0,5.0,,0.0,3.0,94.0,71.0,40.0,4.0,0.0,2.0,8.0,5.0,394.0,5.0,,0.0,46.0,48.0,26.0,,,,,,130.0,130.0,7.0,6.0,27.0,45.6,,,,,21.0,0.0,108.0,2.0,,2.0,,1.0,3.0,1.0,0.0,5.0,66.0,320.0,10.0,10.0,198.0,26.0,30.0,17.0,6.0,18.0,12.0,113324.87,1.0,104.0,3.0,241.0,,,22.0,7.0,45.0,3.0,421.0,1.0,0.0,13.0,21.0,3.0,15.0,0.0,614.0,30.0,12.0,0.0,11.0,8.0,14.0,0.0
2561982,9,2025-10-25 17:30:00,36,Brighton,Away,301.0,15.0,2.0,5.0,3.0,4.0,,189.0,7.0,,3.0,1.0,14.0,20.0,485.0,1.0,1.0,13.0,15.0,18.0,11.0,1.0,3.0,,1.0,,,,1.0,,1.0,,,,,11.0,0.0,,,,,2.0,8.0,7.0,6.0,10.0,7.0,89.0,66.0,1.0,,1.0,,4.0,4.0,13.0,,,6.0,2.0,8.0,0.0,15.0,3.0,61.0,57.0,,18.0,9.0,,2.0,0.79845,1.1195,0.127,1.7011,3.0443,45.0,13.0,4.0,1.0,,2.0,1.0,1.0,143.0,1.0,1.0,1.0,,1.0,,7.0,0.0,1.0,1.0,9.0,,12.0,12.0,2.0,0.0,3.0,169.0,61.0,39.0,1.0,0.0,7.0,6.0,5.0,552.0,1.0,2.0,0.0,37.0,47.0,29.0,,,,,,139.0,139.0,5.0,25.0,30.0,56.4,,,,,18.0,0.0,167.0,3.0,2.0,5.0,,,8.0,1.0,1.0,5.0,72.0,470.0,4.0,13.0,332.0,26.0,18.0,23.0,6.0,17.0,11.0,112654.33,,102.0,5.0,253.0,1.0,,9.0,16.0,44.0,2.0,568.0,1.0,0.0,17.0,18.0,1.0,14.0,2.0,761.0,20.0,18.0,0.0,17.0,6.0,12.0,0.0
2561985,10,2025-11-01 15:00:00,36,Brighton,Home,281.0,15.0,2.0,2.0,,2.0,,152.0,4.0,1.0,4.0,5.0,11.0,19.0,431.0,2.0,,21.0,10.0,10.0,7.0,,1.0,1.0,0.0,,,,,,,,,,,12.0,0.0,,,,,,8.0,3.0,2.0,8.0,6.0,77.0,41.0,2.0,,3.0,1.0,5.0,2.0,11.0,,,4.0,1.0,4.0,0.0,9.0,,43.0,49.0,1.0,14.0,9.0,,,1.11592,3.0684,,4.4765,0.8837,50.0,10.0,7.0,1.0,,1.0,1.0,,132.0,2.0,,1.0,2.0,,,6.0,3.0,1.0,,9.0,,3.0,3.0,,0.0,4.0,125.0,60.0,41.0,7.0,2.0,4.0,5.0,7.0,477.0,1.0,,0.0,34.0,41.0,17.0,,,,,,104.0,104.0,6.0,12.0,17.0,49.8,,,,,8.0,0.0,157.0,2.0,,2.0,,1.0,5.0,,0.0,5.0,65.0,419.0,5.0,9.0,291.0,27.0,14.0,12.0,4.0,10.0,6.0,111594.38,1.0,97.0,4.0,210.0,1.0,1.0,13.0,12.0,39.0,3.0,491.0,2.0,0.0,14.0,24.0,,22.0,0.0,658.0,26.0,20.0,0.0,9.0,4.0,15.0,0.0
