matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgRight,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
1059708,1,2019-08-10 15:00:00,36,Brighton,Away,213.0,29.0,1.0,2.0,1.0,1.0,,136.0,3.0,,8.0,2.0,7.0,42.0,347.0,,1.0,13.0,14.0,19.0,2.0,,,,,,,,,,,,,,5.0,,,,,,7.0,4.0,7.0,3.0,2.0,78.0,67.0,2.0,,2.0,1.0,21.0,,9.0,,1.0,2.0,8.0,2.0,,6.0,2.0,46.0,62.0,1.0,24.0,11.0,,1.0,40.0,11.0,14.0,,,1.0,,,142.0,2.0,,2.0,2.0,,,8.0,2.0,,,11.0,,11.0,11.0,,8.0,106.0,66.0,34.0,5.0,,1.0,3.0,3.0,418.0,4.0,1.0,,52.0,68.0,21.0,,,,,146.0,146.0,1.0,34.0,21.0,51.8,,,,,21.0,0.0,116.0,2.0,1.0,3.0,,2.0,,2.0,,3.0,60.0,332.0,7.0,4.0,249.0,53.0,24.0,12.0,2.0,12.0,10.0,,96.0,4.0,205.0,,,17.0,8.0,77.0,3.0,442.0,,0.0,5.0,24.0,1.0,19.0,1.0,637.0,12.0,19.0,6.0,2.0,14.0,0.0
1059714,2,2019-08-17 15:00:00,36,Brighton,Home,213.0,26.0,2.0,11.0,9.0,2.0,1.0,193.0,7.0,,6.0,6.0,5.0,34.0,395.0,1.0,,27.0,14.0,31.0,11.0,2.0,3.0,,,,,,,,,,,,12.0,,,,,1.0,9.0,4.0,4.0,12.0,4.0,68.0,66.0,5.0,5.0,,1.0,18.0,3.0,19.0,,1.0,8.0,7.0,10.0,,12.0,1.0,66.0,67.0,1.0,16.0,11.0,,,61.0,11.0,10.0,1.0,,1.0,1.0,,184.0,,,,,,,7.0,1.0,,,11.0,,12.0,12.0,2.0,6.0,119.0,68.0,40.0,6.0,,9.0,4.0,4.0,475.0,1.0,,,49.0,91.0,31.0,,,,,160.0,160.0,5.0,22.0,33.0,57.3,,,1.0,,18.0,0.0,126.0,2.0,,2.0,,,,9.0,,3.0,93.0,375.0,10.0,13.0,243.0,44.0,16.0,16.0,7.0,25.0,18.0,,138.0,8.0,279.0,,,22.0,6.0,62.0,2.0,497.0,1.0,0.0,16.0,20.0,,30.0,0.0,717.0,26.0,17.0,6.0,8.0,9.0,0.0
1059724,3,2019-08-24 15:00:00,36,Brighton,Home,163.0,22.0,4.0,5.0,1.0,1.0,,138.0,4.0,,7.0,3.0,2.0,23.0,296.0,,1.0,21.0,15.0,24.0,8.0,4.0,4.0,,,,,,,,,,,,7.0,,,,1.0,1.0,6.0,6.0,6.0,9.0,3.0,53.0,71.0,1.0,1.0,,,18.0,3.0,11.0,,2.0,8.0,6.0,5.0,,10.0,1.0,53.0,61.0,,10.0,4.0,,,47.0,9.0,10.0,,,2.0,,,155.0,,,,,,,5.0,,,,4.0,2.0,15.0,15.0,3.0,7.0,88.0,76.0,31.0,5.0,,6.0,6.0,3.0,375.0,3.0,3.0,,73.0,29.0,29.0,,,,,160.0,160.0,4.0,29.0,29.0,50.7,1.0,,,,18.0,0.0,98.0,1.0,1.0,2.0,,1.0,,6.0,2.0,3.0,74.0,280.0,4.0,12.0,192.0,52.0,10.0,20.0,7.0,18.0,11.0,,112.0,2.0,220.0,,,19.0,3.0,63.0,1.0,394.0,,1.0,12.0,16.0,1.0,30.0,1.0,596.0,33.0,17.0,11.0,8.0,10.0,0.0
1059738,4,2019-08-31 15:00:00,36,Brighton,Away,334.0,17.0,,2.0,2.0,,,122.0,12.0,,6.0,,4.0,21.0,454.0,,,10.0,6.0,6.0,4.0,,,1.0,,,,,,,,,,,4.0,,,,,,5.0,10.0,5.0,5.0,1.0,83.0,52.0,2.0,2.0,,2.0,10.0,3.0,6.0,,,1.0,7.0,1.0,,11.0,,33.0,41.0,2.0,14.0,5.0,,,37.0,6.0,9.0,,,,1.0,,140.0,,,,,,,12.0,,,,5.0,,8.0,8.0,2.0,6.0,153.0,42.0,24.0,8.0,,1.0,3.0,2.0,497.0,,,,44.0,43.0,23.0,,,,,113.0,113.0,5.0,22.0,19.0,46.5,,,,1.0,10.0,0.0,147.0,2.0,,2.0,,,1.0,1.0,,3.0,59.0,428.0,4.0,4.0,365.0,43.0,14.0,12.0,1.0,10.0,9.0,1.0,86.0,,168.0,,,5.0,5.0,44.0,3.0,523.0,1.0,0.0,6.0,18.0,1.0,15.0,1.0,678.0,18.0,13.0,8.0,1.0,8.0,0.0
1059744,5,2019-09-14 15:00:00,36,Brighton,Home,176.0,21.0,,1.0,1.0,1.0,,197.0,5.0,,1.0,1.0,4.0,23.0,372.0,,1.0,28.0,25.0,27.0,9.0,1.0,3.0,3.0,,,,,,,,,,,11.0,,,,,,6.0,5.0,2.0,11.0,3.0,59.0,67.0,1.0,2.0,,2.0,21.0,2.0,5.0,,,3.0,7.0,6.0,,10.0,,59.0,60.0,2.0,20.0,15.0,,,64.0,13.0,7.0,1.0,1.0,,1.0,,195.0,1.0,,1.0,1.0,,,8.0,1.0,1.0,,15.0,,12.0,12.0,1.0,1.0,117.0,82.0,37.0,6.0,,5.0,6.0,5.0,469.0,,3.0,,99.0,67.0,35.0,,,,,182.0,182.0,8.0,22.0,31.0,62.5,,2.0,,,21.0,0.0,120.0,,,,,2.0,3.0,7.0,,3.0,110.0,359.0,6.0,11.0,209.0,50.0,20.0,13.0,2.0,16.0,14.0,3.0,163.0,5.0,298.0,1.0,,11.0,5.0,62.0,2.0,491.0,2.0,0.0,14.0,21.0,2.0,33.0,0.0,693.0,31.0,20.0,6.0,3.0,13.0,0.0
1059759,6,2019-09-21 17:30:00,36,Brighton,Away,303.0,26.0,1.0,3.0,2.0,3.0,,333.0,8.0,1.0,14.0,3.0,5.0,34.0,633.0,,1.0,20.0,19.0,18.0,14.0,1.0,1.0,,,,,,,,,,,1.0,15.0,,,,,,4.0,7.0,4.0,9.0,7.0,110.0,65.0,1.0,1.0,,2.0,24.0,7.0,11.0,,,3.0,9.0,4.0,,12.0,2.0,56.0,50.0,2.0,14.0,3.0,,,69.0,8.0,12.0,,,2.0,1.0,,217.0,,,,,,,8.0,,2.0,,3.0,1.0,11.0,11.0,1.0,14.0,190.0,80.0,54.0,5.0,,6.0,9.0,3.0,695.0,2.0,2.0,,111.0,99.0,28.0,,,,,139.0,139.0,4.0,17.0,27.0,71.3,,,,,24.0,0.0,201.0,2.0,2.0,4.0,,,,6.0,2.0,3.0,122.0,612.0,10.0,15.0,325.0,42.0,14.0,12.0,3.0,17.0,14.0,,160.0,4.0,410.0,2.0,1.0,11.0,5.0,55.0,3.0,718.0,,0.0,16.0,14.0,1.0,21.0,1.0,922.0,28.0,16.0,6.0,3.0,7.0,0.0
1059764,7,2019-09-28 15:00:00,36,Brighton,Away,295.0,30.0,2.0,3.0,1.0,2.0,,123.0,5.0,,10.0,1.0,5.0,26.0,415.0,,,16.0,9.0,10.0,5.0,2.0,2.0,,,,,,,,,,,,6.0,,,1.0,,,7.0,16.0,8.0,5.0,3.0,79.0,65.0,1.0,1.0,,,8.0,3.0,6.0,,,2.0,6.0,4.0,,12.0,1.0,44.0,42.0,,25.0,8.0,,2.0,40.0,13.0,5.0,,,1.0,1.0,,159.0,,,,,,,5.0,,1.0,1.0,8.0,1.0,14.0,14.0,1.0,10.0,129.0,63.0,37.0,5.0,,4.0,3.0,1.0,488.0,10.0,3.0,,52.0,51.0,22.0,1.0,1.0,1.0,,139.0,139.0,2.0,31.0,21.0,47.4,1.0,,,1.0,8.0,0.0,135.0,7.0,1.0,8.0,,,,4.0,,3.0,62.0,402.0,2.0,7.0,328.0,58.0,25.0,13.0,2.0,13.0,11.0,,93.0,3.0,187.0,1.0,,7.0,5.0,57.0,2.0,502.0,,0.0,8.0,21.0,2.0,16.0,3.0,706.0,14.0,19.0,7.0,2.0,12.0,0.0
1059773,8,2019-10-05 12:30:00,36,Brighton,Home,173.0,32.0,2.0,4.0,3.0,,,236.0,2.0,1.0,9.0,4.0,4.0,32.0,405.0,,1.0,20.0,10.0,13.0,8.0,3.0,2.0,,,,1.0,,1.0,,,,1.0,,13.0,,,1.0,,1.0,9.0,3.0,5.0,10.0,7.0,82.0,78.0,,,2.0,,25.0,7.0,12.0,,,4.0,6.0,6.0,,13.0,1.0,55.0,52.0,,19.0,11.0,,,59.0,11.0,7.0,3.0,,3.0,1.0,1.0,169.0,1.0,,,1.0,,,4.0,3.0,,1.0,11.0,1.0,14.0,14.0,3.0,9.0,120.0,57.0,32.0,4.0,,3.0,9.0,6.0,480.0,2.0,3.0,,96.0,76.0,37.0,,,,,146.0,146.0,8.0,24.0,34.0,47.7,1.0,,,,25.0,0.0,123.0,1.0,2.0,3.0,,,,4.0,,3.0,124.0,396.0,11.0,12.0,191.0,53.0,19.0,20.0,4.0,16.0,13.0,,172.0,4.0,319.0,,1.0,12.0,4.0,58.0,1.0,494.0,1.0,0.0,17.0,22.0,2.0,21.0,2.0,713.0,28.0,17.0,10.0,4.0,12.0,0.0
1059783,9,2019-10-19 15:00:00,36,Brighton,Away,205.0,16.0,1.0,5.0,4.0,3.0,1.0,198.0,11.0,1.0,8.0,4.0,6.0,21.0,398.0,1.0,1.0,12.0,9.0,17.0,16.0,,1.0,,,,,,,,,1.0,,,18.0,,,,,1.0,12.0,16.0,8.0,11.0,9.0,68.0,62.0,1.0,1.0,,1.0,13.0,7.0,20.0,,,5.0,8.0,3.0,1.0,4.0,3.0,51.0,44.0,1.0,28.0,15.0,,,40.0,17.0,9.0,,,2.0,1.0,,160.0,1.0,1.0,1.0,,1.0,,12.0,,1.0,,15.0,,10.0,10.0,1.0,8.0,123.0,59.0,35.0,7.0,,6.0,11.0,5.0,451.0,6.0,3.0,,47.0,62.0,31.0,,,,,107.0,107.0,2.0,35.0,15.0,51.1,,3.0,,,13.0,0.0,124.0,4.0,2.0,6.0,1.0,,,8.0,,3.0,103.0,376.0,6.0,17.0,231.0,36.0,28.0,10.0,5.0,17.0,12.0,,134.0,4.0,261.0,2.0,1.0,13.0,6.0,47.0,,475.0,2.0,1.0,20.0,11.0,1.0,12.0,2.0,659.0,30.0,9.0,8.0,5.0,8.0,0.0
1059793,10,2019-10-26 15:00:00,36,Brighton,Home,281.0,23.0,,2.0,2.0,2.0,,152.0,7.0,,12.0,3.0,5.0,18.0,431.0,,,21.0,11.0,8.0,5.0,,,,1.0,,,1.0,2.0,1.0,,,,,5.0,1.0,,,,,7.0,8.0,3.0,5.0,3.0,78.0,71.0,,,1.0,1.0,14.0,1.0,6.0,,2.0,,5.0,2.0,,12.0,1.0,46.0,48.0,1.0,8.0,4.0,,,50.0,12.0,12.0,1.0,,3.0,1.0,2.0,176.0,,,,,,,7.0,,,,4.0,,17.0,17.0,4.0,12.0,133.0,76.0,44.0,5.0,1.0,3.0,2.0,4.0,512.0,2.0,,1.0,47.0,53.0,24.0,,,,1.0,146.0,146.0,6.0,22.0,29.0,55.5,,,3.0,,14.0,0.0,146.0,3.0,2.0,5.0,,,,3.0,,3.0,73.0,411.0,9.0,5.0,307.0,57.0,8.0,15.0,,8.0,8.0,,119.0,3.0,234.0,,,9.0,5.0,43.0,3.0,533.0,1.0,0.0,8.0,18.0,1.0,22.0,2.0,720.0,18.0,17.0,10.0,,10.0,0.0
