matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenMiss,attPenPost,attPenTarget,attPostHigh,attPostLeft,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2210272,1,2021-08-14 15:00:00,36,Brighton,Away,273.0,14.0,4.0,6.0,2.0,,,157.0,3.0,,8.0,3.0,7.0,25.0,424.0,2.0,,22.0,26.0,20.0,5.0,3.0,5.0,,,1.0,1.0,,,1.0,8.0,,,,,,,,2.0,8.0,6.0,12.0,2.0,86.0,56.0,3.0,1.0,2.0,5.0,12.0,2.0,12.0,,,6.0,4.0,3.0,,12.0,,61.0,49.0,5.0,27.0,14.0,,21.0,43.0,7.0,10.0,1.0,,2.0,2.0,1.0,159.0,2.0,,2.0,2.0,,,8.0,2.0,3.0,,14.0,,6.0,6.0,2.0,8.0,129.0,72.0,30.0,7.0,,2.0,8.0,8.0,496.0,3.0,1.0,46.0,70.0,28.0,,,,,131.0,131.0,2.0,29.0,14.0,64.1,,,3.0,2.0,12.0,0.0,144.0,1.0,1.0,2.0,1.0,,4.0,1.0,3.0,11.0,82.0,413.0,5.0,10.0,295.0,44.0,27.0,7.0,5.0,14.0,9.0,,117.0,,237.0,4.0,,24.0,7.0,72.0,,518.0,2.0,0.0,14.0,16.0,1.0,24.0,1.0,705.0,23.0,10.0,3.0,6.0,9.0,0.0
2210283,2,2021-08-21 17:30:00,36,Brighton,Home,340.0,12.0,3.0,4.0,1.0,,,166.0,5.0,1.0,4.0,3.0,5.0,16.0,502.0,,,12.0,18.0,17.0,6.0,2.0,5.0,,,,,,,,8.0,,,,,,,,6.0,7.0,3.0,8.0,5.0,96.0,60.0,1.0,2.0,1.0,1.0,23.0,5.0,6.0,,,7.0,13.0,1.0,1.0,12.0,1.0,48.0,49.0,1.0,17.0,8.0,,36.0,44.0,11.0,6.0,1.0,,2.0,,,178.0,2.0,1.0,1.0,1.0,1.0,,8.0,1.0,1.0,,8.0,,8.0,8.0,,5.0,152.0,59.0,35.0,2.0,,3.0,7.0,3.0,565.0,4.0,1.0,30.0,89.0,29.0,,,,,134.0,134.0,5.0,26.0,21.0,56.9,,,,,23.0,0.0,159.0,1.0,,1.0,2.0,,5.0,1.0,3.0,15.0,91.0,491.0,14.0,10.0,362.0,29.0,17.0,8.0,6.0,20.0,14.0,,136.0,2.0,243.0,2.0,1.0,13.0,5.0,43.0,1.0,585.0,1.0,0.0,13.0,19.0,3.0,13.0,4.0,765.0,30.0,18.0,7.0,7.0,11.0,0.0
2210292,3,2021-08-28 15:00:00,36,Brighton,Home,325.0,15.0,2.0,4.0,2.0,,,208.0,5.0,,7.0,3.0,3.0,30.0,529.0,,,17.0,9.0,8.0,8.0,2.0,2.0,,,1.0,2.0,,,,10.0,,,,,,,,5.0,8.0,6.0,5.0,9.0,95.0,63.0,,,,1.0,18.0,6.0,7.0,,,4.0,7.0,2.0,,11.0,2.0,40.0,52.0,1.0,14.0,3.0,,30.0,56.0,7.0,8.0,,,2.0,,2.0,160.0,,,,,,,6.0,,4.0,,3.0,,10.0,10.0,3.0,7.0,183.0,65.0,45.0,5.0,,3.0,7.0,3.0,595.0,5.0,4.0,80.0,61.0,21.0,1.0,1.0,1.0,,132.0,132.0,5.0,29.0,21.0,65.6,,,,,18.0,0.0,174.0,1.0,2.0,3.0,,,5.0,,3.0,14.0,105.0,513.0,8.0,10.0,352.0,33.0,14.0,16.0,3.0,12.0,9.0,,147.0,,272.0,4.0,,14.0,3.0,56.0,1.0,612.0,1.0,0.0,14.0,25.0,,18.0,1.0,814.0,18.0,18.0,10.0,4.0,16.0,0.0
2210302,4,2021-09-11 15:00:00,36,Brighton,Away,174.0,26.0,,,,,,222.0,2.0,,3.0,1.0,6.0,37.0,396.0,,1.0,23.0,15.0,11.0,3.0,,,,,,,,,,4.0,,,,,,,,9.0,5.0,2.0,3.0,1.0,98.0,57.0,,,,4.0,21.0,1.0,8.0,,,5.0,4.0,5.0,,12.0,,56.0,45.0,4.0,11.0,7.0,,23.0,73.0,12.0,9.0,1.0,,,1.0,,157.0,1.0,,1.0,1.0,,,7.0,1.0,3.0,,7.0,,12.0,12.0,1.0,3.0,113.0,74.0,34.0,1.0,,1.0,3.0,2.0,474.0,,2.0,93.0,71.0,29.0,,,,,156.0,156.0,8.0,21.0,21.0,58.7,,,,,21.0,0.0,128.0,1.0,,1.0,,,1.0,,3.0,18.0,120.0,382.0,8.0,4.0,195.0,52.0,11.0,18.0,1.0,11.0,10.0,,176.0,2.0,312.0,3.0,,20.0,6.0,78.0,2.0,496.0,1.0,0.0,4.0,16.0,1.0,30.0,2.0,677.0,15.0,13.0,9.0,6.0,11.0,0.0
2210312,5,2021-09-19 14:00:00,36,Brighton,Home,145.0,17.0,2.0,6.0,4.0,2.0,2.0,106.0,7.0,,3.0,,3.0,19.0,245.0,,1.0,15.0,11.0,18.0,5.0,3.0,2.0,,1.0,,2.0,,,,5.0,1.0,,,,,,2.0,4.0,7.0,7.0,9.0,3.0,42.0,47.0,,,1.0,,17.0,3.0,12.0,,1.0,4.0,4.0,5.0,,6.0,1.0,47.0,62.0,,29.0,15.0,,33.0,37.0,8.0,9.0,1.0,,5.0,2.0,2.0,134.0,1.0,1.0,1.0,,1.0,,8.0,,2.0,1.0,15.0,,16.0,16.0,4.0,3.0,70.0,49.0,23.0,9.0,1.0,3.0,6.0,5.0,305.0,5.0,1.0,54.0,32.0,21.0,,,,1.0,120.0,120.0,4.0,18.0,22.0,37.1,,,,,17.0,0.0,76.0,,2.0,2.0,,,4.0,,3.0,20.0,52.0,234.0,9.0,9.0,174.0,43.0,29.0,27.0,4.0,15.0,11.0,,78.0,4.0,163.0,2.0,,18.0,3.0,57.0,3.0,322.0,,0.0,12.0,19.0,3.0,16.0,2.0,532.0,19.0,12.0,16.0,4.0,13.0,0.0
2210324,6,2021-09-27 20:00:00,36,Brighton,Away,304.0,24.0,,5.0,5.0,,3.0,167.0,5.0,,6.0,5.0,7.0,31.0,466.0,,2.0,12.0,7.0,15.0,2.0,1.0,3.0,,,,,,,,3.0,,,,,,,2.0,2.0,4.0,4.0,4.0,4.0,102.0,69.0,2.0,1.0,1.0,2.0,14.0,2.0,4.0,,,5.0,8.0,3.0,,7.0,1.0,36.0,61.0,2.0,13.0,6.0,,29.0,42.0,10.0,11.0,1.0,,3.0,4.0,,203.0,1.0,,1.0,1.0,,,6.0,1.0,3.0,1.0,6.0,,10.0,10.0,4.0,6.0,127.0,69.0,31.0,6.0,,1.0,3.0,4.0,546.0,2.0,,89.0,44.0,28.0,1.0,1.0,1.0,,142.0,142.0,5.0,37.0,16.0,53.1,,,1.0,1.0,14.0,0.0,133.0,1.0,1.0,2.0,1.0,,2.0,,3.0,21.0,83.0,453.0,3.0,4.0,333.0,45.0,13.0,16.0,5.0,20.0,15.0,,121.0,,252.0,3.0,,31.0,8.0,74.0,,565.0,,0.0,8.0,29.0,2.0,13.0,5.0,743.0,22.0,10.0,6.0,5.0,19.0,0.0
2210331,7,2021-10-02 17:30:00,36,Brighton,Home,179.0,13.0,5.0,8.0,3.0,2.0,,249.0,4.0,,1.0,5.0,2.0,28.0,420.0,,1.0,15.0,7.0,16.0,14.0,4.0,6.0,,,,,,,,15.0,,,,,,,,6.0,4.0,4.0,13.0,8.0,88.0,61.0,,,,1.0,24.0,7.0,6.0,,1.0,8.0,12.0,4.0,,6.0,,29.0,43.0,1.0,13.0,4.0,,23.0,60.0,8.0,5.0,,1.0,3.0,2.0,,166.0,,,,,,,7.0,,,,4.0,,9.0,9.0,,1.0,124.0,71.0,43.0,5.0,,12.0,6.0,2.0,482.0,1.0,,94.0,66.0,38.0,,,,,126.0,126.0,7.0,14.0,36.0,58.2,,,,,24.0,0.0,119.0,2.0,,2.0,,,12.0,,2.0,12.0,129.0,410.0,14.0,18.0,196.0,25.0,13.0,8.0,8.0,26.0,18.0,,171.0,5.0,327.0,1.0,,17.0,2.0,53.0,1.0,497.0,,0.0,21.0,16.0,5.0,18.0,2.0,669.0,30.0,18.0,6.0,8.0,5.0,0.0
2210348,8,2021-10-16 15:00:00,36,Brighton,Away,207.0,20.0,1.0,7.0,6.0,,2.0,278.0,3.0,1.0,6.0,1.0,6.0,29.0,478.0,1.0,1.0,19.0,14.0,21.0,7.0,2.0,2.0,,,,,,,,8.0,,,,,,,1.0,5.0,5.0,10.0,8.0,3.0,91.0,62.0,1.0,1.0,,1.0,23.0,4.0,11.0,1.0,,4.0,7.0,5.0,,5.0,,48.0,51.0,1.0,22.0,12.0,1.0,21.0,72.0,14.0,5.0,,,3.0,2.0,,152.0,,,,,,,7.0,,5.0,,12.0,1.0,8.0,8.0,1.0,6.0,161.0,71.0,48.0,8.0,,3.0,6.0,3.0,558.0,8.0,3.0,92.0,76.0,36.0,,,,,132.0,132.0,8.0,20.0,26.0,64.9,,,,,23.0,0.0,165.0,1.0,2.0,2.0,,,4.0,,3.0,9.0,141.0,471.0,10.0,9.0,224.0,36.0,22.0,10.0,4.0,18.0,14.0,,194.0,2.0,363.0,5.0,1.0,10.0,6.0,53.0,,569.0,1.0,0.0,11.0,19.0,1.0,23.0,5.0,761.0,30.0,14.0,6.0,4.0,12.0,0.0
2210353,9,2021-10-23 17:30:00,36,Brighton,Home,309.0,22.0,3.0,5.0,2.0,,,118.0,4.0,,9.0,,8.0,24.0,422.0,,,17.0,5.0,14.0,8.0,,,,,,,,,,9.0,1.0,,,,,,,5.0,18.0,5.0,7.0,3.0,85.0,61.0,,,1.0,,19.0,1.0,12.0,1.0,,7.0,13.0,1.0,,5.0,4.0,33.0,48.0,,9.0,4.0,,25.0,39.0,10.0,6.0,,,2.0,1.0,,160.0,,,,,,,5.0,,1.0,1.0,4.0,,13.0,13.0,2.0,9.0,134.0,47.0,22.0,6.0,,3.0,5.0,5.0,482.0,6.0,1.0,61.0,26.0,28.0,,,,1.0,119.0,119.0,7.0,19.0,24.0,47.7,,,,,19.0,0.0,122.0,6.0,4.0,8.0,,,4.0,,3.0,12.0,76.0,405.0,7.0,8.0,336.0,47.0,9.0,14.0,5.0,20.0,15.0,,114.0,4.0,185.0,3.0,,4.0,9.0,47.0,2.0,501.0,,0.0,10.0,16.0,,17.0,2.0,677.0,27.0,15.0,12.0,7.0,11.0,0.0
2210364,10,2021-10-30 15:00:00,36,Brighton,Away,223.0,25.0,1.0,3.0,2.0,,1.0,141.0,,1.0,4.0,,2.0,32.0,361.0,,1.0,16.0,11.0,11.0,5.0,1.0,1.0,,,,,,,,8.0,,,,,,,,3.0,6.0,8.0,6.0,3.0,76.0,72.0,2.0,1.0,1.0,,19.0,1.0,10.0,,,3.0,6.0,1.0,,8.0,,36.0,49.0,,17.0,14.0,,28.0,53.0,5.0,7.0,1.0,,1.0,1.0,,171.0,2.0,,1.0,2.0,,,7.0,2.0,1.0,,14.0,1.0,16.0,16.0,5.0,4.0,109.0,74.0,36.0,5.0,1.0,2.0,6.0,6.0,445.0,5.0,1.0,80.0,37.0,25.0,,,,,144.0,144.0,3.0,37.0,25.0,41.6,,,1.0,,19.0,0.0,108.0,1.0,,1.0,1.0,,2.0,,3.0,9.0,68.0,354.0,8.0,8.0,248.0,62.0,17.0,13.0,3.0,11.0,8.0,,113.0,4.0,227.0,1.0,1.0,14.0,2.0,73.0,5.0,464.0,,0.0,9.0,20.0,2.0,19.0,2.0,642.0,21.0,14.0,11.0,3.0,10.0,0.0
