matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
987600,1,2018-08-11 15:00:00,36,Brighton,Away,168.0,17.0,1.0,4.0,3.0,,,133.0,3.0,,4.0,7.0,5.0,40.0,297.0,,,12.0,16.0,24.0,4.0,1.0,,1.0,,1.0,,,4.0,,,,,,,7.0,12.0,7.0,5.0,1.0,66.0,68.0,,,,,17.0,1.0,8.0,,,2.0,7.0,5.0,,15.0,2.0,55.0,60.0,,26.0,15.0,,,49.0,16.0,10.0,,,2.0,1.0,1.0,151.0,,,,,,,10.0,,2.0,1.0,15.0,,17.0,17.0,,4.0,80.0,79.0,38.0,8.0,,4.0,1.0,,360.0,5.0,2.0,57.0,54.0,19.0,,,,,139.0,139.0,1.0,28.0,29.0,46.8,,,,,17.0,0.0,88.0,2.0,1.0,3.0,,1.0,,5.0,,3.0,55.0,283.0,9.0,5.0,194.0,31.0,26.0,11.0,2.0,15.0,13.0,,82.0,5.0,206.0,2.0,,23.0,8.0,79.0,3.0,385.0,,0.0,6.0,17.0,,19.0,2.0,578.0,16.0,11.0,9.0,2.0,11.0,0.0
987602,2,2018-08-19 16:00:00,36,Brighton,Home,95.0,10.0,1.0,3.0,2.0,5.0,,91.0,4.0,,1.0,5.0,3.0,24.0,183.0,,,19.0,23.0,12.0,2.0,,,1.0,,1.0,,,2.0,1.0,,,,,,7.0,6.0,3.0,5.0,1.0,34.0,58.0,1.0,,2.0,5.0,15.0,,8.0,,,3.0,8.0,1.0,1.0,9.0,1.0,58.0,56.0,5.0,16.0,9.0,,1.0,59.0,16.0,13.0,2.0,,5.0,1.0,1.0,139.0,2.0,,1.0,1.0,1.0,,10.0,1.0,1.0,,9.0,,10.0,10.0,,1.0,51.0,73.0,29.0,5.0,,2.0,2.0,3.0,255.0,2.0,1.0,51.0,56.0,18.0,1.0,1.0,1.0,1.0,140.0,140.0,2.0,27.0,26.0,33.4,,,,,15.0,0.0,59.0,,1.0,1.0,,,,3.0,,3.0,42.0,171.0,7.0,4.0,117.0,35.0,16.0,6.0,3.0,13.0,10.0,,91.0,12.0,179.0,1.0,,27.0,4.0,77.0,2.0,283.0,1.0,0.0,6.0,28.0,,23.0,1.0,458.0,10.0,11.0,3.0,3.0,13.0,0.0
987616,3,2018-08-25 17:30:00,36,Brighton,Away,142.0,7.0,2.0,5.0,3.0,3.0,,101.0,4.0,,1.0,3.0,1.0,13.0,238.0,,,10.0,18.0,19.0,4.0,,,,,1.0,,,5.0,,,,,,,7.0,16.0,6.0,4.0,2.0,40.0,61.0,1.0,1.0,,5.0,15.0,2.0,10.0,1.0,,5.0,4.0,2.0,,14.0,3.0,61.0,54.0,5.0,33.0,16.0,1.0,,40.0,14.0,7.0,,,1.0,,1.0,121.0,,,,,,,8.0,,,2.0,16.0,,29.0,29.0,7.0,1.0,77.0,59.0,19.0,8.0,,1.0,3.0,2.0,306.0,7.0,1.0,44.0,30.0,13.0,,,,,143.0,143.0,2.0,34.0,16.0,30.0,,,,,15.0,0.0,89.0,7.0,,6.0,,,,2.0,,3.0,43.0,231.0,6.0,4.0,172.0,26.0,33.0,14.0,5.0,11.0,6.0,,75.0,9.0,166.0,,,26.0,1.0,60.0,3.0,327.0,,0.0,6.0,21.0,,17.0,1.0,537.0,11.0,16.0,7.0,5.0,9.0,0.0
987622,4,2018-09-01 15:00:00,36,Brighton,Home,141.0,16.0,2.0,8.0,6.0,1.0,1.0,151.0,3.0,,2.0,4.0,3.0,29.0,284.0,,1.0,16.0,15.0,15.0,6.0,2.0,,,,,,1.0,9.0,1.0,1.0,,,,1.0,9.0,7.0,3.0,12.0,3.0,55.0,55.0,2.0,2.0,2.0,3.0,18.0,3.0,11.0,,,7.0,11.0,8.0,,5.0,2.0,52.0,50.0,3.0,8.0,3.0,1.0,,51.0,12.0,11.0,2.0,,6.0,3.0,,127.0,1.0,,1.0,1.0,,,8.0,1.0,1.0,,3.0,,18.0,18.0,2.0,2.0,99.0,67.0,36.0,1.0,,4.0,5.0,5.0,344.0,2.0,2.0,75.0,58.0,37.0,,,,2.0,147.0,147.0,4.0,25.0,21.0,41.5,,,1.0,,18.0,0.0,89.0,2.0,1.0,3.0,,1.0,,7.0,,3.0,78.0,268.0,7.0,9.0,162.0,30.0,8.0,16.0,7.0,29.0,22.0,,118.0,5.0,237.0,2.0,,20.0,4.0,66.0,2.0,370.0,,0.0,15.0,17.0,1.0,23.0,3.0,560.0,23.0,15.0,7.0,7.0,12.0,0.0
987638,5,2018-09-17 20:00:00,36,Brighton,Away,174.0,14.0,2.0,7.0,5.0,6.0,1.0,170.0,4.0,,2.0,10.0,3.0,33.0,337.0,1.0,,22.0,17.0,25.0,7.0,2.0,,,,,,,9.0,1.0,,,1.0,,1.0,7.0,8.0,6.0,8.0,4.0,64.0,55.0,2.0,1.0,2.0,1.0,17.0,3.0,9.0,1.0,,4.0,6.0,6.0,1.0,9.0,1.0,55.0,52.0,1.0,21.0,13.0,,1.0,60.0,13.0,9.0,1.0,,3.0,2.0,,180.0,1.0,1.0,1.0,,1.0,,10.0,,,,13.0,1.0,13.0,13.0,,2.0,106.0,76.0,40.0,1.0,,4.0,6.0,4.0,416.0,3.0,2.0,70.0,47.0,22.0,1.0,1.0,1.0,1.0,152.0,152.0,3.0,26.0,20.0,48.8,1.0,,1.0,1.0,17.0,0.0,92.0,2.0,1.0,2.0,,1.0,,5.0,,2.0,77.0,323.0,5.0,10.0,207.0,31.0,21.0,11.0,4.0,18.0,14.0,,116.0,12.0,253.0,,,32.0,3.0,72.0,2.0,442.0,1.0,0.0,12.0,14.0,,24.0,3.0,622.0,15.0,14.0,4.0,4.0,9.0,0.0
987643,6,2018-09-22 17:30:00,36,Brighton,Home,111.0,10.0,2.0,3.0,1.0,2.0,,81.0,4.0,,2.0,13.0,5.0,32.0,189.0,,,15.0,9.0,13.0,3.0,2.0,1.0,,,,,,5.0,,,,,,1.0,8.0,11.0,5.0,4.0,4.0,45.0,52.0,1.0,1.0,,4.0,7.0,1.0,6.0,,,5.0,4.0,2.0,,10.0,3.0,43.0,41.0,4.0,14.0,6.0,,,41.0,15.0,9.0,,,2.0,3.0,,105.0,1.0,,,1.0,,1.0,8.0,1.0,2.0,3.0,6.0,,13.0,13.0,,2.0,47.0,62.0,35.0,7.0,1.0,3.0,3.0,4.0,230.0,3.0,1.0,39.0,33.0,21.0,1.0,1.0,1.0,,118.0,118.0,1.0,18.0,20.0,28.6,,,,,7.0,0.0,58.0,4.0,1.0,5.0,,,1.0,3.0,,3.0,40.0,172.0,4.0,6.0,122.0,18.0,14.0,12.0,5.0,14.0,9.0,2.0,67.0,9.0,147.0,2.0,,24.0,5.0,53.0,2.0,255.0,,0.0,8.0,13.0,,24.0,2.0,419.0,15.0,13.0,6.0,5.0,8.0,0.0
987658,7,2018-09-29 15:00:00,36,Brighton,Away,97.0,7.0,2.0,4.0,2.0,,,44.0,7.0,,1.0,3.0,1.0,18.0,137.0,,,11.0,14.0,8.0,2.0,2.0,,,,,,,2.0,,,,,,,4.0,19.0,9.0,4.0,,32.0,50.0,,,,3.0,6.0,2.0,13.0,,1.0,3.0,4.0,1.0,,8.0,3.0,52.0,28.0,3.0,34.0,15.0,,,33.0,10.0,4.0,,,,,,101.0,,,,,,,16.0,,,,15.0,,10.0,10.0,3.0,1.0,39.0,49.0,17.0,10.0,,1.0,3.0,1.0,182.0,7.0,2.0,24.0,31.0,8.0,,,,,109.0,109.0,1.0,33.0,10.0,19.9,,,,,6.0,0.0,38.0,2.0,4.0,6.0,,2.0,,1.0,,3.0,17.0,123.0,3.0,4.0,117.0,20.0,34.0,8.0,3.0,8.0,5.0,,47.0,6.0,101.0,,,21.0,1.0,59.0,2.0,210.0,,0.0,4.0,15.0,,15.0,3.0,367.0,6.0,9.0,1.0,3.0,9.0,0.0
987662,8,2018-10-05 20:00:00,36,Brighton,Home,90.0,11.0,2.0,4.0,2.0,4.0,,106.0,4.0,,1.0,5.0,2.0,23.0,192.0,,,18.0,16.0,21.0,4.0,2.0,1.0,,,,,,6.0,,,,,,,7.0,11.0,6.0,6.0,3.0,39.0,58.0,1.0,,1.0,1.0,15.0,1.0,5.0,,,2.0,6.0,3.0,,5.0,2.0,45.0,53.0,1.0,28.0,13.0,,,47.0,12.0,7.0,1.0,,,,,136.0,1.0,,1.0,1.0,,,9.0,1.0,,,13.0,,12.0,12.0,1.0,1.0,47.0,67.0,33.0,9.0,,4.0,3.0,4.0,257.0,6.0,,56.0,60.0,16.0,,,,,135.0,135.0,2.0,27.0,21.0,35.4,,,,,15.0,0.0,60.0,2.0,2.0,4.0,,1.0,1.0,4.0,1.0,3.0,47.0,182.0,8.0,7.0,108.0,29.0,28.0,18.0,2.0,11.0,9.0,1.0,92.0,18.0,185.0,,,24.0,4.0,63.0,5.0,282.0,,0.0,9.0,17.0,,24.0,3.0,469.0,12.0,15.0,11.0,2.0,12.0,0.0
987679,9,2018-10-20 15:00:00,36,Brighton,Away,70.0,8.0,1.0,4.0,3.0,1.0,1.0,85.0,1.0,,3.0,11.0,4.0,19.0,151.0,,,14.0,30.0,27.0,5.0,,,,,,,2.0,6.0,,,,,,,6.0,13.0,14.0,5.0,3.0,39.0,47.0,1.0,1.0,,2.0,20.0,2.0,10.0,,,2.0,3.0,2.0,,10.0,4.0,72.0,65.0,2.0,49.0,31.0,,2.0,50.0,17.0,12.0,,,3.0,3.0,,127.0,1.0,,,,1.0,,15.0,,1.0,1.0,31.0,,8.0,8.0,1.0,3.0,36.0,69.0,19.0,10.0,1.0,2.0,4.0,2.0,219.0,8.0,1.0,43.0,40.0,20.0,,,,,149.0,149.0,3.0,21.0,14.0,32.0,,,,1.0,20.0,0.0,45.0,3.0,3.0,6.0,,,,4.0,,3.0,51.0,146.0,8.0,6.0,95.0,14.0,49.0,15.0,2.0,10.0,8.0,,90.0,8.0,162.0,1.0,,43.0,4.0,73.0,1.0,247.0,,0.0,8.0,19.0,,25.0,2.0,476.0,15.0,17.0,8.0,2.0,13.0,0.0
987682,10,2018-10-27 15:00:00,36,Brighton,Home,159.0,14.0,1.0,3.0,2.0,5.0,1.0,106.0,2.0,,2.0,11.0,7.0,31.0,262.0,,,11.0,24.0,20.0,2.0,2.0,,,,,,,4.0,,,,1.0,,2.0,7.0,13.0,12.0,5.0,2.0,47.0,72.0,2.0,1.0,1.0,4.0,20.0,1.0,12.0,,,1.0,4.0,3.0,,7.0,1.0,57.0,58.0,4.0,33.0,18.0,,,43.0,11.0,7.0,1.0,1.0,1.0,1.0,,154.0,1.0,,,1.0,,,8.0,1.0,,,18.0,1.0,5.0,5.0,,2.0,74.0,78.0,32.0,10.0,,3.0,2.0,1.0,336.0,10.0,,63.0,40.0,17.0,,,,,142.0,142.0,3.0,31.0,27.0,39.9,1.0,,,1.0,20.0,0.0,87.0,3.0,4.0,7.0,,1.0,,5.0,,2.0,51.0,249.0,9.0,5.0,183.0,32.0,33.0,16.0,1.0,9.0,8.0,,88.0,12.0,188.0,,,29.0,7.0,76.0,,362.0,,0.0,7.0,19.0,,25.0,3.0,549.0,12.0,10.0,12.0,1.0,13.0,0.0
