matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2292818,1,2022-08-07 14:00:00,36,Brighton,Away,76.0,15.0,1.0,6.0,5.0,2.0,,159.0,5.0,,1.0,1.0,4.0,17.0,229.0,,1.0,16.0,11.0,9.0,11.0,1.0,2.0,,,,,,,1.0,,,13.0,,,,,,5.0,14.0,4.0,10.0,5.0,51.0,64.0,1.0,,2.0,1.0,20.0,5.0,5.0,,1.0,2.0,7.0,2.0,,6.0,1.0,40.0,36.0,1.0,24.0,11.0,,,21.0,71.0,12.0,7.0,,,1.0,1.0,,153.0,1.0,,1.0,1.0,,,11.0,2.0,,,11.0,,12.0,12.0,,1.0,52.0,73.0,30.0,6.0,2.0,5.0,8.0,4.0,301.0,7.0,,1.0,62.0,72.0,23.0,,,,,,141.0,141.0,9.0,28.0,21.0,37.1,,,,1.0,20.0,0.0,70.0,4.0,1.0,5.0,,,6.0,,,4.0,9.0,100.0,220.0,9.0,13.0,97.0,41.0,24.0,12.0,2.0,12.0,10.0,,154.0,4.0,241.0,,,19.0,4.0,66.0,1.0,326.0,1.0,0.0,15.0,14.0,3.0,22.0,1.0,509.0,27.0,19.0,6.0,2.0,9.0,0.0
2292823,2,2022-08-13 15:00:00,36,Brighton,Home,99.0,26.0,,1.0,1.0,4.0,,188.0,2.0,1.0,3.0,2.0,1.0,26.0,286.0,2.0,,19.0,16.0,18.0,10.0,,2.0,1.0,,,,,,,,,9.0,,,,,,5.0,3.0,1.0,8.0,5.0,52.0,66.0,3.0,3.0,,,12.0,3.0,12.0,,,7.0,13.0,,,7.0,,47.0,43.0,,19.0,7.0,,1.0,21.0,59.0,8.0,4.0,,,,,,155.0,,,,,,,4.0,,1.0,1.0,7.0,,8.0,8.0,1.0,3.0,82.0,68.0,35.0,3.0,,3.0,7.0,7.0,356.0,1.0,,,67.0,68.0,39.0,,,,,,141.0,141.0,4.0,30.0,26.0,54.5,,,,,12.0,0.0,85.0,,1.0,1.0,,1.0,3.0,,,3.0,8.0,114.0,277.0,6.0,10.0,118.0,43.0,19.0,8.0,6.0,19.0,13.0,1.0,162.0,5.0,275.0,1.0,1.0,17.0,2.0,57.0,1.0,374.0,3.0,0.0,13.0,18.0,,23.0,2.0,542.0,31.0,18.0,3.0,7.0,14.0,0.0
2292839,3,2022-08-21 14:00:00,36,Brighton,Away,183.0,15.0,2.0,5.0,3.0,1.0,,217.0,1.0,,6.0,7.0,5.0,22.0,395.0,,1.0,12.0,20.0,9.0,6.0,1.0,3.0,,,,,,,,,1.0,7.0,1.0,,,,,4.0,8.0,5.0,9.0,2.0,76.0,62.0,2.0,1.0,2.0,3.0,19.0,4.0,4.0,,1.0,4.0,7.0,3.0,,6.0,,38.0,39.0,3.0,16.0,8.0,,,15.0,72.0,7.0,10.0,,,3.0,2.0,,167.0,1.0,,1.0,1.0,,,4.0,1.0,3.0,1.0,8.0,,6.0,6.0,2.0,6.0,115.0,71.0,38.0,5.0,2.0,4.0,4.0,2.0,467.0,7.0,,,54.0,94.0,21.0,,,,,1.0,131.0,131.0,3.0,26.0,20.0,50.4,,,,,19.0,0.0,127.0,2.0,1.0,3.0,1.0,,5.0,,,3.0,7.0,103.0,385.0,10.0,8.0,207.0,35.0,16.0,5.0,4.0,16.0,12.0,,153.0,5.0,294.0,3.0,,23.0,8.0,60.0,1.0,485.0,1.0,0.0,11.0,17.0,2.0,15.0,0.0,655.0,22.0,18.0,3.0,4.0,7.0,0.0
2292843,4,2022-08-27 15:00:00,36,Brighton,Home,118.0,22.0,1.0,5.0,4.0,,2.0,137.0,4.0,,4.0,6.0,2.0,29.0,250.0,,2.0,19.0,10.0,14.0,9.0,2.0,2.0,1.0,,,,,,,,1.0,8.0,,,,,3.0,8.0,7.0,3.0,11.0,2.0,41.0,67.0,2.0,2.0,,,16.0,1.0,11.0,,1.0,5.0,5.0,,,14.0,1.0,53.0,48.0,,8.0,4.0,,,18.0,65.0,10.0,13.0,1.0,,3.0,3.0,,158.0,1.0,,1.0,1.0,,,7.0,1.0,,,4.0,,9.0,9.0,1.0,4.0,76.0,70.0,33.0,3.0,,7.0,5.0,4.0,329.0,5.0,1.0,,81.0,34.0,25.0,,,,,,163.0,163.0,4.0,28.0,28.0,42.8,,,,1.0,16.0,0.0,78.0,2.0,,2.0,,1.0,8.0,,,5.0,9.0,77.0,238.0,9.0,12.0,139.0,41.0,8.0,15.0,4.0,12.0,8.0,1.0,128.0,3.0,226.0,1.0,,22.0,2.0,65.0,2.0,353.0,,0.0,13.0,14.0,2.0,27.0,2.0,542.0,27.0,20.0,7.0,5.0,10.0,0.0
2292853,5,2022-08-30 19:30:00,36,Brighton,Away,237.0,23.0,,3.0,3.0,1.0,,212.0,8.0,,5.0,1.0,2.0,33.0,446.0,,,23.0,18.0,13.0,5.0,,1.0,,,,,,,1.0,,1.0,5.0,1.0,,,1.0,,4.0,8.0,3.0,6.0,1.0,82.0,66.0,1.0,2.0,1.0,,29.0,,9.0,,1.0,3.0,13.0,1.0,,14.0,1.0,64.0,56.0,,11.0,6.0,,2.0,28.0,73.0,11.0,9.0,,,2.0,1.0,,171.0,,,,,,,11.0,,,,6.0,1.0,11.0,11.0,,5.0,131.0,74.0,45.0,3.0,1.0,3.0,2.0,4.0,511.0,,1.0,1.0,91.0,76.0,29.0,,,,,1.0,155.0,155.0,5.0,22.0,34.0,60.9,1.0,,,,29.0,0.0,149.0,1.0,1.0,2.0,,,3.0,,,4.0,17.0,104.0,428.0,9.0,5.0,259.0,42.0,11.0,23.0,2.0,17.0,15.0,,154.0,4.0,291.0,1.0,,10.0,2.0,62.0,2.0,533.0,,0.0,7.0,23.0,1.0,26.0,1.0,736.0,20.0,22.0,11.0,3.0,12.0,0.0
2292862,6,2022-09-04 14:00:00,36,Brighton,Home,206.0,22.0,1.0,6.0,5.0,2.0,,221.0,4.0,,3.0,2.0,3.0,39.0,421.0,,2.0,14.0,11.0,10.0,9.0,2.0,3.0,1.0,1.0,,,,2.0,,1.0,,16.0,1.0,,,,1.0,6.0,5.0,1.0,12.0,11.0,62.0,49.0,3.0,1.0,3.0,1.0,8.0,7.0,6.0,,1.0,10.0,11.0,4.0,,7.0,,36.0,46.0,1.0,5.0,1.0,,,22.0,68.0,6.0,8.0,,,6.0,,2.0,146.0,2.0,,2.0,2.0,,1.0,5.0,2.0,,,1.0,,13.0,13.0,,3.0,150.0,69.0,45.0,1.0,4.0,3.0,10.0,11.0,478.0,1.0,2.0,,87.0,62.0,36.0,,,,,1.0,121.0,121.0,3.0,22.0,21.0,53.5,,,3.0,,13.0,0.0,135.0,2.0,,2.0,,1.0,5.0,,,4.0,8.0,123.0,409.0,8.0,13.0,219.0,44.0,5.0,17.0,10.0,25.0,15.0,2.0,164.0,2.0,299.0,,,13.0,4.0,66.0,2.0,493.0,1.0,0.0,23.0,17.0,3.0,15.0,1.0,676.0,36.0,12.0,11.0,10.0,12.0,0.0
2292870,7,2023-04-04 19:45:00,36,Brighton,Away,309.0,19.0,,1.0,1.0,2.0,,237.0,10.0,,3.0,,14.0,27.0,545.0,,1.0,16.0,12.0,14.0,13.0,,2.0,,,,,,,,,1.0,13.0,,,,,1.0,4.0,10.0,4.0,10.0,6.0,119.0,64.0,3.0,1.0,2.0,3.0,12.0,1.0,8.0,,,5.0,7.0,2.0,,11.0,3.0,42.0,55.0,3.0,10.0,7.0,,1.0,30.0,62.0,5.0,10.0,1.0,,2.0,,,209.0,2.0,,2.0,2.0,,,10.0,2.0,4.0,1.0,7.0,,7.0,7.0,,3.0,135.0,74.0,46.0,5.0,,8.0,7.0,6.0,599.0,4.0,,,61.0,87.0,24.0,,,,,,130.0,130.0,7.0,21.0,28.0,63.3,,,,,17.0,0.0,163.0,2.0,1.0,3.0,1.0,,9.0,,1.0,4.0,17.0,105.0,520.0,12.0,15.0,331.0,41.0,10.0,21.0,2.0,11.0,9.0,,139.0,5.0,306.0,4.0,,3.0,16.0,49.0,,626.0,2.0,0.0,16.0,17.0,2.0,19.0,1.0,807.0,30.0,18.0,14.0,5.0,9.0,0.0
2292882,8,2023-03-15 19:30:00,36,Brighton,Home,285.0,14.0,1.0,1.0,,,,204.0,4.0,,5.0,1.0,7.0,18.0,488.0,1.0,1.0,18.0,3.0,10.0,7.0,2.0,1.0,,,1.0,,,1.0,,,,8.0,,,,,1.0,9.0,6.0,5.0,6.0,5.0,90.0,68.0,,,,1.0,9.0,1.0,11.0,,,1.0,8.0,1.0,,6.0,1.0,42.0,53.0,1.0,8.0,4.0,,1.0,34.0,57.0,13.0,19.0,,,3.0,,1.0,189.0,1.0,,1.0,1.0,,,4.0,1.0,2.0,,4.0,,15.0,15.0,1.0,5.0,152.0,64.0,40.0,4.0,1.0,4.0,6.0,5.0,554.0,2.0,,,63.0,64.0,23.0,,,,,,133.0,133.0,13.0,18.0,30.0,57.1,,,,,21.0,0.0,148.0,2.0,1.0,3.0,2.0,,5.0,,,4.0,20.0,100.0,467.0,9.0,10.0,309.0,33.0,8.0,13.0,1.0,10.0,9.0,,150.0,,280.0,2.0,,10.0,8.0,43.0,2.0,579.0,2.0,0.0,11.0,20.0,1.0,18.0,1.0,757.0,15.0,16.0,4.0,1.0,11.0,0.0
2292896,9,2022-10-01 15:00:00,36,Brighton,Away,248.0,15.0,,3.0,3.0,,,114.0,6.0,,8.0,2.0,3.0,23.0,359.0,,1.0,8.0,11.0,8.0,3.0,,,,,,,,,1.0,,,6.0,,,,,,8.0,13.0,3.0,6.0,,68.0,59.0,5.0,3.0,3.0,1.0,7.0,,8.0,,,2.0,6.0,4.0,,6.0,2.0,46.0,48.0,1.0,26.0,12.0,,,25.0,42.0,13.0,6.0,3.0,,1.0,1.0,,172.0,2.0,,2.0,2.0,,,11.0,3.0,2.0,,12.0,,14.0,14.0,3.0,9.0,107.0,48.0,20.0,9.0,,,5.0,6.0,433.0,2.0,,1.0,41.0,24.0,25.0,,,,,,154.0,154.0,5.0,27.0,14.0,46.2,,2.0,1.0,,19.0,0.0,113.0,4.0,1.0,5.0,1.0,,,,,3.0,14.0,64.0,342.0,7.0,5.0,289.0,36.0,26.0,19.0,2.0,13.0,11.0,,101.0,3.0,184.0,2.0,,18.0,3.0,61.0,,460.0,2.0,0.0,6.0,23.0,3.0,16.0,1.0,661.0,23.0,20.0,11.0,2.0,9.0,0.0
2292902,10,2022-10-08 17:30:00,36,Brighton,Home,245.0,18.0,2.0,3.0,1.0,2.0,,368.0,12.0,,1.0,,9.0,20.0,610.0,,,18.0,11.0,12.0,13.0,1.0,1.0,,,,,,,,,,12.0,,,,,1.0,5.0,4.0,4.0,8.0,6.0,105.0,60.0,1.0,1.0,,,10.0,5.0,8.0,,,6.0,9.0,3.0,,12.0,2.0,42.0,51.0,,7.0,4.0,,,25.0,67.0,9.0,13.0,,,2.0,1.0,,196.0,,,,,,,13.0,,,1.0,4.0,,10.0,10.0,1.0,2.0,198.0,56.0,39.0,2.0,,5.0,9.0,4.0,660.0,1.0,1.0,,76.0,70.0,29.0,,,,,,132.0,132.0,6.0,14.0,37.0,58.9,,,,,20.0,0.0,195.0,,2.0,2.0,2.0,,5.0,,,4.0,11.0,183.0,579.0,10.0,14.0,271.0,36.0,7.0,12.0,4.0,17.0,13.0,,221.0,7.0,440.0,,,6.0,10.0,40.0,2.0,694.0,1.0,0.0,14.0,17.0,5.0,19.0,1.0,865.0,30.0,14.0,9.0,6.0,9.0,0.0
