matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2367541,1.0,2023-08-12 15:00:00,36,Brighton,Home,279.0,12.0,1.0,7.0,6.0,1.0,,279.0,8.0,,5.0,2.0,4.0,17.0,551.0,1.0,,16.0,21.0,12.0,17.0,4.0,3.0,,,,,,,,1.0,,20.0,1.0,,,1.0,2.0,3.0,4.0,7.0,2.0,20.0,7.0,,105.0,56.0,4.0,2.0,4.0,1.0,6.0,5.0,1.0,,,6.0,6.0,13.0,,8.0,,48.0,43.0,1.0,13.0,9.0,,,61.0,11.0,12.0,,,5.0,1.0,,181.0,2.0,,2.0,2.0,,,8.0,,,3.0,,,,,2.0,9.0,3.0,4.0,4.0,,5.0,154.0,62.0,52.0,7.0,2.0,10.0,13.0,12.0,578.0,,,2.0,1.0,,119.0,45.0,38.0,1.0,1.0,1.0,1.0,109.0,109.0,5.0,18.0,27.0,70.7,3.0,,,,13.0,0.0,,,,165.0,2.0,,2.0,1.0,,10.0,,2.0,5.0,142.0,524.0,6.0,23.0,288.0,27.0,13.0,15.0,3.0,23.0,20.0,,178.0,1.0,340.0,,,2.0,4.0,30.0,2.0,605.0,1.0,0.0,27.0,13.0,1.0,16.0,2.0,794.0,51.0,19.0,6.0,6.0,10.0,0.0
2367557,2.0,2023-08-19 15:00:00,36,Brighton,Away,287.0,21.0,,,,2.0,,199.0,9.0,1.0,3.0,1.0,10.0,24.0,486.0,1.0,2.0,12.0,5.0,5.0,11.0,,,2.0,,,,,,,,,15.0,,,,,,,6.0,12.0,4.0,11.0,5.0,,86.0,69.0,5.0,1.0,4.0,1.0,9.0,3.0,24.0,,,3.0,3.0,3.0,1.0,10.0,,59.0,57.0,1.0,21.0,5.0,,,44.0,11.0,14.0,,,1.0,1.0,,179.0,4.0,,3.0,4.0,,1.0,9.0,,,4.0,1.0,,,,1.0,5.0,,10.0,10.0,1.0,3.0,134.0,52.0,37.0,5.0,3.0,4.0,11.0,8.0,522.0,,,4.0,,,47.0,41.0,21.0,,,,,115.0,115.0,7.0,25.0,27.0,53.6,,,,1.0,15.0,0.0,,,,153.0,4.0,,4.0,,2.0,5.0,,,5.0,98.0,458.0,9.0,15.0,314.0,35.0,21.0,23.0,2.0,9.0,7.0,3.0,121.0,3.0,247.0,1.0,1.0,6.0,11.0,43.0,7.0,552.0,1.0,0.0,16.0,25.0,5.0,14.0,6.0,746.0,40.0,11.0,13.0,3.0,17.0,0.0
2367561,3.0,2023-08-26 17:30:00,36,Brighton,Home,183.0,22.0,3.0,10.0,7.0,,,495.0,5.0,,6.0,1.0,2.0,27.0,668.0,,,13.0,13.0,13.0,17.0,3.0,6.0,,,,,1.0,,,,,18.0,,,,,,,6.0,10.0,2.0,13.0,12.0,,145.0,56.0,1.0,2.0,,,9.0,10.0,9.0,,,17.0,20.0,12.0,,6.0,,47.0,41.0,,12.0,7.0,1.0,,94.0,10.0,9.0,,,2.0,,1.0,190.0,1.0,,,1.0,,,5.0,,,1.0,1.0,,,,,7.0,1.0,6.0,6.0,,6.0,201.0,47.0,39.0,4.0,1.0,4.0,17.0,10.0,722.0,,,1.0,2.0,,97.0,118.0,69.0,,,,,144.0,144.0,7.0,13.0,30.0,78.0,,,,,19.0,0.0,,,,213.0,2.0,2.0,4.0,1.0,,5.0,1.0,,4.0,286.0,641.0,9.0,21.0,201.0,35.0,12.0,16.0,9.0,41.0,32.0,,342.0,,589.0,1.0,,3.0,2.0,38.0,1.0,749.0,1.0,0.0,25.0,12.0,,15.0,1.0,943.0,68.0,12.0,7.0,17.0,6.0,0.0
2367570,4.0,2023-09-02 17:30:00,36,Brighton,Home,292.0,22.0,4.0,6.0,2.0,1.0,,221.0,9.0,,4.0,,9.0,23.0,507.0,,1.0,11.0,5.0,12.0,9.0,1.0,3.0,1.0,,,,,,,,1.0,12.0,,,,,,,10.0,7.0,2.0,9.0,6.0,,115.0,52.0,,,1.0,1.0,10.0,4.0,13.0,,,5.0,4.0,1.0,,9.0,1.0,50.0,47.0,1.0,12.0,4.0,,,48.0,14.0,17.0,3.0,,,,,141.0,2.0,,,2.0,,,9.0,,,3.0,1.0,,,,,4.0,,11.0,11.0,1.0,4.0,147.0,47.0,34.0,3.0,,4.0,8.0,6.0,536.0,,,3.0,2.0,,58.0,60.0,20.0,,,,,101.0,101.0,8.0,17.0,21.0,55.8,,,,1.0,17.0,0.0,,,,162.0,1.0,,2.0,2.0,1.0,5.0,,,5.0,98.0,483.0,10.0,12.0,310.0,44.0,12.0,19.0,4.0,9.0,5.0,1.0,131.0,2.0,264.0,1.0,,2.0,9.0,43.0,5.0,565.0,2.0,0.0,15.0,8.0,1.0,12.0,4.0,741.0,35.0,14.0,10.0,5.0,3.0,0.0
2367582,5.0,2023-09-16 15:00:00,36,Brighton,Away,461.0,31.0,,2.0,2.0,,,143.0,8.0,1.0,2.0,2.0,7.0,35.0,602.0,,2.0,8.0,1.0,5.0,7.0,,,1.0,,,,,,,,,10.0,,,,,,,6.0,8.0,6.0,7.0,3.0,,135.0,59.0,3.0,2.0,1.0,2.0,7.0,,22.0,,,1.0,3.0,1.0,,6.0,,48.0,38.0,2.0,17.0,12.0,,,32.0,9.0,8.0,1.0,,,,,176.0,3.0,,3.0,3.0,,,8.0,,,3.0,,,,,,12.0,,10.0,10.0,1.0,2.0,173.0,61.0,42.0,8.0,1.0,2.0,8.0,8.0,638.0,,,6.0,1.0,,42.0,56.0,14.0,,,,,97.0,97.0,2.0,31.0,20.0,56.1,,,,,14.0,0.0,,,,177.0,1.0,2.0,3.0,,1.0,2.0,,1.0,5.0,58.0,582.0,7.0,10.0,485.0,47.0,17.0,16.0,,4.0,4.0,1.0,79.0,3.0,180.0,,1.0,6.0,8.0,52.0,1.0,661.0,,0.0,10.0,19.0,5.0,9.0,2.0,808.0,15.0,17.0,6.0,1.0,9.0,0.0
2367590,6.0,2023-09-24 14:00:00,36,Brighton,Home,304.0,14.0,2.0,4.0,2.0,1.0,,149.0,6.0,,3.0,1.0,13.0,30.0,449.0,,,13.0,1.0,11.0,7.0,2.0,4.0,,,,,,,1.0,,,9.0,,,,,,,9.0,8.0,4.0,8.0,5.0,,109.0,55.0,3.0,1.0,2.0,,5.0,6.0,16.0,1.0,,4.0,5.0,2.0,,11.0,1.0,52.0,59.0,,14.0,5.0,1.0,,38.0,12.0,17.0,,,2.0,2.0,,168.0,2.0,,2.0,2.0,,,6.0,,,2.0,1.0,,,,,5.0,,10.0,10.0,3.0,3.0,115.0,61.0,36.0,4.0,,2.0,9.0,4.0,495.0,,,5.0,,,48.0,47.0,23.0,,,,,128.0,128.0,6.0,24.0,22.0,61.5,,,3.0,,11.0,0.0,,,,127.0,3.0,,2.0,,,3.0,2.0,2.0,5.0,64.0,427.0,5.0,11.0,335.0,40.0,14.0,19.0,4.0,13.0,9.0,,88.0,2.0,197.0,1.0,,3.0,14.0,56.0,1.0,519.0,,0.0,13.0,24.0,,14.0,3.0,716.0,17.0,24.0,7.0,4.0,15.0,0.0
2367599,7.0,2023-09-30 12:30:00,36,Brighton,Away,268.0,19.0,,2.0,2.0,,1.0,195.0,5.0,,4.0,3.0,4.0,18.0,461.0,,2.0,11.0,5.0,8.0,9.0,,,,,,,,1.0,,,,10.0,,,,,,1.0,13.0,15.0,5.0,8.0,3.0,,92.0,44.0,3.0,2.0,1.0,1.0,6.0,5.0,9.0,,,3.0,2.0,4.0,,10.0,1.0,55.0,56.0,1.0,12.0,6.0,1.0,,42.0,21.0,19.0,,,2.0,1.0,,125.0,1.0,,1.0,1.0,,,5.0,,,1.0,1.0,,,,1.0,6.0,,8.0,8.0,,4.0,151.0,53.0,36.0,1.0,,3.0,7.0,3.0,488.0,,,6.0,1.0,1.0,53.0,32.0,20.0,,,,,106.0,106.0,3.0,12.0,23.0,62.0,,,,,14.0,0.0,,,,150.0,4.0,,4.0,,,3.0,1.0,1.0,5.0,90.0,431.0,6.0,10.0,285.0,27.0,12.0,21.0,3.0,10.0,7.0,,114.0,2.0,243.0,1.0,,7.0,6.0,30.0,6.0,518.0,1.0,0.0,11.0,19.0,2.0,12.0,4.0,695.0,22.0,12.0,10.0,3.0,13.0,0.0
2367609,8.0,2023-10-08 14:00:00,36,Brighton,Home,248.0,12.0,2.0,4.0,2.0,1.0,1.0,111.0,5.0,1.0,3.0,1.0,6.0,20.0,355.0,,1.0,16.0,6.0,5.0,6.0,1.0,4.0,,,,,2.0,,,1.0,,7.0,,,,,,1.0,7.0,10.0,4.0,8.0,6.0,,73.0,50.0,2.0,3.0,1.0,1.0,8.0,6.0,7.0,,,8.0,6.0,2.0,1.0,10.0,1.0,47.0,55.0,1.0,13.0,6.0,,,30.0,12.0,20.0,,,4.0,1.0,2.0,129.0,1.0,1.0,1.0,,1.0,,5.0,,,1.0,,,,,,6.0,,13.0,13.0,,3.0,111.0,44.0,24.0,1.0,1.0,3.0,5.0,3.0,390.0,,,5.0,2.0,,60.0,21.0,22.0,1.0,1.0,1.0,,112.0,112.0,5.0,24.0,12.0,46.0,,2.0,1.0,,16.0,0.0,,,,105.0,2.0,,2.0,,,5.0,2.0,,3.0,61.0,330.0,8.0,8.0,276.0,28.0,13.0,25.0,5.0,14.0,9.0,,78.0,2.0,156.0,,1.0,10.0,6.0,40.0,1.0,418.0,1.0,0.0,14.0,17.0,1.0,18.0,1.0,611.0,23.0,12.0,13.0,8.0,10.0,0.0
2367623,9.0,2023-10-21 15:00:00,36,Brighton,Away,308.0,12.0,1.0,1.0,,2.0,,136.0,7.0,1.0,5.0,,7.0,16.0,443.0,,2.0,10.0,6.0,6.0,3.0,1.0,1.0,,,,,,,,,1.0,4.0,,,,,,,9.0,6.0,4.0,4.0,1.0,,100.0,44.0,2.0,2.0,1.0,1.0,9.0,,10.0,1.0,,2.0,2.0,2.0,,9.0,2.0,41.0,32.0,1.0,16.0,6.0,1.0,,31.0,11.0,9.0,,,1.0,2.0,,144.0,,,,,,,7.0,,,1.0,,,,,,6.0,,12.0,12.0,2.0,5.0,137.0,41.0,21.0,2.0,,2.0,2.0,3.0,485.0,,,1.0,1.0,,40.0,41.0,16.0,,,,,97.0,97.0,2.0,18.0,17.0,45.5,,,,,19.0,0.0,,,,125.0,2.0,2.0,3.0,1.0,,2.0,,1.0,5.0,59.0,425.0,9.0,4.0,331.0,29.0,16.0,12.0,1.0,7.0,6.0,,80.0,4.0,182.0,,1.0,,7.0,31.0,1.0,506.0,,0.0,5.0,10.0,2.0,11.0,2.0,642.0,11.0,11.0,7.0,2.0,5.0,0.0
2367631,10.0,2023-10-29 14:00:00,36,Brighton,Home,471.0,12.0,1.0,4.0,3.0,1.0,,279.0,7.0,,5.0,1.0,4.0,15.0,746.0,,,12.0,10.0,13.0,9.0,1.0,3.0,,,1.0,,1.0,,,,,14.0,,,1.0,,,,5.0,5.0,5.0,10.0,8.0,,130.0,64.0,4.0,4.0,,3.0,6.0,3.0,9.0,,,7.0,7.0,3.0,,13.0,1.0,57.0,48.0,3.0,10.0,7.0,,,47.0,12.0,8.0,1.0,,3.0,2.0,1.0,221.0,1.0,,1.0,1.0,,,7.0,,,1.0,,,,,1.0,7.0,1.0,6.0,6.0,1.0,5.0,227.0,68.0,52.0,3.0,,3.0,8.0,7.0,803.0,,,1.0,,,86.0,43.0,22.0,,,,,136.0,136.0,8.0,24.0,25.0,71.1,1.0,2.0,,,11.0,0.0,,,,245.0,2.0,2.0,4.0,1.0,,8.0,1.0,,5.0,124.0,728.0,6.0,11.0,498.0,27.0,10.0,20.0,3.0,15.0,12.0,,161.0,2.0,340.0,,,9.0,4.0,32.0,,823.0,1.0,0.0,18.0,21.0,,14.0,0.0,999.0,33.0,19.0,6.0,7.0,15.0,0.0
