matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2444472,1,2024-08-17 15:00:00,36,Brighton,Away,329.0,13.0,1.0,4.0,3.0,,,166.0,11.0,1.0,1.0,1.0,15.0,20.0,491.0,,,13.0,18.0,13.0,5.0,2.0,1.0,2.0,0.0,,,,,,,1.0,8.0,0.0,,1.0,,1.0,4.0,6.0,3.0,9.0,1.0,81.0,51.0,2.0,1.0,1.0,1.0,7.0,2.0,5.0,,1.0,5.0,8.0,2.0,0.0,11.0,1.0,54.0,48.0,1.0,19.0,10.0,,1.0,0.970824,1.4304,,2.3748,0.0498,36.0,8.0,8.0,1.0,,3.0,,,191.0,3.0,,1.0,3.0,,1.0,12.0,3.0,,,10.0,1.0,8.0,8.0,1.0,0.0,1.0,142.0,69.0,48.0,1.0,1.0,3.0,7.0,5.0,545.0,4.0,,0.0,58.0,61.0,23.0,,,,,133.0,133.0,1.0,23.0,19.0,61.7,1.0,,,2.0,17.0,0.0,160.0,1.0,,1.0,,1.0,2.0,3.0,,1.0,5.0,71.0,465.0,7.0,10.0,355.0,30.0,19.0,18.0,4.0,14.0,10.0,,3.0,104.0,2.0,233.0,,1.0,9.0,15.0,43.0,1.0,574.0,,0.0,10.0,21.0,1.0,14.0,1.0,743.0,29.0,15.0,0.0,6.0,5.0,13.0,0.0
2444482,2,2024-08-24 12:30:00,36,Brighton,Home,254.0,23.0,2.0,6.0,4.0,1.0,1.0,159.0,5.0,1.0,6.0,1.0,5.0,30.0,407.0,,,16.0,6.0,9.0,9.0,1.0,1.0,1.0,,,,,1.0,,,,9.0,,1.0,,,3.0,3.0,8.0,3.0,10.0,4.0,68.0,52.0,2.0,,2.0,1.0,11.0,3.0,10.0,,,4.0,5.0,1.0,,5.0,,43.0,48.0,1.0,10.0,6.0,,,,,,,,52.0,9.0,13.0,1.0,,4.0,2.0,1.0,144.0,2.0,,2.0,1.0,1.0,,5.0,1.0,2.0,1.0,6.0,1.0,7.0,7.0,1.0,,6.0,128.0,45.0,30.0,4.0,1.0,6.0,6.0,5.0,453.0,2.0,1.0,,41.0,50.0,28.0,,,,,111.0,111.0,6.0,18.0,18.0,48.2,1.0,,,,19.0,0.0,137.0,2.0,1.0,2.0,,,1.0,6.0,,,5.0,86.0,386.0,11.0,12.0,269.0,40.0,10.0,24.0,4.0,12.0,8.0,,1.0,126.0,5.0,220.0,2.0,1.0,5.0,5.0,43.0,,477.0,,0.0,14.0,17.0,2.0,19.0,1.0,657.0,33.0,12.0,,10.0,4.0,12.0,0.0
2444490,3,2024-08-31 12:30:00,36,Brighton,Away,162.0,19.0,1.0,7.0,6.0,,2.0,249.0,4.0,1.0,6.0,2.0,6.0,30.0,404.0,,1.0,12.0,14.0,19.0,9.0,4.0,2.0,,,,,,,,1.0,,18.0,,,,,2.0,2.0,10.0,1.0,15.0,7.0,68.0,49.0,1.0,2.0,1.0,1.0,4.0,8.0,8.0,,,7.0,9.0,7.0,,5.0,4.0,46.0,58.0,1.0,11.0,7.0,,,,,,,,48.0,7.0,12.0,,,5.0,5.0,,147.0,,,,,,,5.0,1.0,,,7.0,,5.0,5.0,1.0,,6.0,133.0,49.0,28.0,3.0,1.0,7.0,6.0,4.0,452.0,2.0,,,99.0,32.0,27.0,,,,,118.0,118.0,3.0,16.0,19.0,64.2,,,1.0,,13.0,0.0,123.0,6.0,,6.0,,,,10.0,,,5.0,134.0,387.0,4.0,13.0,187.0,30.0,11.0,22.0,5.0,26.0,21.0,104433.0,,158.0,3.0,310.0,,1.0,8.0,6.0,40.0,1.0,471.0,1.0,0.0,22.0,18.0,1.0,14.0,2.0,655.0,33.0,12.0,,10.0,7.0,7.0,0.0
2444502,4,2024-09-14 15:00:00,36,Brighton,Home,256.0,16.0,2.0,5.0,3.0,,,239.0,5.0,,3.0,2.0,9.0,28.0,490.0,,,14.0,19.0,17.0,9.0,1.0,4.0,1.0,,1.0,,,2.0,,,,14.0,,,,,1.0,6.0,3.0,3.0,10.0,11.0,78.0,54.0,1.0,3.0,,2.0,4.0,10.0,8.0,,,9.0,11.0,7.0,,10.0,,65.0,62.0,2.0,6.0,4.0,,,,,,,,70.0,14.0,16.0,,,5.0,4.0,2.0,171.0,,,,,,,5.0,,1.0,,4.0,,9.0,9.0,,,3.0,166.0,57.0,45.0,2.0,,4.0,6.0,6.0,549.0,1.0,4.0,,64.0,58.0,36.0,,,,,147.0,147.0,4.0,18.0,28.0,68.6,,,,,15.0,0.0,155.0,,1.0,1.0,,1.0,1.0,5.0,2.0,,4.0,115.0,471.0,4.0,10.0,275.0,32.0,6.0,25.0,7.0,29.0,22.0,107816.56,1.0,159.0,5.0,324.0,1.0,,5.0,9.0,39.0,1.0,570.0,2.0,0.0,21.0,19.0,5.0,14.0,4.0,769.0,39.0,13.0,,10.0,9.0,11.0,0.0
2444511,5,2024-09-22 14:00:00,36,Brighton,Home,187.0,13.0,5.0,9.0,4.0,,1.0,297.0,1.0,3.0,8.0,1.0,8.0,17.0,475.0,,,18.0,10.0,18.0,8.0,3.0,3.0,,1.0,,,,1.0,,,1.0,8.0,,,,,2.0,8.0,4.0,,8.0,6.0,86.0,39.0,1.0,1.0,1.0,,13.0,7.0,8.0,,,9.0,23.0,10.0,,11.0,,45.0,49.0,,9.0,5.0,,,0.869792,1.0037,0.0552,1.0942,1.6827,64.0,12.0,9.0,1.0,1.0,3.0,1.0,1.0,193.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,2.0,5.0,,7.0,7.0,1.0,,9.0,123.0,55.0,43.0,1.0,1.0,4.0,7.0,3.0,525.0,1.0,1.0,,103.0,69.0,55.0,1.0,1.0,1.0,,145.0,145.0,1.0,16.0,13.0,70.4,,2.0,1.0,1.0,21.0,0.0,140.0,1.0,,2.0,,2.0,,4.0,1.0,,4.0,154.0,458.0,13.0,11.0,201.0,19.0,9.0,17.0,9.0,43.0,34.0,110302.01,,195.0,4.0,384.0,1.0,3.0,9.0,8.0,32.0,,542.0,1.0,0.0,14.0,12.0,1.0,25.0,3.0,742.0,31.0,16.0,,10.0,9.0,5.0,0.0
2444523,6,2024-09-28 15:00:00,36,Brighton,Away,261.0,12.0,,4.0,4.0,,,219.0,7.0,,2.0,6.0,9.0,19.0,476.0,,1.0,19.0,7.0,12.0,7.0,,,,,,,1.0,2.0,,,,12.0,,,,,1.0,2.0,13.0,2.0,8.0,7.0,107.0,56.0,2.0,1.0,2.0,,10.0,5.0,15.0,1.0,,2.0,7.0,7.0,,8.0,,51.0,49.0,,12.0,8.0,2.0,2.0,,,,,,68.0,8.0,11.0,1.0,,3.0,,2.0,182.0,1.0,,,1.0,,,7.0,2.0,,,8.0,,12.0,12.0,3.0,,2.0,126.0,63.0,43.0,8.0,1.0,3.0,5.0,5.0,525.0,4.0,2.0,,71.0,52.0,24.0,1.0,1.0,1.0,,136.0,136.0,10.0,18.0,25.0,58.9,,3.0,,,23.0,0.0,137.0,3.0,,2.0,,,,5.0,,,5.0,98.0,449.0,10.0,8.0,276.0,22.0,12.0,25.0,2.0,16.0,14.0,111221.62,,141.0,,292.0,,,14.0,10.0,36.0,2.0,552.0,2.0,0.0,15.0,16.0,1.0,21.0,2.0,755.0,28.0,20.0,,11.0,2.0,8.0,0.0
2444533,7,2024-10-06 16:30:00,36,Brighton,Home,180.0,11.0,1.0,5.0,4.0,,,126.0,8.0,,4.0,3.0,7.0,16.0,301.0,,,9.0,8.0,8.0,6.0,1.0,2.0,,,,,,,,,,8.0,,,,,,9.0,11.0,2.0,9.0,2.0,65.0,50.0,2.0,1.0,3.0,2.0,12.0,2.0,14.0,,,4.0,7.0,3.0,,7.0,1.0,55.0,36.0,2.0,18.0,5.0,2.0,,,,,,,36.0,14.0,10.0,1.0,,3.0,2.0,,128.0,1.0,,,1.0,,,9.0,2.0,,1.0,5.0,,11.0,11.0,2.0,,4.0,73.0,48.0,25.0,7.0,2.0,4.0,4.0,4.0,339.0,3.0,1.0,,52.0,39.0,18.0,,,,,109.0,109.0,5.0,22.0,15.0,41.0,,,3.0,,22.0,0.0,98.0,1.0,,1.0,,,,5.0,,,5.0,62.0,280.0,12.0,8.0,197.0,23.0,18.0,20.0,3.0,15.0,12.0,111933.22,,93.0,,182.0,,,22.0,7.0,48.0,2.0,364.0,1.0,0.0,11.0,12.0,1.0,12.0,2.0,540.0,27.0,10.0,,7.0,4.0,7.0,0.0
2444545,8,2024-10-19 15:00:00,36,Brighton,Away,182.0,16.0,3.0,3.0,,2.0,,115.0,5.0,1.0,6.0,10.0,8.0,27.0,294.0,,2.0,10.0,10.0,16.0,3.0,2.0,3.0,,,,,,,,,1.0,6.0,,,,,1.0,8.0,15.0,6.0,8.0,2.0,73.0,63.0,3.0,3.0,1.0,2.0,8.0,2.0,10.0,,,4.0,3.0,,,12.0,3.0,54.0,56.0,2.0,37.0,16.0,,,,,,,,41.0,9.0,11.0,1.0,,,1.0,,143.0,1.0,,1.0,,1.0,,8.0,,1.0,1.0,16.0,,9.0,9.0,2.0,,6.0,71.0,59.0,30.0,9.0,,2.0,4.0,5.0,348.0,8.0,3.0,,56.0,23.0,16.0,,,,,129.0,129.0,1.0,32.0,14.0,40.1,,,,1.0,17.0,0.0,84.0,5.0,1.0,6.0,,,,3.0,,,5.0,47.0,279.0,8.0,6.0,208.0,27.0,37.0,17.0,4.0,8.0,4.0,,,71.0,5.0,171.0,1.0,1.0,27.0,11.0,59.0,,371.0,1.0,0.0,10.0,26.0,6.0,14.0,2.0,599.0,12.0,14.0,,3.0,4.0,15.0,0.0
2444553,9,2024-10-26 15:00:00,36,Brighton,Home,183.0,19.0,2.0,6.0,4.0,1.0,1.0,216.0,4.0,,6.0,4.0,11.0,30.0,393.0,1.0,1.0,12.0,15.0,11.0,7.0,3.0,4.0,,,,,1.0,1.0,,,2.0,13.0,,,,,1.0,6.0,14.0,,13.0,6.0,82.0,62.0,1.0,1.0,1.0,2.0,10.0,8.0,12.0,,,9.0,8.0,10.0,,12.0,1.0,63.0,49.0,2.0,21.0,7.0,1.0,,,,,,,43.0,12.0,10.0,1.0,,2.0,1.0,1.0,130.0,2.0,,2.0,2.0,,,6.0,2.0,,,7.0,,9.0,9.0,,,6.0,120.0,50.0,33.0,6.0,,4.0,8.0,6.0,432.0,5.0,1.0,,57.0,46.0,40.0,,,,,128.0,128.0,8.0,20.0,27.0,51.1,,2.0,,1.0,20.0,0.0,120.0,5.0,,5.0,,2.0,,5.0,,1.0,5.0,102.0,376.0,10.0,12.0,194.0,29.0,21.0,23.0,7.0,26.0,19.0,,,133.0,3.0,284.0,,,10.0,11.0,45.0,2.0,452.0,1.0,0.0,19.0,17.0,3.0,14.0,3.0,673.0,35.0,20.0,,11.0,9.0,10.0,0.0
2444563,10,2024-11-02 15:00:00,36,Brighton,Away,244.0,21.0,1.0,5.0,4.0,1.0,,168.0,8.0,2.0,3.0,1.0,9.0,23.0,407.0,,1.0,14.0,10.0,8.0,8.0,1.0,1.0,2.0,,1.0,,1.0,2.0,,1.0,1.0,8.0,,,,,1.0,7.0,14.0,2.0,7.0,6.0,87.0,55.0,1.0,1.0,,,6.0,4.0,8.0,,,7.0,6.0,3.0,,11.0,3.0,62.0,44.0,,27.0,16.0,,,,,,,,45.0,18.0,10.0,,,3.0,,2.0,149.0,1.0,,,1.0,,,8.0,1.0,,2.0,16.0,,9.0,9.0,2.0,,3.0,108.0,51.0,32.0,10.0,1.0,3.0,7.0,5.0,447.0,6.0,3.0,,67.0,41.0,21.0,,,,,124.0,124.0,3.0,19.0,24.0,51.2,,3.0,,,16.0,0.0,125.0,6.0,,6.0,,,2.0,4.0,,,5.0,82.0,386.0,6.0,10.0,266.0,30.0,27.0,25.0,6.0,15.0,9.0,,2.0,108.0,1.0,218.0,,2.0,14.0,9.0,47.0,,469.0,1.0,0.0,13.0,18.0,3.0,18.0,2.0,674.0,24.0,17.0,,8.0,7.0,13.0,0.0
