matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2128286,1.0,2021-01-12 20:15:00,90,Burnley,Home,114.0,20.0,,,,4.0,,106.0,2.0,,4.0,9.0,4.0,29.0,220.0,,,20.0,22.0,12.0,5.0,,1.0,,,,,,,,,,10.0,,,,,9.0,9.0,4.0,6.0,5.0,,59.0,69.0,1.0,2.0,,1.0,16.0,5.0,6.0,,2.0,3.0,4.0,7.0,,6.0,1.0,54.0,32.0,1.0,18.0,10.0,,,,,,,,33.0,56.0,15.0,13.0,,1.0,,,149.0,,,,,,,4.0,,,,,,,,1.0,10.0,,11.0,11.0,1.0,4.0,55.0,67.0,32.0,4.0,,3.0,2.0,,310.0,,,4.0,,,55.0,36.0,29.0,,,,,160.0,160.0,3.0,33.0,21.0,37.3,,,,,16.0,0.0,,,,71.0,3.0,3.0,6.0,,,6.0,1.0,3.0,15.0,59.0,209.0,7.0,5.0,147.0,54.0,18.0,8.0,3.0,14.0,11.0,,106.0,6.0,201.0,,,33.0,4.0,84.0,3.0,334.0,,0.0,11.0,5.0,,22.0,1.0,506.0,16.0,15.0,2.0,3.0,3.0,0.0
2128301,2.0,2020-09-20 19:00:00,90,Burnley,Away,76.0,14.0,2.0,7.0,5.0,2.0,2.0,130.0,1.0,1.0,2.0,8.0,,20.0,199.0,,,15.0,18.0,30.0,9.0,1.0,3.0,,1.0,,1.0,1.0,,,,,10.0,,,1.0,2.0,8.0,12.0,3.0,11.0,5.0,,38.0,47.0,2.0,2.0,,2.0,11.0,3.0,4.0,,,4.0,7.0,2.0,1.0,8.0,1.0,47.0,59.0,2.0,28.0,18.0,,,,,,,,21.0,58.0,13.0,11.0,1.0,1.0,2.0,1.0,122.0,1.0,1.0,1.0,,1.0,,4.0,,,1.0,2.0,,,,1.0,18.0,1.0,12.0,12.0,2.0,2.0,68.0,57.0,17.0,15.0,,6.0,5.0,5.0,272.0,,,6.0,1.0,1.0,58.0,27.0,27.0,,,,,129.0,129.0,3.0,14.0,25.0,32.2,1.0,3.0,,,11.0,0.0,,,,64.0,2.0,1.0,3.0,2.0,,8.0,,2.0,8.0,54.0,188.0,7.0,11.0,93.0,39.0,28.0,12.0,4.0,15.0,11.0,,104.0,8.0,214.0,2.0,1.0,21.0,,56.0,1.0,292.0,,0.0,16.0,12.0,,20.0,2.0,481.0,25.0,8.0,7.0,4.0,6.0,0.0
2128307,3.0,2020-09-26 20:00:00,90,Burnley,Home,208.0,21.0,,6.0,6.0,,,172.0,2.0,1.0,4.0,9.0,6.0,32.0,374.0,,,33.0,30.0,30.0,4.0,,1.0,,,,1.0,,,,,,7.0,,,,1.0,3.0,3.0,2.0,5.0,5.0,,102.0,66.0,,,,,23.0,4.0,4.0,,,8.0,12.0,13.0,,11.0,,52.0,58.0,,11.0,2.0,,,,,,,,19.0,59.0,8.0,10.0,,3.0,2.0,1.0,196.0,,,,,,,4.0,,,,,,,,1.0,2.0,,15.0,15.0,,4.0,121.0,108.0,31.0,2.0,,1.0,3.0,2.0,507.0,,,2.0,2.0,,82.0,63.0,43.0,,,,,205.0,205.0,1.0,28.0,31.0,53.4,,,,,23.0,0.0,,,,103.0,,,,,,4.0,,,11.0,63.0,364.0,10.0,4.0,236.0,50.0,11.0,4.0,7.0,34.0,27.0,,114.0,5.0,320.0,,1.0,48.0,6.0,86.0,2.0,522.0,,0.0,10.0,15.0,,37.0,1.0,722.0,24.0,9.0,3.0,8.0,6.0,0.0
2128323,4.0,2020-10-03 20:00:00,90,Burnley,Away,179.0,24.0,2.0,4.0,2.0,1.0,,163.0,4.0,,6.0,6.0,7.0,32.0,338.0,,,18.0,23.0,33.0,5.0,1.0,2.0,,,,,,,,,,3.0,,,,2.0,6.0,6.0,4.0,6.0,1.0,,66.0,56.0,,,,2.0,13.0,2.0,9.0,,,4.0,6.0,8.0,,2.0,,51.0,60.0,2.0,9.0,6.0,,,,,,,,30.0,66.0,17.0,13.0,,1.0,2.0,,167.0,,,,,,,6.0,,,,,,,,,6.0,,10.0,10.0,1.0,6.0,113.0,80.0,41.0,3.0,1.0,2.0,4.0,3.0,431.0,,,1.0,3.0,,57.0,41.0,37.0,1.0,1.0,1.0,,168.0,168.0,1.0,27.0,21.0,52.3,,,,,13.0,0.0,,,,109.0,1.0,1.0,2.0,1.0,,2.0,,2.0,17.0,64.0,323.0,6.0,6.0,210.0,50.0,9.0,6.0,4.0,20.0,16.0,,120.0,9.0,265.0,,1.0,29.0,8.0,79.0,5.0,455.0,,0.0,7.0,13.0,,23.0,3.0,616.0,30.0,17.0,3.0,4.0,5.0,0.0
2128335,5.0,2020-10-19 17:30:00,90,Burnley,Away,114.0,22.0,,5.0,5.0,5.0,,131.0,3.0,1.0,8.0,10.0,3.0,28.0,240.0,,,21.0,29.0,25.0,6.0,,,,,1.0,1.0,,,,,,6.0,,2.0,,2.0,7.0,8.0,5.0,6.0,3.0,,56.0,61.0,1.0,2.0,,5.0,16.0,1.0,2.0,,,2.0,12.0,11.0,,11.0,5.0,60.0,62.0,5.0,15.0,5.0,,,,,,,,29.0,73.0,17.0,15.0,,5.0,5.0,1.0,165.0,,,,,,,9.0,,,,4.0,,,,1.0,5.0,2.0,6.0,6.0,,8.0,76.0,89.0,38.0,8.0,,3.0,3.0,4.0,328.0,,,2.0,1.0,,71.0,44.0,39.0,,,,,164.0,164.0,1.0,25.0,24.0,43.2,2.0,,,,16.0,0.0,,,,55.0,5.0,1.0,6.0,,,4.0,,2.0,13.0,54.0,231.0,8.0,6.0,135.0,46.0,15.0,12.0,1.0,29.0,28.0,,107.0,11.0,246.0,4.0,1.0,36.0,3.0,79.0,,352.0,,0.0,9.0,13.0,,23.0,2.0,544.0,16.0,11.0,9.0,2.0,11.0,0.0
2128339,6.0,2020-10-26 20:00:00,90,Burnley,Home,111.0,18.0,2.0,5.0,3.0,4.0,,164.0,4.0,1.0,6.0,8.0,5.0,35.0,270.0,,,13.0,27.0,26.0,7.0,2.0,2.0,,1.0,,1.0,,,,,,10.0,,,,,3.0,8.0,1.0,3.0,10.0,,85.0,59.0,1.0,1.0,,1.0,12.0,4.0,7.0,,,4.0,6.0,5.0,,7.0,1.0,52.0,55.0,1.0,16.0,9.0,,,,,,,,33.0,75.0,9.0,7.0,,1.0,,1.0,136.0,,,,,,,7.0,,,,,,,,1.0,9.0,,14.0,14.0,3.0,6.0,76.0,81.0,39.0,5.0,,2.0,7.0,4.0,341.0,,,4.0,,,44.0,66.0,26.0,,,,,136.0,136.0,4.0,14.0,25.0,38.3,,,,,12.0,0.0,,,,67.0,2.0,,2.0,,,5.0,,2.0,15.0,71.0,261.0,6.0,9.0,126.0,36.0,16.0,11.0,4.0,15.0,11.0,,127.0,4.0,253.0,,1.0,37.0,6.0,87.0,4.0,364.0,,0.0,13.0,15.0,,16.0,2.0,528.0,10.0,14.0,7.0,4.0,10.0,0.0
2128347,7.0,2020-10-31 15:00:00,90,Burnley,Home,146.0,25.0,,,,2.0,,148.0,3.0,,4.0,13.0,3.0,36.0,294.0,,1.0,13.0,14.0,9.0,4.0,,,,,,,,,,,1.0,4.0,,,,1.0,6.0,7.0,7.0,1.0,4.0,,77.0,55.0,1.0,1.0,,,15.0,1.0,8.0,,,3.0,5.0,3.0,,10.0,1.0,45.0,41.0,,16.0,7.0,1.0,,,,,,,33.0,48.0,10.0,13.0,,1.0,1.0,,143.0,,,,,,,6.0,,,,,,,,,7.0,,8.0,8.0,3.0,4.0,82.0,75.0,37.0,4.0,,3.0,1.0,,358.0,,,4.0,4.0,,32.0,63.0,19.0,,,,,138.0,138.0,4.0,22.0,20.0,36.3,,,,,15.0,0.0,,,,90.0,4.0,2.0,6.0,,,4.0,,2.0,12.0,50.0,270.0,6.0,4.0,165.0,43.0,16.0,9.0,1.0,10.0,9.0,,93.0,6.0,237.0,,,36.0,4.0,75.0,1.0,392.0,,0.0,5.0,13.0,1.0,15.0,1.0,545.0,7.0,10.0,6.0,3.0,10.0,0.0
2128357,8.0,2020-11-06 17:30:00,90,Burnley,Away,176.0,21.0,,6.0,6.0,7.0,2.0,115.0,3.0,2.0,6.0,7.0,1.0,33.0,285.0,,,13.0,13.0,25.0,2.0,1.0,1.0,,,,,,,,,,2.0,,,,1.0,1.0,12.0,7.0,3.0,1.0,,58.0,59.0,,,,2.0,11.0,,12.0,,,3.0,5.0,6.0,,6.0,,39.0,55.0,2.0,31.0,17.0,,,,,,,,23.0,41.0,5.0,10.0,,1.0,2.0,,144.0,,,,,,,7.0,,,,2.0,,,,2.0,17.0,1.0,15.0,15.0,2.0,7.0,78.0,79.0,40.0,5.0,,2.0,1.0,1.0,355.0,,,9.0,4.0,,41.0,43.0,23.0,,,,,129.0,129.0,6.0,22.0,19.0,41.1,,,,,11.0,0.0,,,,96.0,3.0,,3.0,1.0,,3.0,,2.0,15.0,43.0,274.0,5.0,3.0,202.0,33.0,31.0,10.0,3.0,16.0,13.0,,75.0,13.0,190.0,2.0,2.0,34.0,1.0,80.0,1.0,376.0,,0.0,4.0,14.0,,16.0,0.0,558.0,10.0,8.0,5.0,3.0,10.0,0.0
2128367,9.0,2020-11-23 17:30:00,90,Burnley,Home,159.0,22.0,,2.0,2.0,4.0,1.0,140.0,4.0,,2.0,6.0,2.0,32.0,297.0,,,17.0,24.0,18.0,7.0,1.0,,,,,,,,,,,8.0,,1.0,,2.0,10.0,7.0,8.0,6.0,4.0,,62.0,60.0,2.0,3.0,1.0,2.0,9.0,3.0,13.0,,,4.0,1.0,5.0,,8.0,1.0,62.0,44.0,2.0,17.0,6.0,,1.0,,,,,,28.0,54.0,13.0,8.0,1.0,,2.0,,162.0,,,,,,,11.0,,,1.0,1.0,,,,,6.0,1.0,10.0,10.0,1.0,3.0,87.0,93.0,41.0,7.0,,3.0,5.0,4.0,385.0,,,4.0,1.0,,59.0,42.0,19.0,,,,,154.0,154.0,1.0,23.0,29.0,46.1,1.0,,,1.0,9.0,0.0,,,,98.0,3.0,2.0,5.0,,,3.0,,2.0,16.0,53.0,284.0,5.0,8.0,193.0,45.0,17.0,8.0,3.0,11.0,8.0,,91.0,7.0,227.0,1.0,,28.0,3.0,81.0,2.0,409.0,,0.0,10.0,14.0,,18.0,2.0,578.0,15.0,16.0,4.0,4.0,7.0,0.0
2128382,10.0,2020-11-28 15:00:00,90,Burnley,Away,115.0,10.0,,3.0,3.0,1.0,,118.0,8.0,,1.0,4.0,1.0,18.0,230.0,,,14.0,19.0,14.0,7.0,,,,,,1.0,,,,,,7.0,,,,1.0,1.0,13.0,6.0,4.0,5.0,,66.0,50.0,,,,1.0,16.0,2.0,8.0,,1.0,4.0,5.0,8.0,,2.0,,38.0,47.0,1.0,10.0,3.0,1.0,,,,,,,29.0,46.0,4.0,12.0,,2.0,3.0,1.0,118.0,,,,,,,9.0,,,,,,,,,3.0,,12.0,12.0,2.0,1.0,72.0,54.0,20.0,6.0,,5.0,2.0,1.0,289.0,,,3.0,1.0,,42.0,35.0,26.0,,,,,125.0,125.0,7.0,15.0,24.0,31.4,,,,,16.0,0.0,,,,59.0,,1.0,1.0,,,6.0,,2.0,21.0,60.0,210.0,8.0,7.0,133.0,33.0,10.0,12.0,4.0,20.0,16.0,,98.0,6.0,202.0,,,28.0,1.0,60.0,2.0,315.0,,0.0,9.0,14.0,,16.0,0.0,479.0,13.0,11.0,7.0,4.0,9.0,0.0
