matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOneOnOne,attOpenplay,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
918895,1.0,2017-08-12 15:00:00,90,Burnley,Away,115.0,9.0,3.0,8.0,5.0,1.0,1.0,134.0,4.0,,4.0,10.0,7.0,35.0,241.0,,,4.0,17.0,22.0,2.0,3.0,,,,1.0,,1.0,,,,4.0,,1.0,,2.0,7.0,7.0,12.0,8.0,2.0,,50.0,39.0,,,,3.0,12.0,1.0,5.0,,,5.0,5.0,5.0,1.0,9.0,3.0,41.0,46.0,3.0,42.0,27.0,,,55.0,11.0,15.0,2.0,,2.0,2.0,1.0,133.0,3.0,,3.0,2.0,1.0,10.0,,,2.0,,,,,,27.0,1.0,13.0,13.0,1.0,4.0,70.0,84.0,47.0,8.0,,3.0,5.0,5.0,291.0,,,7.0,,,52.0,38.0,28.0,,,,,111.0,111.0,,17.0,13.0,38.1,1.0,,,1.0,12.0,0.0,,,,67.0,,4.0,4.0,,,4.0,,2.0,43.0,227.0,6.0,8.0,124.0,15.0,42.0,3.0,4.0,16.0,12.0,,87.0,14.0,212.0,,,32.0,10.0,72.0,1.0,320.0,,0.0,10.0,8.0,,7.0,3.0,485.0,12.0,10.0,2.0,5.0,4.0,0.0
918904,2.0,2017-08-19 15:00:00,90,Burnley,Home,189.0,20.0,1.0,8.0,7.0,4.0,,193.0,4.0,,6.0,12.0,21.0,40.0,374.0,,,18.0,20.0,24.0,11.0,1.0,,,,,,1.0,,,,11.0,,,,2.0,4.0,5.0,3.0,11.0,9.0,,78.0,40.0,2.0,2.0,,2.0,9.0,5.0,6.0,,,5.0,10.0,18.0,,9.0,,44.0,52.0,2.0,33.0,24.0,,1.0,87.0,11.0,11.0,,,2.0,1.0,1.0,175.0,,,,,,9.0,,,,1.0,,,,,24.0,,7.0,7.0,,6.0,98.0,88.0,51.0,5.0,,11.0,1.0,,447.0,,,2.0,1.0,,71.0,78.0,43.0,,,,,151.0,151.0,1.0,14.0,18.0,67.8,,,,,9.0,0.0,,,,120.0,,,,,,15.0,,2.0,98.0,358.0,3.0,12.0,213.0,35.0,33.0,9.0,4.0,33.0,29.0,,147.0,14.0,291.0,1.0,,36.0,22.0,87.0,1.0,471.0,,0.0,20.0,9.0,,22.0,1.0,665.0,20.0,14.0,9.0,6.0,8.0,0.0
918920,3.0,2017-08-27 16:00:00,90,Burnley,Away,91.0,10.0,5.0,7.0,2.0,6.0,,109.0,5.0,,11.0,6.0,9.0,30.0,193.0,,1.0,11.0,15.0,27.0,6.0,4.0,,,,,,,,,,7.0,,,,,6.0,15.0,13.0,11.0,2.0,,50.0,59.0,,,,6.0,15.0,2.0,10.0,,,7.0,7.0,6.0,,5.0,1.0,42.0,58.0,6.0,36.0,21.0,,1.0,64.0,9.0,9.0,,,,,,126.0,1.0,,1.0,1.0,,8.0,,,1.0,,,,,,21.0,,15.0,15.0,2.0,11.0,42.0,69.0,30.0,10.0,,7.0,4.0,3.0,252.0,,,17.0,,,36.0,50.0,30.0,,,,,117.0,117.0,1.0,30.0,16.0,32.7,,,1.0,,15.0,0.0,,,,54.0,4.0,,4.0,,,8.0,,3.0,47.0,183.0,8.0,11.0,107.0,26.0,36.0,10.0,7.0,20.0,13.0,,93.0,10.0,185.0,,,24.0,11.0,71.0,6.0,272.0,,0.0,13.0,16.0,4.0,13.0,0.0,474.0,19.0,8.0,6.0,7.0,9.0,0.0
918925,4.0,2017-09-10 13:30:00,90,Burnley,Home,67.0,13.0,,1.0,1.0,8.0,,94.0,6.0,,1.0,12.0,7.0,26.0,160.0,,,13.0,17.0,23.0,3.0,,,,,,,,,,,4.0,,,,,3.0,12.0,11.0,3.0,1.0,,29.0,54.0,,,1.0,3.0,22.0,,24.0,1.0,,3.0,5.0,5.0,,9.0,2.0,60.0,62.0,3.0,52.0,37.0,,,65.0,7.0,14.0,1.0,,1.0,,,127.0,,,,,,10.0,,,1.0,,,,,,37.0,,6.0,6.0,1.0,1.0,51.0,75.0,29.0,13.0,,2.0,1.0,2.0,225.0,,,14.0,2.0,,45.0,43.0,16.0,,,,,151.0,151.0,6.0,14.0,25.0,35.3,,,,,22.0,0.0,,,,47.0,2.0,2.0,3.0,1.0,,2.0,,3.0,48.0,144.0,13.0,3.0,82.0,32.0,52.0,10.0,2.0,12.0,10.0,,95.0,18.0,184.0,1.0,,25.0,7.0,66.0,8.0,254.0,,0.0,4.0,18.0,,24.0,1.0,472.0,7.0,13.0,7.0,3.0,13.0,0.0
918937,5.0,2017-09-16 15:00:00,90,Burnley,Away,89.0,10.0,2.0,3.0,1.0,7.0,1.0,97.0,8.0,,5.0,10.0,8.0,28.0,183.0,,,5.0,8.0,15.0,1.0,3.0,,,,,,,,,,2.0,,,,1.0,3.0,18.0,17.0,4.0,1.0,,37.0,64.0,1.0,1.0,,6.0,17.0,,14.0,,,2.0,2.0,1.0,,4.0,3.0,36.0,35.0,6.0,37.0,14.0,,,63.0,9.0,7.0,1.0,,2.0,2.0,,146.0,,,,,,17.0,,,1.0,1.0,,,,1.0,14.0,,7.0,7.0,1.0,5.0,46.0,83.0,41.0,12.0,,1.0,3.0,4.0,249.0,,,11.0,1.0,,52.0,28.0,18.0,,,,,125.0,125.0,1.0,26.0,19.0,28.7,,2.0,,,17.0,0.0,,,,48.0,5.0,3.0,8.0,,,1.0,,3.0,36.0,171.0,9.0,4.0,109.0,20.0,37.0,5.0,2.0,7.0,5.0,,87.0,17.0,175.0,2.0,,36.0,11.0,73.0,5.0,277.0,,0.0,5.0,11.0,,10.0,2.0,448.0,5.0,10.0,3.0,2.0,6.0,0.0
918945,6.0,2017-09-23 15:00:00,90,Burnley,Home,156.0,18.0,1.0,2.0,1.0,2.0,,179.0,2.0,1.0,6.0,14.0,8.0,43.0,333.0,,1.0,26.0,22.0,26.0,2.0,,,,,,,,,,,4.0,,,,,7.0,2.0,7.0,1.0,3.0,,90.0,70.0,1.0,1.0,,4.0,14.0,1.0,6.0,,,3.0,3.0,4.0,,19.0,1.0,61.0,60.0,4.0,22.0,10.0,,,86.0,9.0,13.0,,1.0,2.0,2.0,,187.0,,,,,,7.0,,,,1.0,,,,,10.0,,13.0,13.0,,6.0,90.0,100.0,56.0,4.0,,1.0,1.0,2.0,434.0,,,2.0,1.0,,85.0,59.0,26.0,,,,,182.0,182.0,3.0,20.0,37.0,52.0,,,,1.0,14.0,0.0,,,,89.0,1.0,1.0,2.0,,,1.0,,2.0,75.0,322.0,7.0,2.0,175.0,31.0,22.0,13.0,3.0,12.0,9.0,,148.0,14.0,293.0,1.0,1.0,46.0,9.0,89.0,5.0,456.0,,0.0,4.0,15.0,1.0,31.0,3.0,645.0,7.0,12.0,7.0,3.0,9.0,0.0
918956,7.0,2017-10-01 14:15:00,90,Burnley,Away,77.0,7.0,1.0,3.0,2.0,1.0,,105.0,8.0,1.0,1.0,13.0,5.0,38.0,179.0,1.0,,12.0,32.0,35.0,2.0,1.0,,,,,,,,,,4.0,,,,1.0,3.0,10.0,15.0,5.0,,,46.0,57.0,,,,4.0,20.0,2.0,7.0,,,3.0,10.0,1.0,,6.0,2.0,53.0,71.0,4.0,60.0,38.0,,,75.0,7.0,12.0,1.0,,3.0,3.0,,158.0,1.0,,1.0,1.0,,18.0,,,1.0,2.0,,,,,38.0,,13.0,13.0,,1.0,44.0,91.0,39.0,9.0,,1.0,3.0,2.0,258.0,,,8.0,1.0,,65.0,28.0,37.0,,,,,161.0,161.0,3.0,28.0,16.0,36.8,,,,1.0,20.0,0.0,,,,47.0,2.0,2.0,4.0,,,1.0,,1.0,52.0,162.0,10.0,4.0,98.0,29.0,60.0,9.0,3.0,17.0,14.0,,116.0,12.0,214.0,3.0,1.0,39.0,9.0,95.0,1.0,295.0,1.0,0.0,5.0,18.0,,18.0,2.0,515.0,16.0,15.0,7.0,3.0,10.0,0.0
918964,8.0,2017-10-14 15:00:00,90,Burnley,Home,130.0,20.0,4.0,10.0,6.0,,1.0,236.0,3.0,,10.0,4.0,12.0,29.0,356.0,,1.0,18.0,25.0,30.0,10.0,,,,,,,2.0,,,,14.0,,,1.0,1.0,4.0,3.0,5.0,8.0,12.0,,48.0,64.0,1.0,,1.0,1.0,10.0,7.0,6.0,,,7.0,13.0,2.0,,6.0,2.0,48.0,63.0,1.0,15.0,10.0,1.0,,72.0,11.0,14.0,1.0,,3.0,1.0,2.0,153.0,1.0,,1.0,1.0,,3.0,,,1.0,1.0,,,,2.0,10.0,1.0,6.0,6.0,,10.0,131.0,67.0,38.0,4.0,,6.0,5.0,5.0,436.0,,,1.0,1.0,,77.0,48.0,53.0,,,,,141.0,141.0,4.0,24.0,25.0,62.1,1.0,,1.0,1.0,10.0,0.0,,,,122.0,1.0,4.0,5.0,,,8.0,,3.0,113.0,344.0,4.0,11.0,153.0,45.0,15.0,12.0,6.0,22.0,16.0,,173.0,6.0,323.0,1.0,1.0,22.0,13.0,62.0,2.0,454.0,,0.0,20.0,12.0,1.0,21.0,2.0,634.0,30.0,16.0,9.0,7.0,6.0,0.0
918976,9.0,2017-10-21 15:00:00,90,Burnley,Away,80.0,10.0,2.0,3.0,1.0,2.0,,73.0,2.0,,1.0,8.0,13.0,23.0,150.0,,,13.0,13.0,6.0,2.0,1.0,,,1.0,,,1.0,,1.0,,4.0,,,,,4.0,12.0,3.0,1.0,5.0,,44.0,47.0,,,,3.0,9.0,3.0,17.0,,,5.0,6.0,1.0,,8.0,4.0,44.0,35.0,3.0,20.0,7.0,,,51.0,6.0,9.0,,,1.0,,1.0,108.0,,,,,,5.0,,,,3.0,,,,,7.0,,25.0,25.0,5.0,1.0,38.0,58.0,19.0,4.0,,1.0,2.0,,204.0,,,1.0,1.0,,41.0,25.0,19.0,1.0,1.0,1.0,,111.0,111.0,4.0,15.0,20.0,22.6,,,,,9.0,0.0,,,,37.0,6.0,1.0,7.0,,,3.0,1.0,3.0,32.0,140.0,6.0,3.0,97.0,22.0,20.0,7.0,5.0,12.0,7.0,,75.0,5.0,142.0,3.0,1.0,28.0,15.0,63.0,2.0,227.0,,0.0,6.0,14.0,,16.0,3.0,389.0,9.0,10.0,6.0,5.0,10.0,0.0
918986,10.0,2017-10-30 20:00:00,90,Burnley,Home,166.0,13.0,1.0,5.0,4.0,6.0,1.0,182.0,2.0,,3.0,11.0,16.0,33.0,343.0,,,16.0,29.0,24.0,6.0,2.0,,,,,,,,,,7.0,,,,3.0,3.0,4.0,8.0,9.0,3.0,,79.0,65.0,1.0,,1.0,1.0,11.0,4.0,7.0,,,5.0,13.0,7.0,,8.0,2.0,52.0,54.0,1.0,29.0,15.0,,,71.0,9.0,7.0,1.0,,,1.0,,190.0,1.0,,1.0,1.0,,4.0,,,1.0,2.0,,,,2.0,15.0,,11.0,11.0,1.0,3.0,86.0,101.0,55.0,3.0,,2.0,7.0,5.0,430.0,,,4.0,,,82.0,61.0,33.0,,,,,164.0,164.0,5.0,20.0,30.0,47.1,,,,,11.0,0.0,,,,96.0,1.0,4.0,5.0,,,3.0,1.0,1.0,76.0,330.0,3.0,9.0,182.0,24.0,29.0,11.0,5.0,26.0,21.0,,134.0,12.0,295.0,2.0,,44.0,17.0,76.0,4.0,451.0,1.0,0.0,12.0,14.0,1.0,22.0,3.0,649.0,17.0,15.0,9.0,5.0,11.0,0.0
