matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPenPost,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
755304,1,2014-08-18 20:00:00,90,Burnley,Home,131.0,19.0,,3.0,3.0,3.0,,160.0,3.0,,4.0,15.0,8.0,36.0,288.0,,,27.0,20.0,27.0,6.0,,,,,,,,,,,,9.0,,,,,,,,6.0,7.0,4.0,,,70.0,65.0,,,,3.0,20.0,1.0,12.0,,,4.0,7.0,4.0,,10.0,,57.0,46.0,3.0,21.0,12.0,,,82.0,6.0,6.0,,,2.0,,,183.0,1.0,,1.0,1.0,,4.0,1.0,,,12.0,,11.0,11.0,3.0,4.0,82.0,107.0,58.0,3.0,1.0,5.0,2.0,2.0,394.0,4.0,2.0,,72.0,73.0,14.0,,,,,,178.0,178.0,1.0,18.0,38.0,38.6,,,,20.0,0.0,78.0,,,,,,,6.0,,3.0,70.0,278.0,8.0,7.0,151.0,44.0,21.0,12.0,4.0,15.0,11.0,,129.0,14.0,277.0,,,41.0,11.0,80.0,3.0,413.0,,0.0,9.0,12.0,,35.0,1.0,589.0,,9.0,3.0,4.0,9.0,0.0
755321,2,2014-08-23 15:00:00,90,Burnley,Away,162.0,24.0,,3.0,3.0,4.0,,194.0,2.0,,2.0,19.0,16.0,51.0,353.0,,,24.0,19.0,22.0,7.0,,,,,,,,1.0,,,,9.0,,,,,,,2.0,6.0,6.0,4.0,,,70.0,62.0,1.0,1.0,,4.0,14.0,5.0,6.0,1.0,,3.0,12.0,9.0,,13.0,2.0,52.0,55.0,4.0,23.0,15.0,1.0,1.0,79.0,13.0,13.0,,1.0,4.0,2.0,1.0,166.0,,,,,,3.0,,1.0,1.0,15.0,,13.0,13.0,,2.0,95.0,93.0,54.0,2.0,,4.0,3.0,1.0,421.0,3.0,1.0,,52.0,67.0,25.0,,,,,,145.0,145.0,3.0,17.0,34.0,44.6,,,1.0,14.0,0.0,114.0,2.0,2.0,3.0,,,,6.0,1.0,3.0,89.0,335.0,6.0,7.0,175.0,42.0,23.0,6.0,2.0,25.0,23.0,,144.0,13.0,295.0,1.0,,39.0,19.0,86.0,1.0,445.0,,0.0,12.0,19.0,,27.0,1.0,637.0,,9.0,3.0,3.0,15.0,0.0
755324,3,2014-08-30 12:45:00,90,Burnley,Home,104.0,22.0,2.0,4.0,2.0,6.0,1.0,113.0,3.0,,7.0,8.0,8.0,33.0,213.0,,,21.0,15.0,22.0,5.0,,,,,1.0,1.0,,2.0,,,,5.0,,,,1.0,,,2.0,5.0,6.0,1.0,,,46.0,66.0,,,,9.0,17.0,2.0,12.0,1.0,,3.0,2.0,4.0,,11.0,,55.0,58.0,9.0,35.0,23.0,,,83.0,10.0,14.0,,,4.0,2.0,2.0,137.0,,,,,,8.0,,2.0,1.0,23.0,1.0,12.0,12.0,4.0,7.0,59.0,75.0,29.0,6.0,,2.0,3.0,3.0,291.0,3.0,2.0,,39.0,54.0,17.0,,,,,,153.0,153.0,2.0,24.0,30.0,36.0,1.0,,,17.0,0.0,71.0,2.0,,1.0,,,,4.0,,2.0,55.0,197.0,8.0,5.0,122.0,47.0,35.0,14.0,2.0,10.0,8.0,,119.0,16.0,201.0,2.0,,27.0,9.0,74.0,2.0,313.0,,0.0,9.0,19.0,,30.0,2.0,519.0,,13.0,4.0,3.0,12.0,0.0
755335,4,2014-09-13 15:00:00,90,Burnley,Away,106.0,15.0,2.0,7.0,5.0,6.0,1.0,192.0,3.0,,3.0,12.0,13.0,33.0,291.0,,,24.0,28.0,21.0,8.0,,,,,,,,1.0,,,,8.0,,,1.0,,,,1.0,3.0,11.0,5.0,,,56.0,64.0,,1.0,,5.0,19.0,4.0,10.0,,,6.0,9.0,7.0,,15.0,,68.0,49.0,5.0,32.0,21.0,,1.0,84.0,11.0,12.0,,,5.0,1.0,1.0,196.0,,,,,,10.0,,1.0,,21.0,,12.0,12.0,1.0,3.0,82.0,101.0,52.0,5.0,,3.0,5.0,3.0,386.0,3.0,2.0,,47.0,93.0,23.0,,,,,1.0,170.0,170.0,6.0,22.0,29.0,55.2,,,,19.0,0.0,73.0,3.0,,3.0,,1.0,,4.0,,1.0,104.0,280.0,7.0,8.0,122.0,30.0,32.0,12.0,5.0,22.0,17.0,,171.0,18.0,307.0,1.0,,37.0,16.0,69.0,1.0,407.0,,0.0,11.0,12.0,,27.0,3.0,608.0,,12.0,6.0,6.0,7.0,0.0
755344,5,2014-09-20 15:00:00,90,Burnley,Home,86.0,24.0,1.0,3.0,2.0,8.0,1.0,188.0,6.0,,4.0,15.0,1.0,49.0,271.0,,,21.0,19.0,22.0,15.0,,,,,,,,1.0,,,,13.0,,,,1.0,,,,6.0,5.0,9.0,,,56.0,67.0,1.0,1.0,,,11.0,2.0,11.0,,1.0,5.0,8.0,9.0,,9.0,2.0,53.0,61.0,,20.0,12.0,,,86.0,14.0,14.0,,1.0,3.0,1.0,1.0,170.0,,,,,,9.0,,1.0,2.0,12.0,1.0,13.0,13.0,2.0,4.0,72.0,98.0,51.0,1.0,,8.0,7.0,6.0,341.0,2.0,1.0,,61.0,77.0,34.0,,,,,,147.0,147.0,5.0,12.0,38.0,44.3,1.0,,,11.0,0.0,72.0,2.0,4.0,6.0,,,,8.0,,3.0,96.0,252.0,4.0,16.0,97.0,38.0,20.0,9.0,3.0,21.0,18.0,,153.0,20.0,294.0,1.0,,36.0,5.0,92.0,2.0,370.0,,0.0,16.0,19.0,,26.0,1.0,557.0,,10.0,7.0,5.0,15.0,0.0
755362,6,2014-09-28 16:00:00,90,Burnley,Away,175.0,16.0,2.0,4.0,2.0,2.0,,106.0,3.0,2.0,5.0,4.0,9.0,31.0,277.0,,,12.0,19.0,20.0,7.0,,,,,,,,1.0,,,,8.0,,,,,,,,3.0,9.0,11.0,,,48.0,54.0,,,,4.0,15.0,4.0,14.0,,,2.0,8.0,11.0,,6.0,1.0,51.0,37.0,4.0,49.0,33.0,,,57.0,9.0,7.0,,,1.0,,1.0,135.0,,,,,,6.0,,,,33.0,,8.0,8.0,1.0,5.0,94.0,69.0,33.0,11.0,,4.0,3.0,2.0,339.0,8.0,1.0,,34.0,48.0,16.0,,,,,,124.0,124.0,5.0,20.0,23.0,37.3,,,,15.0,0.0,82.0,1.0,1.0,2.0,,,,4.0,1.0,3.0,52.0,261.0,11.0,7.0,192.0,27.0,49.0,7.0,2.0,21.0,19.0,,90.0,8.0,188.0,,2.0,25.0,11.0,67.0,2.0,359.0,,0.0,10.0,8.0,,16.0,2.0,538.0,,8.0,3.0,2.0,3.0,0.0
755366,7,2014-10-04 15:00:00,90,Burnley,Away,92.0,13.0,2.0,5.0,3.0,5.0,,170.0,6.0,1.0,2.0,20.0,16.0,46.0,257.0,,,22.0,26.0,35.0,7.0,,,,1.0,,,,1.0,,,,8.0,,,,,,,1.0,8.0,9.0,6.0,,,50.0,74.0,1.0,,1.0,3.0,20.0,2.0,16.0,,,3.0,14.0,10.0,,8.0,3.0,65.0,76.0,3.0,39.0,27.0,,,86.0,12.0,15.0,,,3.0,3.0,1.0,169.0,1.0,,1.0,1.0,,8.0,1.0,1.0,3.0,27.0,,18.0,18.0,1.0,2.0,63.0,85.0,48.0,9.0,2.0,4.0,4.0,4.0,339.0,6.0,2.0,,49.0,73.0,29.0,,,,,,162.0,162.0,8.0,25.0,34.0,46.5,,,,20.0,0.0,85.0,1.0,3.0,4.0,,,,4.0,,3.0,92.0,238.0,8.0,8.0,113.0,24.0,39.0,14.0,2.0,29.0,27.0,,154.0,17.0,283.0,1.0,1.0,43.0,18.0,77.0,1.0,367.0,1.0,0.0,10.0,22.0,,25.0,2.0,587.0,,8.0,8.0,3.0,18.0,0.0
755374,8,2014-10-18 15:00:00,90,Burnley,Home,87.0,15.0,,11.0,11.0,2.0,,173.0,3.0,,4.0,10.0,6.0,26.0,249.0,,,32.0,25.0,13.0,11.0,1.0,,,,,,,,,,,14.0,,,,2.0,,,,1.0,16.0,6.0,,,52.0,64.0,2.0,2.0,1.0,6.0,11.0,4.0,8.0,1.0,,5.0,18.0,12.0,,9.0,,53.0,46.0,6.0,32.0,25.0,,,72.0,3.0,10.0,,,1.0,1.0,,168.0,,,,,,8.0,,2.0,,25.0,2.0,15.0,15.0,6.0,4.0,60.0,84.0,40.0,7.0,1.0,8.0,4.0,3.0,335.0,7.0,,,55.0,71.0,24.0,,,,,,174.0,174.0,4.0,25.0,28.0,46.5,2.0,,,11.0,0.0,80.0,3.0,,2.0,,,,10.0,,3.0,86.0,236.0,9.0,12.0,107.0,32.0,32.0,19.0,4.0,35.0,31.0,,142.0,11.0,288.0,2.0,,43.0,6.0,78.0,2.0,360.0,,0.0,17.0,13.0,1.0,36.0,0.0,605.0,,16.0,11.0,5.0,12.0,0.0
755383,9,2014-10-26 13:30:00,90,Burnley,Home,105.0,14.0,1.0,3.0,2.0,3.0,,161.0,4.0,1.0,8.0,11.0,5.0,35.0,263.0,,1.0,16.0,16.0,14.0,6.0,,,,,,,,1.0,,,1.0,11.0,,,,,,,,4.0,8.0,7.0,,,42.0,68.0,1.0,1.0,1.0,1.0,15.0,5.0,15.0,,,5.0,12.0,14.0,,15.0,,60.0,47.0,1.0,24.0,16.0,,1.0,76.0,12.0,7.0,1.0,,1.0,,1.0,165.0,1.0,,1.0,1.0,,6.0,1.0,,,16.0,,13.0,13.0,1.0,9.0,69.0,83.0,46.0,4.0,,4.0,3.0,3.0,337.0,5.0,2.0,,50.0,65.0,37.0,,,,,,165.0,165.0,3.0,13.0,38.0,38.1,,,1.0,15.0,0.0,82.0,1.0,2.0,3.0,,,,6.0,,3.0,77.0,246.0,8.0,7.0,119.0,31.0,24.0,12.0,4.0,30.0,26.0,,128.0,15.0,269.0,,1.0,31.0,7.0,69.0,2.0,358.0,,0.0,14.0,18.0,1.0,24.0,4.0,563.0,,12.0,9.0,5.0,11.0,0.0
755393,10,2014-11-01 15:00:00,90,Burnley,Away,112.0,11.0,,1.0,1.0,4.0,,115.0,6.0,,3.0,13.0,4.0,31.0,226.0,,1.0,15.0,14.0,19.0,3.0,1.0,,,,,,,,,,,5.0,,,,,,,,6.0,18.0,14.0,,,55.0,47.0,,1.0,,5.0,25.0,1.0,21.0,1.0,,1.0,3.0,3.0,,8.0,4.0,53.0,50.0,5.0,59.0,33.0,,,59.0,9.0,5.0,,,,,,142.0,,,,,,13.0,,1.0,1.0,33.0,,20.0,20.0,6.0,3.0,57.0,72.0,33.0,18.0,,3.0,1.0,2.0,292.0,11.0,1.0,,34.0,67.0,14.0,,,,,,130.0,130.0,3.0,22.0,14.0,32.4,,,,25.0,0.0,65.0,5.0,4.0,8.0,,1.0,,3.0,,2.0,46.0,212.0,13.0,4.0,127.0,22.0,59.0,7.0,1.0,7.0,6.0,,93.0,12.0,199.0,1.0,,38.0,6.0,75.0,4.0,319.0,1.0,0.0,6.0,21.0,1.0,20.0,1.0,535.0,,11.0,5.0,1.0,17.0,0.0
755403,11,2014-11-08 15:00:00,90,Burnley,Home,86.0,14.0,3.0,5.0,3.0,4.0,,163.0,4.0,,3.0,12.0,10.0,28.0,244.0,,,23.0,41.0,23.0,7.0,1.0,,,,,,,1.0,,1.0,,8.0,,,,,,,1.0,9.0,7.0,5.0,,,43.0,47.0,2.0,1.0,1.0,,16.0,8.0,9.0,,,7.0,5.0,10.0,,7.0,,82.0,55.0,,32.0,23.0,,1.0,83.0,17.0,14.0,1.0,,1.0,,1.0,136.0,1.0,,1.0,1.0,,9.0,1.0,1.0,1.0,23.0,,12.0,12.0,1.0,3.0,71.0,72.0,26.0,1.0,,2.0,7.0,3.0,307.0,3.0,4.0,,42.0,67.0,23.0,,,,,,148.0,148.0,3.0,16.0,19.0,47.2,,,,16.0,0.0,86.0,1.0,,1.0,,,,3.0,1.0,2.0,91.0,225.0,9.0,9.0,98.0,34.0,32.0,17.0,7.0,21.0,15.0,,152.0,12.0,259.0,1.0,,45.0,15.0,80.0,2.0,336.0,,0.0,14.0,12.0,,29.0,6.0,537.0,,12.0,8.0,7.0,7.0,0.0
755422,12,2014-11-22 15:00:00,90,Burnley,Away,48.0,9.0,,1.0,1.0,2.0,,69.0,6.0,,,10.0,6.0,26.0,116.0,,,18.0,44.0,33.0,3.0,,,,,,,,,,,,5.0,,,,,,,,3.0,13.0,12.0,,,25.0,48.0,1.0,,2.0,6.0,20.0,,14.0,,3.0,,3.0,2.0,,3.0,2.0,75.0,67.0,6.0,70.0,41.0,,2.0,60.0,9.0,10.0,2.0,,,,,124.0,1.0,,1.0,1.0,,17.0,2.0,2.0,1.0,41.0,,24.0,24.0,11.0,,43.0,85.0,36.0,14.0,,1.0,3.0,4.0,196.0,8.0,,,25.0,51.0,11.0,,,,,,143.0,143.0,,21.0,21.0,27.3,,,2.0,20.0,0.0,38.0,1.0,1.0,3.0,,,,1.0,,3.0,22.0,98.0,13.0,4.0,72.0,25.0,70.0,14.0,,5.0,5.0,,78.0,19.0,163.0,2.0,,41.0,8.0,81.0,,230.0,,0.0,5.0,18.0,,24.0,2.0,455.0,,10.0,8.0,,10.0,0.0
755423,13,2014-11-29 15:00:00,90,Burnley,Home,162.0,33.0,,6.0,6.0,1.0,1.0,173.0,,,7.0,11.0,7.0,43.0,329.0,,,29.0,24.0,19.0,7.0,,,,,,,,,,,,10.0,1.0,,,,,1.0,,1.0,10.0,8.0,,,58.0,67.0,2.0,2.0,1.0,3.0,18.0,3.0,7.0,,,1.0,7.0,11.0,,4.0,4.0,51.0,54.0,3.0,25.0,17.0,,,93.0,8.0,7.0,1.0,,4.0,3.0,,175.0,,,,,,2.0,,2.0,1.0,17.0,1.0,8.0,8.0,,7.0,96.0,89.0,49.0,5.0,,3.0,4.0,4.0,421.0,9.0,2.0,,47.0,70.0,29.0,,,,,1.0,155.0,155.0,5.0,17.0,33.0,46.6,1.0,,2.0,18.0,0.0,104.0,3.0,3.0,6.0,,,,4.0,,3.0,74.0,322.0,9.0,8.0,173.0,63.0,25.0,19.0,1.0,22.0,21.0,1.0,140.0,12.0,282.0,2.0,,32.0,9.0,84.0,1.0,433.0,,0.0,11.0,19.0,,33.0,3.0,646.0,,14.0,9.0,1.0,14.0,0.0
