matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
987700,11,2018-11-03 15:00:00,90,Burnley,Away,100.0,19.0,2.0,2.0,,7.0,,99.0,5.0,,1.0,9.0,1.0,34.0,197.0,1.0,1.0,23.0,14.0,29.0,2.0,1.0,,,,,,,,1.0,4.0,,1.0,,,,4.0,13.0,9.0,4.0,2.0,55.0,60.0,2.0,1.0,1.0,1.0,16.0,2.0,13.0,1.0,,4.0,3.0,2.0,,11.0,3.0,50.0,60.0,1.0,34.0,16.0,1.0,1.0,54.0,9.0,7.0,,,,,,152.0,2.0,1.0,2.0,1.0,1.0,,8.0,1.0,1.0,,16.0,1.0,7.0,7.0,2.0,1.0,50.0,86.0,36.0,10.0,1.0,1.0,4.0,3.0,288.0,7.0,1.0,,43.0,45.0,17.0,,,,,,152.0,152.0,2.0,32.0,22.0,37.2,1.0,,,,16.0,0.0,55.0,2.0,4.0,5.0,,,1.0,,3.0,43.0,186.0,12.0,5.0,128.0,35.0,34.0,8.0,4.0,9.0,5.0,,93.0,11.0,193.0,1.0,,45.0,2.0,85.0,2.0,312.0,1.0,0.0,6.0,19.0,4.0,24.0,4.0,495.0,6.0,12.0,5.0,4.0,14.0,0.0
987707,12,2018-11-10 15:00:00,90,Burnley,Away,92.0,10.0,1.0,4.0,3.0,6.0,,101.0,5.0,,,11.0,5.0,28.0,189.0,,,27.0,30.0,26.0,2.0,1.0,,,1.0,,2.0,,,,3.0,,,,,,4.0,13.0,9.0,3.0,3.0,35.0,56.0,,,,6.0,14.0,2.0,9.0,1.0,,1.0,5.0,3.0,,9.0,2.0,61.0,51.0,6.0,36.0,19.0,,1.0,62.0,10.0,12.0,,,5.0,2.0,2.0,142.0,,,,,,,12.0,,,1.0,19.0,,7.0,7.0,2.0,,64.0,76.0,36.0,12.0,,1.0,2.0,1.0,272.0,9.0,,,42.0,46.0,25.0,,,,,,143.0,143.0,6.0,18.0,27.0,37.0,,,,,14.0,0.0,57.0,3.0,2.0,4.0,1.0,,3.0,,3.0,38.0,178.0,9.0,3.0,109.0,33.0,36.0,8.0,1.0,11.0,10.0,,101.0,15.0,200.0,1.0,,28.0,5.0,67.0,2.0,298.0,,0.0,6.0,9.0,1.0,28.0,0.0,488.0,9.0,11.0,4.0,1.0,5.0,0.0
987714,13,2018-11-26 20:30:00,90,Burnley,Home,241.0,35.0,,5.0,5.0,4.0,1.0,251.0,3.0,,2.0,12.0,7.0,53.0,487.0,1.0,,23.0,28.0,26.0,9.0,1.0,,,,,,1.0,,,11.0,,,,,2.0,1.0,9.0,9.0,9.0,5.0,95.0,66.0,2.0,2.0,,2.0,11.0,2.0,7.0,1.0,,5.0,6.0,14.0,,9.0,1.0,52.0,67.0,2.0,21.0,13.0,,1.0,81.0,6.0,11.0,1.0,,1.0,2.0,,174.0,1.0,,1.0,1.0,,,5.0,1.0,1.0,,13.0,,8.0,8.0,1.0,2.0,162.0,97.0,68.0,5.0,,5.0,6.0,4.0,566.0,7.0,,1.0,82.0,71.0,42.0,,,,,,146.0,146.0,,34.0,29.0,56.5,,,,,11.0,0.0,154.0,1.0,1.0,1.0,,,8.0,1.0,2.0,79.0,476.0,5.0,11.0,257.0,63.0,21.0,18.0,5.0,27.0,22.0,,138.0,13.0,355.0,1.0,,26.0,8.0,86.0,1.0,585.0,1.0,0.0,14.0,15.0,,24.0,0.0,783.0,20.0,12.0,15.0,5.0,8.0,0.0
987725,14,2018-12-01 15:00:00,90,Burnley,Away,125.0,17.0,2.0,5.0,3.0,4.0,1.0,148.0,6.0,,1.0,9.0,2.0,41.0,268.0,,,22.0,20.0,24.0,2.0,2.0,,,,,,,,,1.0,,,,,,6.0,17.0,12.0,4.0,,63.0,57.0,,,,,20.0,2.0,13.0,,,2.0,10.0,9.0,,8.0,4.0,50.0,53.0,,33.0,15.0,,1.0,61.0,10.0,9.0,,,,2.0,,147.0,,,,,,,13.0,,,2.0,15.0,,15.0,15.0,1.0,2.0,83.0,75.0,51.0,10.0,,2.0,2.0,,331.0,8.0,,,76.0,57.0,29.0,,,,,,136.0,136.0,7.0,23.0,18.0,41.4,,,,1.0,20.0,0.0,64.0,5.0,2.0,7.0,,,2.0,1.0,3.0,75.0,251.0,12.0,4.0,151.0,31.0,33.0,4.0,2.0,23.0,21.0,,121.0,12.0,229.0,,,23.0,2.0,77.0,2.0,357.0,,0.0,4.0,18.0,1.0,23.0,1.0,563.0,9.0,16.0,3.0,2.0,9.0,0.0
987734,15,2018-12-05 19:45:00,90,Burnley,Home,46.0,16.0,1.0,2.0,1.0,1.0,,92.0,1.0,,4.0,6.0,7.0,19.0,136.0,,,14.0,29.0,13.0,5.0,1.0,,,,,,,,,5.0,,,,,,6.0,13.0,5.0,5.0,5.0,38.0,67.0,,1.0,1.0,2.0,13.0,1.0,6.0,1.0,,5.0,6.0,3.0,,4.0,3.0,49.0,38.0,2.0,22.0,11.0,,1.0,53.0,10.0,3.0,,1.0,,1.0,,115.0,,,,,,,3.0,,,,11.0,1.0,16.0,16.0,3.0,4.0,32.0,61.0,21.0,9.0,1.0,2.0,4.0,6.0,215.0,5.0,1.0,,43.0,33.0,20.0,,,,,,132.0,132.0,5.0,22.0,24.0,25.8,,3.0,,,13.0,0.0,43.0,6.0,3.0,8.0,1.0,,3.0,,3.0,53.0,130.0,8.0,6.0,67.0,36.0,22.0,10.0,5.0,15.0,10.0,,97.0,7.0,176.0,,,30.0,10.0,60.0,6.0,228.0,,0.0,10.0,13.0,,17.0,1.0,405.0,19.0,11.0,9.0,5.0,11.0,0.0
987744,16,2018-12-08 15:00:00,90,Burnley,Home,91.0,14.0,1.0,5.0,4.0,6.0,1.0,114.0,3.0,1.0,2.0,6.0,1.0,23.0,200.0,,,14.0,30.0,30.0,6.0,2.0,,,,,1.0,,,,7.0,,,,,4.0,8.0,8.0,6.0,10.0,4.0,33.0,49.0,1.0,1.0,,2.0,14.0,6.0,10.0,,1.0,2.0,7.0,5.0,1.0,5.0,,61.0,55.0,2.0,21.0,9.0,,1.0,73.0,11.0,11.0,,,2.0,1.0,1.0,147.0,1.0,,,,1.0,,11.0,,,1.0,9.0,,11.0,11.0,3.0,2.0,65.0,94.0,43.0,7.0,,3.0,6.0,4.0,278.0,1.0,1.0,,44.0,40.0,26.0,,,,,,158.0,158.0,2.0,13.0,23.0,37.4,,,,,14.0,0.0,62.0,1.0,,1.0,1.0,,4.0,1.0,2.0,45.0,189.0,10.0,9.0,106.0,32.0,21.0,8.0,2.0,15.0,13.0,,106.0,20.0,216.0,2.0,1.0,28.0,2.0,74.0,2.0,307.0,,0.0,14.0,12.0,,25.0,2.0,491.0,19.0,16.0,2.0,2.0,6.0,0.0
987759,17,2018-12-15 15:00:00,90,Burnley,Away,75.0,12.0,1.0,3.0,2.0,4.0,,90.0,7.0,,,9.0,5.0,33.0,162.0,,,15.0,20.0,27.0,4.0,,,1.0,,,,,,,3.0,,,,,1.0,7.0,10.0,5.0,3.0,1.0,27.0,53.0,1.0,1.0,,5.0,20.0,2.0,5.0,,,3.0,7.0,2.0,,2.0,2.0,40.0,58.0,5.0,34.0,19.0,,,56.0,8.0,6.0,,,,,,137.0,,,,,,,16.0,,,,19.0,,11.0,11.0,5.0,,58.0,67.0,26.0,8.0,,2.0,2.0,,232.0,6.0,1.0,,36.0,46.0,23.0,,,,,,136.0,136.0,3.0,29.0,15.0,29.7,,,,,20.0,0.0,42.0,2.0,,2.0,,1.0,2.0,1.0,3.0,47.0,143.0,8.0,4.0,98.0,32.0,34.0,7.0,3.0,12.0,9.0,1.0,93.0,15.0,178.0,,,31.0,6.0,82.0,1.0,264.0,,0.0,4.0,23.0,1.0,17.0,2.0,437.0,9.0,14.0,2.0,3.0,11.0,0.0
987763,18,2018-12-22 12:30:00,90,Burnley,Away,120.0,20.0,,3.0,3.0,2.0,1.0,154.0,4.0,,3.0,11.0,3.0,34.0,271.0,,1.0,13.0,17.0,23.0,3.0,,,1.0,,,,,,1.0,6.0,,,,,1.0,8.0,9.0,2.0,5.0,2.0,57.0,59.0,2.0,1.0,1.0,,4.0,2.0,8.0,,2.0,3.0,5.0,4.0,,11.0,2.0,56.0,56.0,,12.0,4.0,,,56.0,14.0,9.0,1.0,,1.0,1.0,,147.0,1.0,,,1.0,,,5.0,1.0,,,4.0,,13.0,13.0,4.0,3.0,81.0,75.0,50.0,1.0,,1.0,3.0,2.0,335.0,4.0,3.0,,67.0,42.0,27.0,,,,,,130.0,130.0,5.0,24.0,22.0,39.9,,,,,14.0,0.0,72.0,2.0,1.0,3.0,1.0,1.0,3.0,,3.0,65.0,256.0,4.0,4.0,139.0,43.0,12.0,13.0,3.0,13.0,10.0,1.0,107.0,8.0,231.0,,,26.0,4.0,67.0,4.0,357.0,,0.0,7.0,17.0,2.0,14.0,5.0,515.0,17.0,9.0,7.0,3.0,10.0,0.0
987773,19,2018-12-26 15:00:00,90,Burnley,Home,146.0,19.0,1.0,5.0,4.0,1.0,2.0,132.0,5.0,,1.0,10.0,7.0,30.0,273.0,,,22.0,53.0,38.0,3.0,3.0,,,1.0,,1.0,,,,3.0,,,,,3.0,4.0,8.0,5.0,7.0,4.0,64.0,57.0,1.0,1.0,1.0,1.0,17.0,1.0,12.0,,,5.0,8.0,2.0,1.0,7.0,1.0,83.0,70.0,1.0,20.0,12.0,,2.0,79.0,11.0,17.0,,,4.0,3.0,1.0,170.0,,,,,,,5.0,,,2.0,12.0,1.0,2.0,2.0,,1.0,73.0,84.0,38.0,7.0,,4.0,2.0,4.0,372.0,4.0,1.0,,45.0,61.0,37.0,1.0,1.0,1.0,,,172.0,172.0,1.0,16.0,37.0,49.0,,,,,17.0,0.0,94.0,1.0,,2.0,,,6.0,,3.0,60.0,257.0,8.0,6.0,163.0,64.0,20.0,5.0,5.0,18.0,13.0,,146.0,8.0,256.0,,,28.0,8.0,82.0,2.0,401.0,,0.0,11.0,17.0,,23.0,2.0,579.0,16.0,17.0,2.0,5.0,10.0,0.0
987783,20,2018-12-30 14:15:00,90,Burnley,Home,104.0,11.0,3.0,10.0,7.0,3.0,,154.0,2.0,1.0,1.0,18.0,5.0,37.0,248.0,1.0,1.0,19.0,27.0,26.0,10.0,2.0,,2.0,,,,,,1.0,14.0,,,,,2.0,7.0,8.0,3.0,14.0,3.0,68.0,60.0,5.0,4.0,1.0,2.0,24.0,3.0,9.0,,,5.0,6.0,7.0,,7.0,,66.0,61.0,2.0,33.0,14.0,,,54.0,15.0,11.0,1.0,,1.0,1.0,,140.0,2.0,,2.0,2.0,,,5.0,2.0,1.0,,14.0,,12.0,12.0,3.0,1.0,63.0,82.0,39.0,5.0,1.0,8.0,6.0,5.0,317.0,5.0,,,63.0,37.0,36.0,,,,,,139.0,139.0,2.0,15.0,36.0,43.0,,,,,24.0,0.0,67.0,3.0,1.0,4.0,,2.0,9.0,,1.0,68.0,238.0,14.0,14.0,119.0,31.0,33.0,14.0,5.0,19.0,14.0,2.0,109.0,8.0,238.0,1.0,1.0,37.0,6.0,75.0,4.0,338.0,2.0,0.0,17.0,21.0,2.0,25.0,1.0,559.0,36.0,14.0,5.0,5.0,13.0,0.0
