matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,ballRecovery,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,redCard,redCardsAgainst,redCardsFor,result,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
284103,11.0,2009-10-31 15:00:00,90,Burnley,Home,104.0,14.0,3.0,4.0,1.0,5.0,,185.0,1.0,1.0,4.0,4.0,13.0,18.0,285.0,1.0,1.0,24.0,16.0,14.0,5.0,3.0,4.0,,,,,,2.0,,1.0,,,6.0,1.0,,,,,2.0,6.0,7.0,6.0,,39.0,,3.0,7.0,,8.0,15.0,6.0,2.0,9.0,2.0,57.0,48.0,,26.0,10.0,,,,,,,,89.0,13.0,14.0,,,8.0,3.0,2.0,,1.0,,,1.0,,,5.0,,,1.0,3.0,,,,,16.0,,13.0,13.0,,,4.0,93.0,39.0,1.0,,4.0,5.0,4.0,378.0,,,4.0,,72.0,88.0,43.0,,,,,1.0,185.0,174.0,2.0,7.0,18.0,59.3,,,,2.0,0.0,,,,1.0,2.0,3.0,,,,6.0,,,3.0,102.0,275.0,9.0,123.0,31.0,37.0,15.0,5.0,29.0,24.0,,166.0,10.0,308.0,3.0,1.0,32.0,17.0,64.0,1.0,402.0,1.0,0.0,13.0,17.0,3.0,34.0,1.0,617.0,30.0,,3.0,8.0,14.0,0.0
284115,12.0,2009-11-07 15:00:00,90,Burnley,Away,111.0,16.0,1.0,5.0,4.0,1.0,2.0,167.0,4.0,1.0,1.0,11.0,17.0,24.0,273.0,,,7.0,15.0,8.0,2.0,3.0,1.0,,,,,,,,,,,4.0,1.0,,,,2.0,12.0,5.0,6.0,2.0,,52.0,6.0,1.0,7.0,,3.0,6.0,4.0,1.0,19.0,2.0,60.0,38.0,6.0,21.0,10.0,,1.0,,,,,,103.0,11.0,12.0,1.0,,3.0,2.0,,,2.0,,2.0,2.0,,,13.0,,,2.0,,,,,,16.0,,22.0,22.0,1.0,,1.0,108.0,49.0,8.0,,3.0,4.0,4.0,360.0,,,4.0,,48.0,87.0,25.0,,,,,1.0,178.0,165.0,,17.0,20.0,46.7,,2.0,1.0,1.0,0.0,,,,3.0,1.0,4.0,,2.0,,3.0,,,3.0,72.0,262.0,7.0,134.0,29.0,34.0,12.0,3.0,15.0,12.0,,142.0,6.0,277.0,,1.0,40.0,23.0,81.0,1.0,396.0,,0.0,8.0,14.0,1.0,11.0,3.0,587.0,13.0,,4.0,3.0,9.0,0.0
284122,13.0,2009-11-21 15:00:00,90,Burnley,Home,77.0,3.0,3.0,7.0,4.0,2.0,1.0,139.0,2.0,,1.0,8.0,8.0,16.0,209.0,,,28.0,14.0,10.0,7.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,8.0,,,,,1.0,5.0,6.0,4.0,8.0,,48.0,1.0,2.0,2.0,,5.0,9.0,4.0,1.0,13.0,1.0,46.0,47.0,1.0,29.0,10.0,,1.0,,,,,,72.0,7.0,13.0,,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,10.0,,,,,,,,1.0,15.0,,17.0,16.0,,,1.0,86.0,31.0,8.0,,5.0,4.0,4.0,295.0,,,5.0,,75.0,54.0,23.0,,,,,,177.0,160.0,2.0,14.0,24.0,47.4,,2.0,,2.0,0.0,,,,1.0,,1.0,,1.0,1.0,6.0,,,3.0,55.0,198.0,9.0,100.0,14.0,46.0,18.0,4.0,18.0,14.0,1.0,114.0,7.0,242.0,,1.0,31.0,10.0,55.0,2.0,324.0,,0.0,12.0,17.0,2.0,35.0,0.0,553.0,8.0,,7.0,6.0,12.0,0.0
284137,14.0,2009-11-28 15:00:00,90,Burnley,Away,123.0,15.0,3.0,6.0,3.0,5.0,,199.0,2.0,1.0,1.0,12.0,11.0,39.0,316.0,1.0,1.0,27.0,13.0,23.0,6.0,4.0,3.0,,,,1.0,,1.0,,,,,11.0,,,,1.0,,8.0,4.0,12.0,4.0,,62.0,2.0,3.0,6.0,,6.0,13.0,6.0,,25.0,,72.0,58.0,1.0,21.0,11.0,,,,,,,,111.0,16.0,9.0,2.0,,3.0,2.0,1.0,,3.0,,3.0,3.0,,,6.0,,,3.0,,,,,,13.0,1.0,11.0,11.0,1.0,,2.0,92.0,47.0,1.0,1.0,5.0,8.0,6.0,404.0,,,1.0,,55.0,80.0,36.0,2.0,2.0,2.0,,,181.0,172.0,2.0,26.0,24.0,58.4,1.0,,,,0.0,,,,1.0,1.0,2.0,,1.0,,7.0,,,3.0,108.0,310.0,13.0,137.0,20.0,29.0,20.0,6.0,27.0,21.0,,175.0,14.0,312.0,,1.0,42.0,12.0,79.0,2.0,422.0,1.0,1.0,16.0,18.0,3.0,32.0,1.0,634.0,25.0,,8.0,7.0,16.0,0.0
284146,15.0,2009-12-05 12:45:00,90,Burnley,Away,98.0,13.0,2.0,8.0,7.0,5.0,3.0,155.0,6.0,3.0,1.0,12.0,13.0,43.0,245.0,,,24.0,13.0,12.0,8.0,4.0,3.0,2.0,,,,1.0,1.0,,,,,10.0,,,,,3.0,7.0,5.0,8.0,9.0,,50.0,3.0,5.0,2.0,,4.0,15.0,7.0,,13.0,3.0,49.0,56.0,3.0,28.0,15.0,,,,,,,,105.0,17.0,16.0,,,5.0,5.0,1.0,,,,,,,,8.0,,,,,,,,2.0,25.0,,16.0,16.0,1.0,,1.0,94.0,39.0,5.0,,7.0,5.0,4.0,325.0,,,1.0,,49.0,59.0,40.0,,1.0,1.0,1.0,,169.0,152.0,2.0,19.0,18.0,53.1,,,,1.0,0.0,,,,2.0,1.0,3.0,,,2.0,8.0,1.0,,2.0,86.0,232.0,12.0,105.0,21.0,45.0,12.0,4.0,30.0,27.0,2.0,161.0,13.0,277.0,,3.0,41.0,13.0,88.0,2.0,352.0,1.0,0.0,17.0,22.0,1.0,26.0,2.0,580.0,22.0,,6.0,5.0,19.0,0.0
284152,16.0,2009-12-12 15:00:00,90,Burnley,Home,120.0,19.0,2.0,4.0,2.0,5.0,,179.0,1.0,,3.0,8.0,20.0,30.0,295.0,,,28.0,19.0,23.0,7.0,2.0,3.0,1.0,,,,,,,,,,11.0,,,,,,9.0,3.0,6.0,8.0,,71.0,2.0,3.0,5.0,1.0,7.0,14.0,10.0,,10.0,3.0,60.0,48.0,2.0,29.0,13.0,,,,,,,,93.0,13.0,8.0,,,2.0,3.0,,1.0,,,,,,,5.0,,,1.0,2.0,,,,,24.0,,15.0,15.0,1.0,,3.0,106.0,42.0,4.0,1.0,4.0,5.0,7.0,403.0,,,2.0,,77.0,83.0,35.0,,,,,,208.0,190.0,4.0,20.0,37.0,49.5,,,1.0,2.0,0.0,,,,5.0,,4.0,,,1.0,4.0,,,3.0,81.0,289.0,9.0,141.0,39.0,47.0,17.0,6.0,33.0,27.0,1.0,142.0,14.0,313.0,2.0,,29.0,23.0,69.0,1.0,421.0,1.0,0.0,14.0,13.0,1.0,39.0,0.0,657.0,14.0,,4.0,7.0,9.0,0.0
284162,17.0,2009-12-16 19:45:00,90,Burnley,Home,100.0,15.0,,3.0,3.0,4.0,1.0,146.0,3.0,1.0,3.0,12.0,14.0,30.0,243.0,,,36.0,18.0,16.0,1.0,3.0,,,,,,,1.0,,,,,5.0,1.0,,,1.0,2.0,9.0,10.0,5.0,4.0,,58.0,2.0,2.0,4.0,,3.0,14.0,2.0,,23.0,2.0,67.0,51.0,2.0,27.0,10.0,1.0,1.0,,,,,,109.0,11.0,12.0,,,5.0,2.0,1.0,,,,,,,,8.0,,,,2.0,,,,,18.0,1.0,32.0,32.0,5.0,,3.0,90.0,46.0,6.0,1.0,3.0,1.0,2.0,340.0,,,3.0,,68.0,54.0,34.0,,,,,1.0,208.0,191.0,2.0,9.0,30.0,46.3,1.0,,1.0,,0.0,,,,4.0,2.0,6.0,,,,5.0,,,3.0,73.0,231.0,4.0,122.0,30.0,44.0,15.0,3.0,21.0,18.0,,154.0,15.0,266.0,2.0,1.0,33.0,19.0,68.0,8.0,367.0,,0.0,9.0,18.0,1.0,43.0,2.0,643.0,18.0,,4.0,3.0,14.0,0.0
284179,18.0,2009-12-20 13:30:00,90,Burnley,Away,138.0,14.0,2.0,7.0,5.0,3.0,,166.0,1.0,,7.0,9.0,8.0,31.0,297.0,,,23.0,7.0,15.0,9.0,,4.0,1.0,,1.0,,,1.0,,1.0,,,7.0,,,,,,8.0,5.0,9.0,3.0,,62.0,5.0,1.0,6.0,,4.0,16.0,6.0,,16.0,5.0,49.0,57.0,5.0,30.0,10.0,,,,,,,,98.0,8.0,17.0,,,4.0,6.0,1.0,,,,,,,,6.0,,,,1.0,,,,,21.0,,11.0,11.0,2.0,,7.0,99.0,44.0,5.0,,4.0,5.0,5.0,380.0,,,3.0,,56.0,75.0,37.0,,,,,,182.0,168.0,2.0,26.0,15.0,52.9,,,,1.0,0.0,,,,5.0,2.0,7.0,,,1.0,6.0,,,3.0,84.0,286.0,9.0,158.0,25.0,44.0,19.0,4.0,32.0,28.0,1.0,151.0,10.0,282.0,1.0,,40.0,8.0,83.0,1.0,408.0,,0.0,12.0,18.0,,26.0,1.0,645.0,18.0,,7.0,5.0,12.0,0.0
284182,19.0,2009-12-26 14:00:00,90,Burnley,Home,85.0,19.0,1.0,5.0,4.0,5.0,1.0,208.0,5.0,,2.0,7.0,15.0,26.0,288.0,2.0,,36.0,27.0,20.0,13.0,,2.0,1.0,,,,,,,,,,15.0,,1.0,,,,4.0,7.0,11.0,7.0,,60.0,1.0,4.0,7.0,,8.0,14.0,10.0,,8.0,1.0,60.0,66.0,1.0,15.0,10.0,,,,,,,,103.0,10.0,14.0,1.0,1.0,2.0,1.0,,,1.0,,1.0,1.0,,,12.0,,,1.0,2.0,,,,,17.0,1.0,7.0,7.0,,,2.0,119.0,41.0,2.0,,8.0,6.0,4.0,405.0,,,1.0,,71.0,81.0,55.0,,,,,,224.0,210.0,4.0,17.0,23.0,59.6,1.0,,1.0,,0.0,,,,1.0,2.0,3.0,,,1.0,10.0,1.0,,1.0,130.0,267.0,14.0,107.0,53.0,29.0,24.0,6.0,31.0,25.0,1.0,226.0,19.0,371.0,2.0,,38.0,17.0,85.0,5.0,447.0,2.0,0.0,18.0,16.0,4.0,39.0,0.0,669.0,27.0,,16.0,8.0,13.0,0.0
284194,20.0,2009-12-28 15:00:00,90,Burnley,Away,59.0,8.0,2.0,5.0,3.0,8.0,,118.0,6.0,,,12.0,5.0,22.0,172.0,,,13.0,15.0,11.0,11.0,1.0,4.0,2.0,,,,,,,,,,11.0,,,1.0,,,14.0,12.0,7.0,8.0,,54.0,4.0,4.0,4.0,,6.0,8.0,6.0,,10.0,3.0,56.0,40.0,4.0,27.0,13.0,1.0,,,,,,,67.0,21.0,7.0,,,,,,,,,,,,,14.0,,,,3.0,,,,1.0,19.0,1.0,23.0,23.0,1.0,,,74.0,28.0,10.0,,3.0,9.0,7.0,236.0,,,9.0,,29.0,66.0,27.0,,,,,,148.0,130.0,2.0,24.0,18.0,38.8,1.0,,,2.0,0.0,,,,4.0,3.0,7.0,1.0,1.0,2.0,4.0,1.0,,3.0,72.0,164.0,12.0,83.0,17.0,45.0,10.0,6.0,20.0,14.0,2.0,121.0,12.0,203.0,3.0,,39.0,8.0,61.0,,266.0,,1.0,15.0,19.0,2.0,17.0,4.0,483.0,14.0,,3.0,6.0,14.0,0.0
