matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgRight,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2561900,1,2025-08-16 15:00:00,90,Burnley,Away,70.0,10.0,1.0,3.0,3.0,2.0,1.0,114.0,3.0,,3.0,4.0,1.0,18.0,181.0,1.0,1.0,10.0,17.0,18.0,10.0,2.0,3.0,1.0,0.0,1.0,,,1.0,,,,,,,9.0,0.0,,,,1.0,3.0,12.0,4.0,7.0,7.0,38.0,32.0,1.0,1.0,,3.0,7.0,3.0,11.0,,,5.0,6.0,2.0,0.0,9.0,1.0,47.0,45.0,3.0,25.0,19.0,,,0.982876,0.9356,0.0325,1.0692,2.6075,34.0,8.0,14.0,,,3.0,2.0,1.0,90.0,,,,,,,13.0,0.0,3.0,1.0,19.0,,7.0,7.0,1.0,0.0,3.0,62.0,45.0,21.0,6.0,0.0,5.0,7.0,4.0,218.0,1.0,1.0,0.0,41.0,19.0,31.0,,,,,108.0,108.0,1.0,11.0,14.0,32.7,,,,,15.0,0.0,56.0,3.0,,3.0,,2.0,1.0,7.0,,0.0,5.0,63.0,168.0,7.0,12.0,84.0,22.0,25.0,10.0,5.0,14.0,10.0,107508.81,1.0,96.0,3.0,176.0,3.0,,13.0,1.0,45.0,4.0,246.0,1.0,0.0,14.0,6.0,1.0,15.0,0.0,410.0,25.0,10.0,0.0,7.0,5.0,2.0,0.0
2561908,2,2025-08-23 15:00:00,90,Burnley,Home,181.0,13.0,1.0,4.0,3.0,2.0,,179.0,2.0,,7.0,2.0,5.0,15.0,356.0,,1.0,7.0,19.0,15.0,4.0,,,1.0,0.0,,,,,,,,,,1.0,6.0,0.0,,1.0,,1.0,4.0,6.0,3.0,4.0,3.0,78.0,54.0,2.0,1.0,1.0,3.0,13.0,1.0,2.0,,,4.0,8.0,4.0,0.0,10.0,1.0,48.0,45.0,3.0,29.0,20.0,,,0.485027,0.9958,,1.5816,0.6952,58.0,9.0,5.0,,,1.0,,,140.0,2.0,,2.0,2.0,,1.0,10.0,2.0,1.0,,20.0,1.0,7.0,7.0,2.0,0.0,7.0,117.0,68.0,31.0,3.0,2.0,3.0,3.0,2.0,422.0,5.0,2.0,0.0,77.0,53.0,24.0,,,,,133.0,133.0,2.0,20.0,22.0,41.9,1.0,,,2.0,22.0,0.0,107.0,1.0,,1.0,,,1.0,4.0,,0.0,5.0,89.0,348.0,13.0,6.0,198.0,31.0,29.0,11.0,3.0,15.0,12.0,115305.22,2.0,129.0,5.0,259.0,1.0,,19.0,6.0,57.0,,442.0,,0.0,7.0,22.0,2.0,11.0,0.0,632.0,17.0,12.0,0.0,3.0,4.0,11.0,0.0
2561920,3,2025-08-30 15:00:00,90,Burnley,Away,124.0,9.0,,1.0,1.0,1.0,,102.0,8.0,1.0,5.0,7.0,8.0,24.0,225.0,,1.0,6.0,21.0,22.0,1.0,,,,0.0,,,,1.0,1.0,,,,,,2.0,0.0,,,,,5.0,20.0,7.0,5.0,1.0,44.0,40.0,1.0,,2.0,,9.0,2.0,5.0,,,1.0,6.0,2.0,0.0,14.0,3.0,50.0,53.0,,39.0,27.0,,,0.50952,1.2049,0.0349,1.6582,2.1783,48.0,9.0,9.0,1.0,,2.0,1.0,1.0,138.0,1.0,,1.0,1.0,,,18.0,1.0,,1.0,27.0,,9.0,9.0,2.0,0.0,5.0,65.0,73.0,34.0,7.0,1.0,1.0,1.0,3.0,287.0,6.0,2.0,1.0,34.0,54.0,24.0,1.0,1.0,1.0,,147.0,147.0,2.0,17.0,15.0,38.2,,,,1.0,22.0,0.0,71.0,3.0,1.0,5.0,,1.0,,1.0,1.0,0.0,4.0,40.0,208.0,9.0,2.0,143.0,24.0,39.0,5.0,,9.0,9.0,113702.46,,82.0,8.0,184.0,,1.0,31.0,8.0,67.0,1.0,318.0,1.0,0.0,6.0,20.0,2.0,13.0,5.0,519.0,18.0,20.0,0.0,3.0,1.0,14.0,0.0
2561928,4,2025-09-14 14:00:00,90,Burnley,Home,33.0,7.0,,,,,,47.0,3.0,,4.0,5.0,2.0,15.0,80.0,,,3.0,27.0,16.0,1.0,1.0,,1.0,0.0,,,,,,,,,,,1.0,0.0,,,,2.0,4.0,14.0,13.0,1.0,2.0,22.0,31.0,,,,2.0,5.0,,12.0,,,1.0,,1.0,0.0,4.0,2.0,57.0,41.0,2.0,48.0,26.0,,,0.0421013,0.1337,,,1.1847,39.0,9.0,7.0,,,1.0,1.0,,109.0,,,,,,,21.0,0.0,1.0,1.0,26.0,,17.0,17.0,3.0,0.0,4.0,20.0,63.0,19.0,13.0,0.0,2.0,,,131.0,12.0,2.0,0.0,46.0,20.0,8.0,1.0,1.0,1.0,,123.0,123.0,1.0,13.0,6.0,19.0,,,,4.0,13.0,0.0,17.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,,0.0,4.0,17.0,72.0,5.0,2.0,52.0,14.0,48.0,8.0,1.0,3.0,2.0,106675.36,1.0,46.0,2.0,119.0,1.0,,22.0,2.0,62.0,3.0,168.0,,1.0,3.0,16.0,,11.0,0.0,345.0,2.0,9.0,0.0,2.0,1.0,11.0,0.0
2561938,5,2025-09-20 15:00:00,90,Burnley,Home,138.0,15.0,,8.0,8.0,1.0,1.0,142.0,2.0,,9.0,6.0,11.0,16.0,272.0,,,12.0,11.0,14.0,8.0,1.0,2.0,,0.0,,1.0,,1.0,,,,,,,5.0,0.0,1.0,,,4.0,8.0,9.0,8.0,9.0,3.0,57.0,50.0,1.0,1.0,1.0,2.0,6.0,3.0,4.0,,,4.0,11.0,8.0,0.0,5.0,4.0,36.0,45.0,2.0,35.0,17.0,,,0.751796,0.8524,0.0393,0.98,1.4656,53.0,12.0,10.0,,,4.0,3.0,1.0,120.0,1.0,,,1.0,,,5.0,1.0,1.0,,17.0,1.0,10.0,10.0,2.0,0.0,9.0,92.0,49.0,26.0,5.0,1.0,3.0,7.0,5.0,335.0,7.0,,0.0,48.0,42.0,35.0,,,,,122.0,122.0,3.0,20.0,16.0,36.8,1.0,,1.0,1.0,15.0,0.0,82.0,5.0,2.0,7.0,,,,4.0,,0.0,2.0,66.0,264.0,6.0,10.0,154.0,25.0,35.0,17.0,4.0,26.0,22.0,115253.69,,108.0,4.0,223.0,1.0,,23.0,12.0,46.0,1.0,351.0,1.0,0.0,12.0,11.0,,17.0,1.0,552.0,23.0,8.0,0.0,11.0,4.0,9.0,0.0
2561951,6,2025-09-27 15:00:00,90,Burnley,Away,150.0,22.0,,1.0,1.0,2.0,,93.0,6.0,,3.0,6.0,5.0,31.0,242.0,,,9.0,11.0,15.0,6.0,,,1.0,0.0,,,,,2.0,,,,,,6.0,0.0,,,,,5.0,15.0,8.0,5.0,4.0,48.0,33.0,,,,,19.0,5.0,14.0,,,2.0,2.0,3.0,0.0,4.0,3.0,39.0,40.0,,31.0,19.0,2.0,1.0,0.418293,0.411,,0.6136,2.752,38.0,7.0,5.0,,,1.0,,,89.0,1.0,,1.0,1.0,,,11.0,1.0,1.0,,19.0,,10.0,10.0,2.0,0.0,3.0,88.0,41.0,24.0,10.0,1.0,1.0,6.0,2.0,272.0,6.0,3.0,2.0,33.0,48.0,17.0,,,,,90.0,90.0,1.0,19.0,10.0,31.5,,,,1.0,21.0,0.0,70.0,4.0,1.0,5.0,,,1.0,2.0,,0.0,5.0,55.0,227.0,19.0,7.0,164.0,33.0,31.0,5.0,2.0,7.0,5.0,107322.12,1.0,78.0,6.0,138.0,1.0,,16.0,6.0,53.0,1.0,295.0,,0.0,9.0,20.0,,14.0,3.0,467.0,11.0,14.0,0.0,1.0,2.0,9.0,0.0
2561957,7,2025-10-05 14:00:00,90,Burnley,Away,190.0,18.0,2.0,3.0,1.0,,,144.0,2.0,,2.0,4.0,7.0,23.0,331.0,,1.0,11.0,20.0,7.0,2.0,1.0,2.0,,0.0,,,,,,,,,,,1.0,0.0,,,,1.0,7.0,12.0,3.0,3.0,2.0,59.0,45.0,1.0,,1.0,1.0,6.0,2.0,6.0,,,4.0,,3.0,0.0,8.0,4.0,56.0,44.0,1.0,5.0,2.0,,,0.406929,0.4017,,0.2861,2.0474,60.0,15.0,9.0,,,,,,122.0,1.0,1.0,1.0,,1.0,,8.0,0.0,,,2.0,1.0,13.0,13.0,3.0,0.0,2.0,122.0,43.0,13.0,6.0,0.0,1.0,3.0,2.0,386.0,3.0,,0.0,34.0,56.0,19.0,,,,,124.0,124.0,3.0,20.0,20.0,45.0,,,,,14.0,0.0,106.0,3.0,2.0,5.0,,1.0,,1.0,1.0,1.0,5.0,56.0,318.0,6.0,4.0,206.0,34.0,5.0,9.0,4.0,7.0,3.0,112947.5,,99.0,6.0,210.0,,,15.0,8.0,55.0,5.0,409.0,2.0,0.0,5.0,27.0,3.0,17.0,1.0,560.0,12.0,16.0,0.0,2.0,4.0,11.0,0.0
2561966,8,2025-10-18 15:00:00,90,Burnley,Home,135.0,7.0,,1.0,1.0,3.0,,87.0,6.0,1.0,1.0,6.0,9.0,23.0,221.0,,,13.0,25.0,18.0,1.0,,,,0.0,,,1.0,1.0,,,,,,,2.0,0.0,,,,,5.0,17.0,2.0,1.0,3.0,38.0,37.0,1.0,,1.0,10.0,5.0,,6.0,,,1.0,4.0,2.0,0.0,6.0,1.0,54.0,40.0,10.0,50.0,24.0,,1.0,0.236741,0.4517,0.0323,1.2079,0.5051,36.0,10.0,7.0,,,1.0,,1.0,97.0,2.0,,1.0,1.0,1.0,,11.0,1.0,1.0,,24.0,,17.0,17.0,1.0,0.0,2.0,87.0,50.0,26.0,5.0,1.0,1.0,2.0,3.0,271.0,3.0,1.0,0.0,24.0,26.0,14.0,,,,,115.0,115.0,,22.0,8.0,31.1,,,,2.0,15.0,0.0,70.0,3.0,1.0,4.0,,,,1.0,,1.0,4.0,37.0,211.0,5.0,3.0,157.0,17.0,50.0,9.0,1.0,7.0,6.0,110214.79,,70.0,13.0,142.0,1.0,1.0,16.0,10.0,49.0,1.0,292.0,,0.0,4.0,14.0,,20.0,2.0,485.0,3.0,15.0,0.0,2.0,1.0,8.0,0.0
2561984,9,2025-10-26 14:00:00,90,Burnley,Away,157.0,16.0,,1.0,1.0,3.0,,152.0,4.0,,8.0,6.0,4.0,27.0,308.0,,1.0,9.0,21.0,18.0,4.0,,1.0,1.0,0.0,,,,,,,,,,,7.0,0.0,,,,1.0,3.0,10.0,5.0,6.0,5.0,59.0,38.0,2.0,,2.0,6.0,9.0,3.0,7.0,,,3.0,4.0,1.0,0.0,8.0,2.0,49.0,52.0,6.0,42.0,21.0,,1.0,1.15202,1.4332,,1.8822,2.2963,56.0,7.0,12.0,2.0,,4.0,2.0,,122.0,3.0,,3.0,3.0,,,10.0,3.0,1.0,,21.0,,5.0,5.0,1.0,0.0,8.0,107.0,63.0,32.0,5.0,0.0,1.0,6.0,7.0,363.0,2.0,1.0,0.0,21.0,68.0,26.0,1.0,1.0,1.0,,134.0,134.0,2.0,19.0,5.0,42.9,,,,,19.0,0.0,103.0,4.0,1.0,5.0,,1.0,1.0,1.0,,1.0,4.0,58.0,293.0,9.0,7.0,179.0,30.0,42.0,9.0,3.0,10.0,7.0,117023.61,1.0,98.0,6.0,222.0,1.0,,20.0,4.0,63.0,2.0,391.0,,0.0,11.0,19.0,2.0,18.0,0.0,601.0,20.0,16.0,0.0,3.0,3.0,8.0,0.0
2561986,10,2025-11-01 15:00:00,90,Burnley,Home,184.0,16.0,,1.0,1.0,2.0,,165.0,4.0,,3.0,7.0,10.0,27.0,348.0,,,13.0,16.0,18.0,1.0,,,,0.0,,1.0,,1.0,,,,,,,1.0,0.0,,,1.0,1.0,6.0,9.0,3.0,2.0,1.0,79.0,34.0,1.0,1.0,,,5.0,,5.0,1.0,,1.0,6.0,5.0,0.0,8.0,4.0,47.0,49.0,,28.0,15.0,,2.0,0.441981,0.4208,0.0549,,2.5808,57.0,10.0,13.0,,,1.0,1.0,1.0,133.0,,,,,,,9.0,0.0,,,15.0,1.0,7.0,7.0,1.0,0.0,3.0,115.0,50.0,28.0,6.0,0.0,1.0,,,402.0,2.0,,0.0,46.0,52.0,22.0,,,,,132.0,132.0,2.0,13.0,14.0,46.4,1.0,,,1.0,21.0,0.0,100.0,4.0,2.0,5.0,,3.0,,3.0,,0.0,5.0,73.0,334.0,5.0,1.0,199.0,36.0,28.0,14.0,1.0,13.0,12.0,111326.41,,107.0,4.0,241.0,,,22.0,10.0,57.0,,427.0,,0.0,3.0,14.0,2.0,19.0,2.0,597.0,12.0,19.0,0.0,6.0,1.0,9.0,0.0
