matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
855174,1,2016-08-13 15:00:00,90,Burnley,Home,114.0,21.0,1.0,5.0,4.0,5.0,,140.0,5.0,,,13.0,11.0,43.0,249.0,,,29.0,32.0,20.0,5.0,,,1.0,,,,,1.0,,,,8.0,,,1.0,8.0,11.0,6.0,6.0,4.0,67.0,59.0,1.0,1.0,,4.0,17.0,2.0,8.0,1.0,,7.0,9.0,5.0,,14.0,2.0,69.0,53.0,4.0,14.0,8.0,,,92.0,10.0,14.0,,,3.0,2.0,1.0,166.0,,,,,,,9.0,,1.0,,10.0,,18.0,18.0,1.0,,55.0,83.0,41.0,4.0,,4.0,1.0,3.0,326.0,3.0,4.0,,52.0,45.0,40.0,,,,,,170.0,170.0,2.0,21.0,25.0,47.5,,,,,17.0,0.0,65.0,5.0,3.0,7.0,,,1.0,5.0,,2.0,76.0,237.0,6.0,5.0,124.0,42.0,16.0,11.0,7.0,23.0,16.0,1.0,146.0,18.0,252.0,1.0,,31.0,13.0,84.0,3.0,353.0,,0.0,10.0,14.0,,41.0,3.0,558.0,25.0,10.0,6.0,7.0,9.0,0.0
855183,28,2017-03-12 16:00:00,90,Burnley,Away,88.0,10.0,,3.0,3.0,1.0,,109.0,1.0,,5.0,11.0,2.0,33.0,194.0,,1.0,9.0,26.0,34.0,3.0,1.0,1.0,,,,,,,,,,2.0,,,5.0,8.0,6.0,4.0,6.0,5.0,56.0,61.0,1.0,,1.0,4.0,15.0,2.0,6.0,,,1.0,4.0,10.0,,3.0,1.0,51.0,69.0,4.0,53.0,36.0,,,86.0,16.0,12.0,1.0,,1.0,,,132.0,1.0,,1.0,1.0,,,6.0,1.0,,,36.0,,12.0,12.0,2.0,5.0,65.0,106.0,40.0,11.0,,4.0,1.0,1.0,283.0,5.0,1.0,,39.0,47.0,32.0,,,,,,160.0,160.0,3.0,22.0,25.0,36.1,,3.0,,2.0,15.0,0.0,56.0,1.0,,1.0,,,,8.0,,3.0,54.0,185.0,8.0,5.0,108.0,27.0,53.0,4.0,1.0,15.0,14.0,,120.0,8.0,216.0,,,52.0,2.0,97.0,3.0,309.0,,0.0,11.0,26.0,1.0,17.0,2.0,509.0,16.0,15.0,1.0,1.0,17.0,0.0
855192,3,2016-08-27 15:00:00,90,Burnley,Away,167.0,14.0,2.0,5.0,3.0,2.0,,152.0,6.0,,7.0,2.0,15.0,18.0,314.0,,,12.0,15.0,15.0,3.0,2.0,2.0,,,,,,,,,,4.0,,,,8.0,14.0,8.0,4.0,2.0,72.0,57.0,,,,6.0,18.0,2.0,11.0,1.0,,5.0,7.0,8.0,,7.0,4.0,44.0,44.0,6.0,23.0,14.0,,1.0,72.0,9.0,6.0,,,,,,147.0,,,,,,,9.0,,,,15.0,,17.0,17.0,3.0,7.0,99.0,69.0,36.0,9.0,,4.0,1.0,,389.0,6.0,1.0,,49.0,45.0,26.0,,,,,,132.0,132.0,,21.0,28.0,39.9,,,,,18.0,0.0,92.0,6.0,1.0,6.0,,,,4.0,1.0,3.0,54.0,300.0,8.0,5.0,186.0,30.0,30.0,9.0,5.0,20.0,15.0,,103.0,6.0,244.0,,,20.0,18.0,54.0,2.0,410.0,,0.0,6.0,17.0,,15.0,2.0,584.0,8.0,6.0,7.0,5.0,13.0,0.0
855204,4,2016-09-10 15:00:00,90,Burnley,Home,153.0,20.0,2.0,7.0,5.0,6.0,,168.0,7.0,,3.0,9.0,9.0,44.0,314.0,,,22.0,12.0,16.0,7.0,1.0,4.0,,,,,,,,,,10.0,,,,9.0,5.0,6.0,6.0,8.0,53.0,48.0,,,,2.0,16.0,6.0,5.0,,,5.0,6.0,7.0,,12.0,1.0,43.0,35.0,2.0,28.0,25.0,,,67.0,13.0,3.0,,,,,,145.0,1.0,,,1.0,,,13.0,1.0,1.0,,28.0,,21.0,21.0,,3.0,92.0,90.0,54.0,9.0,1.0,3.0,6.0,2.0,374.0,,1.0,,56.0,54.0,23.0,,,,,,121.0,121.0,3.0,17.0,22.0,38.8,,2.0,,,16.0,0.0,105.0,1.0,1.0,2.0,,,,6.0,1.0,3.0,58.0,300.0,5.0,9.0,162.0,42.0,33.0,9.0,5.0,18.0,13.0,,102.0,14.0,251.0,1.0,,20.0,10.0,81.0,,395.0,,0.0,14.0,10.0,,27.0,2.0,578.0,18.0,9.0,7.0,5.0,9.0,0.0
855216,5,2016-09-17 15:00:00,90,Burnley,Away,147.0,11.0,,3.0,3.0,3.0,,107.0,4.0,,2.0,9.0,17.0,33.0,251.0,,,23.0,18.0,28.0,4.0,1.0,,,,,,1.0,1.0,1.0,,,4.0,,,1.0,5.0,8.0,7.0,3.0,4.0,53.0,62.0,1.0,1.0,,4.0,22.0,1.0,8.0,,,1.0,8.0,3.0,,10.0,1.0,45.0,58.0,4.0,34.0,21.0,,,59.0,9.0,10.0,,,1.0,1.0,1.0,142.0,,,,,,,9.0,,,,25.0,,15.0,15.0,3.0,2.0,84.0,77.0,28.0,7.0,,4.0,1.0,2.0,334.0,5.0,1.0,1.0,51.0,46.0,16.0,,,,,,148.0,148.0,4.0,29.0,22.0,41.0,,,,,22.0,0.0,82.0,2.0,2.0,4.0,,,,4.0,,3.0,49.0,238.0,12.0,5.0,171.0,21.0,40.0,8.0,1.0,13.0,12.0,,94.0,8.0,203.0,,,45.0,17.0,85.0,4.0,361.0,,0.0,7.0,14.0,,25.0,1.0,550.0,6.0,10.0,7.0,1.0,13.0,0.0
855224,6,2016-09-26 20:00:00,90,Burnley,Home,110.0,9.0,4.0,7.0,3.0,6.0,,138.0,,,2.0,19.0,7.0,32.0,241.0,,,13.0,34.0,31.0,6.0,2.0,6.0,,,,,,,,,,5.0,,,2.0,5.0,5.0,7.0,10.0,3.0,60.0,62.0,,,,2.0,10.0,6.0,10.0,,,7.0,9.0,6.0,1.0,7.0,2.0,69.0,66.0,2.0,31.0,17.0,,,65.0,11.0,15.0,,,3.0,2.0,,159.0,2.0,1.0,2.0,,2.0,,4.0,,1.0,1.0,18.0,,15.0,15.0,,2.0,66.0,95.0,43.0,6.0,1.0,3.0,7.0,4.0,328.0,6.0,,,54.0,53.0,37.0,,,,,,164.0,164.0,8.0,16.0,30.0,43.5,,,,1.0,10.0,0.0,64.0,2.0,,2.0,,,,3.0,,2.0,60.0,235.0,5.0,10.0,127.0,26.0,34.0,11.0,7.0,24.0,17.0,,112.0,15.0,246.0,1.0,,44.0,8.0,78.0,5.0,349.0,1.0,0.0,13.0,18.0,,18.0,1.0,555.0,19.0,14.0,3.0,7.0,13.0,0.0
855232,7,2016-10-02 16:30:00,90,Burnley,Home,145.0,12.0,2.0,7.0,5.0,4.0,,108.0,6.0,3.0,3.0,10.0,6.0,31.0,246.0,,,21.0,14.0,20.0,8.0,2.0,3.0,,,,,,,,,,5.0,,1.0,2.0,2.0,13.0,5.0,5.0,5.0,60.0,57.0,1.0,1.0,,2.0,15.0,3.0,14.0,,1.0,2.0,10.0,8.0,,11.0,1.0,46.0,54.0,2.0,24.0,11.0,,,64.0,2.0,3.0,,1.0,,,,152.0,,,,,,,11.0,,1.0,,13.0,1.0,21.0,21.0,6.0,3.0,67.0,77.0,32.0,6.0,,6.0,4.0,1.0,332.0,6.0,,,41.0,47.0,24.0,,,,,,155.0,155.0,1.0,36.0,11.0,32.8,1.0,,,,15.0,0.0,72.0,2.0,,2.0,,,,6.0,,1.0,50.0,237.0,6.0,10.0,173.0,32.0,31.0,11.0,2.0,20.0,18.0,,100.0,17.0,198.0,1.0,3.0,28.0,6.0,76.0,4.0,351.0,,0.0,10.0,26.0,1.0,24.0,0.0,556.0,11.0,13.0,6.0,2.0,18.0,0.0
855249,8,2016-10-16 16:00:00,90,Burnley,Away,103.0,11.0,2.0,4.0,2.0,4.0,,112.0,2.0,2.0,6.0,6.0,10.0,26.0,211.0,,,15.0,20.0,25.0,4.0,,,,,,,,,,,,2.0,1.0,,3.0,6.0,24.0,10.0,4.0,2.0,55.0,45.0,,,1.0,2.0,13.0,1.0,10.0,,1.0,4.0,3.0,5.0,,4.0,3.0,47.0,49.0,2.0,33.0,20.0,,1.0,55.0,10.0,11.0,1.0,,4.0,1.0,,141.0,,,,,,,13.0,,2.0,,22.0,,16.0,16.0,1.0,6.0,48.0,84.0,37.0,8.0,,3.0,1.0,1.0,278.0,10.0,2.0,,50.0,33.0,19.0,1.0,1.0,1.0,,1.0,128.0,128.0,1.0,13.0,18.0,35.4,,,,,13.0,0.0,63.0,7.0,4.0,11.0,,,,4.0,,3.0,44.0,200.0,5.0,4.0,119.0,29.0,40.0,6.0,4.0,13.0,9.0,,92.0,10.0,201.0,2.0,2.0,24.0,10.0,74.0,1.0,307.0,,0.0,6.0,12.0,,17.0,2.0,488.0,13.0,10.0,2.0,4.0,4.0,0.0
855254,9,2016-10-22 15:00:00,90,Burnley,Home,107.0,9.0,,,,5.0,,90.0,2.0,,5.0,12.0,12.0,25.0,197.0,,,17.0,23.0,15.0,5.0,,1.0,1.0,,,,,,,1.0,,6.0,,1.0,3.0,11.0,9.0,12.0,4.0,6.0,51.0,49.0,,,1.0,4.0,18.0,3.0,14.0,,,2.0,6.0,10.0,,4.0,3.0,59.0,44.0,4.0,43.0,19.0,,1.0,56.0,16.0,15.0,2.0,,1.0,2.0,,136.0,,,,,,1.0,5.0,1.0,,,21.0,1.0,23.0,23.0,4.0,5.0,51.0,71.0,30.0,8.0,,2.0,3.0,3.0,269.0,10.0,,,31.0,41.0,25.0,,,,,,135.0,135.0,1.0,18.0,20.0,34.9,1.0,,,,18.0,0.0,56.0,3.0,4.0,7.0,,,1.0,4.0,,3.0,41.0,181.0,8.0,5.0,129.0,21.0,53.0,3.0,1.0,19.0,18.0,1.0,80.0,15.0,184.0,,,38.0,14.0,66.0,1.0,294.0,,0.0,10.0,13.0,,19.0,2.0,502.0,7.0,10.0,1.0,2.0,11.0,0.0
855264,10,2016-10-29 15:00:00,90,Burnley,Away,72.0,9.0,1.0,8.0,7.0,5.0,3.0,98.0,2.0,,4.0,9.0,8.0,37.0,162.0,,,8.0,24.0,23.0,5.0,1.0,1.0,,,,,,,,,,5.0,,,1.0,3.0,21.0,17.0,4.0,3.0,36.0,62.0,,,,3.0,11.0,1.0,13.0,,,1.0,6.0,5.0,,6.0,5.0,51.0,51.0,3.0,41.0,23.0,,1.0,68.0,9.0,12.0,,,2.0,4.0,,116.0,,,,,,,10.0,,4.0,2.0,23.0,,19.0,19.0,5.0,4.0,48.0,75.0,28.0,19.0,,5.0,1.0,1.0,219.0,19.0,,,38.0,26.0,29.0,,,,,,117.0,117.0,2.0,30.0,13.0,28.1,,,,,11.0,0.0,48.0,8.0,3.0,11.0,,,,5.0,,3.0,48.0,151.0,8.0,6.0,90.0,17.0,41.0,2.0,1.0,16.0,15.0,,94.0,11.0,174.0,4.0,,41.0,9.0,88.0,2.0,248.0,,0.0,7.0,17.0,,10.0,3.0,452.0,17.0,12.0,1.0,1.0,13.0,0.0
