playerId,playerName,position,team,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,awayGoals,oboxBlocked,substituteOn,successfulCrossesAndCorners,penaltiesConceded,putthroughBlockedDistribution,totalTouchesInOppositionBox,throwInsToOppositionPlayer,putthroughBlockedDistributionWon,homeGoals,rightFootGoals,tacklesLost,lastPlayerTackle,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,cornersWon,blocks,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,secondGoalAssists,offsides,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,shotsBlockedInBox,oboxTarget,iboxBlocked,clearancesOffTheLine,ownGoalScored,handballsConceded,headedGoals,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,cornersTakenInclShortCorners,setPiecesGoals,leftFootGoals,unsuccessfulCornersIntoBox,penaltiesTaken,redCards2ndYellow,foulWonPenalty,penaltyGoals
15864,Michael Turner,Defender,Southend United,England,2013-14,79.0,0.4807,0.0,,44.0,,82.0,22.0,22.0,119.0,676.0,,,99.0,6.0,,1944.0,42.0,107.0,6.0,50.0,515.0,,3.0,40.57,6.0,5.0,161.0,37.0,37.0,159.0,,10.0,0.0,186.0,,267.0,61.0,22.0,,,109.0,31.0,87.0,57.0,0.0,,663.0,129.0,32.0,2.0,,,199.0,42.0,993.0,28.0,448.0,,7.0,37.0,31.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,1.0,17.0,19.0,,13.0,,,12.0,1.0,1.0,1.0,3.0,1.0,4.0,23.0,24.0,38.0,51.0,,1.0,1.0,,10.0,0.1267,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
19569,Bradley Johnson,Midfielder,Derby County U21,England,2013-14,167.0,2.4698,1.0,,56.0,,269.0,32.0,28.0,353.0,1364.0,,,82.0,7.0,,2461.0,37.0,131.0,10.0,86.0,891.0,,4.0,43.2314,21.0,5.0,51.0,48.0,130.0,345.0,,25.0,0.0,298.0,,570.0,137.0,32.0,,,586.0,38.0,216.0,45.0,1.0,,1325.0,436.0,36.0,8.0,,,334.0,120.0,1783.0,25.0,432.0,,6.0,84.0,72.0,5.0,14.0,7.0,3.0,2.0256,27.0,10.0,1.0,23.0,11.0,3.0,2.0,12.0,4.0,7.0,,50.0,24.0,1.0,24.0,1.0,1.0,20.0,,6.0,11.0,39.0,20.0,8.0,12.0,48.0,73.0,115.0,7.0,5.0,3.0,12.0,25.0,1.9392,,1.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,,1.0,,2.0,1.0,1.0,1.0,0.0616,2.0,,,,,,,
18987,Robert Snodgrass,Midfielder,Luton Town,Scotland,2013-14,314.0,6.9476,0.0,,55.0,,240.0,30.0,29.0,268.0,1106.0,,,158.0,9.0,,2572.0,92.0,225.0,7.0,159.0,807.0,,3.0,43.5376,65.0,5.0,29.0,41.0,222.0,145.0,,79.0,3.0,539.0,,329.0,124.0,30.0,,,634.0,34.0,381.0,66.0,0.0,,1066.0,672.0,39.0,31.0,,,353.0,31.0,1954.0,11.0,267.0,,6.0,28.0,46.0,18.0,22.0,22.0,10.0,8.0127,49.0,6.0,2.0,92.0,88.0,6.0,2.0,8.0,1.0,63.0,,61.0,128.0,,32.0,4.0,1.0,16.0,,43.0,214.0,121.0,27.0,31.0,2.0,50.0,35.0,279.0,21.0,4.0,4.0,8.0,23.0,6.3261,,3.0,9.0,7.0,7.0,2.0,14.0,9.0,14.0,,,2.0,1.0,34.0,8.0,8.0,0.5898,140.0,1.0,4.0,98.0,1.0,,,
38297,Jonny Howson,Midfielder,Leeds United U21,England,2013-14,141.0,1.4178,0.0,,38.0,,140.0,27.0,23.0,175.0,1138.0,,,43.0,5.0,,2084.0,36.0,76.0,8.0,69.0,881.0,,3.0,45.611,19.0,3.0,21.0,45.0,105.0,285.0,,14.0,1.0,217.0,,334.0,121.0,27.0,,,576.0,37.0,174.0,7.0,0.0,,1125.0,275.0,28.0,17.0,,,351.0,82.0,1445.0,23.0,391.0,,3.0,35.0,36.0,3.0,7.0,8.0,6.0,1.2183,16.0,6.0,,24.0,18.0,2.0,2.0,7.0,4.0,4.0,,34.0,16.0,,17.0,0.0,2.0,10.0,,12.0,19.0,58.0,8.0,4.0,8.0,26.0,33.0,168.0,12.0,3.0,1.0,7.0,10.0,0.8502,,,6.0,,,1.0,,6.0,,,,,,1.0,,,,2.0,,,1.0,,,,
49277,Leroy Fer,Midfielder,Alanyaspor,Netherlands,2013-14,239.0,1.5072,1.0,,77.0,,165.0,29.0,28.0,189.0,1154.0,,,111.0,10.0,,2465.0,64.0,193.0,8.0,146.0,881.0,,3.0,41.1017,29.0,,26.0,41.0,175.0,316.0,,36.0,0.0,432.0,,286.0,160.0,29.0,,,509.0,33.0,321.0,47.0,0.0,,1137.0,317.0,60.0,34.0,,,332.0,84.0,1571.0,5.0,457.0,,5.0,24.0,44.0,1.0,9.0,19.0,2.0,4.1639,31.0,10.0,1.0,47.0,3.0,3.0,2.0,5.0,1.0,1.0,1.0,40.0,46.0,,11.0,1.0,1.0,17.0,,18.0,3.0,81.0,12.0,9.0,9.0,51.0,34.0,220.0,2.0,4.0,,5.0,24.0,4.7373,,,3.0,13.0,13.0,1.0,4.0,3.0,4.0,,,1.0,1.0,,,,,,,1.0,,,1.0,,
40451,Anthony Pilkington,Midfielder,Fleetwood Town,Ireland,2013-14,68.0,0.2223,0.0,,13.0,,43.0,15.0,10.0,51.0,232.0,,,25.0,,,831.0,13.0,46.0,1.0,34.0,174.0,,,16.5531,3.0,,6.0,19.0,55.0,70.0,,9.0,0.0,114.0,,65.0,20.0,15.0,,,106.0,18.0,89.0,12.0,0.0,,218.0,123.0,7.0,15.0,,,30.0,7.0,408.0,8.0,79.0,,2.0,8.0,9.0,3.0,5.0,4.0,7.0,2.4617,12.0,3.0,1.0,18.0,9.0,1.0,0.0,3.0,5.0,4.0,,19.0,24.0,,12.0,1.0,,6.0,,16.0,13.0,28.0,8.0,6.0,1.0,16.0,7.0,67.0,10.0,8.0,,3.0,2.0,1.8974,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0499,4.0,,,3.0,,,,
28499,Wes Hoolahan,Midfielder,Cambridge United,Ireland,2013-14,69.0,1.6064,0.0,,16.0,,73.0,16.0,10.0,87.0,409.0,,,5.0,,,800.0,4.0,50.0,5.0,49.0,300.0,,1.0,13.1465,11.0,,3.0,17.0,65.0,99.0,,20.0,0.0,119.0,,135.0,54.0,16.0,,,245.0,12.0,114.0,1.0,0.0,,397.0,188.0,12.0,13.0,,,99.0,22.0,615.0,3.0,83.0,,1.0,14.0,12.0,4.0,5.0,8.0,1.0,1.8241,12.0,6.0,1.0,31.0,13.0,1.0,1.0,3.0,6.0,6.0,,21.0,25.0,1.0,9.0,0.0,,4.0,,11.0,14.0,53.0,4.0,8.0,2.0,8.0,8.0,76.0,7.0,9.0,,3.0,4.0,1.3361,,2.0,6.0,1.0,1.0,2.0,2.0,6.0,2.0,1.0,,1.0,,1.0,1.0,1.0,0.0762,2.0,,1.0,,,,,
21060,Jonás Gutiérrez,Midfielder,Newcastle United,Argentina,2013-14,18.0,0.1433,0.0,,15.0,,21.0,6.0,3.0,23.0,87.0,,,8.0,,,260.0,4.0,30.0,1.0,26.0,63.0,,,2.7396,3.0,,2.0,5.0,14.0,24.0,,8.0,0.0,48.0,,40.0,16.0,6.0,,,51.0,4.0,40.0,4.0,0.0,,82.0,49.0,12.0,3.0,,,12.0,1.0,169.0,3.0,16.0,,0.0,2.0,3.0,3.0,1.0,,2.0,,2.0,,,,10.0,,,1.0,3.0,3.0,,9.0,5.0,1.0,5.0,,,3.0,,1.0,11.0,8.0,2.0,1.0,1.0,5.0,7.0,11.0,4.0,3.0,,1.0,1.0,0.0792,,,,,,,,,,,,2.0,,,,,,,,,,,,,
41262,Elliott Bennett,Midfielder,Shrewsbury Town,England,2013-14,12.0,0.1555,0.0,,4.0,,7.0,2.0,1.0,9.0,32.0,,,6.0,,,104.0,6.0,9.0,1.0,9.0,22.0,,,2.8745,1.0,,1.0,2.0,6.0,12.0,,2.0,0.0,21.0,,6.0,4.0,2.0,,,13.0,1.0,15.0,,0.0,,30.0,24.0,4.0,3.0,,,6.0,1.0,66.0,,12.0,,0.0,2.0,1.0,1.0,1.0,2.0,1.0,0.4405,2.0,,,3.0,3.0,,,1.0,1.0,2.0,,1.0,2.0,,,,,,,2.0,10.0,4.0,,2.0,,,1.0,8.0,3.0,,,1.0,,0.1414,,,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,,6.0,,,5.0,,,,
83283,Nathan Redmond,Forward,Blackburn Rovers U21,England,2013-14,152.0,3.3967,0.0,,54.0,,117.0,34.0,23.0,152.0,692.0,,,12.0,5.0,,2158.0,11.0,149.0,7.0,148.0,507.0,,4.0,38.4689,32.0,1.0,10.0,38.0,141.0,239.0,,37.0,1.0,301.0,,177.0,102.0,34.0,,,422.0,31.0,289.0,1.0,0.0,,665.0,415.0,40.0,57.0,,,86.0,33.0,1297.0,14.0,157.0,,2.0,35.0,24.0,20.0,16.0,25.0,10.0,5.4278,50.0,3.0,3.0,51.0,86.0,1.0,0.0,14.0,11.0,39.0,,43.0,63.0,,22.0,1.0,1.0,14.0,,54.0,112.0,98.0,25.0,29.0,,15.0,32.0,190.0,9.0,11.0,,14.0,1.0,2.6994,,4.0,15.0,9.0,9.0,3.0,2.0,15.0,2.0,,,,,16.0,5.0,5.0,0.3232,39.0,,,20.0,,,,
17812,David Fox,Midfielder,Plymouth Argyle,England,2013-14,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18665,Alexander Tettey,Midfielder,Norwich City,Norway,2013-14,76.0,0.7003,0.0,,43.0,,93.0,21.0,17.0,110.0,901.0,,,57.0,6.0,,1488.0,27.0,93.0,2.0,63.0,741.0,,2.0,24.9015,14.0,3.0,32.0,23.0,49.0,271.0,,12.0,0.0,169.0,,252.0,91.0,21.0,,,374.0,21.0,112.0,30.0,0.0,,889.0,142.0,31.0,9.0,,,241.0,50.0,1112.0,12.0,419.0,,7.0,17.0,43.0,2.0,4.0,3.0,,0.7351,10.0,1.0,,17.0,4.0,1.0,0.0,4.0,4.0,2.0,,20.0,2.0,,11.0,1.0,1.0,12.0,,2.0,4.0,14.0,7.0,4.0,5.0,23.0,42.0,137.0,1.0,6.0,,4.0,10.0,0.4636,,,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,
114245,Josh Murphy,Midfielder,Portsmouth,England,2013-14,19.0,0.0395,0.0,,2.0,,7.0,9.0,,7.0,34.0,,,3.0,,,131.0,3.0,9.0,2.0,9.0,24.0,,,4.7385,,,1.0,5.0,16.0,15.0,,2.0,0.0,28.0,,9.0,4.0,9.0,,,19.0,3.0,25.0,,0.0,,32.0,35.0,1.0,5.0,,,5.0,3.0,85.0,2.0,9.0,,1.0,,,1.0,1.0,1.0,4.0,0.0195,4.0,,,1.0,7.0,,,1.0,9.0,1.0,,4.0,6.0,,3.0,,,1.0,,6.0,10.0,9.0,3.0,4.0,1.0,1.0,,5.0,1.0,,,1.0,1.0,0.144,,,1.0,,,,,1.0,,,,,,,,,,2.0,,,2.0,,,,
28221,Gary Hooper,Forward,Maldon & Tiptree,England,2013-14,94.0,1.3794,0.0,,10.0,,81.0,32.0,22.0,82.0,554.0,,,32.0,2.0,,2018.0,26.0,32.0,7.0,26.0,456.0,,1.0,34.5807,35.0,,5.0,37.0,68.0,142.0,,12.0,2.0,126.0,,61.0,38.0,32.0,,,365.0,30.0,94.0,6.0,0.0,,530.0,184.0,5.0,4.0,,,134.0,16.0,759.0,,110.0,,0.0,1.0,16.0,3.0,8.0,21.0,,7.2433,34.0,1.0,2.0,98.0,10.0,6.0,1.0,2.0,10.0,3.0,,22.0,88.0,,5.0,5.0,6.0,5.0,,9.0,10.0,49.0,13.0,16.0,,17.0,7.0,217.0,,12.0,2.0,2.0,2.0,5.8632,,5.0,7.0,8.0,8.0,5.0,6.0,7.0,6.0,,,3.0,,,,,,,,,,1.0,,1.0,1.0
4739,Johan Elmander,Forward,Norwich City,Sweden,2013-14,179.0,1.826,0.0,,39.0,,142.0,29.0,16.0,149.0,474.0,,,159.0,,,1487.0,108.0,109.0,5.0,58.0,315.0,,,26.621,21.0,,8.0,25.0,71.0,113.0,,17.0,0.0,288.0,,111.0,26.0,29.0,,,253.0,20.0,129.0,51.0,0.0,,467.0,222.0,32.0,7.0,,,114.0,10.0,698.0,5.0,73.0,,3.0,7.0,23.0,1.0,6.0,5.0,1.0,0.9438,19.0,5.0,4.0,47.0,11.0,1.0,1.0,2.0,13.0,1.0,,29.0,56.0,,17.0,0.0,1.0,7.0,,4.0,11.0,34.0,14.0,11.0,,25.0,16.0,136.0,1.0,14.0,1.0,2.0,11.0,2.9173,1.0,14.0,,4.0,4.0,5.0,4.0,,4.0,,,1.0,,,,,,,,,,,,,
114242,Jamar Loza,Forward,Barnet,Jamaica,2013-14,1.0,0.013,0.0,,,,1.0,1.0,,1.0,13.0,,,,,,32.0,,2.0,,2.0,12.0,,,1.4998,,,,1.0,1.0,2.0,,1.0,0.0,3.0,,4.0,,1.0,,,9.0,1.0,3.0,,0.0,,13.0,4.0,,1.0,,,1.0,,19.0,,3.0,,0.0,,,,,1.0,,0.1841,1.0,,,1.0,,,,,1.0,,,,3.0,,,,,,,1.0,,1.0,,,,,,6.0,,,,,,0.0369,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
19791,Luciano Becchio,Forward,Rotherham United,Argentina,2013-14,14.0,0.0213,0.0,,,,7.0,5.0,,7.0,20.0,,,11.0,,,54.0,8.0,5.0,,2.0,13.0,,,0.7511,1.0,,3.0,,6.0,4.0,,2.0,0.0,19.0,,6.0,1.0,5.0,,,11.0,,8.0,3.0,0.0,,20.0,10.0,,1.0,,,4.0,,32.0,,2.0,,0.0,,,,,,,,1.0,1.0,,1.0,,,,,5.0,,,1.0,2.0,,1.0,,,,,,,3.0,1.0,,,3.0,1.0,6.0,,,,,,0.0454,,,,,,,,,,,,1.0,,,,,,,,,,,,,
50165,Ricky van Wolfswinkel,Forward,FC Twente,Netherlands,2013-14,147.0,1.5967,0.0,,20.0,,55.0,25.0,16.0,56.0,271.0,,,92.0,1.0,,1394.0,77.0,49.0,6.0,34.0,207.0,,3.0,19.767,11.0,1.0,14.0,19.0,70.0,65.0,,16.0,0.0,196.0,,48.0,24.0,25.0,,,163.0,13.0,104.0,15.0,0.0,,265.0,128.0,15.0,,,,64.0,8.0,463.0,2.0,53.0,,1.0,1.0,14.0,1.0,13.0,9.0,1.0,3.4348,19.0,,1.0,30.0,10.0,1.0,0.0,4.0,9.0,1.0,,19.0,57.0,1.0,11.0,1.0,,5.0,,6.0,10.0,26.0,10.0,13.0,1.0,38.0,6.0,94.0,1.0,11.0,,4.0,12.0,4.0509,,7.0,2.0,6.0,6.0,,9.0,2.0,9.0,,,,1.0,,,,,,,,,,,,
