playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,expectedAssists,fiftyFifty,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulLaunches,headedGoals,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,throughBalls,penaltiesConceded,redCards2ndYellow,clearancesOffTheLine,overruns,cornersTakenInclShortCorners,successfulCornersIntoBox,attemptsFromSetPieces,unsuccessfulCornersIntoBox,handballsConceded,leftFootGoals,expectedGoalsFreekick,freekickTotal,ownGoalScored,secondGoalAssists,foulWonPenalty,penaltiesTaken,penaltyGoals,goalkeeperSmother,drops
490161,Abu Kamara,Forward,Norwich,45,England,2021-22,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432735,Adam Idah,Forward,Norwich,45,Ireland,2021-22,0.0,0.0,0.0,56.0,4.0,0.4721,32.0,4.0,4.0,2.0542,9.0,10.0,39.0,17.0,1.0,4.0,19.0,6.0,43.0,9.0,132.0,1.0,10.0,0.0,2.0,11.0,43.0,1.0,1.0,4.0,2.0,620.0,2.0,1.0,27.0,47.0,2.0,13.0,31.0,86.0,30.0,1.0,2.0,11.9287,4.0,7.0,11.0,2.0,29.0,30.0,10.0,1.0,103.0,2.0,1.0,32.0,29.0,17.0,1.0,1.0,3.0,8.0,75.0,9.0,9.0,21.0,2.0,60.0,16.0,130.0,6.0,6.0,100.0,6.0,12.0,2.0,28.0,7.0,3.0,3.0,42.0,268.0,2.0,3.0,1.0,2.0,4.0,18.0,3.0,2.3135,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466404,Andrew Omobamidele,Defender,Norwich,45,Ireland,2021-22,0.0,0.0,1.0,19.0,,0.0292,9.0,1.0,1.0,0.4074,8.0,1.0,26.0,5.0,,,5.0,4.0,36.0,,227.0,1.0,,0.0,,1.0,15.0,,,,,381.0,,,10.0,18.0,2.0,2.0,13.0,177.0,2.0,2.0,1.0,9.0237,,13.0,9.0,1.0,9.0,32.0,5.0,0.0,37.0,,1.0,87.0,29.0,5.0,,,2.0,,61.0,7.0,,,1.0,22.0,5.0,220.0,,,44.0,6.0,,8.0,83.0,3.0,5.0,14.0,25.0,286.0,6.0,,,,4.0,130.0,,0.2463,10.0,18.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107265,Angus Gunn,Goalkeeper,Norwich,45,Scotland,2021-22,0.0,0.0,0.0,1.0,,0.0031,,,,,,,5.0,9.0,,,,9.0,96.0,,258.0,,,0.0,,,3.0,1.0,,,,810.0,,,1.0,2.0,3.0,,,99.0,,,2.0,20.9378,,13.0,22.0,,,37.0,,0.0,3.0,,0.0,145.0,75.0,9.0,,,,,27.0,19.0,,,,,2.0,120.0,,,99.0,,,,76.0,,,63.0,,359.0,,,,,40.0,135.0,,,91.0,25.0,15.0,,1.0,3.0,8.0,1.0,4.0,1.0,2.0,35.0,1.0,111.0,22.0,9.0,27.0,,,,,,,,,,,,,,,,,,,,
220686,Bali Mumba,Defender,Norwich,45,England,2021-22,0.0,0.0,0.0,2.0,,0.0014,2.0,,,,1.0,,1.0,1.0,,,1.0,,2.0,,9.0,,,0.0,,1.0,1.0,,,,,45.0,,,1.0,1.0,,,1.0,7.0,,,,1.9523,,5.0,3.0,,1.0,3.0,,0.0,3.0,,0.0,4.0,2.0,1.0,,,,1.0,2.0,3.0,,1.0,,2.0,,9.0,,,4.0,1.0,,,,,,,2.0,19.0,,,,,1.0,5.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
83312,Ben Gibson,Defender,Norwich,45,England,2021-22,0.0,1.0,3.0,60.0,,0.3181,39.0,1.0,4.0,0.9591,23.0,7.0,112.0,28.0,,1.0,23.0,28.0,255.0,1.0,1366.0,,,0.0,,,92.0,6.0,1.0,,3.0,2495.0,3.0,,39.0,89.0,6.0,17.0,36.0,1016.0,23.0,3.0,6.0,45.4147,3.0,137.0,55.0,1.0,21.0,434.0,9.0,0.0,149.0,6.0,0.0,591.0,108.0,28.0,1.0,,7.0,2.0,307.0,49.0,1.0,4.0,1.0,57.0,53.0,1318.0,3.0,1.0,275.0,16.0,5.0,30.0,248.0,12.0,27.0,95.0,93.0,1674.0,6.0,,,,52.0,804.0,6.0,1.3552,143.0,78.0,12.0,,,,,,,,,,,1.0,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,
243568,Billy Gilmour,Midfielder,Norwich,45,Scotland,2021-22,0.0,0.0,2.0,102.0,3.0,,47.0,9.0,3.0,,41.0,9.0,122.0,24.0,1.0,9.0,23.0,21.0,185.0,10.0,1136.0,,1.0,,,3.0,33.0,2.0,,34.0,,1858.0,,,20.0,90.0,4.0,32.0,77.0,870.0,5.0,,7.0,,24.0,29.0,52.0,,82.0,267.0,21.0,0.0,192.0,17.0,,337.0,124.0,24.0,,,20.0,7.0,469.0,48.0,64.0,18.0,,159.0,13.0,1097.0,6.0,12.0,302.0,21.0,15.0,4.0,297.0,28.0,17.0,81.0,235.0,1485.0,6.0,6.0,,,13.0,516.0,20.0,,63.0,54.0,1.0,,,,,,,,,,,,,,,2.0,1.0,,,3.0,64.0,21.0,2.0,42.0,2.0,,,,,,,,,,
232937,Brandon Williams,Defender,Norwich,45,England,2021-22,0.0,0.0,8.0,104.0,3.0,1.3792,58.0,,1.0,0.3061,55.0,4.0,126.0,26.0,1.0,2.0,35.0,23.0,170.0,11.0,934.0,,,0.0,,3.0,31.0,2.0,1.0,3.0,,2123.0,,,17.0,133.0,4.0,34.0,119.0,723.0,34.0,44.0,7.0,47.1368,20.0,45.0,52.0,,87.0,383.0,44.0,0.0,237.0,20.0,0.0,356.0,158.0,26.0,1.0,,18.0,19.0,327.0,48.0,11.0,36.0,,206.0,14.0,913.0,3.0,7.0,312.0,37.0,20.0,6.0,36.0,23.0,44.0,41.0,159.0,1513.0,132.0,4.0,,,21.0,440.0,15.0,0.24,44.0,73.0,5.0,,,,,,,,,,,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,
192303,Christoph Zimmermann,Defender,Norwich,45,Germany,2021-22,0.0,0.0,0.0,2.0,,0.0091,3.0,,1.0,0.1147,6.0,2.0,10.0,3.0,,,3.0,2.0,17.0,,63.0,,,0.0,,1.0,2.0,,1.0,,,157.0,,,,11.0,1.0,1.0,9.0,44.0,1.0,,,5.4374,,4.0,8.0,,2.0,12.0,2.0,0.0,13.0,,0.0,38.0,11.0,3.0,1.0,,3.0,,13.0,7.0,,,,11.0,2.0,60.0,1.0,,18.0,3.0,1.0,,11.0,1.0,1.0,2.0,2.0,80.0,,2.0,,,5.0,33.0,1.0,0.0473,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439509,Christos Tzolis,Forward,Norwich,45,Greece,2021-22,0.0,0.0,0.0,26.0,2.0,0.5756,10.0,3.0,2.0,,5.0,3.0,16.0,14.0,,,5.0,3.0,24.0,4.0,96.0,,2.0,0.0,1.0,11.0,14.0,,,2.0,2.0,327.0,2.0,,11.0,12.0,,8.0,9.0,69.0,18.0,,2.0,10.2849,8.0,1.0,9.0,2.0,15.0,27.0,4.0,0.0,38.0,3.0,0.0,27.0,13.0,14.0,,,2.0,2.0,50.0,9.0,5.0,6.0,2.0,24.0,3.0,96.0,1.0,2.0,45.0,3.0,,,15.0,2.0,1.0,3.0,27.0,147.0,1.0,3.0,,1.0,2.0,24.0,,0.4421,8.0,5.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,
