playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,totalRedCards,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,aerialDuels,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,successfulPassesOwnHalf,yellowCards,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,throughBalls,cleanSheets,successfulCrossesAndCorners,throwInsToOppositionPlayer,successfulLaunches,tacklesLost,blocks,unsuccessfulLaunches,unsuccessfulLongPasses,secondGoalAssists,cornersTakenInclShortCorners,penaltyGoalsConceded,overruns,successfulCornersIntoBox,leftFootGoals,headedGoals,attemptsFromSetPieces,unsuccessfulCornersIntoBox,clearancesOffTheLine,hitWoodwork,handballsConceded,setPiecesGoals,penaltiesConceded,ownGoalScored,gkUnsuccessfulDistribution,punches,penaltiesSaved,catches,savesMade,savesMadeFromOutsideBox,goalKicks,gkSuccessfulDistribution,penaltiesFaced,savesMadeParried,savesMadeFromInsideBox,savesFromPenalty,penaltiesTaken,redCards2ndYellow,otherGoals,penaltyGoals,savesMadeCaught,drops,crossesNotClaimed,lastPlayerTackle
1409,Aaron Wilbraham,Forward,Norwich,45,England,2011-12,34.0,0.0,1.0,6.0,1.0,10.0,52.0,11.0,1.0,4.0,2.0,52.0,3.0,99.0,1.0,2.0,1.0,9.0,14.0,307.0,3.0,6.0,15.0,2.0,7.0,44.0,27.0,4.0,1.0,5.0,28.0,23.0,5.0,0.0,49.0,0.0,36.0,6.0,11.0,1.0,4.0,35.0,3.0,3.0,20.0,35.0,8.0,0.0,99.0,4.0,5.0,83.0,1.0,1.0,19.0,6.0,1.0,3.0,21.0,155.0,1.0,2.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2562,Adam Drury,Defender,Norwich,45,England,2011-12,25.0,0.0,,,17.0,,72.0,12.0,,3.0,12.0,98.0,22.0,414.0,,,,,13.0,907.0,,3.0,36.0,3.0,26.0,292.0,5.0,3.0,36.0,19.0,22.0,159.0,9.0,0.0,61.0,,188.0,28.0,12.0,,1.0,188.0,16.0,22.0,6.0,48.0,10.0,0.0,412.0,,1.0,153.0,12.0,,12.0,9.0,16.0,24.0,55.0,671.0,91.0,6.0,136.0,2.0,17.0,8.0,1.0,1.0,8.0,21.0,20.0,5.0,3.0,30.0,26.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14898,Andrew Crofts,Midfielder,Norwich,45,Wales,2011-12,76.0,0.0,6.0,1.0,32.0,10.0,78.0,24.0,1.0,18.0,13.0,103.0,8.0,468.0,,1.0,,11.0,23.0,1288.0,,12.0,62.0,5.0,51.0,333.0,10.0,16.0,16.0,29.0,64.0,98.0,14.0,0.0,138.0,,156.0,60.0,24.0,,4.0,237.0,24.0,8.0,18.0,115.0,11.0,0.0,464.0,9.0,4.0,147.0,25.0,5.0,130.0,17.0,19.0,32.0,84.0,650.0,5.0,2.0,136.0,3.0,19.0,8.0,1.0,,8.0,1.0,4.0,7.0,3.0,12.0,25.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15237,Andrew Surman,Midfielder,Norwich,45,England,2011-12,71.0,0.0,9.0,11.0,31.0,31.0,131.0,25.0,,56.0,21.0,159.0,23.0,908.0,4.0,,2.0,4.0,21.0,1914.0,2.0,14.0,52.0,5.0,45.0,706.0,55.0,30.0,27.0,38.0,57.0,248.0,7.0,2.0,123.0,2.0,236.0,62.0,25.0,2.0,13.0,500.0,33.0,56.0,33.0,102.0,7.0,0.0,888.0,20.0,9.0,288.0,21.0,7.0,200.0,12.0,27.0,43.0,224.0,1244.0,8.0,5.0,270.0,1.0,29.0,6.0,11.0,1.0,21.0,,3.0,10.0,6.0,13.0,28.0,,49.0,3.0,2.0,14.0,1.0,1.0,5.0,29.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
40451,Anthony Pilkington,Midfielder,Norwich,45,Ireland,2011-12,84.0,0.0,12.0,18.0,23.0,31.0,103.0,30.0,1.0,17.0,23.0,137.0,58.0,732.0,8.0,1.0,5.0,7.0,14.0,1969.0,,7.0,50.0,6.0,43.0,568.0,49.0,37.0,18.0,32.0,77.0,165.0,8.0,0.0,134.0,3.0,182.0,79.0,30.0,5.0,29.0,395.0,26.0,71.0,55.0,120.0,7.0,0.0,725.0,13.0,18.0,312.0,19.0,12.0,148.0,8.0,20.0,27.0,237.0,1113.0,14.0,15.0,237.0,1.0,18.0,31.0,3.0,2.0,37.0,,6.0,4.0,2.0,23.0,34.0,1.0,15.0,4.0,11.0,6.0,3.0,,7.0,8.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
19569,Bradley Johnson,Midfielder,Norwich,45,England,2011-12,106.0,0.0,10.0,9.0,56.0,35.0,189.0,28.0,5.0,14.0,25.0,256.0,10.0,1165.0,2.0,4.0,1.0,3.0,40.0,2105.0,,13.0,110.0,9.0,83.0,779.0,18.0,19.0,53.0,40.0,93.0,260.0,16.0,2.0,216.0,1.0,456.0,121.0,28.0,,2.0,522.0,31.0,14.0,24.0,176.0,27.0,0.0,1134.0,26.0,4.0,324.0,47.0,11.0,293.0,40.0,41.0,130.0,156.0,1505.0,1.0,7.0,393.0,2.0,46.0,2.0,2.0,2.0,6.0,,10.0,9.0,9.0,28.0,67.0,,3.0,3.0,2.0,,1.0,1.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
39776,Chris Martin,Forward,Norwich,45,Scotland,2011-12,14.0,0.0,,2.0,1.0,3.0,22.0,4.0,,8.0,3.0,25.0,2.0,81.0,,,,1.0,8.0,240.0,,4.0,9.0,1.0,5.0,55.0,13.0,4.0,,3.0,10.0,24.0,4.0,0.0,23.0,,22.0,9.0,4.0,,3.0,42.0,2.0,5.0,7.0,15.0,4.0,0.0,81.0,1.0,1.0,44.0,1.0,,16.0,3.0,2.0,1.0,19.0,113.0,1.0,3.0,14.0,0.0,3.0,,1.0,,,,,,,2.0,3.0,,3.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
75880,Daniel Ayala,Defender,Norwich,45,Spain,2011-12,22.0,0.0,,,20.0,1.0,19.0,7.0,,,6.0,32.0,,238.0,,,,1.0,13.0,497.0,,8.0,25.0,2.0,20.0,180.0,,,49.0,7.0,14.0,56.0,,0.0,47.0,,82.0,28.0,7.0,,,45.0,5.0,,2.0,34.0,5.0,0.0,236.0,1.0,,37.0,12.0,,92.0,8.0,4.0,26.0,8.0,324.0,1.0,1.0,161.0,2.0,6.0,,,1.0,,,4.0,8.0,1.0,9.0,13.0,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
17812,David Fox,Midfielder,Norwich,45,England,2011-12,59.0,0.0,5.0,3.0,34.0,12.0,172.0,28.0,3.0,32.0,23.0,247.0,13.0,1457.0,,,,5.0,20.0,1932.0,1.0,14.0,50.0,4.0,44.0,1042.0,3.0,37.0,29.0,32.0,45.0,423.0,10.0,0.0,109.0,,496.0,116.0,28.0,,,710.0,28.0,54.0,11.0,89.0,6.0,0.0,1422.0,9.0,7.0,321.0,27.0,,372.0,11.0,28.0,168.0,166.0,1709.0,3.0,9.0,538.0,3.0,40.0,6.0,3.0,1.0,38.0,,16.0,7.0,5.0,34.0,75.0,,62.0,3.0,,26.0,,,3.0,31.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
50264,Declan Rudd,Goalkeeper,Norwich,45,England,2011-12,,0.0,,,,,1.0,2.0,,,1.0,30.0,,48.0,,,,1.0,1.0,99.0,,,1.0,,,3.0,,,2.0,3.0,,,,0.0,1.0,,48.0,22.0,2.0,,,15.0,3.0,,,,1.0,0.0,24.0,,,30.0,,,,,,15.0,,67.0,,,3.0,0.0,2.0,,,,,,10.0,,,16.0,29.0,,,1.0,,,,,,,,,,,,,9.0,1.0,1.0,1.0,6.0,4.0,14.0,15.0,2.0,1.0,2.0,1.0,,,,,,,,
