season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437085,1,38,Huddersfield_Town,Away,114066,87428,Elias Kachunga,elias-kachunga,F,False,,,1.0,7.0,1.0,8.0,2.0,,4.0,,,,,,,3.0,8.0,9.0,,,2.0,,,,,,,,90.0,,1.0,,,,,,8.0,,6.6,,,,,,1.0,,,1.0,,9.0,1.0,10.0,0,6.0,29.0,2.0,3.0,,
2017-18,7437085,1,38,Huddersfield_Town,Away,117399,84112,Collin Quaner,collin-quaner,F,True,,,,2.0,2.0,4.0,,,2.0,,,,,,,,,1.0,,,,1.0,,,,,1.0,,18.0,,,,,,,,2.0,,7.0,,,,,1.0,1.0,,,1.0,,3.0,3.0,6.0,0,,9.0,,,1.0,
2017-18,7437085,1,38,Huddersfield_Town,Away,171235,147303,Laurent Depoitre,laurent-depoitre,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437085,1,38,Huddersfield_Town,Away,345035,169141,Steve Mounié,steve-mounie,F,False,,,,12.0,1.0,13.0,2.0,7.0,3.0,,,,3.0,,,4.0,11.0,8.0,,,1.0,,2.0,,,,,,86.0,2.0,,,,,,,22.0,,8.1,,,1.0,,5.0,2.0,,,,2.0,25.0,2.0,27.0,3,,47.0,3.0,,1.0,
2017-18,7437727,2,38,Huddersfield_Town,Home,114066,87428,Elias Kachunga,elias-kachunga,F,False,,,,6.0,7.0,13.0,3.0,1.0,7.0,,,,1.0,,,2.0,8.0,4.0,,,2.0,1.0,,,,,1.0,,72.0,,,,,,,,12.0,,6.8,,,,,1.0,,1.0,,,,14.0,8.0,21.0,0,3.0,34.0,1.0,,,
2017-18,7437727,2,38,Huddersfield_Town,Home,117399,84112,Collin Quaner,collin-quaner,F,True,,,,7.0,,7.0,,1.0,4.0,,,,1.0,,,,3.0,1.0,,,,,,,,1.0,,,21.0,,,,,,,,5.0,,6.2,,,,,1.0,2.0,,,1.0,,9.0,,9.0,0,,14.0,1.0,,,
2017-18,7437727,2,38,Huddersfield_Town,Home,345035,169141,Steve Mounié,steve-mounie,F,False,,,,6.0,6.0,12.0,4.0,9.0,1.0,,,,,,,1.0,6.0,11.0,,,2.0,,,,,1.0,2.0,,90.0,,,,,,,,15.0,,6.9,,,,,2.0,1.0,,,,4.0,16.0,7.0,23.0,0,,39.0,2.0,3.0,,
2017-18,7437798,3,38,Huddersfield_Town,Home,114066,87428,Elias Kachunga,elias-kachunga,F,False,,,,11.0,3.0,14.0,2.0,,7.0,,1.0,1.0,1.0,,,1.0,7.0,3.0,,,2.0,,,,,,2.0,,88.0,1.0,,,,,,,15.0,,6.4,,,,,,2.0,2.0,,,,22.0,3.0,23.0,2,1.0,35.0,1.0,1.0,1.0,
2017-18,7437798,3,38,Huddersfield_Town,Home,117399,84112,Collin Quaner,collin-quaner,F,True,,,,,,,1.0,,,,,,1.0,,,,3.0,,,,1.0,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0,,2.0,,,,
2017-18,7437798,3,38,Huddersfield_Town,Home,345035,169141,Steve Mounié,steve-mounie,F,False,,,,11.0,3.0,14.0,4.0,12.0,5.0,,1.0,,,,,4.0,8.0,16.0,,,1.0,,,,,,,,90.0,2.0,,,,,,,16.0,,7.2,,,3.0,,,,,,,,18.0,6.0,24.0,5,4.0,41.0,2.0,1.0,,
