playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,fiftyFifty,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulLaunches,headedGoals,unsuccessfulLaunches,penaltiesTaken,penaltyGoals,handballsConceded,foulWonPenalty,cornersTakenInclShortCorners,leftFootGoals,unsuccessfulCornersIntoBox,hitWoodwork,penaltiesConceded,setPiecesGoals,freekickTotal,attemptsFromSetPieces,clearancesOffTheLine,secondGoalAssists,expectedGoalsFreekick,penaltiesSaved,catches,savesMade,savesMadeFromOutsideBox,gkSuccessfulDistribution,gkUnsuccessfulDistribution,penaltiesFaced,savesMadeFromInsideBox,savesFromPenalty,successfulCornersIntoBox,ownGoalScored,redCards2ndYellow,savesMadeCaught,punches,drops,savesMadeParried,goalkeeperSmother,crossesNotClaimed
208706,Bruno Guimarães,Midfielder,Newcastle,4,Brazil,2021-22,86.0,5.0,1.3791,32.0,0.0,6.0,12.0,4.388,44.0,17.0,4.0,59.0,17.0,1.0,5.0,14.0,11.0,72.0,5.0,505.0,5.0,4.0,2.0,3.0,6.0,13.0,1.0,4.0,5.0,3.0,1033.0,3.0,,9.0,106.0,,35.0,102.0,389.0,21.0,,,13.1653,11.0,12.0,13.0,3.0,77.0,143.0,36.0,2.0,192.0,19.0,3.0,129.0,81.0,17.0,4.0,4.0,21.0,18.0,234.0,13.0,7.0,47.0,3.0,179.0,4.0,0.0,493.0,5.0,5.0,154.0,23.0,22.0,6.0,136.0,13.0,9.0,44.0,97.0,797.0,3.0,4.0,3.0,204.0,11.0,3.1797,4.0,13.0,21.0,3.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215379,Elliot Anderson,Midfielder,Newcastle,4,England,2021-22,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153127,Isaac Hayden,Midfielder,Newcastle,4,Jamaica,2021-22,59.0,,0.0752,37.0,0.0,2.0,1.0,,28.0,3.0,,50.0,14.0,,3.0,20.0,12.0,71.0,8.0,332.0,1.0,,1.0,1.0,2.0,34.0,,,,,1002.0,,,15.0,64.0,4.0,15.0,45.0,252.0,10.0,,1.0,20.9365,2.0,23.0,25.0,1.0,44.0,81.0,8.0,0.0,123.0,9.0,0.0,104.0,46.0,14.0,,1.0,14.0,6.0,86.0,21.0,8.0,14.0,1.0,89.0,19.0,0.0,316.0,2.0,2.0,110.0,14.0,9.0,8.0,88.0,14.0,14.0,9.0,59.0,495.0,,3.0,1.0,175.0,9.0,0.4245,5.0,21.0,21.0,2.0,,10.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114243,Jacob Murphy,Midfielder,Newcastle,4,England,2021-22,101.0,8.0,1.9386,34.0,0.0,5.0,5.0,1.9719,49.0,22.0,1.0,120.0,33.0,2.0,5.0,17.0,13.0,160.0,41.0,451.0,1.0,2.0,0.0,2.0,20.0,47.0,,1.0,10.0,3.0,1459.0,3.0,1.0,33.0,90.0,3.0,50.0,76.0,277.0,62.0,10.0,3.0,30.7707,18.0,16.0,35.0,3.0,68.0,46.0,14.0,0.0,191.0,18.0,1.0,187.0,98.0,33.0,1.0,,23.0,16.0,203.0,32.0,44.0,37.0,3.0,144.0,14.0,0.0,443.0,17.0,17.0,285.0,26.0,13.0,2.0,138.0,16.0,23.0,14.0,80.0,860.0,63.0,4.0,2.0,98.0,8.0,2.2073,4.0,40.0,51.0,1.0,1.0,11.0,,,,,4.0,,2.0,3.0,1.0,,1.0,1.0,,,0.0607,,,,,,,,,,2.0,,,,,,,,
83314,Jeff Hendrick,Midfielder,Newcastle,4,Ireland,2021-22,4.0,,0.0123,2.0,0.0,,1.0,0.3968,1.0,1.0,,1.0,3.0,,,1.0,,2.0,,29.0,1.0,,1.0,,3.0,2.0,,,,,70.0,,,1.0,2.0,,,1.0,26.0,1.0,,,1.9462,1.0,1.0,3.0,,3.0,8.0,,0.0,6.0,,0.0,2.0,2.0,3.0,,1.0,,1.0,12.0,3.0,,2.0,,4.0,1.0,0.0,28.0,,,6.0,1.0,,,11.0,1.0,,1.0,8.0,37.0,,,,15.0,1.0,0.0923,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200089,Joe Willock,Midfielder,Newcastle,4,England,2021-22,151.0,3.0,0.5634,65.0,0.0,10.0,11.0,1.2413,64.0,25.0,1.0,91.0,29.0,,7.0,31.0,24.0,100.0,13.0,544.0,2.0,,2.0,4.0,5.0,40.0,3.0,3.0,3.0,6.0,2042.0,6.0,1.0,24.0,142.0,4.0,47.0,126.0,427.0,68.0,1.0,3.0,30.3412,18.0,8.0,37.0,6.0,127.0,125.0,26.0,0.0,293.0,31.0,0.0,157.0,121.0,29.0,3.0,2.0,27.0,35.0,266.0,33.0,13.0,55.0,6.0,253.0,16.0,0.0,517.0,14.0,9.0,235.0,37.0,36.0,6.0,137.0,34.0,21.0,17.0,125.0,971.0,3.0,15.0,4.0,181.0,15.0,3.1836,0.0,9.0,34.0,1.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180974,Joelinton,Midfielder,Newcastle,4,Brazil,2021-22,288.0,2.0,1.2913,114.0,0.0,14.0,14.0,2.9976,72.0,31.0,1.0,185.0,35.0,1.0,21.0,55.0,30.0,204.0,20.0,911.0,4.0,3.0,3.0,7.0,5.0,197.0,6.0,3.0,2.0,7.0,2558.0,7.0,5.0,98.0,241.0,4.0,61.0,142.0,683.0,84.0,,2.0,38.6845,28.0,47.0,46.0,7.0,190.0,270.0,33.0,2.0,529.0,35.0,1.0,254.0,181.0,35.0,3.0,1.0,34.0,33.0,457.0,42.0,20.0,93.0,7.0,332.0,99.0,0.0,909.0,17.0,11.0,408.0,38.0,37.0,11.0,186.0,64.0,34.0,24.0,201.0,1537.0,9.0,6.0,7.0,252.0,32.0,3.2958,8.0,19.0,67.0,5.0,1.0,9.0,,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
50232,Jonjo Shelvey,Midfielder,Newcastle,4,England,2021-22,55.0,1.0,1.4864,49.0,1.0,5.0,14.0,1.7665,30.0,25.0,4.0,90.0,24.0,1.0,5.0,23.0,22.0,168.0,13.0,899.0,2.0,,2.0,5.0,2.0,20.0,6.0,12.0,9.0,,1985.0,,,10.0,57.0,1.0,25.0,47.0,613.0,3.0,,2.0,30.4945,15.0,19.0,30.0,,45.0,231.0,8.0,1.0,112.0,15.0,0.0,302.0,160.0,24.0,12.0,2.0,13.0,3.0,332.0,29.0,34.0,8.0,,92.0,10.0,0.0,847.0,11.0,5.0,234.0,17.0,9.0,7.0,219.0,18.0,22.0,118.0,147.0,1139.0,3.0,3.0,5.0,408.0,13.0,0.9447,5.0,78.0,48.0,9.0,,39.0,,,1.0,,27.0,,16.0,1.0,,1.0,6.0,6.0,,,0.3332,,,,,,,,,,7.0,,1.0,,,,,,
461508,Lucas De Bolle,Midfielder,Newcastle,4,Scotland,2021-22,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56983,Matt Ritchie,Midfielder,Newcastle,4,Scotland,2021-22,54.0,8.0,2.5048,33.0,0.0,5.0,1.0,0.3998,22.0,5.0,,56.0,18.0,2.0,1.0,19.0,14.0,111.0,38.0,504.0,,,0.0,5.0,4.0,31.0,,,28.0,1.0,1334.0,1.0,,17.0,49.0,4.0,14.0,35.0,351.0,8.0,14.0,4.0,28.8408,26.0,23.0,37.0,,37.0,136.0,9.0,0.0,103.0,8.0,0.0,240.0,70.0,18.0,,,7.0,2.0,236.0,33.0,76.0,7.0,,72.0,14.0,0.0,482.0,4.0,9.0,222.0,15.0,4.0,2.0,37.0,13.0,13.0,42.0,91.0,854.0,89.0,1.0,5.0,185.0,6.0,0.7234,5.0,55.0,36.0,4.0,,20.0,,,,,48.0,,32.0,,,,1.0,1.0,,1.0,0.0767,,,,,,,,,,15.0,,,,,,,,
179018,Miguel Almirón,Midfielder,Newcastle,4,Paraguay,2021-22,100.0,3.0,0.6226,43.0,0.0,15.0,7.0,1.6591,47.0,17.0,,74.0,30.0,,5.0,27.0,19.0,89.0,17.0,485.0,1.0,9.0,0.0,7.0,11.0,19.0,,6.0,3.0,,1720.0,,,14.0,103.0,3.0,32.0,98.0,383.0,44.0,,5.0,27.8639,16.0,10.0,32.0,8.0,86.0,63.0,25.0,1.0,203.0,13.0,1.0,133.0,96.0,30.0,6.0,,18.0,13.0,263.0,29.0,17.0,37.0,8.0,184.0,5.0,0.0,480.0,10.0,15.0,196.0,29.0,26.0,1.0,156.0,17.0,20.0,13.0,133.0,808.0,3.0,14.0,7.0,136.0,13.0,1.7031,2.0,15.0,24.0,3.0,,13.0,,,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
90105,Ryan Fraser,Midfielder,Newcastle,4,Scotland,2021-22,54.0,19.0,2.3457,31.0,0.0,8.0,8.0,2.8554,10.0,16.0,1.0,70.0,27.0,3.0,5.0,20.0,18.0,87.0,35.0,386.0,2.0,2.0,0.0,4.0,9.0,27.0,2.0,1.0,33.0,5.0,1470.0,5.0,,22.0,40.0,1.0,24.0,35.0,286.0,43.0,,1.0,24.1561,22.0,8.0,23.0,4.0,32.0,82.0,24.0,1.0,94.0,10.0,2.0,109.0,61.0,27.0,1.0,1.0,7.0,3.0,228.0,22.0,55.0,14.0,4.0,67.0,5.0,0.0,378.0,8.0,11.0,184.0,3.0,1.0,1.0,95.0,10.0,11.0,13.0,100.0,631.0,2.0,13.0,4.0,104.0,8.0,2.6645,3.0,17.0,18.0,3.0,,9.0,,,,,29.0,1.0,14.0,,,,,,,,,,,,,,,,,,12.0,,,,,,,,
180135,Sean Longstaff,Midfielder,Newcastle,4,England,2021-22,96.0,,0.7601,32.0,0.0,4.0,2.0,0.799,54.0,11.0,1.0,73.0,24.0,1.0,3.0,19.0,15.0,112.0,8.0,590.0,1.0,,1.0,4.0,9.0,31.0,2.0,1.0,2.0,,1461.0,,,18.0,90.0,2.0,22.0,77.0,436.0,18.0,,3.0,23.9269,6.0,18.0,29.0,,78.0,142.0,17.0,0.0,186.0,12.0,0.0,186.0,95.0,24.0,1.0,1.0,20.0,5.0,238.0,27.0,9.0,23.0,,155.0,13.0,0.0,563.0,9.0,6.0,168.0,34.0,6.0,6.0,144.0,14.0,9.0,42.0,118.0,824.0,1.0,3.0,4.0,242.0,10.0,0.7432,1.0,39.0,36.0,8.0,,20.0,,,,,1.0,,,,,,1.0,1.0,,,0.0681,,,,,,,,,,1.0,,,,,,,,
