playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,expectedAssists,goalsConceded,totalRedCards,rightsidePasses,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulPassesOppositionHalf,goalsConcededInsideBox,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,substituteOn,totalLossesOfPossession,aerialDuels,leftsidePasses,interceptions,backwardPasses,timePlayed,touches,aerialDuelsLost,duelsWon,groundDuelsWon,successfulPassesOwnHalf,successfulShortPasses,expectedGoals,totalTouchesInOppositionBox,yellowCards,successfulCrossesOpenPlay,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,throughBalls,goalAssists,successfulLayoffs,starts,oboxBlocked,cornersTakenInclShortCorners,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,successfulLaunches,totalClearances,shotsBlockedInBox,groundDuelsLost,putthroughBlockedDistributionWon,oboxTarget,tacklesLost,unsuccessfulDribbles,timesTackled,freekickTotal,iboxBlocked,cornersWon,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,totalFoulsConceded,unsuccessfulCornersIntoBox,successfulLongPasses,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,offsides,successfulCornersIntoBox,throwInsToOppositionPlayer,clearancesOffTheLine,unsuccessfulLayoffs,lastPlayerTackle,goals,awayGoals,leftFootGoals,foulWonPenalty,homeGoals,penaltiesTaken,penaltyGoals,rightFootGoals,headedGoals,ownGoalScored,catches,savesMadeFromOutsideBox,goalKicks,punches,savesMade,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,redCards2ndYellow,savesMadeCaught,penaltiesFaced,goalkeeperSmother,drops
28301,Cheick Tioté,Midfielder,Newcastle,4,Cote d’Ivoire,2013-14,208.0,4.0,49.9616,23.0,0.8553,47.0,0.0,577.0,55.0,0.0,446.0,586.0,284.0,33.0,36.0,210.0,33.0,750.0,39.0,268.0,13.0,10.0,2093.0,357.0,40.0,0.0,2060.0,24.0,2.0,385.0,89.0,645.0,65.0,285.0,2764.0,2726.0,49.0,238.0,198.0,1077.0,1700.0,1.2236,6.0,10.0,2.0,0.073,8.0,12.0,5.0,2.5087,106.0,6.0,1.0,26.0,31.0,7.0,3.0,6.0,11.0,2.0,1.0,1.0,8.0,1.0,75.0,2.0,72.0,1.0,159.0,60.0,11.0,36.0,12.0,54.0,1.0,1.0,5.0,70.0,40.0,13.0,1.0,66.0,1.0,125.0,6.0,3.0,1.0,7.0,21.0,25.0,2.0,58.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40387,Dan Gosling,Midfielder,Newcastle,4,England,2013-14,22.0,,8.3403,5.0,0.5325,9.0,0.0,48.0,1.0,0.0,53.0,68.0,30.0,8.0,5.0,25.0,8.0,97.0,7.0,29.0,2.0,1.0,195.0,40.0,7.0,0.0,191.0,5.0,4.0,42.0,13.0,50.0,16.0,29.0,361.0,271.0,6.0,31.0,24.0,70.0,158.0,0.8881,12.0,1.0,1.0,,1.0,,2.0,,18.0,3.0,,8.0,4.0,1.0,1.0,,,1.0,,,2.0,,9.0,,4.0,,16.0,6.0,,8.0,3.0,5.0,,,1.0,10.0,5.0,,,5.0,1.0,8.0,,3.0,,1.0,,4.0,,4.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38429,Gabriel Obertan,Midfielder,Newcastle,4,,2013-14,3.0,,0.9633,,0.0098,1.0,0.0,15.0,,0.0,8.0,6.0,4.0,3.0,,7.0,3.0,14.0,,8.0,,,26.0,6.0,2.0,0.0,25.0,,3.0,13.0,2.0,2.0,,3.0,33.0,36.0,,5.0,3.0,4.0,17.0,,3.0,0.0,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,1.0,,3.0,,,,1.0,2.0,,,,1.0,2.0,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87112,Gael Bigirimana,Midfielder,Newcastle,4,Burundi,2013-14,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18753,Hatem Ben Arfa,Midfielder,Newcastle,4,France,2013-14,133.0,4.0,26.4847,27.0,2.7784,30.0,0.0,95.0,25.0,1.0,237.0,130.0,65.0,27.0,36.0,73.0,27.0,327.0,26.0,81.0,47.0,33.0,522.0,231.0,3.0,0.0,502.0,23.0,14.0,280.0,6.0,169.0,7.0,128.0,1303.0,950.0,3.0,104.0,101.0,132.0,418.0,3.9178,76.0,1.0,12.0,0.2313,10.0,13.0,16.0,4.2652,10.0,7.0,3.0,34.0,13.0,8.0,25.0,2.0,5.0,18.0,5.0,5.0,4.0,,23.0,,6.0,2.0,130.0,9.0,5.0,3.0,52.0,95.0,4.0,2.0,22.0,7.0,66.0,,4.0,16.0,8.0,23.0,14.0,6.0,2.0,8.0,,2.0,,8.0,18.0,,,8.0,,,1.0,,3.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
21060,Jonás Gutiérrez,Midfielder,Newcastle,4,Argentina,2013-14,18.0,,2.7396,3.0,0.1433,5.0,0.0,24.0,8.0,0.0,48.0,40.0,16.0,6.0,2.0,21.0,6.0,51.0,4.0,23.0,11.0,10.0,87.0,40.0,4.0,0.0,82.0,2.0,3.0,49.0,8.0,12.0,7.0,11.0,260.0,169.0,4.0,30.0,26.0,16.0,63.0,0.0792,5.0,0.0,3.0,,1.0,,2.0,,15.0,,,,3.0,1.0,,,,3.0,,,1.0,,9.0,,2.0,,14.0,5.0,,3.0,1.0,8.0,,,1.0,12.0,3.0,1.0,,5.0,,1.0,4.0,3.0,,1.0,3.0,1.0,2.0,2.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45268,Moussa Sissoko,Midfielder,Newcastle,4,France,2013-14,272.0,4.0,50.9955,71.0,3.9973,49.0,0.0,305.0,32.0,1.0,466.0,332.0,189.0,35.0,34.0,232.0,35.0,733.0,43.0,251.0,74.0,71.0,1345.0,373.0,30.0,0.0,1322.0,18.0,,548.0,93.0,410.0,34.0,298.0,3034.0,2046.0,63.0,194.0,164.0,389.0,1049.0,3.9639,74.0,8.0,27.0,,10.0,16.0,14.0,5.8647,61.0,23.0,6.0,92.0,35.0,8.0,10.0,9.0,5.0,28.0,8.0,8.0,6.0,,59.0,,18.0,2.0,209.0,22.0,5.0,11.0,79.0,152.0,,2.0,25.0,50.0,74.0,8.0,,44.0,3.0,45.0,24.0,6.0,1.0,8.0,3.0,13.0,1.0,19.0,53.0,1.0,7.0,1.0,3.0,,7.0,,3.0,2.0,,,1.0,,,3.0,,,,,,,,,,,,,,,,,
37939,Sylvain Marveaux,Midfielder,Newcastle,4,France,2013-14,9.0,,3.5167,14.0,0.6313,5.0,0.0,37.0,2.0,0.0,14.0,41.0,16.0,9.0,3.0,26.0,9.0,99.0,4.0,30.0,14.0,4.0,156.0,12.0,,0.0,150.0,3.0,7.0,51.0,2.0,50.0,1.0,28.0,224.0,201.0,2.0,5.0,5.0,36.0,124.0,0.789,3.0,0.0,3.0,,1.0,,,,3.0,3.0,,10.0,2.0,,15.0,,,9.0,,,1.0,,6.0,,,1.0,7.0,3.0,,1.0,4.0,7.0,,1.0,1.0,2.0,,,,,9.0,2.0,,2.0,,,2.0,,,4.0,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40799,Vurnon Anita,Midfielder,Newcastle,4,Curacao,2013-14,102.0,3.0,43.4537,37.0,2.0596,45.0,0.0,346.0,25.0,0.0,209.0,491.0,144.0,34.0,13.0,183.0,34.0,687.0,39.0,219.0,45.0,29.0,1348.0,171.0,15.0,0.0,1305.0,9.0,6.0,336.0,38.0,364.0,45.0,147.0,2461.0,1745.0,23.0,107.0,92.0,459.0,1074.0,2.1261,23.0,2.0,6.0,,8.0,4.0,6.0,1.7695,48.0,14.0,1.0,25.0,28.0,6.0,35.0,6.0,3.0,17.0,,,6.0,1.0,37.0,4.0,27.0,2.0,79.0,18.0,3.0,12.0,12.0,36.0,,2.0,10.0,36.0,22.0,9.0,,23.0,16.0,55.0,15.0,11.0,,6.0,10.0,12.0,,36.0,35.0,,,11.0,,1.0,1.0,,1.0,1.0,,,0.0,,,1.0,,,,,,,,,,,,,,,,,
42727,Yoan Gouffran,Midfielder,Newcastle,4,France,2013-14,198.0,2.0,42.7158,25.0,1.5551,45.0,0.0,321.0,18.0,4.0,362.0,244.0,165.0,35.0,35.0,155.0,35.0,495.0,37.0,168.0,45.0,40.0,1025.0,228.0,68.0,0.0,1014.0,17.0,4.0,353.0,134.0,209.0,33.0,251.0,2620.0,1501.0,66.0,164.0,96.0,369.0,820.0,7.947,81.0,3.0,5.0,0.0842,17.0,18.0,13.0,5.8401,58.0,8.0,3.0,47.0,31.0,10.0,7.0,2.0,3.0,7.0,9.0,9.0,8.0,,56.0,,30.0,7.0,132.0,36.0,3.0,9.0,36.0,82.0,1.0,7.0,16.0,49.0,21.0,,1.0,35.0,3.0,37.0,3.0,17.0,2.0,10.0,3.0,8.0,1.0,13.0,44.0,,5.0,2.0,,,4.0,,6.0,1.0,3.0,,5.0,,,1.0,2.0,,,,,,,,,,,,,,,,
