matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenMiss,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2292811,1,2022-08-06 15:00:00,7,Aston Villa,Away,188.0,24.0,1.0,6.0,5.0,3.0,,297.0,3.0,,5.0,2.0,6.0,35.0,479.0,,1.0,19.0,16.0,16.0,7.0,1.0,1.0,,,,,,,,,,,,13.0,,,,,,1.0,11.0,6.0,1.0,4.0,11.0,80.0,66.0,,,,1.0,19.0,6.0,10.0,,,5.0,15.0,10.0,,11.0,1.0,62.0,58.0,1.0,8.0,4.0,,,19.0,82.0,16.0,18.0,,,5.0,3.0,,179.0,,,,,,,3.0,,3.0,,4.0,,8.0,8.0,1.0,5.0,156.0,71.0,51.0,5.0,,3.0,5.0,2.0,547.0,2.0,1.0,,97.0,87.0,51.0,,,,,,159.0,159.0,7.0,25.0,28.0,65.6,,,,,19.0,0.0,156.0,1.0,,1.0,,,7.0,,,4.0,13.0,140.0,456.0,7.0,8.0,203.0,50.0,8.0,23.0,3.0,31.0,28.0,,200.0,6.0,399.0,3.0,,12.0,6.0,57.0,4.0,571.0,,0.0,15.0,10.0,3.0,19.0,3.0,770.0,22.0,17.0,14.0,5.0,8.0,0.0
2292821,2,2022-08-13 12:30:00,7,Aston Villa,Home,164.0,14.0,2.0,4.0,2.0,2.0,,275.0,1.0,,2.0,4.0,5.0,19.0,435.0,1.0,3.0,18.0,12.0,14.0,5.0,2.0,4.0,3.0,,,,,1.0,,,,,,7.0,,,,,,1.0,5.0,12.0,4.0,10.0,2.0,84.0,55.0,3.0,2.0,1.0,,11.0,4.0,7.0,,,5.0,8.0,2.0,,7.0,3.0,43.0,43.0,,16.0,5.0,,,29.0,77.0,9.0,7.0,1.0,,1.0,,,179.0,2.0,,2.0,2.0,,2.0,1.0,2.0,2.0,1.0,5.0,,14.0,14.0,,3.0,130.0,65.0,43.0,8.0,,3.0,6.0,4.0,500.0,8.0,3.0,1.0,124.0,52.0,36.0,,,,,,128.0,128.0,4.0,21.0,22.0,57.5,,,,,17.0,0.0,124.0,4.0,,4.0,1.0,3.0,4.0,,,5.0,10.0,141.0,423.0,11.0,9.0,186.0,35.0,16.0,16.0,4.0,14.0,10.0,5.0,186.0,3.0,345.0,2.0,,18.0,5.0,48.0,2.0,517.0,3.0,0.0,12.0,15.0,4.0,20.0,4.0,699.0,28.0,12.0,7.0,5.0,9.0,0.0
2292831,3,2022-08-20 15:00:00,7,Aston Villa,Away,211.0,24.0,,6.0,6.0,,,143.0,11.0,,3.0,3.0,2.0,33.0,348.0,,,15.0,9.0,13.0,8.0,1.0,1.0,,,,,,,,,,,,10.0,,,1.0,,,2.0,9.0,15.0,2.0,11.0,2.0,83.0,56.0,1.0,,1.0,1.0,25.0,2.0,14.0,,,2.0,8.0,8.0,,12.0,5.0,52.0,60.0,1.0,8.0,5.0,,,17.0,53.0,14.0,16.0,1.0,,2.0,,,136.0,1.0,,1.0,1.0,,,11.0,1.0,,1.0,5.0,1.0,7.0,7.0,1.0,3.0,105.0,64.0,38.0,4.0,,5.0,5.0,5.0,396.0,2.0,,,49.0,59.0,21.0,,1.0,1.0,1.0,,128.0,128.0,2.0,32.0,19.0,49.2,1.0,3.0,,,25.0,0.0,104.0,6.0,,6.0,1.0,,6.0,,,3.0,10.0,65.0,318.0,9.0,10.0,235.0,47.0,8.0,9.0,1.0,17.0,16.0,,98.0,,210.0,,,18.0,2.0,66.0,1.0,428.0,,0.0,13.0,26.0,1.0,17.0,1.0,612.0,21.0,18.0,5.0,2.0,12.0,0.0
2292841,4,2022-08-28 14:00:00,7,Aston Villa,Home,293.0,27.0,,6.0,6.0,1.0,,202.0,4.0,,4.0,,3.0,22.0,489.0,1.0,,24.0,9.0,13.0,8.0,,,,,,,,,,,,,,9.0,,,,,,,5.0,1.0,6.0,5.0,4.0,86.0,69.0,,,,4.0,18.0,2.0,9.0,,,3.0,10.0,12.0,,10.0,1.0,41.0,45.0,4.0,13.0,5.0,,,28.0,67.0,10.0,10.0,,,2.0,2.0,,188.0,,,,,,,5.0,,2.0,,5.0,,13.0,13.0,1.0,4.0,158.0,66.0,39.0,2.0,,3.0,5.0,3.0,563.0,2.0,1.0,,105.0,40.0,38.0,,,,,,145.0,145.0,5.0,22.0,36.0,57.8,,,,,18.0,0.0,150.0,,1.0,1.0,,,4.0,,,4.0,11.0,107.0,475.0,8.0,8.0,315.0,53.0,13.0,8.0,2.0,26.0,24.0,,156.0,4.0,293.0,2.0,,8.0,3.0,57.0,2.0,582.0,1.0,0.0,9.0,17.0,2.0,25.0,2.0,771.0,14.0,15.0,5.0,3.0,11.0,0.0
2292851,5,2022-08-31 19:30:00,7,Aston Villa,Away,128.0,16.0,,2.0,2.0,3.0,,145.0,8.0,,4.0,3.0,4.0,19.0,271.0,,,12.0,11.0,10.0,3.0,,1.0,1.0,,,,,,,,1.0,,,3.0,,,,,,,8.0,14.0,8.0,3.0,1.0,51.0,49.0,,,,1.0,6.0,,12.0,1.0,1.0,3.0,7.0,6.0,,6.0,5.0,46.0,41.0,1.0,24.0,13.0,1.0,,17.0,52.0,14.0,10.0,,,1.0,1.0,,134.0,,,,,,,13.0,,2.0,,13.0,,11.0,11.0,2.0,4.0,75.0,64.0,29.0,10.0,,1.0,2.0,3.0,323.0,8.0,,,44.0,60.0,19.0,,,,,,122.0,122.0,1.0,23.0,17.0,41.1,,,,1.0,13.0,0.0,92.0,4.0,3.0,6.0,,1.0,1.0,,,3.0,14.0,55.0,251.0,6.0,3.0,147.0,39.0,24.0,9.0,2.0,16.0,14.0,1.0,90.0,5.0,221.0,2.0,,20.0,4.0,55.0,1.0,352.0,,0.0,4.0,16.0,,13.0,3.0,524.0,9.0,15.0,5.0,3.0,6.0,0.0
2292860,6,2022-09-03 17:30:00,7,Aston Villa,Home,133.0,17.0,,,,1.0,,70.0,5.0,,4.0,3.0,1.0,23.0,203.0,,1.0,15.0,27.0,13.0,1.0,,,1.0,,,,,,,,,,,3.0,,,,,,,6.0,8.0,5.0,2.0,1.0,51.0,55.0,,,,,12.0,1.0,4.0,,,1.0,3.0,3.0,,7.0,2.0,50.0,34.0,,15.0,9.0,,,26.0,43.0,7.0,6.0,,,,,,124.0,1.0,,1.0,1.0,,,10.0,1.0,2.0,,9.0,,4.0,4.0,,4.0,58.0,57.0,21.0,4.0,1.0,,2.0,1.0,258.0,3.0,,,31.0,33.0,9.0,,,,,,119.0,119.0,1.0,27.0,14.0,27.7,,,1.0,,12.0,0.0,54.0,3.0,,3.0,,1.0,1.0,,,3.0,8.0,35.0,189.0,6.0,2.0,161.0,54.0,15.0,6.0,1.0,7.0,6.0,1.0,68.0,4.0,133.0,2.0,,12.0,1.0,67.0,5.0,287.0,1.0,0.0,3.0,15.0,1.0,18.0,2.0,420.0,13.0,7.0,,1.0,9.0,0.0
2292875,7,2023-04-04 19:45:00,7,Aston Villa,Away,199.0,19.0,,1.0,1.0,,,273.0,6.0,3.0,3.0,1.0,6.0,20.0,471.0,,1.0,17.0,6.0,10.0,9.0,1.0,2.0,,,,1.0,1.0,,,,1.0,,,12.0,,,,1.0,,,10.0,6.0,3.0,7.0,8.0,82.0,40.0,1.0,,1.0,1.0,5.0,5.0,3.0,,,8.0,7.0,4.0,,14.0,1.0,42.0,38.0,1.0,19.0,14.0,,,16.0,57.0,14.0,10.0,1.0,,1.0,1.0,1.0,135.0,1.0,,1.0,1.0,,,7.0,2.0,1.0,,14.0,1.0,6.0,6.0,1.0,3.0,170.0,46.0,34.0,4.0,,4.0,7.0,5.0,509.0,1.0,,,78.0,65.0,26.0,,,,,,105.0,105.0,3.0,13.0,19.0,64.1,1.0,,,,14.0,0.0,147.0,1.0,2.0,3.0,,,5.0,,1.0,4.0,4.0,136.0,447.0,5.0,11.0,213.0,29.0,19.0,16.0,2.0,14.0,12.0,,168.0,5.0,335.0,1.0,3.0,6.0,6.0,32.0,1.0,534.0,,0.0,15.0,7.0,1.0,19.0,0.0,696.0,23.0,7.0,11.0,8.0,3.0,0.0
2292880,8,2022-09-16 20:00:00,7,Aston Villa,Home,145.0,25.0,1.0,5.0,4.0,,,172.0,7.0,,3.0,6.0,6.0,32.0,312.0,,,21.0,20.0,29.0,7.0,,3.0,1.0,,,,1.0,,,1.0,,,,6.0,,,,,,1.0,9.0,3.0,4.0,6.0,5.0,72.0,71.0,1.0,1.0,1.0,1.0,18.0,5.0,11.0,,1.0,6.0,7.0,7.0,,17.0,,72.0,82.0,1.0,21.0,12.0,,,19.0,63.0,13.0,12.0,,,2.0,1.0,1.0,168.0,,,,,,,8.0,,,,12.0,1.0,6.0,6.0,,3.0,83.0,80.0,43.0,3.0,1.0,2.0,5.0,3.0,398.0,3.0,1.0,,75.0,56.0,32.0,,,,,,178.0,178.0,7.0,19.0,39.0,52.7,,,,,18.0,0.0,97.0,1.0,,1.0,1.0,1.0,3.0,,,4.0,8.0,75.0,294.0,12.0,7.0,174.0,53.0,21.0,17.0,5.0,20.0,15.0,1.0,123.0,3.0,266.0,,,16.0,7.0,65.0,1.0,420.0,,0.0,11.0,35.0,,28.0,3.0,645.0,17.0,18.0,6.0,6.0,19.0,0.0
2292894,9,2022-10-02 16:30:00,7,Aston Villa,Away,167.0,30.0,1.0,5.0,4.0,3.0,,208.0,2.0,,6.0,2.0,9.0,35.0,370.0,,,15.0,16.0,22.0,13.0,1.0,1.0,,,,,,,,,,,,18.0,,,,,1.0,,8.0,4.0,2.0,12.0,7.0,77.0,73.0,3.0,5.0,,1.0,3.0,4.0,6.0,,,9.0,9.0,2.0,,6.0,1.0,46.0,71.0,1.0,7.0,4.0,,,21.0,78.0,12.0,23.0,,,5.0,3.0,,189.0,,,,,,,4.0,,3.0,,4.0,1.0,10.0,10.0,,6.0,107.0,90.0,48.0,2.0,,6.0,8.0,7.0,449.0,3.0,2.0,,83.0,56.0,36.0,,,,,,154.0,154.0,6.0,22.0,33.0,56.2,1.0,,,,10.0,0.0,106.0,1.0,,1.0,,,8.0,,,3.0,14.0,94.0,352.0,3.0,14.0,188.0,53.0,7.0,16.0,8.0,22.0,14.0,,154.0,6.0,313.0,4.0,,18.0,10.0,71.0,2.0,479.0,1.0,0.0,19.0,16.0,,15.0,2.0,663.0,30.0,12.0,10.0,9.0,11.0,0.0
2292908,10,2022-10-10 20:00:00,7,Aston Villa,Away,200.0,17.0,1.0,3.0,2.0,,1.0,239.0,3.0,,6.0,4.0,6.0,29.0,436.0,1.0,1.0,19.0,21.0,9.0,7.0,1.0,4.0,,,,,3.0,,,,1.0,,,5.0,,,,,,,11.0,2.0,4.0,6.0,6.0,79.0,57.0,,,,1.0,14.0,8.0,9.0,,,4.0,10.0,6.0,1.0,9.0,1.0,62.0,48.0,1.0,8.0,6.0,,,15.0,69.0,19.0,12.0,,,5.0,2.0,3.0,160.0,,,,,,,3.0,1.0,1.0,,6.0,,9.0,9.0,1.0,6.0,132.0,62.0,42.0,1.0,,2.0,6.0,2.0,491.0,2.0,,,84.0,65.0,32.0,,,,,,124.0,124.0,4.0,22.0,24.0,60.1,,,1.0,,20.0,0.0,135.0,1.0,1.0,2.0,,,2.0,,,3.0,10.0,120.0,422.0,14.0,8.0,218.0,33.0,8.0,12.0,2.0,20.0,18.0,,160.0,3.0,308.0,1.0,,12.0,7.0,52.0,3.0,506.0,3.0,0.0,12.0,20.0,1.0,22.0,3.0,698.0,29.0,17.0,7.0,4.0,10.0,0.0
