matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOpenplay,attPenGoal,attPenMiss,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,rightsidePass,savedIbox,savedObox,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
321657,1,2010-08-14 15:00:00,7,Aston Villa,Home,124.0,11.0,7.0,15.0,8.0,5.0,,216.0,5.0,1.0,6.0,9.0,19.0,24.0,325.0,1.0,2.0,15.0,11.0,13.0,13.0,7.0,,,,1.0,,1.0,,,,15.0,,,,2.0,,,2.0,7.0,7.0,60.0,64.0,3.0,5.0,1.0,4.0,10.0,10.0,,15.0,28.0,8.0,,9.0,1.0,54.0,67.0,4.0,11.0,6.0,,,54.0,16.0,16.0,,,6.0,1.0,1.0,158.0,2.0,,2.0,2.0,,,8.0,3.0,,1.0,16.0,3.0,23.0,20.0,3.0,6.0,82.0,80.0,53.0,7.0,3.0,9.0,13.0,5.0,3.0,2.0,,85.0,64.0,18.0,,,,,153.0,140.0,5.0,26.0,26.0,56.8,2.0,,0.0,95.0,1.0,,,,12.0,1.0,3.0,107.0,22.0,144.0,19.0,24.0,20.0,11.0,48.0,37.0,,134.0,9.0,299.0,,1.0,28.0,19.0,39.0,1.0,395.0,1.0,0.0,27.0,27.0,4.0,15.0,1.0,636.0,13.0,11.0,16.0,20.0,0.0
321672,2,2010-08-22 13:30:00,7,Aston Villa,Away,183.0,16.0,2.0,4.0,2.0,3.0,1.0,136.0,,,7.0,5.0,12.0,29.0,315.0,,2.0,18.0,14.0,12.0,4.0,1.0,1.0,,,,,,,,,4.0,,1.0,,,,,,12.0,5.0,36.0,52.0,1.0,2.0,,7.0,2.0,6.0,1.0,2.0,4.0,2.0,,12.0,2.0,51.0,53.0,7.0,18.0,12.0,1.0,,58.0,13.0,15.0,,,5.0,4.0,,157.0,,,,,,,6.0,,,1.0,20.0,,22.0,16.0,2.0,7.0,102.0,87.0,43.0,10.0,,3.0,2.0,,5.0,6.0,,43.0,54.0,15.0,,,,1.0,153.0,138.0,3.0,23.0,18.0,49.9,,,0.0,99.0,4.0,1.0,,1.0,4.0,1.0,3.0,61.0,5.0,197.0,36.0,33.0,7.0,2.0,12.0,10.0,1.0,99.0,6.0,209.0,,,19.0,12.0,51.0,5.0,394.0,,0.0,6.0,26.0,4.0,19.0,1.0,599.0,14.0,,2.0,16.0,0.0
321677,3,2010-08-29 16:00:00,7,Aston Villa,Home,55.0,11.0,,1.0,1.0,5.0,,92.0,5.0,,1.0,2.0,5.0,11.0,146.0,,1.0,16.0,8.0,14.0,8.0,1.0,1.0,,,,,,,,1.0,12.0,,,,,,,1.0,10.0,13.0,32.0,51.0,,2.0,,5.0,5.0,10.0,,4.0,6.0,4.0,1.0,6.0,4.0,49.0,50.0,5.0,28.0,15.0,,,46.0,20.0,9.0,,,1.0,1.0,,134.0,1.0,,1.0,1.0,,,9.0,1.0,1.0,,24.0,,20.0,14.0,,1.0,38.0,75.0,26.0,18.0,,4.0,6.0,5.0,12.0,2.0,,40.0,65.0,12.0,,,,,169.0,147.0,2.0,24.0,17.0,31.7,,2.0,0.0,39.0,2.0,3.0,,1.0,5.0,,1.0,58.0,10.0,72.0,23.0,50.0,10.0,4.0,15.0,11.0,1.0,102.0,13.0,186.0,1.0,,24.0,6.0,42.0,1.0,243.0,,0.0,15.0,22.0,3.0,23.0,4.0,467.0,11.0,5.0,4.0,17.0,0.0
321693,4,2010-09-13 20:00:00,7,Aston Villa,Away,97.0,11.0,,4.0,4.0,5.0,,184.0,2.0,,3.0,5.0,6.0,23.0,277.0,,1.0,26.0,29.0,14.0,9.0,,,,,,,,,,,9.0,,,,,,,,12.0,9.0,49.0,50.0,1.0,1.0,,3.0,2.0,6.0,,7.0,8.0,7.0,,10.0,3.0,64.0,52.0,3.0,25.0,18.0,,,55.0,14.0,11.0,,,2.0,1.0,,159.0,1.0,,1.0,1.0,,,10.0,1.0,,1.0,33.0,,7.0,6.0,,4.0,91.0,103.0,48.0,8.0,1.0,3.0,7.0,5.0,4.0,3.0,,73.0,73.0,22.0,,,,,190.0,166.0,1.0,20.0,21.0,56.7,,2.0,0.0,83.0,4.0,3.0,1.0,,4.0,,1.0,77.0,10.0,120.0,25.0,49.0,13.0,4.0,20.0,16.0,,126.0,12.0,282.0,,,36.0,6.0,56.0,1.0,382.0,,0.0,11.0,20.0,6.0,30.0,2.0,599.0,12.0,7.0,7.0,15.0,0.0
321697,5,2010-09-18 15:00:00,7,Aston Villa,Home,155.0,15.0,1.0,3.0,2.0,4.0,,148.0,8.0,,7.0,9.0,25.0,28.0,300.0,,1.0,21.0,23.0,16.0,9.0,,,1.0,1.0,,,2.0,,,,,,,,,,,,7.0,7.0,56.0,68.0,,,,3.0,6.0,3.0,,8.0,12.0,8.0,,6.0,2.0,61.0,44.0,3.0,17.0,10.0,,1.0,64.0,16.0,6.0,,,,,2.0,162.0,,,,,,,12.0,,1.0,,19.0,,17.0,11.0,,7.0,91.0,104.0,51.0,4.0,1.0,5.0,4.0,2.0,3.0,3.0,,55.0,58.0,19.0,,,,,189.0,174.0,3.0,24.0,28.0,56.7,,,0.0,90.0,3.0,1.0,2.0,,9.0,1.0,2.0,73.0,9.0,178.0,35.0,32.0,24.0,8.0,29.0,21.0,,115.0,12.0,250.0,1.0,,27.0,26.0,60.0,3.0,399.0,1.0,0.0,17.0,11.0,9.0,25.0,1.0,629.0,16.0,11.0,8.0,9.0,0.0
321716,6,2010-09-26 14:05:00,7,Aston Villa,Away,107.0,20.0,1.0,5.0,4.0,4.0,,118.0,4.0,,10.0,5.0,16.0,18.0,220.0,,2.0,17.0,20.0,28.0,5.0,1.0,1.0,,,,,,,,,8.0,,,,,,,,7.0,9.0,48.0,67.0,2.0,1.0,1.0,2.0,,7.0,,4.0,9.0,5.0,,3.0,4.0,55.0,68.0,2.0,37.0,20.0,,,63.0,20.0,14.0,1.0,,4.0,4.0,,146.0,2.0,,2.0,2.0,,,8.0,2.0,1.0,1.0,40.0,,16.0,13.0,2.0,10.0,58.0,90.0,41.0,5.0,1.0,2.0,6.0,8.0,5.0,2.0,,52.0,56.0,15.0,,,,,182.0,157.0,,30.0,23.0,42.3,,1.0,0.0,72.0,3.0,3.0,,1.0,2.0,,2.0,57.0,8.0,139.0,33.0,62.0,7.0,3.0,21.0,18.0,1.0,99.0,10.0,206.0,1.0,,24.0,18.0,47.0,3.0,324.0,,0.0,10.0,25.0,5.0,26.0,2.0,558.0,10.0,1.0,4.0,17.0,0.0
321723,7,2010-10-02 15:00:00,7,Aston Villa,Away,106.0,10.0,2.0,7.0,5.0,1.0,1.0,172.0,8.0,1.0,5.0,1.0,15.0,17.0,271.0,1.0,,11.0,15.0,6.0,6.0,2.0,,,1.0,,,1.0,,,,10.0,,,,,,,,15.0,12.0,51.0,55.0,2.0,1.0,1.0,2.0,1.0,6.0,,4.0,11.0,7.0,,9.0,,53.0,41.0,2.0,14.0,8.0,,,60.0,19.0,12.0,,,2.0,1.0,1.0,150.0,1.0,,1.0,1.0,,,13.0,1.0,2.0,1.0,15.0,,32.0,26.0,1.0,5.0,69.0,93.0,53.0,10.0,1.0,6.0,3.0,3.0,12.0,4.0,,45.0,69.0,20.0,,,,,150.0,139.0,,16.0,30.0,46.9,,2.0,0.0,87.0,1.0,1.0,,,9.0,,3.0,68.0,9.0,122.0,27.0,25.0,10.0,3.0,22.0,19.0,,112.0,8.0,257.0,3.0,1.0,17.0,18.0,47.0,6.0,357.0,2.0,0.0,13.0,18.0,1.0,13.0,3.0,565.0,7.0,5.0,4.0,14.0,0.0
321728,8,2010-10-16 17:30:00,7,Aston Villa,Home,181.0,11.0,2.0,8.0,6.0,6.0,1.0,105.0,10.0,,8.0,9.0,16.0,27.0,278.0,1.0,1.0,19.0,10.0,14.0,6.0,3.0,,,,,,,,,,7.0,,,,,,1.0,2.0,6.0,9.0,45.0,60.0,1.0,2.0,,4.0,3.0,10.0,,9.0,7.0,6.0,,11.0,1.0,54.0,49.0,4.0,15.0,8.0,,1.0,48.0,11.0,11.0,,,1.0,1.0,,135.0,,,,,,,12.0,,1.0,,16.0,1.0,22.0,18.0,1.0,9.0,78.0,71.0,35.0,5.0,,5.0,4.0,2.0,1.0,,,59.0,29.0,15.0,,,,,153.0,143.0,2.0,32.0,15.0,40.0,1.0,,0.0,97.0,1.0,3.0,1.0,,7.0,1.0,3.0,41.0,9.0,200.0,30.0,25.0,12.0,8.0,22.0,14.0,,75.0,21.0,177.0,1.0,,20.0,17.0,47.0,2.0,355.0,1.0,0.0,12.0,24.0,3.0,23.0,4.0,573.0,20.0,,9.0,18.0,0.0
321742,9,2010-10-23 15:00:00,7,Aston Villa,Away,124.0,12.0,3.0,9.0,6.0,5.0,,130.0,7.0,,2.0,5.0,16.0,31.0,245.0,,4.0,17.0,20.0,22.0,9.0,,1.0,,,,,,1.0,,,10.0,,,,,,1.0,1.0,8.0,7.0,37.0,47.0,4.0,5.0,,2.0,4.0,6.0,,11.0,16.0,8.0,,10.0,1.0,58.0,59.0,2.0,13.0,5.0,,,67.0,13.0,12.0,,,2.0,3.0,,149.0,,,,,,,15.0,,,,9.0,1.0,20.0,10.0,,3.0,76.0,96.0,44.0,4.0,,4.0,5.0,3.0,4.0,2.0,1.0,43.0,50.0,18.0,,,,,190.0,183.0,1.0,20.0,18.0,52.3,1.0,1.0,0.0,88.0,1.0,,2.0,1.0,5.0,1.0,2.0,58.0,9.0,151.0,28.0,20.0,16.0,10.0,37.0,27.0,1.0,102.0,19.0,236.0,,,28.0,19.0,56.0,2.0,350.0,,0.0,12.0,18.0,5.0,25.0,2.0,562.0,10.0,7.0,11.0,13.0,0.0
321748,10,2010-10-31 12:00:00,7,Aston Villa,Home,132.0,14.0,1.0,2.0,1.0,,,149.0,5.0,1.0,5.0,8.0,17.0,21.0,279.0,,1.0,23.0,29.0,19.0,7.0,1.0,,,,,,,,,,8.0,,,,,,1.0,,8.0,6.0,46.0,59.0,1.0,1.0,,1.0,1.0,2.0,,1.0,7.0,6.0,,11.0,1.0,64.0,47.0,1.0,21.0,10.0,,,55.0,15.0,11.0,,,1.0,1.0,,156.0,,,,,,,11.0,,1.0,1.0,21.0,1.0,9.0,6.0,,5.0,81.0,95.0,43.0,4.0,,4.0,4.0,4.0,5.0,2.0,,61.0,62.0,20.0,,,,,177.0,159.0,4.0,18.0,24.0,48.3,1.0,1.0,0.0,102.0,2.0,2.0,,,4.0,,2.0,60.0,8.0,152.0,34.0,39.0,9.0,1.0,15.0,14.0,,106.0,8.0,248.0,1.0,1.0,30.0,19.0,54.0,3.0,385.0,1.0,0.0,9.0,16.0,3.0,25.0,2.0,574.0,8.0,1.0,1.0,12.0,0.0
