matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdRight,attOpenplay,attPenGoal,attPostHigh,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,rightsidePass,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
360470,1,2011-08-13 15:00:00,7,Aston Villa,Away,110.0,10.0,1.0,5.0,4.0,2.0,,164.0,5.0,1.0,4.0,11.0,4.0,26.0,269.0,1.0,1.0,16.0,19.0,19.0,5.0,2.0,,,,,,,,4.0,,,,2.0,10.0,5.0,60.0,48.0,,,,1.0,1.0,3.0,,3.0,10.0,5.0,,1.0,2.0,50.0,42.0,1.0,17.0,9.0,,,99.0,19.0,10.0,,,2.0,2.0,,140.0,,,,,,,11.0,,1.0,,23.0,,25.0,18.0,,4.0,77.0,90.0,39.0,2.0,,5.0,2.0,1.0,4.0,2.0,,80.0,47.0,22.0,,,,,156.0,130.0,1.0,22.0,13.0,45.9,,1.0,0.0,75.0,5.0,,,,,5.0,1.0,2.0,81.0,7.0,114.0,21.0,43.0,10.0,3.0,20.0,17.0,,145.0,14.0,258.0,1.0,1.0,32.0,6.0,57.0,4.0,352.0,1.0,0.0,7.0,11.0,1.0,23.0,4.0,546.0,4.0,2.0,3.0,8.0,0.0
360480,2,2011-08-20 15:00:00,7,Aston Villa,Home,143.0,9.0,1.0,4.0,3.0,4.0,,174.0,5.0,,4.0,11.0,7.0,26.0,313.0,,,21.0,8.0,16.0,5.0,1.0,1.0,,,,,,,,,,,,5.0,7.0,75.0,36.0,,,1.0,5.0,1.0,10.0,,5.0,9.0,2.0,,5.0,,44.0,56.0,5.0,13.0,5.0,,,66.0,9.0,13.0,3.0,,,,,158.0,2.0,,1.0,2.0,,,11.0,,,,12.0,,19.0,17.0,,4.0,84.0,91.0,44.0,4.0,,3.0,5.0,5.0,4.0,,,51.0,69.0,16.0,,,,,160.0,147.0,2.0,17.0,11.0,51.6,,,0.0,90.0,,1.0,,2.0,1.0,4.0,,3.0,79.0,8.0,166.0,27.0,26.0,20.0,4.0,17.0,13.0,,126.0,18.0,258.0,,,32.0,8.0,53.0,1.0,407.0,1.0,0.0,10.0,19.0,,30.0,3.0,598.0,7.0,8.0,5.0,11.0,0.0
360489,3,2011-08-27 12:05:00,7,Aston Villa,Home,113.0,18.0,5.0,9.0,4.0,4.0,,146.0,3.0,,4.0,5.0,4.0,21.0,250.0,,2.0,14.0,9.0,12.0,9.0,5.0,,,1.0,2.0,,,1.0,,,,,1.0,4.0,3.0,60.0,50.0,,,,3.0,4.0,6.0,,11.0,13.0,7.0,,6.0,,38.0,42.0,3.0,13.0,6.0,,,64.0,11.0,9.0,,,,,2.0,158.0,,,,,,,6.0,,,1.0,15.0,,16.0,15.0,2.0,4.0,62.0,75.0,36.0,8.0,,10.0,4.0,3.0,3.0,3.0,,66.0,44.0,29.0,,,,,168.0,158.0,3.0,20.0,20.0,45.9,,,0.0,66.0,2.0,,,1.0,,11.0,1.0,2.0,73.0,14.0,132.0,33.0,23.0,11.0,9.0,29.0,20.0,,124.0,11.0,243.0,,,27.0,4.0,51.0,2.0,346.0,2.0,0.0,18.0,17.0,2.0,28.0,1.0,543.0,7.0,4.0,11.0,12.0,0.0
360501,4,2011-09-10 15:00:00,7,Aston Villa,Away,115.0,9.0,,3.0,3.0,3.0,,116.0,8.0,,,14.0,4.0,26.0,228.0,,1.0,22.0,17.0,17.0,6.0,,1.0,,,,,1.0,,5.0,,,,2.0,12.0,9.0,50.0,49.0,1.0,,1.0,,2.0,12.0,1.0,,5.0,3.0,,7.0,2.0,54.0,55.0,,20.0,11.0,,1.0,67.0,12.0,12.0,1.0,1.0,2.0,,,162.0,2.0,,1.0,1.0,1.0,,14.0,1.0,1.0,1.0,18.0,,10.0,8.0,,,53.0,91.0,39.0,8.0,1.0,4.0,4.0,3.0,7.0,1.0,,52.0,39.0,15.0,1.0,1.0,1.0,,172.0,160.0,1.0,29.0,13.0,45.8,,,0.0,77.0,4.0,2.0,,,1.0,4.0,,3.0,45.0,8.0,142.0,19.0,32.0,12.0,,8.0,8.0,1.0,106.0,17.0,208.0,1.0,,49.0,4.0,69.0,6.0,342.0,,0.0,9.0,21.0,3.0,24.0,1.0,523.0,11.0,5.0,,10.0,0.0
360509,5,2011-09-17 15:00:00,7,Aston Villa,Home,87.0,7.0,,3.0,3.0,6.0,,142.0,7.0,,2.0,13.0,9.0,20.0,226.0,,1.0,20.0,11.0,14.0,7.0,,1.0,,,,,1.0,,10.0,,,,,12.0,10.0,46.0,53.0,1.0,1.0,1.0,4.0,2.0,14.0,,4.0,9.0,6.0,,8.0,3.0,62.0,52.0,4.0,18.0,8.0,,,68.0,14.0,10.0,1.0,,1.0,1.0,,149.0,,,,,,,11.0,1.0,3.0,1.0,19.0,,14.0,13.0,,2.0,59.0,81.0,46.0,9.0,,5.0,2.0,2.0,9.0,1.0,,45.0,52.0,18.0,,,,,163.0,143.0,1.0,20.0,22.0,41.1,,1.0,0.0,55.0,3.0,2.0,,1.0,1.0,7.0,,3.0,70.0,7.0,104.0,24.0,38.0,24.0,2.0,18.0,16.0,1.0,121.0,17.0,223.0,3.0,,33.0,10.0,47.0,2.0,309.0,1.0,0.0,11.0,20.0,1.0,24.0,1.0,526.0,10.0,8.0,4.0,15.0,0.0
360525,6,2011-09-25 16:00:00,7,Aston Villa,Away,65.0,14.0,1.0,4.0,3.0,2.0,,121.0,5.0,,1.0,10.0,4.0,19.0,182.0,,1.0,17.0,24.0,10.0,6.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,10.0,10.0,38.0,43.0,,,1.0,4.0,5.0,5.0,,8.0,16.0,5.0,,13.0,1.0,75.0,48.0,4.0,22.0,13.0,,,72.0,19.0,14.0,,,,,1.0,129.0,,,,,,,12.0,,,,23.0,,17.0,15.0,1.0,1.0,49.0,82.0,29.0,11.0,1.0,3.0,4.0,2.0,9.0,2.0,1.0,62.0,36.0,14.0,,,,1.0,180.0,167.0,3.0,21.0,17.0,40.8,,1.0,0.0,50.0,2.0,,,,1.0,4.0,,2.0,76.0,7.0,84.0,25.0,35.0,20.0,5.0,26.0,21.0,,121.0,11.0,208.0,,,34.0,6.0,54.0,2.0,266.0,1.0,0.0,11.0,18.0,1.0,27.0,6.0,493.0,13.0,6.0,8.0,14.0,0.0
360529,7,2011-10-01 15:00:00,7,Aston Villa,Home,84.0,17.0,1.0,4.0,3.0,1.0,1.0,114.0,3.0,,2.0,6.0,9.0,25.0,194.0,,,21.0,12.0,10.0,11.0,1.0,,,,1.0,,1.0,,14.0,,,,1.0,7.0,8.0,42.0,53.0,3.0,2.0,1.0,6.0,4.0,12.0,,5.0,10.0,4.0,,4.0,3.0,46.0,50.0,6.0,15.0,3.0,,,71.0,11.0,6.0,2.0,,1.0,1.0,1.0,108.0,2.0,,1.0,2.0,,,9.0,2.0,4.0,,7.0,1.0,10.0,6.0,,2.0,59.0,66.0,29.0,10.0,,6.0,8.0,6.0,5.0,2.0,,54.0,28.0,22.0,,,,,137.0,122.0,1.0,24.0,15.0,38.8,,,0.0,63.0,3.0,1.0,,,,6.0,,3.0,60.0,14.0,91.0,28.0,30.0,11.0,3.0,18.0,15.0,,113.0,10.0,199.0,4.0,,24.0,9.0,55.0,4.0,272.0,,0.0,16.0,30.0,1.0,25.0,0.0,474.0,3.0,4.0,5.0,24.0,0.0
360542,8,2011-10-15 15:00:00,7,Aston Villa,Away,132.0,14.0,1.0,6.0,5.0,1.0,,151.0,1.0,,3.0,5.0,4.0,21.0,277.0,,,16.0,5.0,4.0,4.0,1.0,2.0,,,,,,,8.0,,,,2.0,8.0,6.0,75.0,54.0,2.0,1.0,1.0,3.0,3.0,6.0,,1.0,5.0,5.0,1.0,8.0,2.0,30.0,36.0,3.0,12.0,3.0,2.0,,70.0,7.0,11.0,,,3.0,1.0,,135.0,1.0,,,1.0,,,6.0,1.0,1.0,,3.0,,27.0,18.0,1.0,3.0,84.0,72.0,32.0,5.0,,3.0,3.0,4.0,2.0,2.0,,37.0,59.0,15.0,,,,,129.0,126.0,3.0,26.0,18.0,35.9,,,0.0,67.0,2.0,2.0,,,2.0,3.0,,3.0,70.0,6.0,146.0,31.0,15.0,5.0,1.0,12.0,11.0,2.0,125.0,6.0,227.0,1.0,,26.0,4.0,50.0,1.0,361.0,,0.0,10.0,20.0,1.0,17.0,1.0,531.0,15.0,1.0,1.0,18.0,0.0
360550,9,2011-10-22 15:00:00,7,Aston Villa,Home,109.0,7.0,1.0,2.0,1.0,3.0,1.0,92.0,1.0,1.0,3.0,8.0,6.0,24.0,199.0,,,21.0,18.0,7.0,3.0,2.0,1.0,,,,,,,5.0,1.0,,,1.0,6.0,7.0,47.0,47.0,1.0,1.0,1.0,4.0,2.0,4.0,,3.0,7.0,5.0,,7.0,2.0,50.0,50.0,4.0,15.0,7.0,,,64.0,11.0,9.0,1.0,,2.0,1.0,,119.0,,,,,,,7.0,,1.0,,14.0,,25.0,16.0,4.0,3.0,59.0,85.0,36.0,8.0,,3.0,2.0,1.0,5.0,,,43.0,43.0,19.0,,1.0,1.0,1.0,158.0,139.0,2.0,28.0,12.0,38.5,,,0.0,61.0,,2.0,,,1.0,5.0,,3.0,37.0,5.0,122.0,25.0,34.0,17.0,3.0,16.0,13.0,1.0,91.0,10.0,180.0,1.0,1.0,35.0,8.0,59.0,,286.0,,1.0,8.0,27.0,1.0,28.0,2.0,486.0,8.0,7.0,3.0,15.0,0.0
360564,10,2011-10-29 15:00:00,7,Aston Villa,Away,111.0,10.0,3.0,6.0,3.0,3.0,1.0,161.0,6.0,,2.0,8.0,6.0,35.0,266.0,,2.0,17.0,12.0,17.0,7.0,3.0,1.0,,,,,,,7.0,,,,2.0,10.0,6.0,64.0,55.0,1.0,1.0,,5.0,5.0,6.0,1.0,6.0,7.0,8.0,1.0,10.0,1.0,52.0,58.0,5.0,16.0,9.0,,,76.0,14.0,8.0,,,4.0,3.0,,155.0,2.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,,14.0,,23.0,19.0,1.0,2.0,72.0,86.0,38.0,5.0,1.0,5.0,7.0,3.0,7.0,3.0,,59.0,66.0,22.0,,,,,167.0,153.0,3.0,22.0,22.0,50.0,,,0.0,75.0,1.0,2.0,,,1.0,6.0,,1.0,86.0,12.0,130.0,29.0,30.0,20.0,6.0,24.0,18.0,2.0,142.0,19.0,260.0,1.0,,36.0,9.0,70.0,,366.0,,0.0,14.0,23.0,2.0,21.0,3.0,581.0,4.0,10.0,6.0,16.0,0.0
