matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
987595,1,2018-08-11 15:00:00,38,Huddersfield,Home,135.0,21.0,1.0,6.0,5.0,5.0,1.0,152.0,5.0,,2.0,11.0,2.0,46.0,281.0,1.0,,18.0,17.0,22.0,4.0,1.0,,,,,,,,,,3.0,,1.0,1.0,,1.0,4.0,10.0,3.0,4.0,2.0,64.0,72.0,1.0,1.0,,,13.0,1.0,17.0,,,2.0,13.0,5.0,,7.0,1.0,53.0,60.0,,13.0,2.0,,,59.0,9.0,8.0,,,3.0,3.0,,143.0,,,,,,,5.0,,1.0,1.0,2.0,2.0,16.0,16.0,,2.0,85.0,80.0,37.0,5.0,,3.0,2.0,1.0,352.0,6.0,2.0,,58.0,85.0,36.0,1.0,1.0,1.0,,,145.0,145.0,10.0,27.0,26.0,37.2,2.0,,,,13.0,0.0,80.0,1.0,,1.0,,1.0,,4.0,,2.0,70.0,266.0,7.0,5.0,148.0,47.0,13.0,11.0,2.0,23.0,21.0,,112.0,14.0,247.0,1.0,,28.0,3.0,87.0,2.0,372.0,1.0,0.0,6.0,25.0,1.0,23.0,2.0,550.0,12.0,16.0,6.0,2.0,21.0,0.0
987609,2,2018-08-19 13:30:00,38,Huddersfield,Away,75.0,16.0,,1.0,1.0,5.0,,72.0,6.0,,1.0,7.0,4.0,25.0,146.0,,,8.0,17.0,19.0,2.0,,,,,,,1.0,,,,2.0,,,,,1.0,3.0,21.0,12.0,3.0,2.0,44.0,50.0,1.0,,1.0,,24.0,2.0,18.0,,,3.0,6.0,1.0,,5.0,4.0,44.0,46.0,,29.0,13.0,2.0,,41.0,4.0,8.0,,,2.0,2.0,,115.0,1.0,,1.0,,1.0,,12.0,,1.0,,13.0,,7.0,7.0,2.0,1.0,32.0,53.0,26.0,10.0,1.0,2.0,1.0,1.0,184.0,7.0,1.0,1.0,48.0,35.0,16.0,,,,,,109.0,109.0,2.0,26.0,8.0,23.1,,,,,24.0,0.0,33.0,7.0,2.0,9.0,,,,2.0,,3.0,36.0,126.0,10.0,3.0,94.0,29.0,29.0,4.0,3.0,12.0,9.0,,72.0,11.0,142.0,1.0,,25.0,4.0,63.0,1.0,224.0,,0.0,5.0,16.0,,11.0,2.0,378.0,12.0,10.0,4.0,3.0,7.0,0.0
987615,3,2018-08-25 15:00:00,38,Huddersfield,Home,152.0,10.0,1.0,2.0,1.0,3.0,,151.0,3.0,,3.0,6.0,5.0,28.0,301.0,,,15.0,35.0,27.0,1.0,1.0,,,,,,,,,,3.0,,,,,,6.0,8.0,6.0,3.0,2.0,75.0,48.0,,,,2.0,12.0,2.0,3.0,,,7.0,13.0,7.0,,19.0,2.0,65.0,53.0,2.0,24.0,13.0,,1.0,73.0,8.0,9.0,,1.0,,,,151.0,,,,,,,11.0,,1.0,,13.0,,6.0,6.0,,4.0,85.0,68.0,28.0,7.0,,,2.0,1.0,369.0,4.0,4.0,,67.0,72.0,36.0,,,,,,166.0,166.0,2.0,16.0,21.0,58.0,,,,1.0,12.0,0.0,85.0,3.0,1.0,4.0,,,,2.0,,3.0,82.0,286.0,6.0,2.0,172.0,31.0,24.0,3.0,6.0,26.0,20.0,,127.0,12.0,250.0,1.0,,20.0,5.0,70.0,1.0,396.0,,1.0,5.0,14.0,,23.0,0.0,579.0,9.0,13.0,3.0,7.0,9.0,0.0
987627,4,2018-09-01 15:00:00,38,Huddersfield,Away,148.0,9.0,,4.0,4.0,6.0,1.0,108.0,7.0,,3.0,12.0,5.0,32.0,252.0,,,13.0,27.0,31.0,5.0,,,,,,,,,,,6.0,,,,,1.0,7.0,8.0,3.0,4.0,5.0,55.0,58.0,,,1.0,4.0,15.0,2.0,3.0,,,3.0,7.0,9.0,,10.0,,57.0,81.0,4.0,18.0,9.0,,,41.0,14.0,13.0,,,,1.0,,130.0,,,,,,,11.0,,1.0,1.0,9.0,,17.0,17.0,,3.0,68.0,68.0,36.0,4.0,1.0,1.0,4.0,6.0,308.0,2.0,1.0,,58.0,43.0,31.0,,,,,,149.0,149.0,1.0,28.0,25.0,42.4,,2.0,,,15.0,0.0,82.0,,,,,,,1.0,,3.0,49.0,231.0,3.0,5.0,172.0,23.0,18.0,12.0,3.0,20.0,17.0,,86.0,12.0,183.0,1.0,,31.0,6.0,66.0,,335.0,1.0,0.0,9.0,30.0,,30.0,3.0,543.0,14.0,17.0,7.0,3.0,21.0,0.0
987635,5,2018-09-15 15:00:00,38,Huddersfield,Home,207.0,38.0,1.0,11.0,10.0,2.0,,215.0,6.0,,3.0,6.0,4.0,47.0,411.0,,,22.0,18.0,24.0,8.0,,,,,,1.0,,,,,10.0,,,,1.0,2.0,3.0,6.0,1.0,9.0,6.0,75.0,51.0,1.0,1.0,,1.0,12.0,4.0,6.0,,,5.0,12.0,11.0,,9.0,,47.0,64.0,1.0,9.0,4.0,,,60.0,11.0,17.0,,1.0,4.0,3.0,1.0,158.0,,,,,,,7.0,,,,4.0,1.0,5.0,5.0,,3.0,129.0,67.0,43.0,3.0,,5.0,3.0,2.0,467.0,3.0,2.0,,86.0,88.0,39.0,,,,,,136.0,136.0,6.0,19.0,21.0,58.4,1.0,,,,12.0,0.0,132.0,1.0,,1.0,,,,9.0,,3.0,102.0,387.0,6.0,8.0,227.0,53.0,9.0,11.0,4.0,30.0,26.0,,147.0,7.0,297.0,,,19.0,4.0,72.0,5.0,494.0,1.0,0.0,15.0,17.0,,27.0,1.0,672.0,31.0,8.0,7.0,5.0,8.0,0.0
987648,6,2018-09-22 15:00:00,38,Huddersfield,Away,144.0,18.0,,2.0,2.0,2.0,,119.0,6.0,,1.0,7.0,5.0,30.0,261.0,,1.0,16.0,25.0,20.0,4.0,,,,,,,,1.0,,,6.0,,,,,,13.0,11.0,7.0,5.0,4.0,61.0,64.0,1.0,1.0,,,23.0,2.0,5.0,,,1.0,7.0,5.0,1.0,15.0,2.0,67.0,46.0,,13.0,7.0,,,39.0,16.0,10.0,,1.0,1.0,1.0,,138.0,1.0,,1.0,,1.0,,9.0,,,2.0,7.0,,12.0,12.0,1.0,1.0,87.0,56.0,25.0,3.0,,3.0,2.0,2.0,327.0,3.0,1.0,,57.0,44.0,21.0,,,,,,160.0,160.0,3.0,25.0,27.0,38.0,,3.0,,,23.0,0.0,71.0,3.0,2.0,5.0,,1.0,,5.0,,2.0,46.0,242.0,7.0,5.0,173.0,39.0,13.0,13.0,1.0,14.0,13.0,,77.0,7.0,198.0,,,25.0,5.0,69.0,,357.0,,0.0,9.0,11.0,1.0,27.0,1.0,527.0,18.0,16.0,5.0,1.0,8.0,0.0
987657,7,2018-09-29 15:00:00,38,Huddersfield,Home,148.0,22.0,,5.0,5.0,4.0,1.0,165.0,5.0,,3.0,13.0,2.0,38.0,308.0,,,15.0,31.0,22.0,4.0,1.0,,,1.0,,2.0,,,,,4.0,,1.0,,,2.0,9.0,10.0,,4.0,5.0,73.0,66.0,,,,1.0,22.0,1.0,6.0,,,3.0,8.0,5.0,,10.0,2.0,69.0,67.0,1.0,10.0,1.0,,1.0,68.0,17.0,15.0,,,5.0,5.0,2.0,183.0,,,,,,,7.0,,,,1.0,1.0,15.0,15.0,1.0,3.0,85.0,87.0,52.0,,,2.0,3.0,5.0,395.0,,1.0,,50.0,97.0,38.0,1.0,1.0,1.0,,,185.0,185.0,5.0,20.0,32.0,52.7,1.0,,,1.0,22.0,0.0,79.0,4.0,,4.0,,2.0,,3.0,,3.0,74.0,292.0,9.0,5.0,175.0,38.0,10.0,12.0,3.0,21.0,18.0,,127.0,14.0,266.0,,,39.0,2.0,79.0,1.0,420.0,,0.0,9.0,24.0,,30.0,2.0,621.0,10.0,24.0,6.0,3.0,16.0,0.0
987663,8,2018-10-06 15:00:00,38,Huddersfield,Away,280.0,15.0,4.0,10.0,6.0,2.0,,193.0,,,6.0,9.0,3.0,35.0,463.0,,,24.0,25.0,26.0,13.0,2.0,1.0,,,,,,,,,13.0,,,,,,6.0,4.0,2.0,9.0,9.0,93.0,52.0,1.0,1.0,,1.0,23.0,9.0,5.0,,,10.0,15.0,13.0,1.0,12.0,1.0,56.0,48.0,1.0,7.0,5.0,,,64.0,11.0,8.0,,,1.0,,,219.0,1.0,,1.0,1.0,,,,1.0,1.0,,5.0,,10.0,10.0,1.0,6.0,141.0,74.0,38.0,1.0,,6.0,10.0,2.0,564.0,2.0,,,74.0,96.0,50.0,,,,,,179.0,179.0,1.0,21.0,22.0,68.2,,,1.0,,23.0,0.0,127.0,2.0,,2.0,,,1.0,7.0,1.0,3.0,105.0,451.0,8.0,16.0,315.0,45.0,7.0,9.0,9.0,37.0,28.0,1.0,159.0,8.0,302.0,1.0,,28.0,3.0,72.0,,580.0,,0.0,18.0,10.0,,31.0,2.0,771.0,24.0,11.0,4.0,10.0,5.0,0.0
987677,9,2018-10-20 17:30:00,38,Huddersfield,Home,279.0,23.0,1.0,7.0,6.0,3.0,1.0,147.0,4.0,,3.0,5.0,4.0,30.0,419.0,,,16.0,22.0,23.0,7.0,1.0,,,1.0,,1.0,,,,,12.0,,,1.0,,,6.0,6.0,5.0,7.0,6.0,70.0,72.0,,,,1.0,25.0,6.0,8.0,,,2.0,13.0,11.0,,8.0,1.0,53.0,51.0,1.0,21.0,8.0,,,50.0,9.0,5.0,,,1.0,1.0,1.0,202.0,,,,,,,6.0,,,,8.0,1.0,12.0,12.0,1.0,3.0,111.0,75.0,46.0,4.0,,2.0,6.0,1.0,506.0,5.0,1.0,,52.0,85.0,32.0,,,,,,168.0,168.0,6.0,35.0,27.0,47.8,1.0,,,2.0,25.0,0.0,138.0,1.0,,1.0,,,,6.0,,3.0,74.0,407.0,14.0,8.0,315.0,40.0,21.0,10.0,2.0,27.0,25.0,,105.0,7.0,233.0,,,19.0,4.0,59.0,3.0,521.0,,0.0,13.0,20.0,1.0,27.0,0.0,726.0,19.0,17.0,4.0,2.0,14.0,0.0
987691,10,2018-10-27 15:00:00,38,Huddersfield,Away,235.0,23.0,1.0,5.0,4.0,8.0,,169.0,4.0,,2.0,8.0,1.0,36.0,399.0,1.0,,19.0,12.0,16.0,11.0,1.0,,,,,,,,,,11.0,,,,,,5.0,8.0,4.0,9.0,4.0,73.0,60.0,,,,,20.0,2.0,10.0,,,3.0,7.0,3.0,,14.0,1.0,52.0,61.0,,13.0,2.0,,,58.0,13.0,9.0,,,,,,167.0,,,,,,,5.0,,1.0,1.0,2.0,1.0,27.0,27.0,1.0,2.0,133.0,79.0,46.0,3.0,,4.0,8.0,7.0,475.0,,,,61.0,68.0,23.0,,,,,,153.0,153.0,2.0,27.0,26.0,51.9,,,,,20.0,0.0,125.0,2.0,1.0,3.0,,,,4.0,1.0,3.0,67.0,380.0,10.0,12.0,265.0,45.0,13.0,15.0,3.0,13.0,10.0,,106.0,11.0,246.0,1.0,1.0,29.0,1.0,70.0,3.0,498.0,1.0,0.0,13.0,26.0,2.0,27.0,2.0,710.0,19.0,16.0,10.0,3.0,18.0,0.0
