playerId,playerName,position,team,nationality,season,punches,expectedGoalsOnTargetConceded,successfulLaunches,expectedAssists,totalClearances,goalsConceded,totalRedCards,catches,rightsidePasses,savesMade,goalkeeperSmother,forwardPasses,recoveries,appearances,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,successfulPassesOppositionHalf,starts,goalsConcededInsideBox,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,penaltiesFaced,savesMadeParried,leftsidePasses,successfulLongPasses,timePlayed,touches,goalsConcededOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,successfulShortPasses,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,groundDuelsLost,duels,crossesNotClaimed,groundDuels,savesMadeCaught,aerialDuels,cleanSheets,unsuccessfulLayoffs,duelsWon,putthroughBlockedDistribution,groundDuelsWon,ownGoalScored,totalFoulsWon,drops,aerialDuelsWon,interceptions,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,oboxBlocked,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,throwInsToOppositionPlayer,keyPassesAttemptAssists,putthroughBlockedDistributionWon,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,blocks,totalFoulsConceded,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,penaltiesConceded,offsides,shotsBlockedInBox,iboxBlocked,leftFootGoals,clearancesOffTheLine,hitWoodwork,handballsConceded,substituteOn,expectedGoalsFreekick,cornersTakenInclShortCorners,successfulCornersIntoBox,penaltiesTaken,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,penaltyGoals,foulWonPenalty,setPiecesGoals,redCards2ndYellow,overruns,awayGoals,totalTouchesInOppositionBox,penaltyGoalsConceded,winningGoal,homeGoals,timesTackled
138005,Luke Croll,Defender,Eastleigh,England,2015-16,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27341,Yohan Cabaye,Midfielder,St Etienne,France,2015-16,,30.6101,15.0,3.6466,17.0,32.0,0.0,,324.0,,,437.0,193.0,33.0,,151.0,33.0,572.0,32.0,24.0,220.0,1269.0,0.0,,1192.0,412.0,,,,326.0,95.0,2703.0,1941.0,8.0,17.0,520.0,954.0,,7.0,69.0,44.0,162.0,150.0,326.0,,306.0,,20.0,5.0,1.0,164.0,67.0,156.0,,40.0,,8.0,120.0,4.0,20.0,21.0,7.994,107.0,47.0,3.0,1.0,63.0,16.0,5.0,18.0,10.0,43.0,6.0,6.0,12.0,,49.0,42.0,10.0,5.0,27.0,12.0,,100.0,26.0,15.0,80.0,9.0,6.0,38.0,182.0,9.0,15.0,18.0,31.0,7.0956,,,2.0,2.0,,1.0,2.0,,1.0,0.547,92.0,27.0,4.0,9.0,9.0,59.0,3.0,,,,,,,,,,
55452,Yannick Bolasie,Forward,Swansea City,DR Congo,2015-16,,23.8845,1.0,2.3991,27.0,21.0,0.0,,104.0,,,166.0,92.0,26.0,,116.0,26.0,294.0,23.0,18.0,139.0,506.0,0.0,,501.0,447.0,,,,89.0,12.0,2076.0,1130.0,3.0,10.0,98.0,355.0,,2.0,23.0,24.0,192.0,158.0,345.0,,291.0,,54.0,5.0,7.0,153.0,37.0,133.0,,33.0,,20.0,10.0,25.0,13.0,26.0,4.1674,26.0,44.0,1.0,3.0,43.0,113.0,5.0,9.0,11.0,25.0,10.0,10.0,34.0,1.0,20.0,15.0,11.0,2.0,8.0,67.0,1.0,113.0,18.0,42.0,18.0,75.0,6.0,25.0,147.0,14.0,4.0,9.0,13.0,4.1637,,17.0,4.0,4.0,2.0,,1.0,,3.0,,1.0,,,,,,,,,,,,,,,,
82403,Wilfried Zaha,Forward,Galatasaray,Cote d’Ivoire,2015-16,,35.9114,2.0,3.7951,7.0,37.0,0.0,,99.0,,,175.0,198.0,34.0,,108.0,34.0,318.0,30.0,27.0,129.0,554.0,0.0,,546.0,536.0,,,,147.0,20.0,2492.0,1424.0,10.0,16.0,135.0,405.0,,5.0,21.0,33.0,271.0,252.0,543.0,,513.0,,30.0,4.0,4.0,272.0,52.0,261.0,,90.0,,11.0,26.0,28.0,9.0,9.0,2.0986,46.0,23.0,3.0,1.0,23.0,90.0,2.0,3.0,2.0,28.0,5.0,5.0,19.0,,39.0,30.0,2.0,2.0,8.0,117.0,,90.0,14.0,36.0,38.0,127.0,,40.0,133.0,25.0,12.0,3.0,11.0,2.4294,,8.0,6.0,6.0,,,1.0,,4.0,,3.0,,,,,,,3.0,,,,,,,,,
75773,Lee Chung-yong,Midfielder,Crystal Palace,South Korea,2015-16,,8.0917,1.0,0.3455,3.0,11.0,0.0,,49.0,,,30.0,24.0,13.0,,20.0,13.0,94.0,4.0,8.0,25.0,177.0,0.0,,170.0,65.0,,,,50.0,9.0,385.0,280.0,3.0,2.0,64.0,143.0,,0.0,5.0,6.0,32.0,24.0,66.0,,53.0,,13.0,,,34.0,8.0,29.0,,6.0,,5.0,6.0,3.0,1.0,2.0,0.5134,15.0,4.0,,,9.0,3.0,1.0,,1.0,6.0,,,8.0,,6.0,5.0,1.0,1.0,2.0,2.0,,12.0,2.0,5.0,13.0,8.0,,4.0,48.0,5.0,4.0,,3.0,0.1749,,,1.0,1.0,,,,,9.0,0.0471,8.0,2.0,,1.0,1.0,5.0,,,,,,,,,,,
59115,Mile Jedinak,Midfielder,Aston Villa,Australia,2015-16,,23.6178,12.0,0.7593,58.0,29.0,0.0,,167.0,,,360.0,115.0,27.0,,176.0,27.0,290.0,16.0,21.0,236.0,830.0,0.0,,823.0,279.0,,,,186.0,51.0,1530.0,1112.0,8.0,38.0,305.0,543.0,,6.0,60.0,58.0,112.0,71.0,281.0,,138.0,,143.0,3.0,,169.0,28.0,67.0,,16.0,,102.0,55.0,1.0,5.0,1.0,0.11,50.0,8.0,,,23.0,4.0,,2.0,,1.0,1.0,1.0,41.0,2.0,8.0,19.0,,,16.0,,,5.0,7.0,4.0,34.0,5.0,10.0,36.0,117.0,5.0,2.0,2.0,24.0,1.1013,1.0,2.0,3.0,3.0,,,1.0,,11.0,,,,,,,,,,,,,,,,,,
18805,Joe Ledley,Midfielder,Newport County,Wales,2015-16,,17.7547,7.0,0.1892,26.0,19.0,0.0,,107.0,,,142.0,55.0,19.0,,56.0,19.0,134.0,11.0,14.0,80.0,399.0,0.0,,398.0,108.0,,,,81.0,14.0,980.0,535.0,5.0,16.0,185.0,305.0,,1.0,24.0,27.0,42.0,29.0,76.0,,51.0,,25.0,1.0,2.0,34.0,22.0,22.0,,4.0,,12.0,33.0,,3.0,2.0,0.3824,16.0,4.0,,,8.0,2.0,1.0,2.0,,,1.0,1.0,13.0,,3.0,14.0,,,5.0,,,5.0,2.0,2.0,11.0,2.0,9.0,12.0,69.0,2.0,7.0,2.0,6.0,0.3167,,,1.0,1.0,1.0,,,,8.0,,3.0,,,,,3.0,,,,,,,,,,,
50471,James McArthur,Midfielder,Crystal Palace,Scotland,2015-16,,27.1314,6.0,0.8757,20.0,28.0,0.0,,297.0,,,318.0,167.0,28.0,,107.0,28.0,437.0,26.0,23.0,154.0,1059.0,0.0,,1036.0,226.0,,,,280.0,66.0,2192.0,1396.0,5.0,17.0,469.0,839.0,,5.0,47.0,40.0,166.0,124.0,283.0,,209.0,,74.0,4.0,1.0,117.0,43.0,85.0,,21.0,,32.0,66.0,1.0,5.0,4.0,0.4586,55.0,11.0,1.0,2.0,23.0,7.0,2.0,1.0,2.0,1.0,,,42.0,1.0,20.0,31.0,2.0,1.0,13.0,10.0,,7.0,7.0,7.0,42.0,10.0,10.0,41.0,164.0,7.0,10.0,1.0,27.0,1.1701,,1.0,4.0,4.0,1.0,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,
103100,Jonny Williams,Midfielder,Gillingham,Wales,2015-16,,,,0.0013,,,0.0,,2.0,,,1.0,2.0,1.0,,,1.0,3.0,,,,5.0,0.0,,4.0,,,,,1.0,,10.0,5.0,,,2.0,5.0,,0.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
49438,Jordon Mutch,Midfielder,Crawley Town,England,2015-16,,13.6319,3.0,1.0759,8.0,16.0,0.0,,81.0,,,96.0,47.0,20.0,,53.0,20.0,167.0,7.0,13.0,68.0,307.0,0.0,,295.0,143.0,,,,65.0,12.0,795.0,487.0,3.0,4.0,79.0,227.0,,0.0,15.0,16.0,56.0,34.0,105.0,,73.0,,32.0,,,49.0,16.0,39.0,,10.0,,10.0,15.0,2.0,5.0,2.0,0.1803,18.0,12.0,1.0,,20.0,24.0,,,1.0,7.0,1.0,1.0,22.0,1.0,7.0,9.0,1.0,,2.0,2.0,,35.0,10.0,10.0,16.0,11.0,1.0,11.0,65.0,5.0,4.0,,3.0,1.2713,,3.0,5.0,5.0,,,,,13.0,,15.0,5.0,,,,10.0,,,,,,,,,,,
