playerId,playerName,position,team,nationality,season,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,unsuccessfulShortPasses,putthroughBlockedDistribution,keyPassesAttemptAssists,totalFoulsWon,putthroughBlockedDistributionWon,drops,crossesNotClaimed,duelsLost,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,offsides,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,ownGoalScored,shotsBlockedInBox,groundDuelsLost,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,blocks,totalFoulsConceded,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,substituteOff,foulAttemptedTackle,expectedGoals,expectedGoalsFreekick,throughBalls,goals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCornersIntoBox,oboxTarget,rightFootGoals,leftFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,shotsBlockedOutsideBox,handballsConceded,penaltiesConceded,headedGoals,hitWoodwork,setPiecesGoals,unsuccessfulLayoffs,penaltiesTaken,penaltyGoals,foulWonPenalty,secondGoalAssists
11554,Julian Speroni,Goalkeeper,Crystal Palace,Argentina,2017-18,0.0231,0.0,6.0,13.0,11.0,11.0,164.0,294.0,3.0,2.0,2.0,1.0,990.0,3.0,3.0,1.0,43.0,1.0,1.0,13.4358,35.0,5.0,14.0,15.0,31.0,3.0,5.0,263.0,81.0,11.0,73.0,11.0,1.0,2.0,0.0,55.0,116.0,164.0,1.0,52.0,6.0,16.0,1.0,87.0,361.0,81.0,57.0,16.0,0.0,164.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20066,Wayne Hennessey,Goalkeeper,Nottingham Forest,Wales,2017-18,0.289,0.0,26.0,38.0,27.0,27.0,371.0,689.0,5.0,10.0,7.0,1.0,2430.0,10.0,9.0,,89.0,10.0,1.0,39.9055,117.0,15.0,41.0,15.0,91.0,10.0,5.0,622.0,256.0,27.0,207.0,32.0,,10.0,0.0,192.0,285.0,378.0,,127.0,20.0,52.0,2.0,229.0,937.0,190.0,111.0,50.0,1.0,370.0,30.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51917,Diego Cavalieri,Goalkeeper,Crystal Palace,Brazil,2017-18,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199806,Dion Henry,Goalkeeper,Crawley Town,England,2017-18,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55494,Joel Ward,Defender,Crystal Palace,England,2017-18,0.8021,0.0,,,19.0,19.0,192.0,681.0,,58.0,4.0,,1616.0,105.0,6.0,72.0,449.0,,1.0,24.0291,12.0,61.0,25.0,45.0,,183.0,,372.0,100.0,19.0,285.0,19.0,125.0,33.0,0.0,,672.0,294.0,8.0,,,148.0,28.0,40.0,1200.0,51.0,214.0,,4.0,88.0,49.0,104.0,46.0,7.0,29.0,16.0,,,78.0,10.0,1.0,1.0,0.022,35.0,4.0,1.0,5.0,36.0,1.0,10.0,1.0,1.0,25.0,11.0,27.0,1.0,1.0,53.0,5.0,6.0,36.0,1.0,3.0,6.0,30.0,11.0,25.0,1.0,116.0,172.0,3.0,9.0,0.237,,,,,,,,,,,,,,,,,,,,,,,,,
74230,Patrick van Aanholt,Defender,Galatasaray,Netherlands,2017-18,1.8221,0.0,,,28.0,25.0,201.0,882.0,,11.0,5.0,,2185.0,89.0,6.0,83.0,642.0,,1.0,36.8235,8.0,56.0,38.0,322.0,,152.0,,367.0,162.0,28.0,376.0,32.0,141.0,6.0,0.0,,855.0,355.0,26.0,,,37.0,47.0,39.0,1513.0,42.0,318.0,,7.0,69.0,69.0,132.0,50.0,17.0,10.0,19.0,,,63.0,6.0,9.0,11.0,3.4403,47.0,24.0,1.0,6.0,36.0,3.0,13.0,1.0,1.0,5.0,37.0,45.0,,3.0,58.0,15.0,5.0,43.0,3.0,13.0,17.0,32.0,5.0,18.0,,156.0,190.0,4.0,15.0,3.0866,0.2318,3.0,5.0,6.0,3.0,11.0,5.0,6.0,5.0,2.0,3.0,4.0,4.0,4.0,6.0,1.0,,,,,,,,,
49413,James Tomkins,Defender,Crystal Palace,England,2017-18,0.6686,0.0,,,28.0,27.0,162.0,887.0,,182.0,8.0,,2388.0,182.0,8.0,66.0,650.0,,1.0,32.1135,24.0,214.0,32.0,194.0,,285.0,,372.0,124.0,28.0,201.0,24.0,103.0,116.0,0.0,,858.0,175.0,6.0,,,265.0,63.0,75.0,1322.0,58.0,524.0,,8.0,83.0,59.0,79.0,14.0,1.0,14.0,12.0,,,103.0,,2.0,10.0,2.7086,47.0,21.0,,,1.0,1.0,,7.0,7.0,66.0,36.0,,,2.0,37.0,21.0,,1.0,2.0,11.0,1.0,26.0,12.0,20.0,1.0,56.0,2.0,2.0,11.0,2.4191,,,3.0,,1.0,,,,,1.0,1.0,,,,,,1.0,1.0,2.0,,,,,,
19188,Scott Dann,Defender,Reading,England,2017-18,0.2753,0.0,,,17.0,16.0,114.0,566.0,,82.0,1.0,,1435.0,68.0,6.0,19.0,405.0,,1.0,22.5141,9.0,97.0,26.0,134.0,,125.0,,240.0,72.0,17.0,138.0,20.0,43.0,49.0,0.0,,544.0,126.0,7.0,,,135.0,23.0,47.0,768.0,32.0,314.0,,4.0,61.0,21.0,53.0,7.0,5.0,3.0,3.0,,,57.0,,3.0,5.0,0.6502,10.0,16.0,,2.0,2.0,2.0,,4.0,4.0,33.0,33.0,,,3.0,24.0,5.0,,2.0,3.0,11.0,1.0,5.0,14.0,12.0,,57.0,2.0,1.0,4.0,2.3079,,1.0,1.0,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,
40784,Mamadou Sakho,Defender,Crystal Palace,France,2017-18,0.2238,0.0,,,19.0,18.0,108.0,739.0,,76.0,6.0,,1600.0,75.0,5.0,34.0,603.0,,1.0,24.8105,4.0,99.0,23.0,251.0,,126.0,,334.0,140.0,19.0,179.0,18.0,50.0,41.0,0.0,,720.0,130.0,6.0,,,118.0,30.0,28.0,968.0,12.0,452.0,,1.0,34.0,42.0,74.0,12.0,,9.0,8.0,,,51.0,,1.0,1.0,0.7207,21.0,2.0,2.0,,,,,,,35.0,6.0,,,1.0,16.0,7.0,2.0,,1.0,1.0,3.0,14.0,11.0,3.0,,36.0,1.0,1.0,1.0,1.1668,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,
86417,Jeffrey Schlupp,Midfielder,Crystal Palace,Ghana,2017-18,0.7484,0.0,,,24.0,21.0,169.0,654.0,,90.0,3.0,,1748.0,116.0,7.0,77.0,458.0,,1.0,28.0083,7.0,54.0,30.0,178.0,,243.0,,291.0,113.0,24.0,290.0,23.0,153.0,39.0,0.0,,644.0,293.0,13.0,,,56.0,24.0,27.0,1146.0,40.0,198.0,,3.0,58.0,59.0,111.0,56.0,11.0,8.0,26.0,,,127.0,3.0,3.0,2.0,0.3789,57.0,12.0,1.0,12.0,28.0,,3.0,2.0,2.0,51.0,23.0,28.0,,1.0,76.0,21.0,10.0,28.0,1.0,10.0,13.0,36.0,8.0,18.0,,129.0,113.0,6.0,14.0,1.2395,,,,2.0,3.0,,,,,,,,,,2.0,,,,,,,,,,
