playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,aerialDuelsLost,penaltiesConceded,totalTouchesInOppositionBox,throwInsToOppositionPlayer,homeGoals,tacklesLost,lastPlayerTackle,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,hitWoodwork,handballsConceded,successfulCrossesOpenPlay,overruns,successfulCrossesAndCorners,substituteOff,secondGoalAssists,goalAssists,ownGoalScored,rightFootGoals,clearancesOffTheLine,substituteOn,unsuccessfulLayoffs,leftFootGoals,redCards2ndYellow,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,foulWonPenalty,penaltiesTaken,penaltyGoals
32318,Marc Wilson,Midfielder,Bolton Wanderers,30,Ireland,2012-13,64.0,0.0,,,110.0,19.0,19.0,181.0,468.0,,,36.0,4.0,,1493.0,97.0,2.0,73.0,224.0,,2.0,9.0,24.0,76.0,17.0,52.0,116.0,,5.0,0.0,161.0,,285.0,64.0,19.0,,161.0,15.0,125.0,24.0,0.0,,454.0,3.0,270.0,,,33.0,63.0,900.0,54.0,137.0,,3.0,71.0,44.0,6.0,1.0,58.0,11.0,,1.0,33.0,,,,12.0,,7.0,31.0,,19.0,1.0,6.0,,34.0,17.0,10.0,39.0,10.0,5.0,3.0,19.0,33.0,34.0,104.0,1.0,,11.0,1.0,11.0,5.0,1.0,,,,,,,,,,,,,,
50089,Geoff Cameron,Midfielder,Queens Park Rangers,52,United States,2012-13,129.0,0.0,,,249.0,35.0,29.0,320.0,911.0,,,76.0,10.0,,2635.0,195.0,5.0,142.0,529.0,,5.0,16.0,15.0,89.0,37.0,106.0,124.0,,10.0,0.0,324.0,,486.0,157.0,35.0,,346.0,32.0,248.0,53.0,0.0,,893.0,10.0,551.0,,,233.0,62.0,1709.0,47.0,262.0,,5.0,71.0,72.0,3.0,,112.0,5.0,1.0,4.0,62.0,,1.0,,23.0,,18.0,86.0,,23.0,1.0,19.0,,63.0,40.0,5.0,89.0,20.0,14.0,,29.0,72.0,68.0,172.0,,1.0,16.0,5.0,17.0,4.0,,1.0,,,,6.0,2.0,,,,,,,,
41587,Maurice Edu,Midfielder,Stoke City,110,United States,2012-13,5.0,0.0,,,,1.0,,,9.0,,,2.0,,,9.0,,,,9.0,,,,,1.0,,3.0,1.0,,,0.0,5.0,,3.0,1.0,1.0,,3.0,,3.0,,0.0,,9.0,,4.0,,,4.0,,14.0,,6.0,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,
12150,Glenn Whelan,Midfielder,Bristol Rovers,96,Ireland,2012-13,125.0,0.0,,,178.0,32.0,31.0,232.0,1281.0,,,48.0,6.0,,2592.0,113.0,4.0,86.0,941.0,,5.0,36.0,6.0,60.0,32.0,104.0,342.0,,21.0,0.0,238.0,,478.0,177.0,32.0,,619.0,28.0,190.0,27.0,0.0,,1234.0,8.0,364.0,,,305.0,108.0,1751.0,26.0,475.0,,4.0,54.0,48.0,6.0,3.0,60.0,15.0,3.0,23.0,20.0,,,,21.0,,9.0,,,18.0,,7.0,,72.0,31.0,12.0,42.0,5.0,14.0,2.0,34.0,65.0,156.0,3.0,1.0,4.0,12.0,1.0,45.0,8.0,,4.0,,,,1.0,1.0,,,64.0,28.0,32.0,,,
3658,Jermaine Pennant,Midfielder,Billericay Town,1185,England,2012-13,8.0,0.0,,,5.0,1.0,1.0,5.0,9.0,,,3.0,,,66.0,8.0,,6.0,4.0,,,,,,,7.0,2.0,,2.0,0.0,16.0,,4.0,4.0,1.0,,4.0,,13.0,2.0,0.0,,9.0,,13.0,,,2.0,,27.0,,1.0,,0.0,,2.0,,,4.0,,,1.0,1.0,,,,1.0,,1.0,,,1.0,,,,2.0,5.0,,3.0,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
34296,Wilson Palacios,Midfielder,Stoke City,110,Honduras,2012-13,3.0,0.0,,,6.0,4.0,,6.0,32.0,,,1.0,,,46.0,4.0,,4.0,26.0,,1.0,1.0,,1.0,1.0,2.0,7.0,,,0.0,7.0,,12.0,9.0,4.0,,13.0,1.0,6.0,,0.0,,32.0,,8.0,,,11.0,,41.0,,13.0,,0.0,,2.0,1.0,,4.0,,,,,,,,1.0,,,,,1.0,,,,,2.0,,3.0,,,,,,2.0,,,,,,,,,,,,,4.0,,,,,,,,,
50067,Brek Shea,Midfielder,Stoke City,110,United States,2012-13,13.0,0.0,,,11.0,2.0,,12.0,26.0,,,5.0,,,89.0,6.0,,3.0,13.0,,,1.0,,1.0,1.0,11.0,11.0,,,0.0,19.0,,7.0,6.0,2.0,,8.0,1.0,14.0,3.0,0.0,,26.0,,23.0,,,1.0,1.0,46.0,1.0,7.0,,0.0,1.0,2.0,,,3.0,1.0,,3.0,2.0,,,,2.0,,3.0,,,,,2.0,,3.0,7.0,1.0,3.0,,,,3.0,1.0,7.0,1.0,,,1.0,,1.0,,,,,,,2.0,,,,1.0,,1.0,,,
59305,Jamie Ness,Midfielder,Plymouth Argyle,76,Scotland,2012-13,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49323,Steven Nzonzi,Midfielder,Stoke City,110,France,2012-13,149.0,1.0,,,237.0,35.0,35.0,276.0,1546.0,,,156.0,11.0,,3109.0,230.0,6.0,121.0,1203.0,,4.0,15.0,2.0,36.0,42.0,102.0,403.0,,32.0,0.0,379.0,,495.0,259.0,35.0,,693.0,36.0,223.0,109.0,1.0,,1544.0,3.0,366.0,,,413.0,67.0,1897.0,11.0,579.0,,9.0,39.0,63.0,4.0,7.0,70.0,14.0,5.0,21.0,14.0,1.0,1.0,0.0,47.0,1.0,28.0,,1.0,11.0,,10.0,1.0,14.0,45.0,7.0,59.0,19.0,10.0,,40.0,32.0,235.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,,,,,,,1.0,,,1.0,,,,,
20208,Charlie Adam,Midfielder,Reading PL2,7608,Scotland,2012-13,143.0,1.0,,,156.0,27.0,22.0,213.0,759.0,,,46.0,1.0,,1774.0,106.0,4.0,83.0,494.0,,2.0,32.0,3.0,11.0,26.0,120.0,182.0,,40.0,6.0,249.0,,247.0,125.0,27.0,,354.0,22.0,203.0,23.0,0.0,,741.0,25.0,413.0,,,183.0,52.0,1190.0,13.0,213.0,,7.0,57.0,33.0,12.0,12.0,33.0,41.0,3.0,48.0,61.0,3.0,1.0,0.0,23.0,,42.0,2.0,3.0,4.0,,17.0,,100.0,51.0,29.0,29.0,10.0,2.0,7.0,52.0,21.0,147.0,11.0,1.0,4.0,8.0,2.0,21.0,16.0,,2.0,,,,5.0,5.0,3.0,1.0,35.0,10.0,21.0,,,
