playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,expectedAssists,catches,savesMadeFromOutsideBox,totalShots,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,gkSuccessfulDistribution,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,throughBalls,goals,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuelsLost,successfulCornersIntoBox,shotsBlockedInBox,rightFootGoals,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,tacklesWon,attemptsFromSetPieces,unsuccessfulCornersIntoBox,backwardPasses,throwInsToOwnPlayer,hitWoodwork,secondGoalAssists,successfulCrossesOpenPlay,expectedGoalsFreekick,overruns,goalAssists,successfulLayoffs,foulWonPenalty,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,unsuccessfulLayoffs,homeGoals,penaltiesTaken,oboxTarget,tacklesLost,iboxBlocked,successfulDribbles,blocks,interceptions,penaltyGoals,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,iboxTarget,shotsOnTargetInBox,handballsConceded,headedGoals,throwInsToOppositionPlayer,lastPlayerTackle,clearancesOffTheLine,redCards2ndYellow
20208,Charlie Adam,Midfielder,Stoke,110,Scotland,2014-15,0.0,0.0,5.0,115.0,2.6417,,,40.0,103.0,29.0,15.0,181.0,765.0,,,37.0,,,1508.0,121.0,1.0,,32.0,99.0,500.0,26.0,,3.0,19.4854,32.0,9.0,22.0,17.0,100.0,174.0,,29.0,2.0,236.0,15.0,,254.0,131.0,29.0,,346.0,16.0,199.0,22.0,,728.0,23.0,24.0,386.0,,,200.0,38.0,84.0,1233.0,21.0,263.0,,3.8187,78.0,34.0,22.0,17.0,5.8905,52.0,,7.0,,2.0,19.0,14.0,15.0,19.0,3.0,1.0,5.0,12.0,121.0,42.0,7.0,46.0,7.0,52.0,137.0,5.0,,,6.0,0.3856,6.0,1.0,48.0,,48.0,74.0,8.0,25.0,3.0,5.0,1.0,8.0,6.0,3.0,20.0,3.0,18.0,1.0,8.0,19.0,22.0,2.0,2.0,1.0,1.0,,,,
50089,Geoff Cameron,Midfielder,Stoke,110,United States,2014-15,0.0,0.0,4.0,101.0,1.2097,,,6.0,157.0,27.0,21.0,227.0,906.0,,,61.0,4.0,,2135.0,152.0,4.0,1.0,40.0,109.0,635.0,19.0,,4.0,32.0307,11.0,9.0,84.0,30.0,83.0,90.0,,19.0,0.0,253.0,20.0,,426.0,153.0,27.0,,352.0,26.0,192.0,43.0,,891.0,6.0,9.0,415.0,,,271.0,13.0,44.0,1544.0,28.0,338.0,,0.9958,70.0,53.0,3.0,,,64.0,,,1.0,,2.0,6.0,18.0,,1.0,,,13.0,39.0,38.0,,54.0,,,119.0,121.0,,,11.0,,2.0,1.0,6.0,,39.0,,,11.0,,,,,10.0,1.0,26.0,12.0,56.0,,2.0,2.0,9.0,,,,,83.0,,,
12150,Glenn Whelan,Midfielder,Stoke,110,Ireland,2014-15,0.0,0.0,6.0,115.0,1.2024,,,6.0,141.0,28.0,26.0,207.0,1336.0,,,62.0,7.0,,2264.0,118.0,4.0,,44.0,77.0,1040.0,11.0,,3.0,28.8738,19.0,9.0,81.0,27.0,94.0,380.0,,17.0,0.0,233.0,27.0,,415.0,153.0,28.0,,546.0,23.0,171.0,41.0,,1306.0,4.0,6.0,267.0,,,368.0,35.0,89.0,1691.0,25.0,590.0,,0.4556,66.0,41.0,9.0,2.0,0.1272,54.0,,,,,6.0,2.0,21.0,1.0,3.0,,,5.0,15.0,25.0,,37.0,,1.0,173.0,1.0,,,5.0,,,,25.0,,10.0,2.0,2.0,7.0,,,,2.0,17.0,3.0,7.0,21.0,44.0,,9.0,6.0,21.0,,,2.0,,,1.0,1.0,
32318,Marc Wilson,Midfielder,Stoke,110,Ireland,2014-15,0.0,1.0,4.0,88.0,0.4357,,,3.0,85.0,27.0,25.0,194.0,934.0,,,97.0,5.0,,2124.0,101.0,3.0,,16.0,45.0,640.0,10.0,,3.0,26.3174,6.0,17.0,165.0,25.0,47.0,345.0,,2.0,0.0,189.0,6.0,,375.0,91.0,27.0,,234.0,22.0,92.0,56.0,,899.0,3.0,,226.0,,,126.0,25.0,100.0,1292.0,44.0,510.0,,0.3295,109.0,40.0,3.0,,,39.0,,,,,1.0,2.0,41.0,,2.0,,,2.0,7.0,4.0,,30.0,,1.0,88.0,38.0,,,4.0,,1.0,,1.0,,6.0,1.0,,4.0,,,,,9.0,2.0,5.0,14.0,32.0,,3.0,1.0,16.0,,,,,10.0,3.0,1.0,1.0
160901,Oliver Shenton,Midfielder,Stoke,110,England,2014-15,0.0,0.0,0.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20481,Stephen Ireland,Midfielder,Stoke,110,Ireland,2014-15,0.0,0.0,3.0,67.0,1.273,,,14.0,59.0,17.0,11.0,75.0,445.0,,,24.0,,,933.0,40.0,1.0,,21.0,32.0,358.0,31.0,,3.0,14.8246,19.0,,3.0,15.0,51.0,84.0,,6.0,0.0,107.0,16.0,,127.0,52.0,17.0,,230.0,14.0,83.0,8.0,,437.0,7.0,3.0,121.0,,,145.0,18.0,12.0,599.0,3.0,149.0,,1.1164,16.0,12.0,1.0,7.0,1.4384,24.0,,,5.0,,,6.0,16.0,2.0,1.0,,,7.0,7.0,18.0,,17.0,,2.0,89.0,2.0,,,6.0,,1.0,3.0,30.0,,5.0,4.0,1.0,9.0,5.0,,,1.0,7.0,1.0,3.0,1.0,15.0,,8.0,,14.0,6.0,6.0,,,,,,
11735,Steve Sidwell,Midfielder,Stoke,110,England,2014-15,0.0,0.0,3.0,37.0,0.1027,,,6.0,35.0,12.0,5.0,41.0,247.0,,,21.0,,,447.0,32.0,2.0,,13.0,22.0,190.0,7.0,,,7.5729,1.0,1.0,16.0,8.0,26.0,69.0,,7.0,0.0,69.0,7.0,,65.0,25.0,12.0,,105.0,6.0,48.0,10.0,,239.0,6.0,1.0,58.0,,,70.0,12.0,16.0,333.0,1.0,102.0,,0.2689,6.0,8.0,2.0,,,14.0,,,,,2.0,7.0,11.0,,,,,1.0,2.0,10.0,,11.0,,,43.0,,,,1.0,,,,14.0,,2.0,,,1.0,1.0,,,,3.0,,2.0,1.0,6.0,,3.0,2.0,10.0,,,,,,,,
49323,Steven Nzonzi,Midfielder,Stoke,110,France,2014-15,0.0,0.0,2.0,185.0,3.0659,,,29.0,268.0,38.0,38.0,324.0,2151.0,,,159.0,9.0,,3374.0,253.0,4.0,,40.0,146.0,1741.0,71.0,,5.0,46.5666,33.0,5.0,43.0,44.0,133.0,512.0,,27.0,0.0,438.0,20.0,,608.0,254.0,38.0,,1000.0,40.0,279.0,107.0,,2108.0,18.0,23.0,489.0,,,719.0,31.0,86.0,2650.0,14.0,836.0,,2.707,56.0,81.0,18.0,11.0,3.037,72.0,1.0,3.0,5.0,1.0,12.0,,52.0,,6.0,3.0,,29.0,38.0,72.0,,55.0,,,312.0,,2.0,1.0,9.0,,1.0,1.0,115.0,,38.0,,5.0,9.0,3.0,2.0,,5.0,17.0,6.0,47.0,4.0,30.0,,2.0,12.0,19.0,3.0,3.0,1.0,,,,1.0,
49013,Victor Moses,Midfielder,Stoke,110,Nigeria,2014-15,0.0,0.0,3.0,142.0,,,,33.0,60.0,19.0,19.0,74.0,401.0,,,41.0,2.0,,1455.0,146.0,2.0,,27.0,131.0,320.0,75.0,,2.0,,29.0,1.0,7.0,19.0,116.0,151.0,,35.0,0.0,288.0,19.0,,96.0,99.0,19.0,,255.0,17.0,247.0,15.0,,389.0,21.0,19.0,318.0,,,38.0,20.0,7.0,923.0,9.0,102.0,,,14.0,21.0,8.0,12.0,,33.0,2.0,3.0,3.0,1.0,,,26.0,19.0,,1.0,1.0,60.0,97.0,94.0,,23.0,4.0,41.0,116.0,7.0,1.0,1.0,9.0,,9.0,3.0,24.0,2.0,40.0,63.0,,30.0,2.0,2.0,1.0,,10.0,,63.0,,22.0,1.0,11.0,,5.0,,,2.0,1.0,1.0,,,
34296,Wilson Palacios,Midfielder,Stoke,110,Honduras,2014-15,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
