playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,putthroughBlockedDistribution,penaltyGoalsConceded,keyPassesAttemptAssists,cornersWon,successfulDribbles,interceptions,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,awayGoals,oboxBlocked,shotsOnTargetOutsideBox,successfulCrossesAndCorners,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,putthroughBlockedDistributionWon,homeGoals,oboxTarget,tacklesLost,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,iboxBlocked,shotsOffTargetIncWoodwork,tacklesWon,blocks,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,shotsBlockedOutsideBox,expectedGoals,expectedGoalsFreekick,throughBalls,freekickTotal,attemptsFromSetPieces,handballsConceded,iboxTarget,shotsOnTargetInBox,lastPlayerTackle,hitWoodwork,unsuccessfulLayoffs,ownGoalScored,leftFootGoals,offsides,successfulCornersIntoBox,rightFootGoals,cornersTakenInclShortCorners,setPiecesGoals,redCards2ndYellow,unsuccessfulCornersIntoBox,foulWonPenalty,penaltiesTaken,penaltyGoals,secondGoalAssists
28244,George Boyd,Forward,Salford City,3448,Scotland,2013-14,96.0,,1.5923,0.0,,,57.0,29.0,9.0,65.0,412.0,,,27.0,2.0,,1197.0,16.0,78.0,2.0,,67.0,335.0,,,17.7754,1.0,12.0,17.0,80.0,130.0,,16.0,1.0,174.0,,102.0,65.0,29.0,,,228.0,15.0,45.0,147.0,11.0,0.0,,403.0,183.0,,,64.0,20.0,12.0,706.0,5.0,5.0,137.0,9.0,,2.0,8.0,20.0,20.0,25.0,2.0,15.0,10.0,13.0,18.0,9.0,4.0,9.0,6.0,2.3694,39.0,20.0,2.0,23.0,20.0,2.0,0.0,,3.0,18.0,45.0,2.0,4.0,18.0,2.0,3.0,15.0,13.0,1.0,39.0,4.0,11.0,24.0,,,116.0,9.0,,1.8194,,3.0,,,2.0,4.0,4.0,,,1.0,,1.0,8.0,5.0,,24.0,,,16.0,,,,
20452,Shane Long,Forward,Reading,108,Ireland,2013-14,230.0,,0.7658,0.0,,,201.0,30.0,26.0,211.0,591.0,,,215.0,1.0,,2244.0,128.0,169.0,5.0,,82.0,368.0,,,15.7238,,16.0,34.0,102.0,149.0,,49.0,1.0,399.0,,138.0,56.0,30.0,,,301.0,29.0,51.0,184.0,87.0,0.0,,557.0,363.0,,,143.0,47.0,12.0,960.0,11.0,6.0,90.0,1.0,,2.0,10.0,23.0,4.0,25.0,1.0,23.0,7.0,8.0,10.0,11.0,4.0,23.0,5.0,4.0547,26.0,48.0,2.0,72.0,30.0,7.0,3.0,,1.0,11.0,92.0,,,16.0,4.0,1.0,2.0,10.0,3.0,30.0,,25.0,24.0,2.0,,161.0,7.0,,3.6339,,,,,2.0,6.0,6.0,,4.0,15.0,,3.0,27.0,,1.0,,,,,1.0,,,1.0
19182,Matty Fryatt,Forward,Nottingham Forest,17,England,2013-14,26.0,,0.0443,0.0,,,11.0,10.0,,11.0,84.0,,,9.0,,,219.0,7.0,11.0,,,9.0,70.0,,,5.5538,,,6.0,19.0,23.0,,4.0,0.0,37.0,,9.0,12.0,10.0,,,51.0,6.0,12.0,28.0,2.0,0.0,,81.0,36.0,,,26.0,4.0,3.0,131.0,,1.0,22.0,2.0,,0.0,,1.0,10.0,3.0,,1.0,5.0,4.0,1.0,,1.0,3.0,3.0,1.322,1.0,5.0,,9.0,3.0,2.0,1.0,1.0,1.0,,10.0,,,1.0,1.0,1.0,,2.0,,3.0,,2.0,1.0,1.0,,26.0,2.0,1.0,0.4113,,,,,,,,,,,,,3.0,,2.0,,,,,,,,
62419,Nikica Jelavic,Forward,West Ham United,21,Croatia,2013-14,196.0,,0.4179,0.0,,,131.0,25.0,21.0,134.0,462.0,,,183.0,1.0,,1696.0,125.0,93.0,3.0,,35.0,322.0,,,19.0357,1.0,25.0,26.0,71.0,108.0,,19.0,0.0,289.0,,106.0,45.0,25.0,,,248.0,23.0,44.0,106.0,58.0,0.0,,446.0,227.0,,,101.0,31.0,6.0,720.0,15.0,3.0,82.0,5.0,,3.0,3.0,21.0,4.0,18.0,1.0,10.0,13.0,11.0,5.0,2.0,17.0,26.0,2.0,7.0499,7.0,53.0,1.0,53.0,13.0,4.0,4.0,6.0,3.0,2.0,89.0,,6.0,10.0,0.0,3.0,2.0,13.0,3.0,13.0,6.0,27.0,5.0,4.0,1.0,147.0,2.0,6.0,6.6143,0.4875,3.0,7.0,7.0,6.0,12.0,12.0,,2.0,17.0,,,25.0,,1.0,,,,,,1.0,,
51627,Yannick Sagbo,Forward,Hull City,88,Cote d’Ivoire,2013-14,167.0,,0.6969,1.0,,,131.0,28.0,16.0,140.0,510.0,,,143.0,2.0,,1498.0,102.0,96.0,5.0,,55.0,365.0,,,22.9452,1.0,3.0,23.0,65.0,118.0,,25.0,0.0,263.0,,112.0,56.0,28.0,,,271.0,18.0,35.0,120.0,41.0,1.0,,496.0,231.0,,,110.0,26.0,5.0,733.0,7.0,3.0,104.0,2.0,,2.0,9.0,18.0,12.0,27.0,2.0,19.0,3.0,14.0,4.0,5.0,9.0,9.0,3.0,2.6097,17.0,14.0,1.0,47.0,17.0,2.0,2.0,7.0,4.0,5.0,47.0,,2.0,10.0,0.0,4.0,2.0,6.0,,17.0,2.0,5.0,15.0,3.0,,170.0,2.0,7.0,1.7031,,,,,,3.0,3.0,,,10.0,,1.0,15.0,,1.0,,,,,1.0,,,
27503,Sone Aluko,Forward,Ipswich Town,40,Nigeria,2013-14,88.0,,0.9884,0.0,,,52.0,17.0,10.0,56.0,361.0,,,18.0,,,935.0,14.0,63.0,1.0,,59.0,288.0,,,13.4394,,,12.0,74.0,79.0,,31.0,1.0,151.0,,76.0,49.0,17.0,,,200.0,11.0,50.0,133.0,4.0,0.0,,349.0,149.0,,,86.0,19.0,17.0,577.0,8.0,4.0,113.0,10.0,,1.0,4.0,14.0,7.0,22.0,,9.0,11.0,18.0,8.0,6.0,5.0,7.0,3.0,1.7646,13.0,16.0,3.0,46.0,17.0,1.0,1.0,2.0,5.0,8.0,18.0,,3.0,9.0,0.0,5.0,1.0,23.0,,20.0,3.0,9.0,12.0,,,120.0,2.0,2.0,1.4407,0.0992,1.0,2.0,2.0,1.0,1.0,1.0,,1.0,1.0,,1.0,7.0,,,3.0,,,2.0,,,,
78778,Nick Proschwitz,Forward,Coventry City,9,Germany,2013-14,6.0,,0.0191,0.0,,,,2.0,,,9.0,,,5.0,,,23.0,5.0,1.0,,,1.0,9.0,,,0.1887,,,,1.0,3.0,,,0.0,7.0,,,1.0,2.0,,,8.0,,,2.0,,0.0,,9.0,2.0,,,3.0,3.0,,13.0,,,1.0,1.0,,0.0,,,2.0,,,1.0,1.0,,,,1.0,,,,1.0,,,3.0,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,3.0,,1.0,0.0246,,,,,,,,,,,,,,,,,,,,,,,
