playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,expectedAssists,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,penaltiesTaken,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,penaltyGoals,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,cleanSheets,throwInsToOppositionPlayer,penaltyGoalsConceded,clearancesOffTheLine,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,handballsConceded,secondGoalAssists,expectedGoalsFreekick,cornersTakenInclShortCorners,penaltiesConceded,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,otherGoals,foulWonPenalty,redCards2ndYellow
56192,Cuco Martina,Defender,Southampton,20,Curacao,2016-17,0.0,0.0,0.0,19.0,9.0,0.6574,,,,11.0,1.0,,41.0,9.0,,1.0,6.0,57.0,28.0,307.0,,1.0,,,3.0,12.0,,9.0,,591.0,,,8.0,21.0,2.0,19.0,17.0,236.0,6.0,5.0269,5.0,3.0,16.0,6.0,,11.0,15.0,5.0,0.0,40.0,8.0,,95.0,26.0,9.0,,,,2.0,,1.0,161.0,4.0,,28.0,6.0,,28.0,4.0,302.0,1.0,2.0,106.0,9.0,1.0,1.0,133.0,4.0,15.0,,14.0,64.0,497.0,67.0,2.0,,,9.0,98.0,1.0,0.034,16.0,14.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58822,Cédric Soares,Defender,Southampton,20,Portugal,2016-17,0.0,0.0,7.0,125.0,43.0,2.9182,4.0,6.0,1.0866,83.0,16.0,1.0,177.0,30.0,3.0,1.0,30.0,326.0,101.0,1256.0,,2.0,,3.0,,79.0,6.0,43.0,,2520.0,,,52.0,140.0,4.0,75.0,113.0,851.0,32.0,28.1739,36.0,18.0,76.0,36.0,1.0,73.0,44.0,19.0,0.0,265.0,33.0,,571.0,150.0,30.0,,6.0,,19.0,,7.0,596.0,32.0,,101.0,32.0,1.0,186.0,27.0,1240.0,10.0,12.0,532.0,64.0,12.0,7.0,421.0,22.0,33.0,,79.0,220.0,2078.0,238.0,5.0,,3.0,86.0,377.0,11.0,0.7183,149.0,91.0,9.0,38.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84395,Florin Gardos,Defender,Southampton,20,Romania,2016-17,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88900,Jack Stephens,Defender,Southampton,20,England,2016-17,0.0,0.0,1.0,68.0,,0.48,1.0,,,22.0,3.0,2.0,61.0,17.0,1.0,,15.0,117.0,4.0,729.0,,1.0,,,2.0,69.0,,,,1469.0,,,40.0,64.0,3.0,16.0,35.0,587.0,15.0,20.3619,3.0,3.0,80.0,24.0,1.0,28.0,154.0,5.0,0.0,132.0,8.0,,283.0,105.0,17.0,,,,7.0,,,173.0,21.0,,4.0,3.0,1.0,63.0,29.0,715.0,3.0,2.0,131.0,15.0,8.0,19.0,260.0,15.0,24.0,,25.0,32.0,949.0,7.0,,,,38.0,439.0,5.0,0.401,56.0,45.0,6.0,2.0,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
40833,Jérémy Pied,Defender,Southampton,20,France,2016-17,0.0,0.0,0.0,7.0,1.0,0.297,1.0,,,3.0,2.0,,10.0,4.0,,1.0,1.0,14.0,12.0,70.0,,,,1.0,3.0,4.0,,1.0,,126.0,,,4.0,8.0,,1.0,8.0,55.0,5.0,0.651,1.0,,2.0,1.0,,3.0,,3.0,0.0,15.0,,,29.0,11.0,4.0,,,,1.0,,1.0,34.0,1.0,,12.0,1.0,,11.0,,69.0,2.0,1.0,29.0,2.0,2.0,1.0,32.0,1.0,2.0,,1.0,9.0,116.0,12.0,,,1.0,1.0,23.0,,0.1002,4.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43693,Martín Cáceres,Defender,Southampton,20,Uruguay,2016-17,0.0,0.0,0.0,2.0,,0.0071,,,,1.0,1.0,,2.0,1.0,,,1.0,3.0,,50.0,,,,,,4.0,,,,90.0,,,2.0,3.0,,,1.0,45.0,1.0,0.651,,1.0,4.0,1.0,,,8.0,,0.0,5.0,,,15.0,3.0,1.0,,,,,,,14.0,1.0,,,,,1.0,2.0,47.0,1.0,,3.0,1.0,,1.0,23.0,,1.0,,2.0,4.0,59.0,,,,,,33.0,,0.0546,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169359,Matt Targett,Defender,Southampton,20,England,2016-17,0.0,0.0,0.0,10.0,4.0,0.2745,,,,10.0,2.0,1.0,30.0,5.0,,1.0,5.0,44.0,21.0,205.0,,,,,,13.0,,4.0,,374.0,,,5.0,22.0,,8.0,14.0,148.0,6.0,2.8204,5.0,1.0,10.0,4.0,,5.0,76.0,3.0,0.0,32.0,3.0,,80.0,24.0,5.0,,,,2.0,,1.0,105.0,4.0,,21.0,2.0,,19.0,8.0,199.0,2.0,1.0,74.0,8.0,1.0,,3.0,1.0,8.0,,13.0,46.0,317.0,35.0,1.0,,,10.0,60.0,,0.0981,14.0,11.0,1.0,3.0,2.0,,,1.0,1.0,,,,0.0668,,,,,,,,,,,,,,,,,,,,,
80447,Maya Yoshida,Defender,Southampton,20,Japan,2016-17,0.0,0.0,2.0,81.0,1.0,0.5262,2.0,7.0,1.4195,30.0,13.0,,79.0,23.0,,1.0,23.0,158.0,7.0,1125.0,1.0,1.0,0.0,,,131.0,,1.0,6.0,2070.0,6.0,,56.0,124.0,5.0,16.0,49.0,923.0,27.0,24.6603,4.0,10.0,145.0,32.0,2.0,25.0,302.0,20.0,1.0,205.0,11.0,1.0,457.0,144.0,23.0,,,,10.0,1.0,2.0,251.0,27.0,,7.0,6.0,2.0,74.0,75.0,1105.0,6.0,4.0,185.0,20.0,,14.0,296.0,18.0,48.0,,44.0,70.0,1469.0,13.0,,,,52.0,717.0,8.0,2.1848,79.0,63.0,7.0,,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,2.0,
40146,Ryan Bertrand,Defender,Southampton,20,England,2016-17,0.0,0.0,3.0,119.0,13.0,2.8833,6.0,6.0,1.6604,37.0,13.0,2.0,166.0,28.0,4.0,10.0,28.0,216.0,73.0,1307.0,2.0,2.0,2.0,3.0,,86.0,3.0,15.0,1.0,2508.0,1.0,,44.0,126.0,5.0,74.0,84.0,1056.0,54.0,26.6292,24.0,8.0,46.0,36.0,3.0,75.0,470.0,36.0,0.0,245.0,36.0,0.0,525.0,141.0,28.0,,3.0,,14.0,1.0,25.0,628.0,31.0,1.0,84.0,39.0,3.0,159.0,42.0,1275.0,7.0,23.0,418.0,23.0,14.0,10.0,73.0,24.0,45.0,,35.0,239.0,2041.0,225.0,1.0,,3.0,28.0,478.0,13.0,0.772,50.0,63.0,12.0,31.0,2.0,,1.0,1.0,1.0,10.0,,,0.0951,12.0,1.0,,,,,,,,,,,,,,,,,,,
153373,Sam McQueen,Defender,Southampton,20,England,2016-17,0.0,0.0,0.0,28.0,4.0,0.2173,,,,16.0,1.0,,48.0,13.0,,1.0,5.0,76.0,33.0,301.0,,,,,8.0,32.0,,4.0,,608.0,,,11.0,40.0,1.0,15.0,19.0,214.0,8.0,10.0647,2.0,2.0,25.0,9.0,,17.0,88.0,3.0,0.0,68.0,3.0,,143.0,53.0,13.0,,,,4.0,,3.0,136.0,8.0,,33.0,10.0,,36.0,21.0,291.0,1.0,4.0,142.0,12.0,,4.0,13.0,3.0,14.0,,11.0,57.0,516.0,65.0,,,,21.0,93.0,2.0,0.0297,28.0,31.0,1.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
