matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2210275,1,2021-08-14 15:00:00,39,Wolves,Away,193.0,16.0,1.0,6.0,5.0,2.0,,179.0,2.0,,4.0,1.0,3.0,36.0,366.0,,1.0,20.0,10.0,12.0,12.0,,1.0,2.0,,,,,,,,,,1.0,16.0,,,,,,7.0,6.0,3.0,12.0,5.0,64.0,65.0,1.0,1.0,,,26.0,7.0,7.0,,,4.0,8.0,5.0,,4.0,3.0,42.0,59.0,,16.0,5.0,,,28.0,54.0,10.0,6.0,,,,,,155.0,,,,,,,3.0,,,,5.0,,13.0,13.0,1.0,6.0,104.0,60.0,44.0,5.0,,5.0,7.0,3.0,426.0,1.0,3.0,,59.0,55.0,21.0,,,,,128.0,128.0,5.0,24.0,29.0,43.7,,,,,26.0,0.0,120.0,2.0,2.0,4.0,,1.0,2.0,7.0,1.0,3.0,14.0,69.0,353.0,7.0,12.0,222.0,36.0,16.0,32.0,4.0,16.0,13.0,2.0,98.0,5.0,237.0,,,7.0,3.0,58.0,4.0,443.0,,0.0,17.0,20.0,2.0,21.0,2.0,645.0,29.0,16.0,21.0,4.0,10.0,0.0
2210290,2,2021-08-22 14:00:00,39,Wolves,Home,171.0,24.0,2.0,9.0,7.0,5.0,,232.0,4.0,3.0,4.0,4.0,5.0,45.0,394.0,3.0,2.0,27.0,12.0,17.0,21.0,2.0,5.0,1.0,,,,,,,,,,1.0,18.0,,,,,2.0,8.0,7.0,1.0,14.0,11.0,66.0,58.0,1.0,1.0,,,17.0,10.0,9.0,,,5.0,18.0,12.0,,14.0,2.0,48.0,72.0,,7.0,5.0,,1.0,29.0,56.0,9.0,7.0,,,2.0,2.0,,147.0,,,,,,,4.0,,,,5.0,,14.0,14.0,2.0,4.0,131.0,66.0,43.0,4.0,,9.0,14.0,6.0,455.0,2.0,2.0,,68.0,95.0,41.0,1.0,1.0,1.0,,141.0,141.0,7.0,18.0,27.0,57.8,,,,,17.0,0.0,126.0,4.0,1.0,5.0,,1.0,1.0,9.0,,3.0,13.0,132.0,380.0,6.0,23.0,187.0,42.0,7.0,23.0,3.0,35.0,32.0,1.0,174.0,7.0,318.0,,3.0,15.0,5.0,69.0,2.0,470.0,5.0,0.0,25.0,29.0,5.0,28.0,1.0,709.0,38.0,16.0,19.0,5.0,18.0,0.0
2210300,3,2021-08-29 16:30:00,39,Wolves,Home,190.0,12.0,1.0,2.0,1.0,,,161.0,3.0,2.0,7.0,7.0,5.0,27.0,349.0,,,10.0,11.0,15.0,9.0,1.0,3.0,3.0,,,,,,,,,,,12.0,,,,,,5.0,7.0,3.0,10.0,5.0,69.0,69.0,1.0,3.0,,1.0,17.0,3.0,4.0,,1.0,5.0,8.0,4.0,,4.0,,30.0,54.0,1.0,20.0,12.0,1.0,,22.0,46.0,7.0,9.0,,,2.0,2.0,,131.0,,,,,,,4.0,,2.0,,12.0,,7.0,7.0,,7.0,109.0,56.0,34.0,7.0,,5.0,5.0,6.0,408.0,2.0,3.0,,47.0,66.0,23.0,,,,,122.0,122.0,4.0,39.0,18.0,44.1,,,,,17.0,0.0,118.0,1.0,1.0,2.0,,,3.0,6.0,,3.0,11.0,79.0,334.0,6.0,10.0,219.0,30.0,20.0,18.0,4.0,18.0,14.0,3.0,107.0,4.0,226.0,2.0,2.0,17.0,7.0,50.0,5.0,427.0,1.0,0.0,15.0,16.0,1.0,11.0,3.0,599.0,21.0,11.0,14.0,5.0,9.0,0.0
2210310,4,2021-09-11 15:00:00,39,Wolves,Away,220.0,21.0,3.0,5.0,2.0,1.0,1.0,213.0,7.0,1.0,5.0,1.0,6.0,27.0,428.0,,2.0,13.0,12.0,5.0,8.0,3.0,3.0,1.0,,1.0,,,1.0,,,,,,9.0,,,,,1.0,8.0,2.0,4.0,9.0,5.0,63.0,51.0,4.0,4.0,1.0,2.0,12.0,3.0,14.0,,,8.0,4.0,3.0,,9.0,1.0,59.0,56.0,2.0,18.0,9.0,,,26.0,56.0,13.0,13.0,,,2.0,2.0,1.0,143.0,,,,,,,7.0,1.0,,,9.0,,9.0,9.0,,5.0,136.0,60.0,51.0,6.0,,4.0,7.0,5.0,461.0,,3.0,,62.0,72.0,25.0,,,,,108.0,108.0,2.0,25.0,18.0,56.0,,,,,12.0,0.0,143.0,2.0,,2.0,,,1.0,6.0,1.0,2.0,9.0,89.0,405.0,10.0,11.0,236.0,32.0,18.0,30.0,6.0,15.0,9.0,1.0,120.0,2.0,264.0,,1.0,12.0,6.0,46.0,2.0,485.0,2.0,0.0,14.0,19.0,2.0,13.0,3.0,680.0,23.0,16.0,19.0,8.0,13.0,0.0
2210320,5,2021-09-18 12:30:00,39,Wolves,Home,171.0,17.0,,4.0,4.0,3.0,,269.0,8.0,1.0,2.0,2.0,3.0,27.0,436.0,,,25.0,14.0,12.0,8.0,,1.0,,,1.0,,,1.0,,,,,,9.0,,,,,,7.0,6.0,3.0,4.0,7.0,66.0,55.0,2.0,3.0,,,21.0,3.0,8.0,,,4.0,14.0,6.0,,8.0,,47.0,47.0,,9.0,5.0,1.0,1.0,23.0,63.0,10.0,6.0,,,2.0,1.0,1.0,154.0,,,,,,,9.0,,1.0,,5.0,,6.0,6.0,,3.0,148.0,65.0,37.0,2.0,,5.0,3.0,,497.0,1.0,2.0,,89.0,76.0,25.0,1.0,1.0,1.0,,138.0,138.0,2.0,22.0,27.0,61.9,,,,,21.0,0.0,151.0,1.0,,1.0,,,,8.0,,3.0,8.0,137.0,417.0,8.0,8.0,192.0,32.0,9.0,27.0,2.0,23.0,21.0,,175.0,6.0,350.0,1.0,1.0,14.0,3.0,47.0,2.0,519.0,2.0,0.0,11.0,9.0,3.0,25.0,4.0,688.0,26.0,16.0,20.0,4.0,4.0,0.0
2210329,6,2021-09-26 14:00:00,39,Wolves,Away,133.0,17.0,2.0,2.0,,2.0,,152.0,4.0,1.0,7.0,2.0,2.0,29.0,283.0,,,18.0,14.0,15.0,3.0,,2.0,,,,,,,,,,,,3.0,,,,,,4.0,8.0,10.0,5.0,,64.0,71.0,2.0,1.0,1.0,3.0,16.0,2.0,7.0,,,5.0,2.0,1.0,,7.0,1.0,42.0,46.0,3.0,34.0,18.0,,2.0,24.0,66.0,8.0,11.0,1.0,,,,,138.0,1.0,,1.0,1.0,,,6.0,1.0,1.0,,18.0,,6.0,6.0,,7.0,91.0,60.0,32.0,5.0,,,4.0,3.0,352.0,6.0,1.0,,70.0,51.0,15.0,,,,,138.0,138.0,7.0,26.0,22.0,43.0,,,,,16.0,0.0,90.0,3.0,3.0,6.0,,,,,,3.0,14.0,68.0,262.0,7.0,4.0,160.0,34.0,34.0,14.0,3.0,6.0,3.0,,121.0,7.0,229.0,1.0,1.0,19.0,2.0,68.0,1.0,383.0,,0.0,5.0,12.0,,19.0,0.0,567.0,18.0,18.0,8.0,5.0,6.0,0.0
2210340,7,2021-10-02 15:00:00,39,Wolves,Home,189.0,11.0,,2.0,2.0,2.0,,201.0,2.0,,4.0,1.0,6.0,20.0,388.0,,1.0,21.0,14.0,11.0,5.0,,,1.0,,,,,,,,,,,7.0,,1.0,,,,9.0,5.0,3.0,4.0,3.0,76.0,58.0,2.0,1.0,1.0,4.0,15.0,1.0,17.0,,,,1.0,3.0,,8.0,1.0,60.0,54.0,4.0,29.0,10.0,,,32.0,41.0,15.0,5.0,2.0,,1.0,1.0,,133.0,2.0,,2.0,2.0,,,4.0,2.0,,,10.0,1.0,13.0,13.0,2.0,4.0,111.0,70.0,43.0,4.0,,3.0,4.0,3.0,448.0,3.0,2.0,,43.0,66.0,8.0,,,,,114.0,114.0,1.0,31.0,21.0,51.9,1.0,,,,15.0,0.0,140.0,1.0,,1.0,,,1.0,3.0,,2.0,14.0,72.0,380.0,7.0,7.0,213.0,25.0,29.0,19.0,,5.0,5.0,1.0,95.0,5.0,252.0,,,14.0,6.0,45.0,2.0,460.0,,0.0,7.0,25.0,2.0,23.0,0.0,658.0,11.0,19.0,13.0,,17.0,0.0
2210342,8,2021-10-16 15:00:00,39,Wolves,Away,174.0,18.0,,1.0,1.0,1.0,,159.0,9.0,,8.0,2.0,5.0,24.0,332.0,,1.0,12.0,14.0,12.0,5.0,,4.0,,1.0,,,,1.0,,,,,,4.0,,1.0,,,,8.0,10.0,4.0,6.0,3.0,70.0,56.0,3.0,2.0,2.0,2.0,18.0,2.0,11.0,,,7.0,8.0,7.0,2.0,7.0,1.0,53.0,35.0,2.0,20.0,15.0,,1.0,27.0,47.0,17.0,8.0,,,2.0,,1.0,144.0,2.0,,2.0,,2.0,,13.0,,4.0,,15.0,1.0,9.0,9.0,,9.0,101.0,57.0,21.0,6.0,1.0,3.0,4.0,4.0,389.0,2.0,,,52.0,46.0,35.0,,,,,138.0,138.0,7.0,15.0,24.0,51.7,1.0,,3.0,,18.0,0.0,100.0,3.0,,3.0,,,,3.0,,3.0,14.0,92.0,314.0,8.0,7.0,197.0,37.0,20.0,13.0,6.0,21.0,15.0,,127.0,1.0,239.0,4.0,,17.0,5.0,55.0,2.0,415.0,1.0,0.0,9.0,7.0,2.0,15.0,3.0,584.0,21.0,17.0,8.0,7.0,4.0,0.0
2210357,9,2021-10-23 15:00:00,39,Wolves,Away,115.0,12.0,,1.0,1.0,1.0,,80.0,6.0,,8.0,5.0,2.0,26.0,194.0,1.0,,21.0,12.0,12.0,4.0,,,2.0,,1.0,,,1.0,,,,,,6.0,,,,,1.0,6.0,13.0,5.0,5.0,3.0,44.0,64.0,,,1.0,2.0,14.0,2.0,21.0,,,3.0,2.0,,,15.0,,70.0,54.0,2.0,27.0,18.0,,1.0,27.0,47.0,14.0,15.0,1.0,,2.0,1.0,1.0,143.0,,,,,,,13.0,1.0,1.0,2.0,18.0,,12.0,12.0,4.0,8.0,58.0,63.0,33.0,6.0,,1.0,3.0,4.0,261.0,4.0,1.0,,43.0,33.0,8.0,1.0,1.0,1.0,,149.0,149.0,2.0,25.0,25.0,37.0,,2.0,,,14.0,0.0,48.0,2.0,1.0,3.0,,,2.0,2.0,,3.0,18.0,36.0,176.0,8.0,4.0,154.0,32.0,27.0,21.0,2.0,5.0,3.0,2.0,72.0,6.0,144.0,1.0,,19.0,4.0,64.0,1.0,293.0,2.0,0.0,8.0,16.0,1.0,27.0,3.0,502.0,11.0,13.0,11.0,3.0,7.0,0.0
2210370,10,2021-11-01 20:00:00,39,Wolves,Home,281.0,31.0,1.0,2.0,1.0,3.0,,244.0,3.0,1.0,9.0,5.0,5.0,46.0,523.0,,,18.0,19.0,24.0,4.0,,3.0,,,1.0,,,1.0,,,,,1.0,6.0,,,,1.0,,5.0,10.0,4.0,8.0,2.0,98.0,79.0,1.0,3.0,1.0,1.0,18.0,3.0,13.0,,2.0,4.0,2.0,3.0,1.0,13.0,2.0,68.0,64.0,1.0,18.0,10.0,,2.0,34.0,70.0,10.0,8.0,1.0,,2.0,,1.0,183.0,1.0,1.0,1.0,,1.0,,5.0,1.0,,,10.0,1.0,11.0,11.0,1.0,9.0,176.0,96.0,65.0,3.0,,1.0,4.0,4.0,600.0,4.0,,,85.0,77.0,16.0,,,,,155.0,155.0,5.0,30.0,33.0,62.0,1.0,,,1.0,18.0,0.0,160.0,3.0,1.0,4.0,,,,3.0,1.0,3.0,20.0,94.0,514.0,7.0,5.0,314.0,57.0,18.0,31.0,4.0,9.0,5.0,,125.0,4.0,312.0,,1.0,27.0,5.0,87.0,1.0,617.0,,0.0,10.0,15.0,1.0,19.0,1.0,814.0,20.0,26.0,18.0,4.0,9.0,0.0
