matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2292814,1.0,2022-08-06 15:00:00,39,Wolves,Away,272.0,26.0,2.0,9.0,7.0,1.0,1.0,200.0,8.0,,7.0,6.0,2.0,32.0,463.0,,,23.0,9.0,7.0,10.0,2.0,3.0,,,,,,1.0,,,,11.0,,,,,1.0,4.0,8.0,5.0,8.0,7.0,,71.0,74.0,1.0,1.0,,1.0,3.0,3.0,7.0,,,4.0,10.0,4.0,,7.0,1.0,45.0,61.0,1.0,16.0,9.0,,,31.0,46.0,9.0,13.0,,1.0,2.0,,183.0,1.0,,1.0,1.0,,,9.0,,,1.0,2.0,,,,1.0,9.0,,14.0,14.0,2.0,7.0,139.0,69.0,45.0,6.0,1.0,5.0,8.0,6.0,522.0,,,3.0,5.0,1.0,69.0,65.0,25.0,,,,,,139.0,139.0,7.0,38.0,20.0,59.9,,3.0,,,13.0,0.0,,,,153.0,2.0,1.0,3.0,,1.0,,6.0,,,1.0,17.0,112.0,441.0,3.0,13.0,303.0,35.0,16.0,39.0,4.0,20.0,16.0,,142.0,4.0,263.0,2.0,,22.0,4.0,59.0,1.0,546.0,1.0,0.0,15.0,16.0,1.0,23.0,0.0,773.0,28.0,18.0,25.0,4.0,11.0,0.0
2292829,2.0,2022-08-13 15:00:00,39,Wolves,Home,248.0,17.0,,4.0,4.0,,,148.0,5.0,,4.0,5.0,4.0,28.0,392.0,,,21.0,13.0,15.0,3.0,,1.0,1.0,1.0,,,1.0,,,,,5.0,,,,,,3.0,8.0,1.0,4.0,3.0,,74.0,64.0,2.0,2.0,,3.0,7.0,1.0,9.0,,,5.0,12.0,2.0,,8.0,3.0,48.0,50.0,3.0,14.0,7.0,,,25.0,66.0,7.0,14.0,,2.0,1.0,1.0,166.0,,,,,,,6.0,,,,2.0,,,,,7.0,,8.0,8.0,,4.0,122.0,67.0,38.0,3.0,,2.0,1.0,1.0,474.0,,,1.0,2.0,,63.0,60.0,21.0,,1.0,1.0,1.0,,158.0,158.0,3.0,30.0,24.0,59.6,,,,,26.0,0.0,,,,134.0,3.0,,3.0,,,1.0,5.0,,,3.0,16.0,67.0,375.0,7.0,3.0,280.0,32.0,14.0,16.0,4.0,19.0,15.0,1.0,116.0,1.0,235.0,2.0,,28.0,4.0,65.0,1.0,496.0,1.0,0.0,7.0,17.0,,22.0,3.0,691.0,17.0,16.0,5.0,5.0,11.0,0.0
2292838,3.0,2022-08-20 12:30:00,39,Wolves,Away,170.0,14.0,4.0,7.0,3.0,,1.0,236.0,6.0,,4.0,,1.0,32.0,399.0,,,15.0,5.0,9.0,15.0,3.0,2.0,,1.0,,,1.0,,,,,16.0,,,,,1.0,3.0,10.0,1.0,7.0,13.0,,69.0,58.0,,,,3.0,15.0,9.0,7.0,,,6.0,7.0,4.0,,6.0,2.0,38.0,46.0,3.0,17.0,10.0,,,19.0,52.0,8.0,10.0,,3.0,2.0,1.0,141.0,,,,,,,10.0,,,,1.0,,,,,10.0,,6.0,6.0,1.0,4.0,128.0,54.0,28.0,8.0,,6.0,12.0,3.0,452.0,,,2.0,2.0,,78.0,73.0,29.0,,,,,,115.0,115.0,1.0,24.0,25.0,50.1,,,,1.0,15.0,0.0,,,,139.0,2.0,1.0,3.0,,,,8.0,,,5.0,13.0,118.0,379.0,7.0,18.0,194.0,32.0,17.0,21.0,6.0,19.0,13.0,,145.0,1.0,302.0,1.0,,11.0,1.0,63.0,,477.0,1.0,0.0,20.0,18.0,,15.0,2.0,652.0,20.0,5.0,9.0,6.0,12.0,0.0
2292849,4.0,2022-08-28 14:00:00,39,Wolves,Home,90.0,16.0,,4.0,4.0,,,98.0,,,3.0,2.0,4.0,25.0,184.0,,,15.0,16.0,11.0,5.0,,1.0,1.0,,,,1.0,,,,,8.0,,,,,,6.0,11.0,10.0,5.0,5.0,,40.0,62.0,1.0,2.0,,2.0,24.0,4.0,10.0,,1.0,4.0,6.0,4.0,,9.0,2.0,51.0,48.0,2.0,36.0,24.0,,,20.0,48.0,10.0,11.0,,3.0,1.0,1.0,119.0,1.0,,,1.0,,,2.0,,,1.0,2.0,,,,,24.0,,4.0,4.0,1.0,5.0,49.0,50.0,21.0,13.0,1.0,1.0,5.0,4.0,248.0,,,11.0,,,30.0,42.0,21.0,,,,,,127.0,127.0,4.0,35.0,14.0,36.1,,2.0,,1.0,24.0,0.0,,,,57.0,3.0,2.0,5.0,,,1.0,2.0,,,3.0,11.0,60.0,176.0,15.0,6.0,116.0,46.0,36.0,10.0,3.0,14.0,11.0,1.0,101.0,,163.0,4.0,,13.0,5.0,61.0,3.0,265.0,,0.0,10.0,22.0,,15.0,2.0,469.0,14.0,16.0,4.0,4.0,10.0,0.0
2292850,5.0,2022-08-31 19:30:00,39,Wolves,Away,215.0,21.0,3.0,7.0,5.0,2.0,,330.0,1.0,,6.0,4.0,3.0,44.0,538.0,,,16.0,12.0,14.0,12.0,3.0,3.0,1.0,,,,1.0,,,,1.0,12.0,,1.0,,,1.0,7.0,4.0,1.0,11.0,6.0,,94.0,76.0,2.0,2.0,,,12.0,4.0,9.0,,,5.0,17.0,6.0,,15.0,,57.0,54.0,,13.0,5.0,,,15.0,83.0,12.0,10.0,,3.0,1.0,1.0,165.0,,,,,,,1.0,,,,1.0,,,,,5.0,1.0,6.0,6.0,1.0,6.0,174.0,54.0,44.0,2.0,,8.0,7.0,4.0,589.0,,,1.0,,,88.0,105.0,40.0,,,,,,125.0,125.0,11.0,31.0,28.0,65.9,1.0,,,,12.0,0.0,,,,170.0,2.0,,2.0,,,1.0,9.0,,,3.0,7.0,190.0,525.0,6.0,15.0,231.0,32.0,13.0,13.0,4.0,27.0,24.0,1.0,227.0,3.0,399.0,1.0,,12.0,3.0,62.0,3.0,603.0,,0.0,17.0,26.0,,16.0,1.0,795.0,29.0,13.0,4.0,5.0,11.0,0.0
2292869,6.0,2022-09-03 15:00:00,39,Wolves,Home,164.0,23.0,1.0,2.0,1.0,4.0,,187.0,9.0,,3.0,6.0,7.0,37.0,349.0,,,16.0,10.0,14.0,5.0,1.0,1.0,1.0,,,,,,,,,6.0,,,,,,6.0,7.0,5.0,6.0,1.0,,62.0,66.0,2.0,1.0,1.0,1.0,24.0,1.0,13.0,,,5.0,7.0,4.0,,7.0,,53.0,49.0,1.0,26.0,12.0,,,15.0,57.0,10.0,13.0,1.0,3.0,1.0,,159.0,1.0,,1.0,1.0,,,11.0,,,1.0,2.0,,,,,12.0,,12.0,12.0,3.0,3.0,101.0,71.0,41.0,6.0,,4.0,3.0,2.0,403.0,,,4.0,1.0,,63.0,80.0,29.0,,,,,,137.0,137.0,3.0,34.0,23.0,50.8,,,,,24.0,0.0,,,,110.0,,1.0,1.0,,,1.0,4.0,,,3.0,11.0,109.0,326.0,11.0,7.0,185.0,40.0,26.0,22.0,4.0,16.0,12.0,1.0,148.0,6.0,263.0,2.0,,20.0,7.0,66.0,1.0,432.0,1.0,0.0,7.0,14.0,2.0,16.0,4.0,630.0,28.0,18.0,9.0,5.0,9.0,0.0
2292876,7.0,2023-03-01 20:00:00,39,Wolves,Away,218.0,27.0,1.0,2.0,1.0,2.0,,106.0,2.0,,9.0,2.0,4.0,30.0,322.0,,,19.0,9.0,12.0,4.0,,2.0,,,,,,,,,,2.0,,,,,,5.0,12.0,3.0,4.0,,,81.0,65.0,1.0,1.0,,,9.0,1.0,13.0,,,2.0,5.0,1.0,,6.0,2.0,47.0,61.0,,18.0,9.0,,,23.0,39.0,14.0,13.0,,1.0,,,148.0,,,,,,,7.0,,,,1.0,,,,1.0,9.0,,11.0,11.0,1.0,9.0,81.0,55.0,29.0,5.0,,2.0,2.0,1.0,376.0,,,3.0,1.0,,32.0,65.0,11.0,,,,,,128.0,128.0,1.0,24.0,29.0,43.2,,,,1.0,15.0,0.0,,,,92.0,4.0,,4.0,,2.0,,2.0,,,5.0,6.0,36.0,305.0,9.0,4.0,245.0,48.0,18.0,21.0,2.0,8.0,6.0,,60.0,6.0,165.0,1.0,,10.0,4.0,52.0,3.0,402.0,,0.0,4.0,21.0,,22.0,3.0,600.0,9.0,23.0,15.0,2.0,12.0,0.0
2292889,8.0,2022-09-17 12:30:00,39,Wolves,Home,258.0,23.0,1.0,2.0,1.0,,,97.0,3.0,,8.0,3.0,2.0,28.0,353.0,,,17.0,11.0,4.0,4.0,,,,1.0,,,2.0,,,,,4.0,,,,,,5.0,6.0,10.0,3.0,3.0,,68.0,51.0,,,,,14.0,1.0,11.0,,,5.0,6.0,1.0,,10.0,1.0,47.0,44.0,,11.0,4.0,,,19.0,41.0,7.0,9.0,,2.0,,2.0,150.0,,,,,,,7.0,,,,,,,,1.0,4.0,,7.0,7.0,2.0,8.0,107.0,51.0,30.0,7.0,,3.0,1.0,1.0,400.0,,,4.0,,,18.0,54.0,15.0,,,,,,113.0,113.0,5.0,17.0,19.0,40.8,,,,,14.0,0.0,,,,97.0,1.0,3.0,4.0,,,,4.0,,,4.0,8.0,49.0,338.0,4.0,4.0,280.0,38.0,11.0,22.0,3.0,10.0,7.0,,81.0,3.0,152.0,,,11.0,2.0,52.0,,422.0,1.0,1.0,6.0,19.0,1.0,17.0,2.0,588.0,14.0,17.0,13.0,5.0,11.0,0.0
2292899,9.0,2022-10-01 17:30:00,39,Wolves,Away,228.0,16.0,,4.0,4.0,2.0,,268.0,5.0,,3.0,2.0,2.0,18.0,492.0,,,19.0,16.0,9.0,9.0,,1.0,,,,,,,,,,14.0,,,,,,4.0,10.0,8.0,5.0,10.0,,85.0,55.0,1.0,1.0,,,5.0,4.0,3.0,,,6.0,14.0,7.0,,11.0,,46.0,41.0,,6.0,3.0,,1.0,24.0,83.0,6.0,7.0,,2.0,1.0,,173.0,,,,,,,6.0,,,,1.0,,,,1.0,3.0,,8.0,8.0,1.0,3.0,147.0,58.0,35.0,1.0,,3.0,6.0,4.0,545.0,,,8.0,2.0,,69.0,81.0,41.0,,,,,,138.0,138.0,3.0,24.0,24.0,60.9,,,,,17.0,0.0,,,,159.0,2.0,1.0,3.0,,,,7.0,,,4.0,13.0,153.0,476.0,5.0,9.0,242.0,35.0,6.0,24.0,6.0,28.0,22.0,,195.0,3.0,350.0,1.0,,9.0,2.0,45.0,1.0,564.0,,0.0,15.0,12.0,,22.0,2.0,759.0,35.0,14.0,13.0,6.0,7.0,0.0
2292903,10.0,2022-10-08 15:00:00,39,Wolves,Away,216.0,14.0,1.0,5.0,4.0,2.0,1.0,149.0,12.0,1.0,6.0,3.0,7.0,26.0,360.0,,,21.0,9.0,13.0,4.0,2.0,2.0,1.0,,,1.0,1.0,,,,,4.0,,,,,1.0,6.0,17.0,3.0,6.0,2.0,,59.0,43.0,1.0,1.0,,,19.0,1.0,4.0,,,2.0,12.0,2.0,,16.0,2.0,46.0,43.0,,17.0,7.0,,,24.0,38.0,8.0,8.0,,2.0,1.0,1.0,155.0,,,,,,,15.0,,,,1.0,,,,1.0,7.0,,5.0,5.0,1.0,6.0,112.0,52.0,35.0,4.0,,5.0,1.0,2.0,401.0,,,3.0,2.0,,53.0,69.0,22.0,,,,,,127.0,127.0,3.0,20.0,13.0,42.6,,,,,19.0,0.0,,,,105.0,2.0,2.0,4.0,,1.0,1.0,5.0,,,4.0,12.0,62.0,335.0,8.0,6.0,243.0,26.0,17.0,19.0,1.0,16.0,15.0,1.0,87.0,6.0,204.0,1.0,2.0,12.0,7.0,48.0,,431.0,,0.0,8.0,13.0,,23.0,0.0,612.0,19.0,15.0,9.0,2.0,9.0,0.0
