matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOboxOwnGoal,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2561901,1.0,2025-08-16 17:30:00,39,Wolves,Home,185.0,23.0,,4.0,4.0,1.0,,145.0,6.0,,3.0,1.0,7.0,24.0,326.0,1.0,1.0,21.0,10.0,5.0,6.0,1.0,,,0.0,,,,,,1.0,,,,8.0,0.0,,,,,1.0,11.0,8.0,7.0,6.0,3.0,,66.0,41.0,,,,1.0,7.0,3.0,14.0,,,4.0,12.0,4.0,0.0,14.0,,55.0,42.0,1.0,20.0,6.0,1.0,,0.325252,0.5589,,0.7363,2.2679,46.0,13.0,7.0,,,,,,118.0,,,,,,,9.0,,,0.0,1.0,,,,,6.0,,6.0,6.0,1.0,0.0,3.0,106.0,61.0,35.0,6.0,0.0,2.0,5.0,3.0,371.0,,,4.0,2.0,0.0,39.0,66.0,26.0,,,,,120.0,120.0,6.0,10.0,19.0,41.6,,,,,16.0,0.0,,,,104.0,,,,,,,3.0,,0.0,5.0,56.0,307.0,7.0,7.0,204.0,38.0,20.0,9.0,4.0,20.0,16.0,107384.53,,85.0,1.0,210.0,1.0,,10.0,7.0,48.0,4.0,394.0,2.0,0.0,9.0,25.0,1.0,24.0,1.0,576.0,19.0,9.0,0.0,5.0,4.0,17.0,0.0
2561905,2.0,2025-08-23 15:00:00,39,Wolves,Away,114.0,20.0,,5.0,5.0,1.0,,116.0,3.0,1.0,4.0,4.0,4.0,29.0,225.0,,,16.0,8.0,25.0,4.0,,1.0,,0.0,,,,1.0,,,,,,4.0,0.0,,,,,,11.0,8.0,6.0,3.0,3.0,,61.0,38.0,,,,3.0,7.0,2.0,10.0,,,3.0,8.0,5.0,0.0,9.0,2.0,45.0,64.0,3.0,30.0,19.0,1.0,,0.37244,0.4647,0.1005,0.2372,0.9297,61.0,16.0,13.0,,,1.0,1.0,1.0,120.0,,,,,,,6.0,,,0.0,2.0,,,,,19.0,,9.0,9.0,3.0,0.0,5.0,62.0,61.0,30.0,8.0,0.0,2.0,2.0,1.0,280.0,,,5.0,1.0,0.0,36.0,51.0,26.0,,,,,126.0,126.0,1.0,13.0,13.0,41.2,,,,1.0,15.0,0.0,,,,64.0,1.0,2.0,3.0,,,,3.0,,0.0,5.0,58.0,209.0,7.0,4.0,131.0,31.0,30.0,8.0,3.0,17.0,14.0,100768.82,,99.0,7.0,193.0,2.0,1.0,21.0,5.0,59.0,2.0,307.0,1.0,1.0,6.0,21.0,,18.0,4.0,491.0,14.0,14.0,0.0,5.0,3.0,14.0,0.0
2561924,3.0,2025-08-30 15:00:00,39,Wolves,Home,245.0,9.0,2.0,8.0,6.0,2.0,,184.0,3.0,,4.0,6.0,10.0,22.0,421.0,,,28.0,24.0,12.0,6.0,1.0,3.0,,0.0,,,,,,,,,1.0,9.0,0.0,,,,,,8.0,7.0,3.0,6.0,6.0,,76.0,54.0,2.0,,2.0,,6.0,5.0,8.0,,,2.0,6.0,7.0,0.0,8.0,,63.0,47.0,,19.0,12.0,,2.0,0.479173,1.1065,,1.1555,2.5781,67.0,15.0,9.0,1.0,,1.0,1.0,,162.0,2.0,,2.0,2.0,,,4.0,,,2.0,1.0,,,,,12.0,,10.0,10.0,2.0,0.0,4.0,142.0,77.0,37.0,2.0,0.0,1.0,8.0,4.0,505.0,,,4.0,1.0,0.0,62.0,62.0,31.0,,,,,152.0,152.0,1.0,28.0,20.0,58.5,,,,1.0,12.0,0.0,,,,144.0,1.0,,1.0,,1.0,,3.0,1.0,1.0,5.0,66.0,405.0,6.0,9.0,274.0,37.0,19.0,11.0,2.0,16.0,14.0,110706.16,,113.0,5.0,266.0,1.0,,20.0,10.0,61.0,2.0,524.0,,0.0,12.0,23.0,3.0,30.0,0.0,727.0,22.0,20.0,0.0,3.0,2.0,13.0,0.0
2561933,4.0,2025-09-13 15:00:00,39,Wolves,Away,119.0,15.0,,3.0,3.0,1.0,,143.0,4.0,2.0,8.0,8.0,3.0,22.0,259.0,,2.0,16.0,22.0,13.0,5.0,,2.0,,0.0,,,,1.0,,,,,,5.0,0.0,,,,,,7.0,8.0,8.0,7.0,1.0,,69.0,55.0,,,,5.0,6.0,2.0,5.0,,,4.0,6.0,5.0,0.0,3.0,1.0,53.0,46.0,5.0,34.0,16.0,,,0.577025,0.5033,0.048,0.366,1.7517,45.0,17.0,9.0,,,1.0,1.0,1.0,125.0,,,,,,,8.0,,,0.0,,,,,,16.0,,14.0,14.0,4.0,0.0,8.0,68.0,65.0,28.0,10.0,0.0,3.0,2.0,3.0,322.0,,,5.0,2.0,0.0,43.0,39.0,21.0,,,,,132.0,132.0,4.0,25.0,14.0,43.3,,,,1.0,14.0,0.0,,,,81.0,3.0,,3.0,,,,3.0,,0.0,5.0,56.0,244.0,6.0,5.0,144.0,33.0,34.0,15.0,3.0,15.0,12.0,105816.31,,85.0,2.0,214.0,,2.0,29.0,5.0,66.0,,343.0,,0.0,8.0,16.0,3.0,18.0,4.0,546.0,22.0,22.0,0.0,8.0,4.0,8.0,0.0
2561944,5.0,2025-09-20 15:00:00,39,Wolves,Home,201.0,10.0,1.0,14.0,14.0,1.0,1.0,238.0,3.0,,2.0,3.0,12.0,24.0,425.0,,1.0,22.0,18.0,29.0,12.0,1.0,1.0,,0.0,,,,,,,,,1.0,12.0,0.0,,,,,1.0,2.0,2.0,4.0,13.0,3.0,,68.0,53.0,1.0,2.0,1.0,,6.0,4.0,8.0,,,4.0,13.0,17.0,0.0,12.0,,57.0,75.0,,16.0,10.0,1.0,1.0,1.34532,1.7837,,1.3063,1.5445,83.0,11.0,9.0,,,,1.0,,155.0,1.0,,1.0,1.0,,,5.0,,,1.0,,,,,,10.0,,3.0,3.0,3.0,0.0,2.0,141.0,61.0,41.0,,1.0,5.0,9.0,6.0,488.0,,,,,0.0,65.0,83.0,51.0,,,,,143.0,143.0,2.0,26.0,23.0,55.9,,3.0,,,17.0,0.0,,,,143.0,,1.0,1.0,,1.0,,6.0,,0.0,5.0,93.0,409.0,6.0,14.0,218.0,24.0,16.0,17.0,4.0,35.0,31.0,110836.85,,143.0,6.0,324.0,,,14.0,13.0,46.0,,507.0,,0.0,16.0,28.0,1.0,28.0,1.0,716.0,39.0,14.0,0.0,9.0,4.0,14.0,0.0
2561954,6.0,2025-09-27 20:00:00,39,Wolves,Away,182.0,13.0,3.0,4.0,1.0,4.0,,143.0,3.0,,4.0,4.0,6.0,22.0,321.0,,,20.0,18.0,16.0,4.0,1.0,4.0,1.0,0.0,,,,,,,,,,5.0,0.0,,,,1.0,,8.0,7.0,3.0,6.0,3.0,,86.0,40.0,1.0,1.0,1.0,2.0,11.0,1.0,11.0,,,9.0,6.0,1.0,1.0,9.0,1.0,56.0,64.0,2.0,41.0,25.0,,,0.32157,1.1513,,1.4349,1.5021,45.0,11.0,9.0,,,2.0,1.0,,131.0,,,,,,,6.0,,,0.0,1.0,,,,1.0,25.0,1.0,10.0,10.0,1.0,0.0,4.0,96.0,75.0,42.0,10.0,0.0,3.0,2.0,3.0,373.0,,,2.0,2.0,0.0,47.0,50.0,21.0,,,,,123.0,123.0,3.0,17.0,14.0,48.7,1.0,2.0,,2.0,15.0,0.0,,,,81.0,2.0,,2.0,,1.0,1.0,5.0,,0.0,5.0,58.0,308.0,11.0,5.0,206.0,26.0,41.0,16.0,8.0,15.0,7.0,107845.11,1.0,87.0,10.0,203.0,1.0,,24.0,7.0,60.0,,394.0,,0.0,9.0,31.0,,25.0,2.0,616.0,16.0,15.0,0.0,8.0,9.0,14.0,0.0
2561964,7.0,2025-10-05 14:00:00,39,Wolves,Home,160.0,9.0,1.0,3.0,3.0,1.0,1.0,113.0,5.0,1.0,7.0,11.0,9.0,31.0,270.0,,,16.0,12.0,15.0,4.0,,,,0.0,,,1.0,1.0,,,,1.0,,3.0,0.0,,,1.0,,2.0,7.0,10.0,7.0,4.0,2.0,,61.0,55.0,1.0,1.0,,1.0,2.0,,8.0,,,2.0,3.0,8.0,0.0,11.0,1.0,52.0,56.0,1.0,32.0,18.0,,1.0,0.397255,0.5557,0.0304,0.668,1.4592,48.0,13.0,9.0,,,2.0,2.0,1.0,118.0,,,,,,,11.0,,,0.0,1.0,,,,,18.0,2.0,9.0,9.0,1.0,0.0,7.0,95.0,62.0,32.0,8.0,0.0,3.0,1.0,3.0,328.0,,,4.0,1.0,0.0,53.0,32.0,20.0,,,,,134.0,134.0,2.0,25.0,18.0,41.5,1.0,2.0,,,13.0,0.0,,,,79.0,3.0,2.0,5.0,,3.0,,3.0,,0.0,5.0,36.0,258.0,2.0,4.0,183.0,19.0,32.0,14.0,2.0,15.0,13.0,114527.71,,72.0,8.0,185.0,3.0,1.0,25.0,10.0,64.0,1.0,353.0,,0.0,6.0,26.0,,16.0,2.0,554.0,8.0,18.0,0.0,6.0,2.0,14.0,0.0
2561972,8.0,2025-10-18 15:00:00,39,Wolves,Away,164.0,15.0,1.0,11.0,10.0,2.0,,240.0,4.0,2.0,6.0,9.0,11.0,29.0,393.0,,,19.0,27.0,34.0,10.0,,,1.0,0.0,,,,1.0,,,1.0,1.0,,13.0,0.0,,,,,2.0,4.0,5.0,4.0,8.0,8.0,,86.0,40.0,,,,,8.0,5.0,8.0,,,2.0,11.0,18.0,0.0,5.0,,60.0,60.0,,40.0,21.0,,,1.2701,0.8269,0.0385,0.2698,0.2218,65.0,12.0,5.0,,,2.0,,1.0,138.0,,,,,,,7.0,,,0.0,,,,,,21.0,,8.0,8.0,1.0,0.0,6.0,116.0,65.0,39.0,3.0,0.0,6.0,4.0,3.0,450.0,,,3.0,1.0,1.0,80.0,78.0,40.0,,,,,130.0,130.0,5.0,12.0,17.0,58.8,,,,1.0,15.0,0.0,,,,126.0,1.0,,1.0,,1.0,1.0,8.0,,0.0,4.0,97.0,380.0,8.0,10.0,180.0,31.0,40.0,16.0,2.0,31.0,29.0,109492.16,1.0,138.0,5.0,317.0,,2.0,24.0,12.0,60.0,2.0,466.0,,0.0,16.0,15.0,,26.0,0.0,684.0,38.0,13.0,0.0,7.0,2.0,12.0,0.0
2561984,9.0,2025-10-26 14:00:00,39,Wolves,Home,153.0,19.0,1.0,12.0,11.0,1.0,,273.0,3.0,,8.0,4.0,5.0,28.0,414.0,,,11.0,18.0,21.0,8.0,1.0,1.0,1.0,0.0,,1.0,,1.0,,,,,,13.0,1.0,,1.0,,,,8.0,6.0,5.0,10.0,5.0,,95.0,52.0,1.0,1.0,2.0,2.0,8.0,2.0,3.0,,,4.0,13.0,27.0,0.0,11.0,1.0,52.0,49.0,2.0,24.0,15.0,1.0,,1.37286,2.2767,0.0555,2.2963,1.8822,73.0,12.0,7.0,1.0,,2.0,1.0,1.0,129.0,1.0,,1.0,1.0,,,3.0,,,1.0,1.0,,,,,15.0,1.0,9.0,9.0,1.0,0.0,8.0,145.0,65.0,41.0,3.0,1.0,4.0,5.0,7.0,477.0,,,3.0,,0.0,110.0,86.0,44.0,,,,1.0,153.0,153.0,2.0,18.0,22.0,57.1,1.0,,,,23.0,0.0,,,,124.0,2.0,2.0,4.0,,,1.0,6.0,,0.0,5.0,109.0,401.0,8.0,9.0,172.0,32.0,24.0,15.0,3.0,44.0,41.0,113899.45,1.0,151.0,4.0,365.0,1.0,,16.0,5.0,53.0,2.0,493.0,,0.0,15.0,14.0,,14.0,1.0,716.0,35.0,18.0,0.0,7.0,5.0,6.0,0.0
2561988,10.0,2025-11-01 15:00:00,39,Wolves,Away,137.0,15.0,,4.0,4.0,,,110.0,9.0,1.0,3.0,9.0,2.0,31.0,243.0,,,8.0,14.0,15.0,3.0,,,,0.0,,,,1.0,1.0,,,,,3.0,0.0,,,,,,8.0,12.0,8.0,3.0,2.0,,56.0,38.0,1.0,1.0,,1.0,10.0,1.0,7.0,,,1.0,10.0,4.0,0.0,3.0,3.0,40.0,46.0,1.0,31.0,16.0,,,0.30831,0.24,0.0747,0.0973,1.9238,64.0,14.0,13.0,,,3.0,1.0,1.0,120.0,,,,,,,12.0,,,0.0,,,,,1.0,16.0,,10.0,10.0,1.0,0.0,4.0,64.0,57.0,28.0,10.0,0.0,1.0,2.0,2.0,284.0,,,8.0,,1.0,39.0,45.0,28.0,,,,,119.0,119.0,4.0,11.0,17.0,36.7,,,,,17.0,0.0,,,,76.0,2.0,2.0,4.0,,1.0,,2.0,,0.0,5.0,56.0,222.0,10.0,4.0,148.0,29.0,31.0,5.0,1.0,16.0,15.0,103892.95,,106.0,5.0,184.0,,1.0,24.0,2.0,68.0,,316.0,,1.0,5.0,17.0,,13.0,3.0,495.0,17.0,22.0,0.0,2.0,1.0,12.0,0.0
