matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
987701,11,2018-11-03 19:45:00,39,Wolves,Home,164.0,33.0,,6.0,6.0,2.0,,216.0,4.0,,4.0,6.0,1.0,60.0,374.0,,1.0,24.0,7.0,11.0,9.0,1.0,,,,,,,,,1.0,10.0,2.0,,,,5.0,7.0,3.0,8.0,8.0,62.0,73.0,1.0,1.0,2.0,1.0,13.0,5.0,11.0,,2.0,5.0,12.0,6.0,,11.0,4.0,48.0,56.0,1.0,7.0,2.0,,,77.0,11.0,8.0,1.0,,4.0,2.0,,147.0,,,,,,,4.0,,,2.0,2.0,,9.0,9.0,,4.0,112.0,71.0,45.0,1.0,1.0,4.0,6.0,7.0,443.0,1.0,3.0,,70.0,99.0,33.0,,,,2.0,148.0,148.0,5.0,31.0,30.0,48.6,,,,,13.0,0.0,137.0,2.0,3.0,5.0,,,4.0,1.0,3.0,104.0,360.0,6.0,10.0,184.0,56.0,7.0,25.0,5.0,25.0,20.0,,152.0,7.0,299.0,,,21.0,1.0,93.0,5.0,458.0,,0.0,16.0,22.0,3.0,27.0,1.0,657.0,25.0,13.0,15.0,5.0,12.0,0.0
987702,12,2018-11-11 16:30:00,39,Wolves,Away,115.0,16.0,2.0,2.0,,3.0,,95.0,6.0,,4.0,3.0,4.0,32.0,208.0,,,17.0,8.0,18.0,10.0,1.0,,5.0,,,,,,1.0,,11.0,,1.0,,,9.0,5.0,5.0,7.0,6.0,41.0,70.0,3.0,2.0,1.0,5.0,23.0,2.0,9.0,,1.0,2.0,4.0,,,9.0,1.0,43.0,52.0,5.0,26.0,9.0,,,34.0,16.0,8.0,1.0,,2.0,1.0,,131.0,1.0,,1.0,1.0,,,10.0,1.0,,1.0,9.0,1.0,28.0,28.0,6.0,4.0,53.0,57.0,29.0,11.0,,5.0,7.0,5.0,270.0,4.0,,,17.0,58.0,20.0,,,,,122.0,122.0,1.0,40.0,21.0,28.3,1.0,2.0,,1.0,23.0,0.0,67.0,1.0,1.0,2.0,,5.0,6.0,,3.0,53.0,195.0,17.0,12.0,152.0,36.0,26.0,10.0,2.0,7.0,5.0,5.0,74.0,9.0,147.0,,,15.0,4.0,70.0,2.0,292.0,1.0,0.0,13.0,19.0,1.0,20.0,2.0,494.0,20.0,16.0,7.0,2.0,9.0,0.0
987721,13,2018-11-25 16:00:00,39,Wolves,Home,167.0,20.0,1.0,2.0,1.0,,,167.0,4.0,,5.0,6.0,12.0,29.0,332.0,,,31.0,29.0,19.0,7.0,1.0,,,,1.0,,2.0,,,,9.0,,,,,9.0,6.0,8.0,6.0,6.0,64.0,75.0,,,,3.0,21.0,3.0,4.0,,,3.0,9.0,1.0,,17.0,1.0,70.0,56.0,3.0,18.0,10.0,,2.0,57.0,9.0,8.0,,,3.0,,2.0,181.0,,,,,,,6.0,,1.0,,10.0,1.0,16.0,16.0,1.0,5.0,105.0,81.0,46.0,5.0,,4.0,4.0,3.0,426.0,4.0,5.0,,55.0,63.0,16.0,,,,,176.0,176.0,2.0,31.0,33.0,44.8,,,,,21.0,0.0,93.0,3.0,1.0,4.0,,,6.0,,3.0,69.0,321.0,11.0,8.0,200.0,37.0,18.0,20.0,3.0,13.0,10.0,,104.0,4.0,256.0,1.0,,25.0,16.0,62.0,1.0,443.0,,0.0,12.0,21.0,1.0,34.0,1.0,662.0,17.0,17.0,9.0,3.0,13.0,0.0
987723,14,2018-11-30 20:00:00,39,Wolves,Away,105.0,17.0,1.0,3.0,2.0,,,134.0,10.0,,2.0,7.0,3.0,34.0,236.0,,,26.0,39.0,43.0,10.0,1.0,,1.0,,,,,,,,10.0,,,,,7.0,10.0,7.0,7.0,8.0,39.0,65.0,,,1.0,1.0,18.0,2.0,7.0,1.0,,6.0,11.0,2.0,,14.0,,84.0,72.0,1.0,48.0,29.0,,,58.0,12.0,3.0,,,1.0,,,180.0,,,,,,,12.0,,,,29.0,,8.0,8.0,,2.0,68.0,86.0,44.0,7.0,1.0,7.0,4.0,4.0,323.0,7.0,,,55.0,55.0,25.0,,,,,176.0,176.0,,29.0,33.0,52.1,,3.0,,1.0,18.0,0.0,58.0,1.0,,,1.0,1.0,9.0,,3.0,68.0,219.0,6.0,11.0,139.0,40.0,48.0,17.0,5.0,18.0,13.0,1.0,107.0,4.0,224.0,,,22.0,4.0,72.0,,345.0,,0.0,15.0,21.0,,32.0,2.0,579.0,20.0,20.0,5.0,6.0,13.0,0.0
987739,15,2018-12-05 19:45:00,39,Wolves,Home,115.0,17.0,1.0,2.0,1.0,,,96.0,7.0,,2.0,3.0,4.0,33.0,209.0,,,12.0,19.0,16.0,,1.0,,,,,,,,,,4.0,,,,1.0,12.0,9.0,8.0,5.0,1.0,43.0,57.0,1.0,,1.0,2.0,18.0,1.0,11.0,,,1.0,6.0,5.0,,8.0,2.0,62.0,48.0,2.0,18.0,11.0,,,47.0,18.0,10.0,2.0,,2.0,1.0,,126.0,2.0,,2.0,2.0,,,11.0,2.0,,,11.0,,23.0,23.0,2.0,2.0,63.0,66.0,27.0,5.0,,1.0,2.0,2.0,262.0,4.0,3.0,,45.0,53.0,20.0,,,,,122.0,122.0,2.0,23.0,27.0,29.9,,,3.0,,18.0,0.0,52.0,1.0,1.0,2.0,,,3.0,,3.0,37.0,192.0,12.0,3.0,130.0,41.0,18.0,13.0,1.0,13.0,12.0,,69.0,4.0,167.0,,,19.0,4.0,71.0,2.0,284.0,1.0,0.0,6.0,16.0,3.0,15.0,4.0,463.0,12.0,14.0,7.0,1.0,12.0,0.0
987750,16,2018-12-09 16:00:00,39,Wolves,Away,170.0,12.0,2.0,5.0,3.0,2.0,1.0,175.0,7.0,,5.0,2.0,2.0,25.0,340.0,,,9.0,26.0,33.0,4.0,3.0,,2.0,,,1.0,2.0,,,,7.0,,1.0,,1.0,8.0,7.0,5.0,9.0,4.0,51.0,72.0,1.0,,2.0,3.0,16.0,2.0,8.0,,,6.0,10.0,1.0,,8.0,2.0,61.0,59.0,3.0,30.0,20.0,,1.0,52.0,17.0,10.0,1.0,,4.0,2.0,2.0,151.0,1.0,,1.0,1.0,,,9.0,2.0,1.0,2.0,20.0,1.0,7.0,7.0,,5.0,110.0,70.0,42.0,4.0,1.0,3.0,5.0,6.0,408.0,3.0,,,63.0,66.0,26.0,,,,,140.0,140.0,3.0,33.0,28.0,49.6,1.0,,,,16.0,0.0,113.0,2.0,1.0,3.0,1.0,2.0,5.0,,3.0,65.0,326.0,9.0,8.0,199.0,33.0,30.0,9.0,6.0,19.0,13.0,2.0,97.0,4.0,245.0,1.0,,18.0,2.0,60.0,2.0,425.0,,0.0,13.0,13.0,1.0,15.0,5.0,615.0,21.0,20.0,4.0,6.0,9.0,0.0
987761,17,2018-12-15 15:00:00,39,Wolves,Home,166.0,20.0,,,,3.0,,115.0,3.0,,,6.0,,31.0,281.0,,2.0,16.0,15.0,19.0,5.0,,,2.0,,,,,,,1.0,9.0,,,,,7.0,7.0,6.0,6.0,4.0,56.0,78.0,3.0,1.0,2.0,4.0,16.0,3.0,12.0,,1.0,5.0,2.0,2.0,,6.0,,49.0,48.0,4.0,25.0,12.0,,,37.0,15.0,6.0,1.0,,3.0,2.0,,164.0,2.0,,1.0,2.0,,1.0,7.0,2.0,,1.0,12.0,,16.0,16.0,,,92.0,75.0,39.0,3.0,,1.0,6.0,4.0,371.0,5.0,1.0,,32.0,62.0,18.0,,,,,149.0,149.0,6.0,41.0,26.0,37.8,,,,1.0,16.0,0.0,77.0,1.0,2.0,3.0,1.0,2.0,3.0,,3.0,57.0,271.0,8.0,7.0,203.0,43.0,25.0,5.0,3.0,9.0,6.0,3.0,88.0,8.0,195.0,,1.0,20.0,1.0,69.0,4.0,389.0,1.0,0.0,10.0,21.0,4.0,18.0,1.0,561.0,18.0,17.0,3.0,5.0,13.0,0.0
987771,18,2018-12-21 20:00:00,39,Wolves,Home,165.0,28.0,,2.0,2.0,,,153.0,,1.0,3.0,4.0,5.0,39.0,316.0,,,22.0,11.0,7.0,8.0,,,,,,,,,,,10.0,,,,,5.0,9.0,6.0,9.0,2.0,66.0,62.0,,1.0,,3.0,34.0,2.0,16.0,,1.0,1.0,5.0,1.0,,11.0,4.0,50.0,45.0,3.0,15.0,5.0,,1.0,55.0,7.0,2.0,,,,,,148.0,,,,,,,4.0,,,,5.0,,22.0,22.0,4.0,3.0,100.0,66.0,30.0,10.0,,3.0,5.0,5.0,408.0,5.0,2.0,,71.0,52.0,14.0,,,,,148.0,148.0,2.0,31.0,23.0,38.3,,,,,34.0,0.0,106.0,3.0,1.0,5.0,1.0,,4.0,,3.0,60.0,308.0,16.0,8.0,198.0,60.0,15.0,16.0,1.0,7.0,6.0,,99.0,4.0,229.0,,1.0,15.0,5.0,78.0,4.0,420.0,1.0,0.0,11.0,26.0,1.0,25.0,0.0,627.0,21.0,14.0,11.0,1.0,18.0,0.0
987775,19,2018-12-26 12:30:00,39,Wolves,Away,279.0,37.0,,5.0,5.0,,,312.0,7.0,,4.0,6.0,13.0,55.0,586.0,,,26.0,31.0,33.0,10.0,,,,,,,,,,,14.0,,,,,2.0,8.0,3.0,8.0,6.0,97.0,69.0,,,1.0,1.0,11.0,2.0,9.0,1.0,1.0,,14.0,5.0,,10.0,,61.0,74.0,1.0,4.0,3.0,,1.0,78.0,6.0,9.0,,,3.0,2.0,,199.0,,,,,,,8.0,1.0,,,3.0,,11.0,11.0,2.0,4.0,203.0,104.0,72.0,2.0,1.0,5.0,5.0,5.0,669.0,1.0,2.0,,134.0,96.0,35.0,,,,,157.0,157.0,8.0,25.0,30.0,70.2,,,1.0,1.0,11.0,0.0,186.0,3.0,1.0,3.0,,,7.0,1.0,3.0,116.0,572.0,3.0,10.0,300.0,64.0,4.0,16.0,,21.0,21.0,,160.0,4.0,406.0,,,15.0,13.0,89.0,2.0,685.0,,0.0,14.0,23.0,,29.0,1.0,878.0,14.0,20.0,11.0,,15.0,0.0
987790,20,2018-12-29 15:00:00,39,Wolves,Away,176.0,24.0,2.0,6.0,4.0,1.0,1.0,160.0,2.0,,4.0,1.0,5.0,29.0,330.0,,1.0,15.0,13.0,15.0,5.0,2.0,,1.0,,,,,,,,7.0,,,,1.0,3.0,1.0,9.0,9.0,2.0,74.0,71.0,2.0,,2.0,2.0,19.0,3.0,9.0,,1.0,7.0,14.0,3.0,1.0,11.0,1.0,45.0,55.0,2.0,14.0,12.0,,,49.0,7.0,6.0,1.0,,1.0,1.0,,138.0,3.0,1.0,2.0,2.0,1.0,1.0,6.0,2.0,1.0,1.0,12.0,,12.0,12.0,2.0,4.0,99.0,71.0,38.0,6.0,,3.0,7.0,4.0,396.0,2.0,2.0,,49.0,88.0,27.0,,,,,139.0,139.0,7.0,34.0,22.0,39.2,,,3.0,,19.0,0.0,102.0,,2.0,2.0,1.0,1.0,4.0,,3.0,72.0,320.0,5.0,10.0,199.0,49.0,14.0,23.0,6.0,24.0,18.0,2.0,109.0,5.0,238.0,1.0,,14.0,6.0,66.0,4.0,413.0,,0.0,11.0,18.0,2.0,16.0,2.0,600.0,19.0,13.0,16.0,7.0,11.0,0.0
