matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2128295,1.0,2020-09-14 18:00:00,39,Wolves,Away,200.0,23.0,3.0,6.0,3.0,2.0,,113.0,3.0,,6.0,9.0,2.0,46.0,307.0,,,15.0,31.0,28.0,4.0,2.0,3.0,4.0,,,,,,,,8.0,,,,1.0,,4.0,8.0,1.0,7.0,4.0,,80.0,49.0,1.0,2.0,1.0,7.0,12.0,2.0,6.0,1.0,,5.0,8.0,2.0,1.0,8.0,,59.0,69.0,7.0,35.0,20.0,,,,,,,26.0,37.0,7.0,13.0,1.0,3.0,1.0,2.0,,142.0,2.0,1.0,2.0,1.0,1.0,1.0,6.0,,,1.0,1.0,,,,,20.0,2.0,13.0,13.0,4.0,,7.0,80.0,66.0,40.0,12.0,,4.0,4.0,4.0,365.0,,,3.0,1.0,,34.0,64.0,18.0,,,,,,131.0,131.0,,29.0,11.0,44.9,1.0,,,,12.0,0.0,,,,89.0,2.0,,1.0,,,4.0,5.0,,,3.0,11.0,36.0,288.0,4.0,8.0,238.0,46.0,35.0,22.0,3.0,15.0,12.0,5.0,62.0,5.0,168.0,1.0,,31.0,3.0,88.0,,391.0,,0.0,11.0,14.0,1.0,19.0,1.0,597.0,12.0,13.0,,14.0,5.0,8.0,0.0
2128305,2.0,2020-09-21 20:15:00,39,Wolves,Home,170.0,30.0,1.0,4.0,3.0,,,107.0,3.0,,7.0,5.0,3.0,29.0,273.0,1.0,1.0,10.0,13.0,11.0,8.0,1.0,2.0,1.0,,,,,,,,7.0,,,,,1.0,6.0,8.0,6.0,6.0,4.0,,60.0,58.0,1.0,,1.0,1.0,19.0,4.0,12.0,,,4.0,7.0,1.0,,12.0,1.0,54.0,55.0,1.0,9.0,5.0,,,,,,,12.0,30.0,7.0,7.0,1.0,,2.0,2.0,,131.0,1.0,,1.0,,1.0,,8.0,,,,,,,,,5.0,,15.0,15.0,1.0,,7.0,78.0,64.0,38.0,6.0,,5.0,5.0,1.0,333.0,,,2.0,3.0,,40.0,39.0,20.0,1.0,1.0,1.0,,,136.0,136.0,1.0,22.0,26.0,34.8,,,,,19.0,0.0,,,,87.0,3.0,3.0,6.0,,,1.0,5.0,1.0,,3.0,7.0,33.0,260.0,10.0,10.0,216.0,49.0,9.0,22.0,3.0,13.0,10.0,1.0,49.0,4.0,153.0,,,20.0,4.0,58.0,2.0,356.0,2.0,0.0,10.0,25.0,1.0,13.0,0.0,545.0,14.0,14.0,,12.0,4.0,12.0,0.0
2128315,3.0,2020-09-27 19:00:00,39,Wolves,Away,227.0,18.0,1.0,5.0,4.0,,,321.0,3.0,,6.0,3.0,12.0,25.0,543.0,,,22.0,19.0,22.0,7.0,1.0,2.0,,,,,,,1.0,,9.0,,,,,,7.0,14.0,2.0,4.0,7.0,,90.0,57.0,,,,,21.0,5.0,16.0,,,3.0,12.0,4.0,,13.0,3.0,70.0,65.0,,6.0,5.0,,,,,,,26.0,68.0,11.0,7.0,,,2.0,,,187.0,,,,,,,5.0,,,,,,,,,5.0,,8.0,8.0,,,6.0,173.0,86.0,60.0,1.0,,3.0,5.0,2.0,605.0,,,1.0,2.0,1.0,85.0,96.0,29.0,,,,,,143.0,143.0,3.0,16.0,29.0,63.1,,,,,21.0,0.0,,,,176.0,4.0,,4.0,,,,4.0,,,3.0,14.0,102.0,526.0,10.0,8.0,251.0,37.0,6.0,31.0,2.0,18.0,16.0,,135.0,1.0,393.0,,,15.0,12.0,53.0,2.0,626.0,2.0,0.0,11.0,17.0,1.0,24.0,1.0,822.0,19.0,17.0,,20.0,3.0,10.0,0.0
2128325,4.0,2020-10-04 14:00:00,39,Wolves,Home,222.0,19.0,2.0,6.0,4.0,2.0,,190.0,5.0,,4.0,1.0,6.0,26.0,406.0,,,25.0,9.0,12.0,6.0,1.0,3.0,2.0,,,,,1.0,,,10.0,,,,,,7.0,6.0,4.0,7.0,7.0,,77.0,45.0,1.0,2.0,,1.0,12.0,6.0,10.0,,,6.0,10.0,3.0,,6.0,,48.0,33.0,1.0,25.0,11.0,,,,,,,27.0,41.0,15.0,6.0,,,2.0,1.0,1.0,125.0,,,,,,,8.0,,,1.0,2.0,,,,,11.0,,9.0,9.0,,,4.0,149.0,63.0,40.0,2.0,1.0,3.0,4.0,5.0,459.0,,,3.0,,,56.0,69.0,25.0,,,,,,107.0,107.0,3.0,18.0,18.0,47.1,,,,,12.0,0.0,,,,127.0,2.0,,2.0,,1.0,2.0,3.0,1.0,,3.0,18.0,82.0,392.0,4.0,7.0,245.0,41.0,25.0,14.0,4.0,18.0,14.0,2.0,105.0,5.0,251.0,2.0,,11.0,7.0,53.0,,478.0,,0.0,14.0,9.0,,25.0,1.0,639.0,15.0,9.0,,6.0,6.0,5.0,0.0
2128329,5.0,2020-10-19 20:00:00,39,Wolves,Away,94.0,13.0,2.0,2.0,,7.0,,88.0,8.0,,4.0,5.0,5.0,28.0,180.0,1.0,,20.0,10.0,20.0,4.0,1.0,1.0,,,,,,,,,6.0,,,,,,7.0,13.0,,4.0,3.0,,43.0,64.0,,,,1.0,9.0,3.0,7.0,,1.0,3.0,4.0,1.0,,8.0,,41.0,61.0,1.0,26.0,15.0,,,,,,,28.0,51.0,12.0,13.0,1.0,1.0,2.0,2.0,,149.0,1.0,,,1.0,,,12.0,,,1.0,,,,,1.0,15.0,,21.0,21.0,3.0,,4.0,36.0,61.0,29.0,8.0,,1.0,5.0,3.0,239.0,,,4.0,4.0,,26.0,56.0,13.0,,,,,,144.0,144.0,1.0,36.0,18.0,32.2,,,,,9.0,0.0,,,,41.0,2.0,,2.0,,1.0,,1.0,,,3.0,16.0,38.0,165.0,2.0,6.0,129.0,30.0,26.0,20.0,3.0,10.0,7.0,,75.0,15.0,150.0,,,25.0,6.0,68.0,2.0,269.0,1.0,0.0,7.0,14.0,,26.0,1.0,468.0,14.0,20.0,,14.0,3.0,8.0,0.0
2128345,6.0,2020-10-25 16:30:00,39,Wolves,Home,293.0,17.0,,,,1.0,,347.0,2.0,,7.0,,4.0,27.0,640.0,,,17.0,13.0,8.0,12.0,,,,,,,,,,,14.0,,,,,2.0,5.0,2.0,3.0,4.0,12.0,,102.0,51.0,,,,4.0,16.0,5.0,12.0,,,2.0,9.0,4.0,,10.0,1.0,58.0,44.0,4.0,9.0,4.0,,,,,,,26.0,91.0,10.0,9.0,1.0,,3.0,3.0,,164.0,,,,,,,2.0,,,,,,,,,4.0,,8.0,8.0,1.0,,7.0,217.0,78.0,65.0,3.0,,6.0,6.0,3.0,691.0,,,3.0,3.0,,110.0,112.0,17.0,,,,,,116.0,116.0,5.0,17.0,21.0,63.4,,2.0,,,16.0,0.0,,,,219.0,,1.0,1.0,,,,8.0,,,3.0,12.0,152.0,630.0,7.0,12.0,307.0,34.0,9.0,29.0,2.0,18.0,16.0,,188.0,3.0,413.0,,,5.0,4.0,42.0,,702.0,1.0,0.0,16.0,11.0,,18.0,0.0,877.0,16.0,9.0,,16.0,2.0,6.0,0.0
2128355,7.0,2020-10-30 20:00:00,39,Wolves,Home,161.0,40.0,1.0,6.0,5.0,1.0,,222.0,3.0,,2.0,2.0,3.0,47.0,377.0,,,20.0,7.0,12.0,11.0,,3.0,1.0,,,,,,,,12.0,,1.0,1.0,,,8.0,6.0,5.0,9.0,6.0,,87.0,49.0,3.0,2.0,1.0,1.0,22.0,2.0,13.0,,,7.0,11.0,9.0,,7.0,,42.0,44.0,1.0,15.0,8.0,,,,,,,25.0,56.0,13.0,4.0,1.0,,1.0,,,131.0,1.0,,1.0,1.0,,,4.0,,,2.0,1.0,,,,1.0,8.0,2.0,15.0,15.0,2.0,,2.0,125.0,63.0,44.0,6.0,1.0,7.0,5.0,5.0,429.0,,,6.0,1.0,,79.0,80.0,30.0,,,,,,108.0,108.0,4.0,22.0,16.0,45.0,2.0,,,,22.0,0.0,,,,103.0,,2.0,2.0,,,1.0,8.0,,,3.0,13.0,105.0,368.0,7.0,12.0,179.0,55.0,15.0,12.0,4.0,24.0,20.0,1.0,134.0,4.0,291.0,1.0,,7.0,5.0,66.0,,446.0,,0.0,15.0,19.0,,20.0,0.0,618.0,29.0,10.0,,9.0,7.0,17.0,0.0
2128361,8.0,2020-11-08 14:00:00,39,Wolves,Away,208.0,22.0,,6.0,6.0,2.0,1.0,213.0,6.0,2.0,1.0,2.0,11.0,34.0,415.0,,,18.0,10.0,17.0,6.0,1.0,,1.0,,1.0,,,1.0,,,6.0,,,,,1.0,4.0,6.0,4.0,4.0,4.0,,73.0,59.0,1.0,1.0,,3.0,17.0,1.0,5.0,,,3.0,11.0,5.0,,10.0,1.0,42.0,51.0,3.0,10.0,6.0,,,,,,,29.0,37.0,8.0,11.0,,,3.0,2.0,1.0,149.0,,,,,,,12.0,,,,,,,,1.0,6.0,,10.0,10.0,,,1.0,142.0,80.0,52.0,6.0,,4.0,3.0,2.0,480.0,,,2.0,2.0,,47.0,88.0,31.0,1.0,2.0,2.0,1.0,,149.0,149.0,2.0,30.0,24.0,50.4,,,,1.0,17.0,0.0,,,,141.0,1.0,1.0,2.0,,,1.0,5.0,,,3.0,16.0,80.0,399.0,4.0,7.0,242.0,51.0,10.0,16.0,2.0,20.0,18.0,1.0,108.0,4.0,283.0,,2.0,14.0,12.0,69.0,,505.0,2.0,0.0,8.0,17.0,,23.0,3.0,679.0,18.0,18.0,,6.0,3.0,8.0,0.0
2128375,9.0,2020-11-23 20:00:00,39,Wolves,Home,172.0,14.0,,5.0,5.0,4.0,1.0,168.0,3.0,,1.0,7.0,7.0,30.0,335.0,,1.0,17.0,17.0,20.0,13.0,1.0,1.0,,,,,,1.0,,,12.0,,,1.0,,6.0,9.0,5.0,2.0,15.0,5.0,,73.0,59.0,,1.0,1.0,,14.0,6.0,8.0,,,7.0,14.0,5.0,,8.0,1.0,58.0,60.0,,17.0,9.0,,,,,,,29.0,42.0,14.0,14.0,,,6.0,3.0,1.0,138.0,,,,,,,4.0,,,1.0,,,,,,9.0,1.0,8.0,8.0,,,1.0,93.0,63.0,31.0,4.0,,5.0,9.0,9.0,394.0,,,2.0,1.0,,63.0,59.0,21.0,,,,,,143.0,143.0,7.0,16.0,33.0,45.3,1.0,,1.0,,14.0,0.0,,,,112.0,1.0,,1.0,,1.0,,5.0,,,2.0,17.0,83.0,315.0,6.0,14.0,192.0,24.0,17.0,27.0,1.0,23.0,22.0,,99.0,9.0,247.0,,,25.0,7.0,57.0,2.0,416.0,,0.0,20.0,11.0,1.0,17.0,2.0,614.0,30.0,21.0,,15.0,7.0,8.0,0.0
2128376,10.0,2020-11-29 19:15:00,39,Wolves,Away,170.0,28.0,1.0,2.0,1.0,,,157.0,5.0,,1.0,2.0,5.0,38.0,325.0,1.0,,18.0,16.0,15.0,7.0,1.0,1.0,,,,,,,,,10.0,,1.0,,,,7.0,10.0,3.0,9.0,2.0,,70.0,36.0,1.0,1.0,2.0,2.0,16.0,4.0,2.0,,1.0,4.0,6.0,1.0,,10.0,,43.0,48.0,2.0,36.0,19.0,,1.0,,,,,31.0,42.0,13.0,12.0,,,1.0,1.0,,138.0,,,,,,,9.0,,,2.0,,,,,,19.0,1.0,12.0,12.0,3.0,,1.0,101.0,60.0,38.0,8.0,2.0,2.0,6.0,5.0,378.0,,,4.0,1.0,,65.0,60.0,15.0,,,,,,124.0,124.0,1.0,21.0,11.0,43.8,1.0,,,,16.0,0.0,,,,96.0,1.0,,1.0,,,,2.0,,,3.0,21.0,66.0,305.0,7.0,8.0,206.0,47.0,36.0,13.0,3.0,11.0,8.0,,88.0,7.0,210.0,,,16.0,5.0,71.0,,405.0,1.0,0.0,11.0,12.0,,20.0,4.0,599.0,23.0,19.0,,10.0,4.0,4.0,0.0
