matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attOboxOwnGoal,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsGainedLosingPos,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
360578,11.0,2011-11-06 13:30:00,39,Wolves,Home,126.0,10.0,2.0,5.0,3.0,1.0,1.0,147.0,3.0,1.0,4.0,16.0,17.0,27.0,268.0,3.0,,22.0,9.0,9.0,6.0,1.0,,,,,,,,,,1.0,11.0,,,,,,2.0,8.0,9.0,,,,67.0,62.0,3.0,4.0,3.0,9.0,2.0,10.0,,5.0,9.0,2.0,,20.0,4.0,56.0,59.0,9.0,19.0,7.0,,,75.0,11.0,13.0,,,3.0,4.0,,174.0,1.0,,1.0,1.0,,,6.0,,,3.0,3.0,,,,,14.0,1.0,16.0,14.0,,4.0,73.0,92.0,36.0,6.0,3.0,1.0,7.0,10.0,,,,2.0,3.0,,77.0,64.0,11.0,,1.0,1.0,1.0,,193.0,179.0,7.0,31.0,15.0,48.4,,,1.0,0.0,,,,73.0,4.0,2.0,,,,,1.0,,2.0,73.0,,8.0,149.0,23.0,33.0,12.0,4.0,19.0,15.0,,135.0,7.0,257.0,3.0,1.0,55.0,19.0,66.0,3.0,387.0,4.0,0.0,13.0,31.0,2.0,25.0,2.0,623.0,,8.0,6.0,5.0,26.0,0.0
360580,12.0,2011-11-19 15:00:00,39,Wolves,Away,192.0,9.0,,1.0,1.0,3.0,,156.0,4.0,1.0,10.0,16.0,6.0,36.0,347.0,,,17.0,14.0,15.0,1.0,,,1.0,,1.0,,1.0,1.0,,,,,1.0,,,,,,9.0,6.0,,,,78.0,42.0,,,1.0,2.0,1.0,6.0,1.0,1.0,7.0,3.0,,6.0,,42.0,44.0,2.0,20.0,8.0,,,86.0,13.0,14.0,,,,,1.0,164.0,,,,,,,7.0,,,,8.0,,,,,20.0,,11.0,7.0,2.0,10.0,106.0,91.0,49.0,9.0,1.0,1.0,,1.0,,,,7.0,,,83.0,29.0,19.0,1.0,1.0,1.0,,1.0,148.0,125.0,,14.0,8.0,52.2,,,,0.0,,,,85.0,3.0,,,,,,3.0,,3.0,79.0,,1.0,207.0,22.0,43.0,4.0,1.0,11.0,10.0,,139.0,9.0,237.0,8.0,1.0,43.0,6.0,71.0,4.0,433.0,,0.0,5.0,14.0,,17.0,3.0,604.0,,13.0,1.0,1.0,10.0,0.0
360591,13.0,2011-11-26 15:00:00,39,Wolves,Away,219.0,7.0,1.0,3.0,2.0,2.0,,167.0,6.0,,8.0,8.0,24.0,27.0,383.0,,1.0,16.0,5.0,6.0,5.0,1.0,,,,,,,,,,,7.0,,,,,,,9.0,12.0,,,,85.0,36.0,,,,4.0,1.0,9.0,,2.0,9.0,5.0,,10.0,4.0,39.0,31.0,4.0,16.0,8.0,,,61.0,11.0,10.0,,,3.0,2.0,,148.0,,,,,,,10.0,,,,3.0,,,,1.0,12.0,,10.0,8.0,1.0,8.0,108.0,87.0,52.0,9.0,,4.0,2.0,2.0,,,,4.0,2.0,,69.0,43.0,9.0,,,,,,137.0,118.0,,14.0,13.0,48.0,,,,0.0,,,,105.0,3.0,4.0,,,1.0,,5.0,1.0,3.0,75.0,,6.0,231.0,14.0,35.0,6.0,1.0,17.0,16.0,,109.0,5.0,232.0,3.0,,28.0,24.0,51.0,,446.0,,0.0,8.0,14.0,1.0,17.0,2.0,626.0,,19.0,1.0,2.0,12.0,0.0
360608,14.0,2011-12-04 16:00:00,39,Wolves,Home,120.0,20.0,2.0,10.0,8.0,3.0,,232.0,1.0,1.0,8.0,15.0,12.0,30.0,342.0,,,22.0,8.0,27.0,7.0,1.0,,1.0,,1.0,,,,,,,11.0,,,,,,,12.0,8.0,,,,67.0,60.0,4.0,2.0,2.0,,9.0,5.0,1.0,8.0,20.0,11.0,,17.0,5.0,50.0,57.0,,18.0,7.0,,,119.0,10.0,12.0,2.0,,3.0,2.0,1.0,218.0,2.0,,1.0,2.0,,,6.0,,,2.0,1.0,,,,,12.0,,7.0,6.0,,8.0,113.0,110.0,48.0,3.0,,1.0,9.0,5.0,,,,6.0,1.0,,121.0,54.0,31.0,,1.0,1.0,1.0,,221.0,215.0,2.0,19.0,24.0,54.9,,,,0.0,,,,78.0,6.0,2.0,,,,,3.0,1.0,3.0,119.0,,10.0,141.0,41.0,24.0,19.0,7.0,40.0,33.0,,199.0,19.0,375.0,1.0,1.0,50.0,12.0,68.0,3.0,476.0,,0.0,17.0,9.0,,26.0,2.0,698.0,,11.0,9.0,8.0,6.0,0.0
360613,15.0,2011-12-10 15:00:00,39,Wolves,Away,156.0,15.0,,8.0,8.0,2.0,1.0,220.0,2.0,,9.0,13.0,22.0,31.0,368.0,,1.0,22.0,15.0,11.0,7.0,1.0,1.0,,,,,,,,,,10.0,,,,,,1.0,8.0,12.0,,,,77.0,54.0,,,,4.0,3.0,3.0,,2.0,21.0,6.0,,12.0,2.0,45.0,44.0,4.0,14.0,5.0,,,82.0,9.0,7.0,1.0,,1.0,1.0,,170.0,1.0,,1.0,1.0,,,4.0,,,1.0,1.0,,,,,7.0,,14.0,11.0,2.0,9.0,116.0,89.0,51.0,8.0,,2.0,7.0,5.0,,,,5.0,1.0,,87.0,52.0,21.0,,,,,,161.0,152.0,3.0,21.0,22.0,49.0,,,,0.0,,,,102.0,4.0,5.0,,,,1.0,3.0,,3.0,111.0,,9.0,175.0,24.0,23.0,16.0,1.0,29.0,28.0,1.0,161.0,9.0,319.0,1.0,,37.0,23.0,60.0,2.0,465.0,,0.0,11.0,16.0,2.0,23.0,0.0,669.0,,10.0,10.0,2.0,10.0,0.0
360628,16.0,2011-12-17 15:00:00,39,Wolves,Home,105.0,3.0,1.0,8.0,7.0,2.0,1.0,154.0,2.0,1.0,4.0,15.0,4.0,24.0,251.0,,1.0,29.0,13.0,11.0,5.0,2.0,,,,,,,,1.0,,,8.0,1.0,,,,,,5.0,6.0,,,,63.0,40.0,,,1.0,2.0,4.0,3.0,,7.0,23.0,4.0,,10.0,2.0,41.0,47.0,2.0,15.0,7.0,1.0,,87.0,12.0,16.0,,,5.0,2.0,,163.0,,,,,,,6.0,,,,4.0,,,,,12.0,,8.0,7.0,1.0,4.0,76.0,76.0,32.0,5.0,1.0,2.0,5.0,3.0,,,,,1.0,1.0,96.0,38.0,19.0,,,,,1.0,212.0,193.0,2.0,14.0,17.0,54.6,,,,0.0,,,,78.0,1.0,2.0,,,,,4.0,,3.0,87.0,,7.0,138.0,20.0,34.0,7.0,3.0,32.0,29.0,,156.0,6.0,274.0,4.0,1.0,34.0,5.0,55.0,4.0,380.0,,0.0,11.0,16.0,1.0,34.0,2.0,584.0,,13.0,4.0,7.0,11.0,0.0
360632,17.0,2011-12-20 19:45:00,39,Wolves,Home,129.0,17.0,2.0,8.0,6.0,2.0,1.0,251.0,2.0,1.0,4.0,21.0,20.0,50.0,372.0,,,21.0,15.0,11.0,11.0,3.0,,,,,,,,,,,15.0,,,,,,4.0,11.0,8.0,,,,64.0,51.0,1.0,2.0,1.0,4.0,4.0,1.0,,4.0,12.0,10.0,1.0,10.0,6.0,41.0,41.0,4.0,21.0,7.0,,,107.0,5.0,12.0,1.0,,4.0,3.0,,195.0,1.0,1.0,1.0,,1.0,,5.0,,,1.0,1.0,,,,,12.0,,14.0,13.0,1.0,4.0,114.0,95.0,52.0,6.0,,6.0,9.0,6.0,,,,5.0,1.0,,113.0,50.0,35.0,,,,,,204.0,182.0,1.0,15.0,26.0,54.4,,,,0.0,,,,112.0,4.0,3.0,,,1.0,,11.0,,2.0,121.0,,15.0,152.0,27.0,43.0,15.0,4.0,29.0,25.0,,186.0,7.0,362.0,1.0,1.0,40.0,22.0,75.0,7.0,485.0,,0.0,21.0,13.0,,22.0,2.0,715.0,,16.0,5.0,4.0,8.0,0.0
360639,18.0,2011-12-27 15:00:00,39,Wolves,Away,107.0,7.0,,,,1.0,,63.0,1.0,,,8.0,14.0,20.0,170.0,,2.0,18.0,13.0,6.0,3.0,,,,,,,,,,,,4.0,,,,,,,18.0,9.0,3.0,3.0,,45.0,38.0,,,1.0,1.0,3.0,9.0,1.0,3.0,4.0,,,10.0,4.0,46.0,28.0,1.0,20.0,8.0,,,48.0,12.0,3.0,1.0,,,,,111.0,,,,,,,8.0,,,,2.0,,,,,20.0,,30.0,21.0,6.0,,46.0,61.0,25.0,13.0,,1.0,2.0,1.0,227.0,,,10.0,,,22.0,34.0,12.0,,,,,,141.0,111.0,1.0,20.0,12.0,26.7,,1.0,1.0,0.0,,,,44.0,6.0,4.0,9.0,,1.0,,2.0,,3.0,33.0,164.0,3.0,122.0,19.0,50.0,4.0,3.0,7.0,4.0,,70.0,5.0,131.0,2.0,,23.0,15.0,49.0,2.0,246.0,,1.0,6.0,17.0,2.0,20.0,3.0,437.0,12.0,12.0,2.0,3.0,10.0,0.0
360650,19.0,2011-12-31 15:00:00,39,Wolves,Away,99.0,2.0,2.0,8.0,6.0,4.0,1.0,127.0,1.0,,4.0,29.0,24.0,32.0,218.0,,1.0,37.0,25.0,8.0,6.0,1.0,,,,,,,,,,,6.0,,,1.0,,,1.0,7.0,6.0,,,,67.0,50.0,1.0,,1.0,1.0,1.0,3.0,,6.0,11.0,4.0,,19.0,2.0,59.0,27.0,1.0,22.0,12.0,,,97.0,10.0,11.0,1.0,,2.0,2.0,,170.0,1.0,1.0,1.0,,1.0,,6.0,,,,2.0,,,,1.0,24.0,1.0,12.0,11.0,2.0,4.0,49.0,106.0,46.0,3.0,,5.0,3.0,2.0,,,,1.0,,,52.0,42.0,21.0,,,,,,202.0,174.0,,15.0,18.0,48.6,1.0,,,0.0,,,,41.0,6.0,1.0,,,1.0,,6.0,,3.0,76.0,,8.0,121.0,12.0,50.0,4.0,6.0,23.0,17.0,,143.0,11.0,229.0,2.0,,61.0,24.0,68.0,7.0,327.0,,0.0,9.0,7.0,1.0,43.0,0.0,552.0,,10.0,1.0,6.0,4.0,0.0
360668,20.0,2012-01-02 15:00:00,39,Wolves,Home,100.0,9.0,,3.0,3.0,3.0,1.0,123.0,7.0,,2.0,10.0,22.0,23.0,220.0,,,16.0,7.0,1.0,4.0,3.0,,,,,,,,,,,5.0,,,,1.0,,3.0,10.0,7.0,,,,53.0,47.0,2.0,2.0,,1.0,1.0,5.0,,,5.0,3.0,,13.0,1.0,41.0,25.0,1.0,5.0,1.0,,,93.0,11.0,8.0,,,3.0,2.0,,135.0,1.0,,,1.0,,,15.0,,,1.0,,,,,,5.0,1.0,23.0,18.0,6.0,3.0,65.0,87.0,35.0,5.0,1.0,4.0,4.0,4.0,,,,4.0,2.0,,48.0,36.0,17.0,,,,,,159.0,145.0,5.0,22.0,12.0,35.3,1.0,,1.0,0.0,,,,62.0,3.0,2.0,,,1.0,,4.0,1.0,3.0,48.0,,8.0,117.0,23.0,19.0,6.0,,10.0,10.0,,102.0,12.0,208.0,,,40.0,23.0,65.0,1.0,315.0,,0.0,9.0,15.0,,19.0,3.0,482.0,,10.0,1.0,,13.0,0.0
