playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,awayGoals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,offsides,foulWonPenalty,throwInsToOppositionPlayer,successfulCornersIntoBox,penaltiesConceded,lastPlayerTackle,redCards2ndYellow,leftFootGoals,secondGoalAssists,setPiecesGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,headedGoals,punches,catches,savesMade,goalkeeperSmother,savesMadeFromOutsideBox,crossesNotClaimed,goalKicks,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,penaltiesFaced,savesMadeParried,savesMadeFromInsideBox,penaltiesTaken,penaltyGoals,drops,penaltiesSaved,savesFromPenalty,ownGoalScored,otherGoals
43274,Gervinho,Forward,Arsenal,3,Cote d’Ivoire,2012-13,80.0,1.0,2.2282,0.0,9.0,9.0,9.0,4.9067,9.0,25.0,2.0,54.0,18.0,3.0,17.0,12.0,54.0,17.0,355.0,5.0,1.0,2.0,6.0,1.0,15.0,1.0,,1.0,9.0,1018.0,9.0,2.0,10.0,48.0,1.0,43.0,301.0,101.0,1.0,10.3833,12.0,,2.0,9.0,11.0,70.0,89.0,11.0,0.0,128.0,4.0,59.0,56.0,18.0,,4.0,1.0,43.0,249.0,8.0,17.0,65.0,11.0,113.0,5.0,0.0,354.0,16.0,17.0,170.0,8.0,23.0,,98.0,3.0,11.0,,,,109.0,574.0,1.0,10.0,,2.0,,53.0,1.0,4.7008,1.0,,5.0,8.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17733,Lukas Podolski,Forward,Arsenal,3,Germany,2012-13,129.0,8.0,4.4257,0.0,21.0,20.0,3.0,6.0523,32.0,33.0,19.0,145.0,33.0,9.0,117.0,25.0,152.0,25.0,941.0,11.0,2.0,21.0,8.0,2.0,77.0,,4.0,8.0,15.0,1999.0,15.0,7.0,52.0,85.0,5.0,60.0,780.0,106.0,2.0,24.5921,23.0,1.0,17.0,26.0,16.0,77.0,295.0,15.0,6.0,214.0,9.0,218.0,68.0,33.0,4.0,,7.0,12.0,625.0,21.0,26.0,31.0,16.0,137.0,25.0,0.0,936.0,13.0,16.0,245.0,25.0,13.0,2.0,152.0,32.0,15.0,1.0,1.0,9.0,276.0,1263.0,20.0,23.0,1.0,21.0,1.0,172.0,1.0,6.6398,1.0,7.0,22.0,9.0,,,,,,,9.0,1.0,2.0,16.0,8.0,0.5824,2.0,,,,,,,,,,,,,,,,,,,,
15675,Marouane Chamakh,Forward,Arsenal,3,Morocco,2012-13,18.0,,0.0513,0.0,,2.0,,1.5293,3.0,5.0,,24.0,3.0,,7.0,2.0,24.0,,67.0,,,,1.0,,27.0,,,,4.0,151.0,4.0,,11.0,22.0,1.0,6.0,42.0,11.0,,1.8553,4.0,,,4.0,,7.0,19.0,2.0,0.0,40.0,,23.0,7.0,3.0,,,1.0,,37.0,3.0,,6.0,,13.0,16.0,0.0,67.0,3.0,,36.0,2.0,1.0,,16.0,,,,,1.0,9.0,93.0,,2.0,,,,6.0,,1.1155,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44346,Olivier Giroud,Forward,Arsenal,3,France,2012-13,224.0,1.0,4.1898,1.0,19.0,38.0,,12.6108,19.0,88.0,16.0,244.0,34.0,3.0,138.0,24.0,251.0,23.0,697.0,11.0,1.0,12.0,10.0,1.0,232.0,8.0,15.0,1.0,41.0,2323.0,41.0,40.0,101.0,185.0,4.0,54.0,436.0,183.0,3.0,26.8197,31.0,,44.0,23.0,18.0,123.0,149.0,24.0,6.0,409.0,10.0,181.0,32.0,34.0,15.0,1.0,1.0,33.0,338.0,19.0,23.0,82.0,18.0,177.0,131.0,1.0,696.0,50.0,26.0,431.0,18.0,11.0,2.0,178.0,33.0,14.0,,,10.0,189.0,1146.0,3.0,4.0,6.0,12.0,,109.0,,13.7007,3.0,7.0,25.0,20.0,1.0,1.0,,,,,6.0,2.0,,2.0,1.0,0.0542,4.0,,,,,,,,,,,,,,,,,,,,
92372,Ryo Miyaichi,Forward,Arsenal,3,Japan,2012-13,9.0,4.0,,0.0,,,,,,,,6.0,4.0,,1.0,,7.0,4.0,32.0,,,,4.0,,2.0,,,4.0,,48.0,,,2.0,2.0,,2.0,25.0,5.0,,,,,,,,7.0,5.0,,0.0,11.0,,8.0,2.0,4.0,,,,4.0,23.0,,4.0,6.0,,9.0,,0.0,32.0,,3.0,19.0,,2.0,,9.0,1.0,1.0,,,,10.0,53.0,2.0,,,,,6.0,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133798,Serge Gnabry,Forward,Arsenal,3,Germany,2012-13,1.0,,0.1118,0.0,,,,,,2.0,2.0,3.0,1.0,,,,3.0,,9.0,,,,1.0,,1.0,,,,,8.0,,,1.0,1.0,,1.0,6.0,1.0,,,1.0,,,,,,1.0,1.0,0.0,2.0,,4.0,,1.0,,,,,2.0,,,,,1.0,,0.0,9.0,2.0,1.0,4.0,,,,4.0,,,,,,,13.0,,,,,,4.0,,0.0972,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20467,Theo Walcott,Forward,Arsenal,3,England,2012-13,138.0,13.0,4.5569,0.0,25.0,39.0,15.0,16.126,16.0,62.0,9.0,83.0,32.0,10.0,31.0,24.0,90.0,80.0,531.0,14.0,5.0,23.0,8.0,76.0,25.0,3.0,12.0,29.0,36.0,2282.0,36.0,3.0,18.0,105.0,6.0,98.0,433.0,167.0,3.0,30.5917,30.0,1.0,5.0,27.0,26.0,120.0,92.0,35.0,8.0,243.0,9.0,120.0,89.0,32.0,12.0,11.0,1.0,61.0,385.0,21.0,144.0,104.0,26.0,218.0,7.0,0.0,516.0,23.0,29.0,384.0,15.0,47.0,,167.0,10.0,11.0,56.0,,8.0,152.0,1086.0,2.0,9.0,3.0,23.0,3.0,85.0,3.0,10.963,3.0,7.0,6.0,26.0,1.0,,13.0,,,,3.0,2.0,,14.0,6.0,0.3339,,,,,,,,,,,,,,,,,,,,,
47412,Demba Ba,Forward,Chelsea,8,Senegal,2012-13,212.0,6.0,0.9688,0.0,36.0,54.0,9.0,3.1649,7.0,99.0,4.0,142.0,34.0,,62.0,30.0,149.0,20.0,680.0,15.0,6.0,8.0,4.0,,175.0,5.0,6.0,6.0,22.0,2538.0,22.0,7.0,99.0,157.0,4.0,81.0,505.0,168.0,1.0,8.3046,20.0,,21.0,43.0,22.0,113.0,188.0,65.0,2.0,369.0,9.0,149.0,63.0,34.0,6.0,10.0,1.0,23.0,388.0,39.0,20.0,81.0,22.0,194.0,76.0,0.0,672.0,45.0,22.0,330.0,6.0,9.0,1.0,154.0,32.0,8.0,,,26.0,189.0,1150.0,6.0,11.0,1.0,8.0,1.0,149.0,5.0,6.8605,0.0,7.0,20.0,15.0,1.0,,,,,,2.0,,1.0,,4.0,,3.0,,,,,,,,,,,,,,1.0,1.0,,,,1.0,
42786,Eden Hazard,Forward,Chelsea,8,Belgium,2012-13,201.0,8.0,6.5339,0.0,20.0,26.0,13.0,7.7682,28.0,43.0,9.0,211.0,34.0,11.0,50.0,31.0,226.0,49.0,1523.0,9.0,3.0,22.0,3.0,60.0,29.0,6.0,15.0,18.0,17.0,2636.0,17.0,8.0,23.0,175.0,4.0,169.0,1257.0,160.0,,28.104,54.0,3.0,6.0,26.0,14.0,178.0,439.0,79.0,4.0,376.0,6.0,440.0,151.0,34.0,15.0,4.0,6.0,66.0,1074.0,22.0,94.0,128.0,14.0,347.0,6.0,0.0,1496.0,17.0,31.0,528.0,22.0,62.0,,342.0,25.0,37.0,39.0,,40.0,302.0,2174.0,19.0,17.0,,22.0,3.0,241.0,,5.636,2.0,15.0,36.0,5.0,2.0,,8.0,,,,4.0,,,4.0,2.0,0.1545,1.0,,,,,,,,,,,,,,2.0,2.0,,,,,
14402,Fernando Torres,Forward,Chelsea,8,Spain,2012-13,291.0,8.0,3.3347,1.0,16.0,29.0,12.0,8.1413,32.0,52.0,7.0,188.0,36.0,6.0,44.0,28.0,200.0,31.0,656.0,8.0,3.0,11.0,8.0,2.0,191.0,7.0,6.0,8.0,37.0,2570.0,37.0,4.0,115.0,189.0,7.0,113.0,440.0,170.0,,34.3916,31.0,,32.0,31.0,16.0,176.0,189.0,40.0,8.0,480.0,5.0,166.0,61.0,36.0,6.0,6.0,5.0,52.0,377.0,24.0,31.0,120.0,16.0,289.0,76.0,0.0,653.0,23.0,22.0,439.0,27.0,41.0,,144.0,52.0,10.0,,,16.0,157.0,1145.0,1.0,6.0,1.0,11.0,2.0,87.0,3.0,8.5462,4.0,12.0,27.0,29.0,1.0,,,,,1.0,,1.0,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,
