playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,ownGoalScored,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCornersIntoBox,unsuccessfulCornersIntoBox,hitWoodwork,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,penaltiesConceded,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,secondGoalAssists,redCards2ndYellow,clearancesOffTheLine,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,foulWonPenalty,penaltiesTaken,penaltyGoals
155651,Adam Masina,Defender,Watford,57,Morocco,2018-19,50.0,3.0,0.2691,0.0,2.0,,,30.0,1.0,,60.0,14.0,1.0,,11.0,84.0,12.0,436.0,,1.0,2.0,3.0,16.0,38.0,2.0,,5.0,,1004.0,,,15.0,69.0,2.0,30.0,46.0,326.0,5.0,22.0,1.0,20.6295,,2.0,11.0,36.0,20.0,,35.0,149.0,10.0,119.0,15.0,192.0,52.0,14.0,,,13.0,,4.0,176.0,18.0,,26.0,,81.0,23.0,0.0,424.0,1.0,2.0,152.0,17.0,7.0,4.0,19.0,17.0,17.0,26.0,76.0,731.0,75.0,2.0,2.0,14.0,181.0,7.0,,0.0738,5.0,24.0,32.0,2.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
20145,Adrian Mariappa,Defender,Watford,57,Jamaica,2018-19,97.0,1.0,0.4417,0.0,2.0,1.0,0.1963,35.0,5.0,,68.0,26.0,,,20.0,157.0,,882.0,,1.0,,6.0,,117.0,5.0,,1.0,1.0,1924.0,1.0,,58.0,99.0,2.0,13.0,40.0,669.0,12.0,2.0,3.0,28.8879,,5.0,17.0,119.0,31.0,2.0,39.0,193.0,4.0,196.0,8.0,376.0,77.0,26.0,,,13.0,,1.0,184.0,29.0,,,2.0,79.0,59.0,0.0,863.0,4.0,2.0,171.0,22.0,1.0,15.0,260.0,19.0,25.0,56.0,53.0,1138.0,3.0,,,43.0,542.0,11.0,,0.6893,3.0,89.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241289,Ben Wilmot,Defender,Watford,57,England,2018-19,1.0,,0.0065,0.0,,,,,,,1.0,2.0,,,,3.0,,9.0,,,,2.0,,,,,,,26.0,,,,,,1.0,,3.0,,,,0.5067,,,2.0,1.0,2.0,,1.0,2.0,,1.0,1.0,7.0,3.0,2.0,,,,,,4.0,2.0,,,,1.0,,0.0,9.0,,,3.0,,,1.0,,,,3.0,,13.0,,,,2.0,2.0,,,,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85624,Christian Kabasele,Defender,Watford,57,Belgium,2018-19,78.0,,0.0528,1.0,4.0,2.0,0.4837,25.0,4.0,,73.0,21.0,,,19.0,143.0,1.0,550.0,,,1.0,2.0,,106.0,3.0,,,2.0,1587.0,2.0,1.0,46.0,99.0,3.0,9.0,39.0,362.0,18.0,,,27.5171,,2.0,10.0,106.0,26.0,3.0,32.0,141.0,14.0,177.0,5.0,245.0,60.0,21.0,,,11.0,,1.0,104.0,23.0,,1.0,3.0,71.0,60.0,0.0,542.0,2.0,3.0,156.0,14.0,,16.0,124.0,22.0,38.0,45.0,40.0,808.0,,2.0,1.0,36.0,303.0,8.0,1.0,1.4899,2.0,70.0,49.0,,,,,,,,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,
41338,Craig Cathcart,Defender,Watford,57,Northern Ireland,2018-19,117.0,,0.4018,0.0,4.0,5.0,2.0665,50.0,9.0,,109.0,36.0,,,35.0,237.0,3.0,1280.0,3.0,,1.0,1.0,,166.0,5.0,,,2.0,3098.0,2.0,,80.0,146.0,4.0,20.0,60.0,945.0,21.0,,4.0,52.0972,2.0,1.0,22.0,179.0,54.0,3.0,37.0,385.0,8.0,263.0,12.0,520.0,161.0,36.0,,,19.0,,1.0,303.0,50.0,3.0,3.0,3.0,97.0,86.0,0.0,1260.0,4.0,7.0,256.0,31.0,2.0,30.0,273.0,16.0,38.0,98.0,102.0,1676.0,3.0,4.0,1.0,61.0,740.0,11.0,,1.5302,2.0,128.0,80.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
52940,Daryl Janmaat,Defender,Watford,57,Netherlands,2018-19,56.0,14.0,2.122,0.0,5.0,1.0,0.0836,36.0,6.0,1.0,90.0,18.0,2.0,2.0,17.0,145.0,46.0,599.0,,1.0,3.0,1.0,,33.0,3.0,,14.0,1.0,1522.0,1.0,,13.0,71.0,2.0,21.0,51.0,408.0,22.0,30.0,,21.7165,,11.0,12.0,61.0,22.0,2.0,43.0,32.0,1.0,127.0,10.0,252.0,103.0,18.0,,,12.0,,7.0,231.0,20.0,,47.0,2.0,94.0,20.0,0.0,589.0,5.0,6.0,257.0,24.0,14.0,6.0,225.0,16.0,32.0,46.0,90.0,1032.0,92.0,2.0,3.0,23.0,237.0,11.0,,0.4748,3.0,55.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40868,José Holebas,Defender,Watford,57,Greece,2018-19,145.0,10.0,3.5093,1.0,6.0,5.0,2.3226,68.0,11.0,,157.0,28.0,6.0,,27.0,262.0,52.0,833.0,3.0,2.0,6.0,1.0,115.0,101.0,5.0,,42.0,2.0,2394.0,2.0,,40.0,164.0,3.0,53.0,103.0,527.0,24.0,88.0,3.0,37.3574,,32.0,12.0,79.0,39.0,,105.0,228.0,14.0,309.0,19.0,434.0,136.0,28.0,,1.0,28.0,2.0,23.0,354.0,36.0,,167.0,,208.0,61.0,1.0,788.0,6.0,27.0,607.0,40.0,22.0,8.0,43.0,34.0,22.0,44.0,128.0,1742.0,197.0,1.0,6.0,74.0,259.0,19.0,,0.9885,12.0,105.0,88.0,26.0,80.0,1.0,,,,,,,,,,,,,,,,,,,,0.2947,4.0,4.0,,,
54484,Kiko Femenía,Defender,Watford,57,Spain,2018-19,68.0,13.0,2.063,0.0,3.0,2.0,0.5753,49.0,3.0,,107.0,29.0,1.0,1.0,22.0,155.0,43.0,925.0,1.0,3.0,3.0,7.0,7.0,25.0,3.0,1.0,14.0,,2046.0,,1.0,12.0,88.0,3.0,37.0,75.0,739.0,20.0,24.0,4.0,40.0616,,12.0,10.0,63.0,40.0,,56.0,41.0,14.0,156.0,17.0,342.0,128.0,29.0,1.0,1.0,18.0,,9.0,424.0,37.0,,50.0,,131.0,13.0,0.0,910.0,1.0,11.0,274.0,31.0,13.0,6.0,366.0,12.0,36.0,31.0,176.0,1464.0,162.0,3.0,3.0,33.0,360.0,2.0,2.0,0.417,1.0,48.0,48.0,1.0,5.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
220166,Marc Navarro,Defender,Watford,57,Spain,2018-19,4.0,1.0,0.0032,0.0,,,,4.0,,,2.0,2.0,,,1.0,4.0,4.0,23.0,,,,1.0,,2.0,,,1.0,,85.0,,,2.0,5.0,,1.0,5.0,18.0,1.0,2.0,,1.5233,,,,2.0,2.0,,2.0,,,9.0,,6.0,4.0,2.0,,,2.0,,,5.0,2.0,,4.0,,7.0,,0.0,23.0,,2.0,11.0,2.0,1.0,,9.0,1.0,,1.0,8.0,45.0,4.0,1.0,,1.0,15.0,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52153,Miguel Britos,Defender,Watford,57,Uruguay,2018-19,9.0,,0.0046,0.0,,,,4.0,,,7.0,3.0,,,2.0,12.0,1.0,59.0,,,,1.0,,8.0,,,,,185.0,,,3.0,11.0,1.0,,6.0,42.0,,,,5.2817,,,2.0,10.0,5.0,,6.0,21.0,1.0,20.0,,28.0,13.0,3.0,,,2.0,,2.0,15.0,4.0,,1.0,,12.0,5.0,0.0,58.0,,,16.0,2.0,1.0,1.0,6.0,3.0,3.0,5.0,4.0,86.0,,1.0,,2.0,32.0,1.0,,,0.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
