playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,awayGoals,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,offsides,throwInsToOppositionPlayer,successfulLaunches,throwInsToOwnPlayer,handballsConceded,headedGoals,catches,savesMade,goalkeeperSmother,savesMadeFromOutsideBox,goalKicks,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,goalAssists,clearancesOffTheLine,throughBalls,leftFootGoals,hitWoodwork,penaltiesSaved,penaltiesFaced,penaltiesConceded,savesFromPenalty,punches,ownGoalScored,drops,crossesNotClaimed,cornersTakenInclShortCorners,expectedGoalsFreekick,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,foulWonPenalty,redCards2ndYellow,secondGoalAssists,penaltiesTaken,penaltyGoals
20145,Adrian Mariappa,Defender,Watford,57,Jamaica,2016-17,25.0,,0.1001,0.0,,,,17.0,2.0,31.0,7.0,,6.0,44.0,1.0,244.0,,,,1.0,38.0,1.0,,,,561.0,,,14.0,45.0,3.0,8.0,21.0,183.0,5.0,,8.0646,1.0,52.0,13.0,,11.0,47.0,3.0,0.0,70.0,5.0,,113.0,30.0,7.0,,,2.0,1.0,53.0,10.0,1.0,2.0,,32.0,24.0,0.0,241.0,2.0,1.0,55.0,15.0,1.0,6.0,63.0,4.0,15.0,17.0,21.0,365.0,,,10.0,147.0,3.0,0.1575,0.0,13.0,20.0,2.0,6.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243531,Andrew Eleftheriou,Defender,Watford,57,England,2016-17,1.0,,0.0018,0.0,,,,2.0,,1.0,1.0,,,2.0,1.0,14.0,,,,1.0,,,,,,51.0,,,,2.0,,,2.0,12.0,,,1.9333,1.0,,2.0,,1.0,,,0.0,3.0,,,8.0,3.0,1.0,,,1.0,1.0,6.0,2.0,1.0,1.0,,3.0,,0.0,14.0,,,7.0,1.0,,,5.0,,2.0,,1.0,26.0,,,1.0,6.0,,,0.0,1.0,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231172,Brandon Mason,Defender,Watford,57,England,2016-17,3.0,,0.0033,0.0,,,,1.0,,4.0,2.0,,1.0,5.0,,29.0,,,,1.0,,,,,,112.0,,,,4.0,,1.0,4.0,23.0,,,4.4048,,3.0,5.0,,3.0,5.0,2.0,0.0,7.0,,,14.0,6.0,2.0,,,,,9.0,5.0,,,,7.0,,0.0,29.0,,,7.0,1.0,1.0,,3.0,3.0,3.0,1.0,7.0,52.0,,,1.0,15.0,1.0,,0.0,1.0,4.0,,2.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221286,Charlie Rowan,Defender,Watford,57,England,2016-17,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85624,Christian Kabasele,Defender,Watford,57,Belgium,2016-17,43.0,3.0,0.1758,0.0,2.0,3.0,2.0284,15.0,5.0,37.0,16.0,2.0,7.0,83.0,7.0,238.0,2.0,2.0,1.0,9.0,37.0,1.0,,3.0,1.0,767.0,1.0,,19.0,39.0,2.0,15.0,21.0,131.0,9.0,1.0,10.1495,3.0,40.0,15.0,1.0,24.0,35.0,4.0,0.0,82.0,8.0,0.0,117.0,26.0,16.0,,1.0,3.0,4.0,67.0,13.0,7.0,4.0,1.0,45.0,18.0,0.0,233.0,2.0,4.0,119.0,12.0,2.0,2.0,65.0,13.0,17.0,24.0,21.0,410.0,4.0,1.0,23.0,91.0,8.0,1.3315,1.0,46.0,19.0,,20.0,7.0,19.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41338,Craig Cathcart,Defender,Watford,57,Northern Ireland,2016-17,38.0,2.0,0.9127,0.0,,1.0,0.3129,23.0,3.0,46.0,15.0,,13.0,89.0,2.0,364.0,,,,2.0,38.0,2.0,,2.0,1.0,1161.0,1.0,,15.0,49.0,2.0,21.0,26.0,240.0,9.0,1.0,19.5799,3.0,52.0,21.0,,23.0,30.0,2.0,0.0,87.0,11.0,,145.0,48.0,15.0,,,8.0,3.0,97.0,19.0,2.0,3.0,,49.0,23.0,0.0,358.0,2.0,1.0,113.0,15.0,1.0,14.0,156.0,13.0,18.0,35.0,33.0,566.0,2.0,,27.0,180.0,12.0,0.1544,3.0,43.0,30.0,,14.0,10.0,38.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
52940,Daryl Janmaat,Defender,Watford,57,Netherlands,2016-17,89.0,13.0,1.5552,0.0,7.0,8.0,2.0383,45.0,19.0,114.0,27.0,2.0,18.0,158.0,39.0,604.0,2.0,2.0,4.0,9.0,42.0,1.0,5.0,13.0,1.0,1615.0,1.0,,21.0,85.0,5.0,29.0,64.0,403.0,31.0,1.0,24.1205,12.0,35.0,33.0,3.0,68.0,82.0,3.0,0.0,174.0,14.0,0.0,264.0,102.0,27.0,5.0,1.0,14.0,17.0,217.0,28.0,39.0,33.0,3.0,132.0,21.0,0.0,593.0,11.0,9.0,295.0,31.0,16.0,3.0,155.0,17.0,20.0,43.0,103.0,1035.0,6.0,4.0,27.0,242.0,10.0,1.6624,2.0,44.0,48.0,5.0,24.0,9.0,89.0,1.0,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
40868,José Holebas,Defender,Watford,57,Greece,2016-17,162.0,17.0,3.3198,0.0,11.0,7.0,2.5032,62.0,17.0,196.0,33.0,9.0,33.0,291.0,73.0,1158.0,2.0,2.0,10.0,,75.0,6.0,4.0,34.0,1.0,2909.0,1.0,,28.0,176.0,8.0,58.0,129.0,821.0,21.0,2.0,52.273,32.0,114.0,61.0,1.0,134.0,321.0,24.0,1.0,338.0,14.0,0.0,571.0,225.0,33.0,4.0,,20.0,30.0,484.0,53.0,130.0,70.0,1.0,263.0,47.0,0.0,1098.0,10.0,23.0,688.0,42.0,43.0,10.0,71.0,43.0,55.0,46.0,195.0,2198.0,5.0,10.0,56.0,417.0,24.0,1.1065,14.0,95.0,89.0,1.0,141.0,18.0,195.0,1.0,,,,,,,,,,,,4.0,1.0,,2.0,,,,,,,,,,56.0,0.3967,8.0,5.0,5.0,36.0,,,,,
42738,Juan Zuñiga,Defender,Watford,57,Colombia,2016-17,34.0,1.0,0.4916,0.0,3.0,1.0,0.857,19.0,3.0,47.0,21.0,3.0,6.0,68.0,10.0,358.0,1.0,0.0,1.0,15.0,17.0,,,1.0,,813.0,,,7.0,54.0,3.0,14.0,44.0,271.0,10.0,1.0,11.6371,5.0,22.0,15.0,2.0,27.0,69.0,22.0,1.0,88.0,8.0,1.0,129.0,44.0,21.0,,1.0,3.0,4.0,163.0,12.0,10.0,13.0,2.0,71.0,10.0,0.0,344.0,2.0,4.0,118.0,16.0,3.0,,106.0,5.0,18.0,19.0,54.0,571.0,5.0,1.0,16.0,128.0,4.0,0.5095,1.0,21.0,26.0,,16.0,5.0,47.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,
52153,Miguel Britos,Defender,Watford,57,Uruguay,2016-17,106.0,2.0,1.143,2.0,5.0,5.0,1.1736,34.0,13.0,150.0,27.0,,27.0,321.0,10.0,1025.0,1.0,0.0,1.0,,131.0,4.0,,2.0,4.0,2283.0,4.0,,45.0,143.0,2.0,32.0,57.0,610.0,33.0,1.0,33.5763,5.0,144.0,36.0,4.0,61.0,256.0,24.0,1.0,249.0,8.0,1.0,551.0,140.0,27.0,,,3.0,3.0,265.0,34.0,10.0,8.0,4.0,118.0,86.0,0.0,980.0,8.0,8.0,364.0,31.0,4.0,18.0,133.0,36.0,49.0,94.0,85.0,1416.0,3.0,1.0,115.0,441.0,17.0,1.6191,6.0,171.0,88.0,2.0,20.0,38.0,15.0,,1.0,,,,,,,,,,,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,2.0,,,
