playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,awayGoals,goalKicks,savesMadeCaught,aerialDuels,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesSaved,goalAssists,cleanSheets,aerialDuelsLost,putthroughBlockedDistribution,savesFromPenalty,goalkeeperSmother,drops,crossesNotClaimed,successfulCrossesOpenPlay,fiftyFifty,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,successfulFiftyFifty,unsuccessfulCrossesOpenPlay,offsides,substituteOn,cornersTakenInclShortCorners,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,shotsBlockedInBox,putthroughBlockedDistributionWon,tacklesLost,lastPlayerTackle,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,blocks,unsuccessfulCornersIntoBox,backwardPasses,throwInsToOwnPlayer,substituteOff,expectedGoals,secondGoalAssists,overruns,oboxBlocked,shotsBlockedOutsideBox,ownGoalScored,hitWoodwork,handballsConceded,goals,leftFootGoals,redCards2ndYellow,clearancesOffTheLine,successfulLayoffs,shotsOnTargetOutsideBox,unsuccessfulLayoffs,oboxTarget,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,headedGoals,rightFootGoals,foulWonPenalty,penaltiesTaken,penaltyGoals
38290,Danny Rose,Defender,Watford,57,England,2021-22,38.0,0.4663,0.0,,,43.0,8.0,7.0,72.0,227.0,0.0,,,12.0,,689.0,43.0,3.0,1.0,39.0,133.0,,,12.9871,2.0,9.0,16.0,30.0,63.0,,14.0,0.0,81.0,0.0,129.0,41.0,8.0,90.0,13.0,69.0,4.0,0.0,,213.0,130.0,9.0,,,11.0,10.0,14.0,22.0,443.0,15.0,67.0,7.0,,4.0,29.0,30.0,,,,8.0,14.0,,,,,1.0,20.0,1.0,1.0,0.0403,16.0,3.0,4.0,15.0,11.0,1.0,1.0,8.0,2.0,1.0,1.0,1.0,3.0,17.0,5.0,1.0,3.0,6.0,1.0,6.0,22.0,7.0,1.0,2.0,4.0,10.0,5.0,7.0,24.0,70.0,1.0,0.2256,1.0,,,,,,,,,,,,,,,,,,,,,,
232391,Jeremy Ngakia,Defender,Watford,57,DR Congo,2021-22,56.0,0.5896,0.0,,,64.0,16.0,9.0,88.0,336.0,0.0,,,34.0,,900.0,62.0,1.0,,46.0,229.0,,2.0,15.8278,4.0,30.0,19.0,38.0,25.0,,6.0,0.0,118.0,0.0,178.0,56.0,16.0,120.0,18.0,84.0,16.0,0.0,,330.0,144.0,9.0,,,90.0,10.0,12.0,19.0,592.0,10.0,132.0,8.0,,0.0,24.0,35.0,,,1.0,18.0,22.0,,,,,3.0,30.0,1.0,,,31.0,4.0,1.0,18.0,19.0,,7.0,3.0,4.0,,,1.0,2.0,8.0,4.0,,7.0,13.0,1.0,8.0,21.0,13.0,,4.0,9.0,18.0,4.0,2.0,43.0,70.0,4.0,0.0858,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
208973,Francisco Sierralta,Defender,Watford,57,Chile,2021-22,8.0,0.004,0.0,,,22.0,5.0,5.0,40.0,182.0,0.0,,,16.0,,428.0,27.0,1.0,,12.0,138.0,,1.0,9.2124,1.0,34.0,9.0,7.0,65.0,,3.0,0.0,35.0,0.0,56.0,17.0,5.0,18.0,8.0,19.0,15.0,0.0,,179.0,42.0,2.0,,,51.0,4.0,6.0,4.0,254.0,10.0,124.0,1.0,,0.0,18.0,15.0,,,,1.0,6.0,,,,,,10.0,,1.0,0.2139,7.0,1.0,,4.0,,,,,,1.0,1.0,,2.0,,,,5.0,4.0,,,,,,,1.0,3.0,2.0,,10.0,,1.0,0.0568,,,,,1.0,,,,,,,,,,,,,,,,,,
131304,William Troost-Ekong,Defender,Watford,57,Nigeria,2021-22,42.0,0.0783,0.0,,,61.0,17.0,15.0,137.0,601.0,0.0,,,47.0,,1388.0,45.0,4.0,1.0,21.0,397.0,,2.0,24.7517,9.0,81.0,30.0,19.0,109.0,,2.0,0.0,87.0,0.0,241.0,74.0,17.0,127.0,26.0,40.0,24.0,0.0,,589.0,144.0,1.0,,,202.0,13.0,7.0,67.0,762.0,29.0,337.0,10.0,,3.0,76.0,42.0,,,,23.0,18.0,,,,,,15.0,,,,18.0,2.0,,9.0,,1.0,2.0,,,,,,7.0,,1.0,,10.0,9.0,2.0,1.0,,1.0,,2.0,,9.0,14.0,,49.0,2.0,,0.1139,,,,,,,,,,,,,,,,,,,,,,,
155651,Adam Masina,Defender,Udinese,136,Morocco,2021-22,50.0,0.6861,0.0,,,67.0,15.0,13.0,128.0,422.0,0.0,,,46.0,,1076.0,66.0,3.0,1.0,37.0,263.0,,2.0,23.0389,7.0,40.0,26.0,33.0,121.0,,4.0,0.0,116.0,0.0,212.0,70.0,15.0,138.0,23.0,70.0,29.0,0.0,,415.0,187.0,9.0,,,19.0,14.0,18.0,31.0,700.0,27.0,164.0,8.0,,0.0,61.0,43.0,,1.0,1.0,17.0,19.0,,,,,7.0,21.0,1.0,,,24.0,4.0,,11.0,15.0,,2.0,4.0,8.0,,,,5.0,23.0,6.0,,12.0,11.0,,2.0,22.0,3.0,,4.0,,13.0,6.0,4.0,70.0,73.0,2.0,0.3177,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
52775,Nicolas Nkoulou,Defender,Sakaryaspor,3078,Cameroon,2021-22,2.0,0.0041,0.0,,,5.0,3.0,2.0,7.0,57.0,0.0,,,2.0,,168.0,4.0,1.0,,2.0,46.0,,,2.994,,8.0,2.0,2.0,23.0,,,0.0,6.0,0.0,16.0,9.0,3.0,14.0,1.0,4.0,2.0,0.0,,57.0,8.0,1.0,,,10.0,1.0,2.0,4.0,75.0,1.0,36.0,1.0,,0.0,2.0,1.0,,,,,2.0,,,,,,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,1.0,,,,,1.0,,8.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
171099,Hassane Kamara,Defender,Watford,57,Cote d’Ivoire,2021-22,75.0,0.6712,1.0,,,115.0,19.0,18.0,209.0,708.0,1.0,,,45.0,,1625.0,114.0,5.0,1.0,84.0,470.0,,3.0,27.1379,4.0,60.0,37.0,60.0,205.0,,16.0,0.0,189.0,0.0,374.0,153.0,19.0,212.0,32.0,144.0,30.0,0.0,,703.0,321.0,15.0,,,39.0,24.0,69.0,29.0,1238.0,57.0,292.0,14.0,,3.0,94.0,96.0,,,3.0,15.0,46.0,,,,,5.0,57.0,1.0,1.0,0.3886,53.0,4.0,3.0,34.0,17.0,,1.0,,5.0,,,,9.0,49.0,10.0,,16.0,19.0,,15.0,18.0,21.0,,3.0,9.0,34.0,4.0,,90.0,133.0,2.0,0.1679,,4.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
41338,Craig Cathcart,Defender,Watford,57,Northern Ireland,2021-22,64.0,0.4357,0.0,,,83.0,31.0,27.0,169.0,903.0,0.0,,,82.0,,2395.0,84.0,8.0,,36.0,649.0,,4.0,42.3095,10.0,129.0,55.0,30.0,215.0,,4.0,0.0,148.0,0.0,334.0,127.0,31.0,189.0,47.0,66.0,48.0,0.0,,892.0,195.0,,,,269.0,13.0,28.0,85.0,1226.0,45.0,546.0,8.0,,3.0,86.0,64.0,,1.0,3.0,34.0,15.0,,,,,1.0,38.0,1.0,,,32.0,2.0,,22.0,3.0,,4.0,,1.0,,,,11.0,12.0,2.0,1.0,10.0,17.0,,1.0,3.0,3.0,1.0,2.0,,15.0,29.0,,85.0,32.0,3.0,0.2179,,,,,,,,,,,1.0,,,,,,,,,,,,
54484,Kiko Femenía,Defender,Villarreal,449,Spain,2021-22,55.0,2.288,0.0,,,155.0,27.0,26.0,231.0,877.0,0.0,,,26.0,,2149.0,67.0,7.0,,55.0,613.0,,3.0,38.4247,16.0,51.0,49.0,41.0,40.0,,13.0,0.0,122.0,0.0,439.0,135.0,27.0,356.0,42.0,96.0,12.0,0.0,,855.0,417.0,7.0,,,248.0,12.0,37.0,33.0,1481.0,38.0,314.0,4.0,,2.0,76.0,87.0,,5.0,2.0,14.0,39.0,,,,,11.0,58.0,2.0,1.0,0.1863,35.0,1.0,,32.0,51.0,2.0,1.0,37.0,24.0,1.0,1.0,10.0,11.0,45.0,20.0,,16.0,13.0,,7.0,82.0,14.0,,,15.0,22.0,8.0,27.0,150.0,197.0,9.0,0.1163,,,2.0,2.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,
162651,Samir,Defender,Watford,57,Brazil,2021-22,66.0,0.1255,0.0,,,46.0,19.0,19.0,129.0,667.0,0.0,,,82.0,,1675.0,89.0,5.0,,41.0,499.0,,3.0,26.9196,16.0,81.0,36.0,32.0,182.0,,16.0,0.0,155.0,0.0,265.0,103.0,19.0,106.0,31.0,73.0,48.0,0.0,,655.0,141.0,2.0,,,155.0,17.0,43.0,39.0,899.0,43.0,432.0,7.0,,4.0,83.0,44.0,,,3.0,34.0,13.0,,,,,,57.0,4.0,2.0,0.0761,24.0,4.0,,31.0,,,,,,2.0,2.0,,10.0,,2.0,4.0,10.0,13.0,,1.0,,4.0,4.0,2.0,2.0,11.0,11.0,,65.0,,3.0,0.5018,,,,,,,,,,,1.0,,,,,,,,,,,,
