playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,oboxBlocked,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,otherGoals,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,throwInsToOppositionPlayer,foulWonPenalty,headedGoals,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,ownGoalScored,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,drops,penaltiesTaken,redCards2ndYellow,penaltyGoals
20145,Adrian Mariappa,Defender,Watford,57,Jamaica,2017-18,130.0,,0.2898,0.0,2.0,2.0,0.2147,45.0,8.0,,135.0,28.0,,1.0,24.0,221.0,4.0,961.0,,,,165.0,6.0,,,2.0,2208.0,2.0,,75.0,149.0,5.0,,22.0,59.0,686.0,18.0,38.7857,4.0,16.0,129.0,43.0,2.0,55.0,173.0,16.0,279.0,9.0,448.0,111.0,28.0,,,19.0,,4.0,256.0,38.0,4.0,,2.0,114.0,90.0,0.0,951.0,6.0,2.0,264.0,26.0,2.0,16.0,268.0,32.0,45.0,1.0,54.0,72.0,1342.0,34.0,3.0,,,53.0,484.0,14.0,,0.6569,4.0,86.0,82.0,4.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,
85624,Christian Kabasele,Defender,Watford,57,Belgium,2017-18,93.0,,0.2578,0.0,,5.0,0.6105,42.0,10.0,,125.0,28.0,,,27.0,228.0,1.0,903.0,2.0,,,149.0,6.0,,,3.0,2332.0,3.0,1.0,46.0,164.0,6.0,1.0,21.0,61.0,611.0,26.0,38.1655,3.0,17.0,173.0,43.0,,47.0,223.0,16.0,257.0,14.0,457.0,98.0,28.0,,,17.0,,,232.0,37.0,1.0,,,108.0,103.0,0.0,875.0,5.0,1.0,244.0,25.0,3.0,23.0,173.0,31.0,34.0,2.0,64.0,50.0,1265.0,2.0,3.0,,,62.0,443.0,11.0,1.0,0.7144,5.0,103.0,78.0,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,
41338,Craig Cathcart,Defender,Watford,57,Northern Ireland,2017-18,10.0,,0.032,0.0,,1.0,0.0311,8.0,2.0,,15.0,7.0,,,5.0,42.0,,185.0,,,,16.0,1.0,,,1.0,495.0,1.0,,6.0,20.0,,,3.0,10.0,119.0,3.0,4.2299,,10.0,38.0,6.0,,4.0,47.0,1.0,30.0,2.0,81.0,32.0,7.0,,,3.0,,1.0,45.0,6.0,,,,14.0,10.0,0.0,181.0,1.0,1.0,44.0,5.0,1.0,6.0,40.0,2.0,3.0,,24.0,17.0,250.0,,1.0,,,18.0,98.0,2.0,,0.1385,1.0,27.0,13.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
52940,Daryl Janmaat,Defender,Watford,57,Netherlands,2017-18,82.0,16.0,1.312,0.0,5.0,10.0,3.5207,46.0,19.0,,118.0,23.0,,1.0,21.0,185.0,52.0,768.0,3.0,1.0,2.0,44.0,2.0,2.0,16.0,5.0,1822.0,5.0,,17.0,86.0,2.0,,28.0,59.0,529.0,23.0,31.1457,12.0,13.0,53.0,37.0,3.0,65.0,37.0,4.0,168.0,11.0,343.0,114.0,23.0,2.0,1.0,15.0,1.0,12.0,335.0,35.0,52.0,,3.0,124.0,27.0,0.0,766.0,9.0,7.0,331.0,31.0,10.0,5.0,264.0,14.0,33.0,,54.0,124.0,1300.0,151.0,4.0,1.0,2.0,32.0,264.0,13.0,,1.8419,3.0,67.0,48.0,2.0,49.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
40868,José Holebas,Defender,Watford,57,Greece,2017-18,142.0,13.0,3.6858,0.0,7.0,3.0,0.3028,51.0,10.0,,194.0,28.0,4.0,,26.0,303.0,81.0,958.0,,1.0,6.0,80.0,5.0,3.0,44.0,,2381.0,,,35.0,136.0,4.0,2.0,71.0,91.0,600.0,14.0,40.5418,35.0,21.0,81.0,47.0,1.0,107.0,264.0,18.0,278.0,16.0,514.0,160.0,28.0,3.0,,20.0,,24.0,393.0,43.0,166.0,,1.0,198.0,45.0,0.0,918.0,7.0,26.0,702.0,31.0,23.0,8.0,50.0,37.0,29.0,,55.0,130.0,1890.0,202.0,2.0,,6.0,72.0,306.0,21.0,1.0,0.5865,7.0,109.0,73.0,2.0,142.0,,,92.0,25.0,60.0,,0.1453,2.0,2.0,,,,,,,,,,,,,,,,
209420,Joy Mukena,Defender,Watford,57,England,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54484,Kiko Femenía,Defender,Watford,57,Spain,2017-18,53.0,15.0,2.0549,0.0,2.0,3.0,0.5834,36.0,7.0,1.0,90.0,23.0,1.0,2.0,19.0,133.0,44.0,794.0,1.0,2.0,1.0,26.0,3.0,1.0,15.0,1.0,1714.0,1.0,,16.0,92.0,5.0,,40.0,82.0,633.0,23.0,31.427,17.0,8.0,30.0,34.0,1.0,37.0,60.0,21.0,145.0,13.0,252.0,108.0,23.0,1.0,1.0,8.0,,7.0,410.0,29.0,45.0,,1.0,119.0,10.0,0.0,790.0,4.0,11.0,247.0,28.0,25.0,2.0,323.0,7.0,34.0,,28.0,159.0,1246.0,131.0,6.0,,1.0,25.0,266.0,,2.0,0.3645,2.0,43.0,57.0,4.0,18.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
66247,Marvin Zeegelaar,Defender,Watford,57,Netherlands,2017-18,52.0,9.0,0.8036,1.0,,,,23.0,,1.0,68.0,12.0,1.0,1.0,12.0,85.0,28.0,422.0,,,,21.0,2.0,,10.0,,995.0,,,8.0,59.0,4.0,,31.0,46.0,321.0,12.0,17.3408,6.0,5.0,25.0,17.0,,44.0,134.0,9.0,111.0,4.0,208.0,63.0,12.0,,,5.0,,5.0,196.0,13.0,28.0,,,90.0,13.0,1.0,416.0,,11.0,180.0,18.0,15.0,1.0,11.0,17.0,20.0,,16.0,69.0,727.0,89.0,1.0,,,12.0,151.0,11.0,1.0,,4.0,17.0,21.0,,35.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
52153,Miguel Britos,Defender,Watford,57,Uruguay,2017-18,35.0,1.0,0.6878,1.0,,2.0,0.946,15.0,4.0,,44.0,12.0,,,10.0,75.0,4.0,388.0,1.0,,,46.0,2.0,1.0,1.0,,798.0,,,19.0,50.0,2.0,,14.0,23.0,276.0,6.0,16.9012,3.0,11.0,44.0,16.0,,16.0,130.0,6.0,85.0,8.0,168.0,45.0,12.0,1.0,,4.0,,2.0,130.0,14.0,4.0,,,39.0,27.0,1.0,376.0,2.0,1.0,91.0,11.0,2.0,1.0,54.0,8.0,12.0,,37.0,36.0,510.0,4.0,2.0,,,13.0,184.0,5.0,,0.8163,3.0,31.0,18.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
103127,Molla Wagué,Defender,Watford,57,Mali,2017-18,14.0,1.0,0.0228,0.0,,1.0,0.4477,5.0,3.0,,20.0,6.0,,,5.0,37.0,,145.0,1.0,,,22.0,,,1.0,,440.0,,,6.0,22.0,,1.0,2.0,6.0,95.0,3.0,7.1984,,7.0,30.0,8.0,,8.0,21.0,1.0,36.0,1.0,70.0,17.0,6.0,,1.0,2.0,,,41.0,8.0,,,,14.0,16.0,0.0,141.0,2.0,,41.0,3.0,,,47.0,5.0,9.0,,13.0,7.0,205.0,,2.0,,,15.0,68.0,2.0,,0.4032,0.0,17.0,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
