playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,oboxBlocked,unsuccessfulLayoffs,successfulCornersIntoBox,leftFootGoals,clearancesOffTheLine,shotsBlockedOutsideBox,handballsConceded,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,penaltiesConceded,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,foulWonPenalty,headedGoals,otherGoals,secondGoalAssists,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,hitWoodwork,penaltiesTaken,penaltyGoals,setPiecesGoals,redCards2ndYellow,ownGoalScored
15237,Andrew Surman,Midfielder,Bournemouth,91,England,2017-18,88.0,,1.5385,0.0,4.0,6.0,1.9168,16.0,14.0,2.0,138.0,25.0,5.0,17.0,20.0,184.0,6.0,1177.0,2.0,1.0,5.0,18.0,80.0,5.0,3.0,4.0,1.0,1852.0,1.0,45.0,75.0,3.0,34.0,40.0,927.0,10.0,,1.0,25.8341,11.0,2.0,49.0,29.0,,43.0,337.0,14.0,163.0,21.0,386.0,123.0,25.0,3.0,,4.0,6.0,536.0,26.0,17.0,,83.0,35.0,0.0,1133.0,8.0,5.0,236.0,12.0,13.0,12.0,323.0,9.0,16.0,11.0,66.0,131.0,1423.0,,1.0,14.0,461.0,5.0,1.1804,2.0,46.0,51.0,4.0,1.0,2.0,2.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40387,Dan Gosling,Midfielder,Bournemouth,91,England,2017-18,177.0,3.0,1.6494,0.0,4.0,8.0,2.2955,50.0,18.0,1.0,192.0,28.0,1.0,18.0,21.0,242.0,3.0,1062.0,2.0,2.0,7.0,1.0,112.0,1.0,1.0,3.0,5.0,1943.0,5.0,58.0,147.0,5.0,59.0,93.0,781.0,25.0,1.0,1.0,35.0832,16.0,2.0,25.0,41.0,2.0,119.0,285.0,25.0,324.0,28.0,438.0,151.0,28.0,1.0,1.0,25.0,6.0,440.0,36.0,3.0,2.0,212.0,54.0,0.0,1034.0,10.0,3.0,323.0,25.0,18.0,8.0,222.0,38.0,25.0,,39.0,117.0,1392.0,2.0,2.0,22.0,383.0,17.0,2.0602,8.0,50.0,73.0,2.0,,,1.0,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
122342,Emerson Hyndman,Midfielder,Bournemouth,91,United States,2017-18,1.0,,0.0149,0.0,,,,,,,2.0,1.0,,1.0,1.0,3.0,,24.0,,,,,,,,,,59.0,,,,,2.0,,19.0,,,,1.2164,1.0,,,1.0,,1.0,4.0,,1.0,2.0,4.0,2.0,1.0,,,,,10.0,1.0,,,1.0,,0.0,23.0,,,6.0,,,,11.0,,1.0,,2.0,5.0,31.0,,1.0,,11.0,,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48615,Harry Arter,Midfielder,Bournemouth,91,Ireland,2017-18,39.0,,0.3834,0.0,6.0,1.0,0.3756,19.0,5.0,1.0,50.0,13.0,,14.0,11.0,74.0,4.0,586.0,1.0,,2.0,1.0,8.0,1.0,,,,961.0,,2.0,44.0,2.0,19.0,38.0,475.0,1.0,,,17.1108,3.0,1.0,5.0,13.0,,37.0,179.0,15.0,83.0,13.0,170.0,66.0,13.0,,,3.0,4.0,277.0,11.0,5.0,,75.0,6.0,0.0,559.0,4.0,2.0,99.0,16.0,4.0,5.0,164.0,9.0,9.0,1.0,37.0,73.0,708.0,1.0,4.0,8.0,235.0,3.0,0.3287,4.0,24.0,12.0,6.0,1.0,,1.0,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103912,Jordon Ibe,Midfielder,Bournemouth,91,England,2017-18,141.0,5.0,4.4166,0.0,21.0,17.0,2.1265,14.0,33.0,5.0,125.0,32.0,6.0,41.0,22.0,136.0,41.0,695.0,2.0,2.0,10.0,57.0,19.0,,8.0,30.0,7.0,2000.0,7.0,15.0,95.0,2.0,45.0,91.0,538.0,60.0,,,29.8999,30.0,,9.0,33.0,10.0,126.0,84.0,41.0,236.0,5.0,222.0,101.0,32.0,8.0,2.0,2.0,50.0,402.0,31.0,79.0,10.0,217.0,4.0,0.0,675.0,16.0,27.0,376.0,12.0,37.0,,231.0,10.0,10.0,31.0,21.0,158.0,1174.0,7.0,14.0,3.0,187.0,5.0,2.9596,1.0,11.0,34.0,11.0,6.0,18.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,0.3504,4.0,4.0,2.0,,,,,
56872,Junior Stanislas,Midfielder,Bournemouth,91,England,2017-18,65.0,4.0,1.7627,0.0,14.0,20.0,5.4963,16.0,31.0,4.0,105.0,19.0,2.0,23.0,17.0,111.0,21.0,489.0,5.0,1.0,2.0,38.0,35.0,,11.0,14.0,4.0,1296.0,4.0,25.0,48.0,1.0,48.0,38.0,369.0,43.0,,1.0,18.326,22.0,,11.0,22.0,6.0,40.0,133.0,2.0,113.0,15.0,161.0,74.0,19.0,11.0,4.0,8.0,10.0,267.0,21.0,57.0,6.0,78.0,10.0,0.0,484.0,11.0,9.0,235.0,8.0,20.0,6.0,96.0,6.0,6.0,27.0,9.0,99.0,775.0,6.0,12.0,3.0,125.0,5.0,3.8856,1.0,6.0,27.0,8.0,,9.0,1.0,,8.0,,,,,,,,,,,,,,,,,,,,,,0.5909,8.0,8.0,1.0,1.0,1.0,1.0,,
431774,Kyle Taylor,Midfielder,Bournemouth,91,England,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155408,Lewis Cook,Midfielder,Bournemouth,91,England,2017-18,158.0,5.0,2.2021,0.0,8.0,2.0,0.346,67.0,10.0,5.0,184.0,29.0,2.0,14.0,25.0,253.0,13.0,1228.0,,1.0,4.0,15.0,41.0,3.0,2.0,9.0,,2239.0,,27.0,151.0,5.0,38.0,137.0,868.0,11.0,,2.0,36.0472,26.0,4.0,21.0,42.0,2.0,131.0,344.0,20.0,309.0,21.0,465.0,198.0,29.0,2.0,,32.0,17.0,559.0,37.0,20.0,2.0,268.0,14.0,0.0,1203.0,8.0,6.0,370.0,35.0,50.0,12.0,265.0,33.0,35.0,7.0,107.0,154.0,1637.0,5.0,5.0,24.0,425.0,25.0,0.4792,5.0,69.0,71.0,6.0,,5.0,,,6.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
200370,Matt Butcher,Midfielder,Bournemouth,91,England,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90105,Ryan Fraser,Midfielder,Bournemouth,91,Scotland,2017-18,75.0,19.0,2.7514,0.0,10.0,12.0,2.2768,11.0,20.0,3.0,158.0,26.0,3.0,24.0,23.0,191.0,58.0,816.0,5.0,1.0,3.0,59.0,35.0,2.0,4.0,34.0,3.0,2009.0,3.0,26.0,74.0,4.0,55.0,65.0,605.0,61.0,11.0,2.0,31.8284,39.0,1.0,29.0,38.0,5.0,49.0,154.0,45.0,149.0,16.0,297.0,103.0,26.0,4.0,4.0,3.0,13.0,443.0,34.0,104.0,5.0,114.0,9.0,0.0,788.0,8.0,22.0,385.0,8.0,10.0,4.0,202.0,6.0,17.0,38.0,20.0,163.0,1268.0,35.0,8.0,17.0,216.0,2.0,1.8102,0.0,33.0,47.0,5.0,,11.0,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0762,1.0,1.0,,,,,,
