playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,substituteOn,aerialDuels,cleanSheets,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,unsuccessfulDribbles,successfulCrossesOpenPlay,throughBalls,oboxBlocked,cornersTakenInclShortCorners,successfulCrossesAndCorners,unsuccessfulLayoffs,rightFootGoals,leftFootGoals,shotsBlockedOutsideBox,goalAssists,shotsOnTargetOutsideBox,throwInsToOppositionPlayer,oboxTarget,throwInsToOwnPlayer,foulWonPenalty,awayGoals,winningGoal,homeGoals,timesTackled,expectedGoalsFreekick,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,redCards2ndYellow,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesTaken,penaltyGoals,hitWoodwork,otherGoals
19159,Ashley Williams,Defender,Everton,11,Wales,2017-18,73.0,0.1937,1.0,2.0,3.0,0.9142,23.0,11.0,62.0,24.0,1.0,20.0,141.0,1.0,732.0,1.0,3.0,4.0,94.0,4.0,2.0,1832.0,2.0,42.0,81.0,8.0,2.0,19.0,29.0,538.0,21.0,33.6678,3.0,6.0,170.0,31.0,2.0,31.0,200.0,4.0,154.0,8.0,274.0,96.0,24.0,10.0,170.0,23.0,1.0,1.0,2.0,60.0,52.0,1.0,711.0,8.0,4.0,151.0,13.0,2.0,23.0,207.0,25.0,36.0,1.0,53.0,51.0,1043.0,3.0,47.0,421.0,9.0,2.0,0.8639,3.0,79.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56192,Cuco Martina,Defender,Everton,11,Curacao,2017-18,91.0,1.7387,0.0,,1.0,0.1747,61.0,2.0,96.0,21.0,1.0,20.0,172.0,30.0,780.0,,2.0,1.0,58.0,5.0,,1831.0,,35.0,94.0,6.0,,29.0,71.0,564.0,10.0,33.1756,11.0,9.0,117.0,30.0,,56.0,197.0,9.0,185.0,13.0,325.0,117.0,21.0,26.0,315.0,24.0,,30.0,,127.0,23.0,0.0,768.0,1.0,3.0,272.0,35.0,2.0,4.0,126.0,26.0,42.0,1.0,44.0,132.0,1353.0,1.0,51.0,308.0,19.0,,0.0954,1.0,76.0,54.0,2.0,15.0,1.0,,,15.0,,,,,2.0,1.0,45.0,1.0,169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57112,Eliaquim Mangala,Defender,Everton,11,France,2017-18,26.0,0.0451,0.0,1.0,,,7.0,1.0,25.0,11.0,,6.0,40.0,,413.0,,,5.0,28.0,2.0,,618.0,,14.0,25.0,2.0,,6.0,11.0,359.0,7.0,4.1201,1.0,7.0,28.0,7.0,,12.0,180.0,,51.0,1.0,140.0,44.0,11.0,3.0,120.0,5.0,,,,23.0,14.0,0.0,403.0,1.0,,53.0,4.0,4.0,3.0,77.0,3.0,3.0,,14.0,16.0,487.0,1.0,12.0,253.0,2.0,,0.1365,0.0,15.0,13.0,,,1.0,,,,,,,,,,,,3.0,,0.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
153673,Jonjoe Kenny,Defender,Everton,11,England,2017-18,75.0,1.3047,0.0,1.0,1.0,0.151,41.0,2.0,96.0,19.0,,17.0,185.0,34.0,587.0,,,2.0,69.0,5.0,,1589.0,,31.0,89.0,3.0,,42.0,51.0,353.0,11.0,34.1091,9.0,13.0,73.0,31.0,1.0,44.0,26.0,4.0,164.0,10.0,288.0,85.0,19.0,8.0,243.0,28.0,,34.0,1.0,95.0,38.0,0.0,574.0,1.0,10.0,311.0,33.0,6.0,7.0,184.0,17.0,28.0,,49.0,89.0,1106.0,,50.0,171.0,11.0,1.0,0.1477,2.0,89.0,39.0,10.0,12.0,,,,12.0,1.0,,,,1.0,1.0,50.0,1.0,162.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12745,Leighton Baines,Defender,Everton,11,England,2017-18,48.0,2.2965,0.0,1.0,4.0,2.5439,25.0,6.0,102.0,22.0,,22.0,150.0,31.0,754.0,2.0,1.0,,34.0,5.0,1.0,1910.0,1.0,20.0,64.0,6.0,,47.0,50.0,576.0,16.0,29.0765,21.0,7.0,47.0,34.0,1.0,28.0,324.0,17.0,112.0,12.0,288.0,87.0,22.0,12.0,356.0,28.0,,54.0,1.0,78.0,14.0,0.0,740.0,2.0,2.0,262.0,13.0,8.0,6.0,14.0,7.0,25.0,,28.0,128.0,1204.0,2.0,22.0,269.0,4.0,,2.0952,1.0,48.0,38.0,6.0,11.0,,,21.0,21.0,,,2.0,,3.0,1.0,25.0,1.0,149.0,,,,,,0.1728,7.0,2.0,2.0,14.0,,,,,,,,,,,,,,,,2.0,2.0,,
80183,Luke Garbutt,Defender,Everton,11,England,2017-18,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194164,Mason Holgate,Defender,Everton,11,Jamaica,2017-18,68.0,0.4003,0.0,1.0,2.0,0.3768,23.0,5.0,78.0,15.0,,13.0,155.0,9.0,475.0,,1.0,2.0,74.0,4.0,2.0,1183.0,2.0,41.0,75.0,3.0,,15.0,42.0,276.0,14.0,18.5279,7.0,8.0,82.0,14.0,,27.0,32.0,12.0,143.0,3.0,262.0,57.0,15.0,7.0,139.0,11.0,,9.0,,69.0,33.0,0.0,469.0,3.0,4.0,202.0,16.0,8.0,9.0,137.0,12.0,23.0,,44.0,44.0,749.0,,48.0,184.0,6.0,1.0,0.5609,3.0,77.0,34.0,4.0,3.0,,1.0,,3.0,,,,1.0,,,17.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
106611,Michael Keane,Defender,Everton,11,England,2017-18,133.0,0.3736,0.0,2.0,1.0,0.0239,33.0,13.0,135.0,30.0,,29.0,257.0,3.0,1157.0,,4.0,1.0,216.0,7.0,,2560.0,,87.0,178.0,7.0,,28.0,49.0,804.0,29.0,41.6263,3.0,23.0,206.0,46.0,2.0,46.0,251.0,10.0,311.0,11.0,517.0,138.0,30.0,8.0,287.0,39.0,,3.0,2.0,95.0,129.0,0.0,1144.0,12.0,3.0,283.0,25.0,7.0,28.0,308.0,21.0,53.0,,96.0,81.0,1593.0,2.0,72.0,614.0,8.0,,1.137,3.0,122.0,65.0,,1.0,,,,1.0,,,,,1.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7645,Phil Jagielka,Defender,Everton,11,England,2017-18,67.0,0.3162,0.0,2.0,2.0,0.1123,33.0,5.0,98.0,25.0,2.0,23.0,233.0,4.0,966.0,,,2.0,109.0,6.0,2.0,2065.0,2.0,42.0,114.0,5.0,,15.0,47.0,623.0,19.0,35.8002,1.0,20.0,177.0,39.0,2.0,25.0,235.0,15.0,181.0,10.0,381.0,123.0,25.0,10.0,216.0,34.0,,4.0,2.0,72.0,67.0,0.0,928.0,3.0,3.0,259.0,23.0,1.0,20.0,257.0,8.0,39.0,2.0,110.0,93.0,1334.0,2.0,91.0,517.0,4.0,,0.5107,2.0,135.0,56.0,1.0,,,,,,,,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121221,Ramiro Funes Mori,Defender,Everton,11,Argentina,2017-18,8.0,0.0079,0.0,,,,,1.0,4.0,4.0,,1.0,12.0,,54.0,,,3.0,11.0,,,119.0,,4.0,9.0,1.0,,2.0,2.0,37.0,2.0,1.361,,,14.0,2.0,,4.0,17.0,2.0,17.0,,27.0,9.0,4.0,,12.0,1.0,,,,6.0,7.0,0.0,53.0,1.0,,13.0,,,1.0,4.0,3.0,3.0,,5.0,6.0,78.0,1.0,5.0,30.0,3.0,,0.0456,1.0,8.0,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
