playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,throwInsToOwnPlayer,expectedGoalsFreekick,cornersTakenInclShortCorners,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,throwInsToOppositionPlayer,successfulCornersIntoBox,ownGoalScored,redCards2ndYellow,clearancesOffTheLine,foulWonPenalty,lastPlayerTackle,penaltiesTaken,penaltyGoals,secondGoalAssists,setPiecesGoals,goalKicks,gkSuccessfulDistribution,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox
18892,Ashley Young,Defender,Everton,11,England,2023-24,114.0,14.0,1.4343,1.0,6.0,2.0,2.0,0.3331,53.0,7.0,2.0,114.0,31.0,,7.0,27.0,214.0,63.0,775.0,,1.0,,4.0,51.0,6.0,1.0,24.0,1.0,2288.0,1.0,,32.0,108.0,3.0,1.0,47.0,89.0,513.0,22.0,4.0,33.2161,21.0,8.0,45.0,32.0,2.0,82.0,111.0,24.0,0.0,222.0,18.0,,399.0,120.0,31.0,1.0,,15.0,,12.0,343.0,29.0,,76.0,25.0,2.0,171.0,19.0,0.0,754.0,5.0,12.0,372.0,38.0,12.0,6.0,126.0,33.0,21.0,48.0,139.0,1340.0,12.0,,4.0,45.0,242.0,30.0,,0.6141,5.0,100.0,62.0,4.0,138.0,0.1762,19.0,3.0,3.0,10.0,30.0,8.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
198826,Ben Godfrey,Defender,Everton,11,England,2023-24,60.0,4.0,0.472,0.0,5.0,4.0,,0.8625,30.0,10.0,,62.0,15.0,,,13.0,100.0,17.0,342.0,,2.0,,1.0,51.0,4.0,,4.0,4.0,1122.0,4.0,,25.0,66.0,2.0,1.0,26.0,40.0,232.0,20.0,2.0,18.7004,3.0,,51.0,13.0,4.0,35.0,13.0,6.0,0.0,126.0,6.0,,176.0,45.0,15.0,,,10.0,,9.0,142.0,11.0,,17.0,15.0,4.0,75.0,26.0,0.0,342.0,6.0,6.0,173.0,20.0,5.0,8.0,99.0,8.0,16.0,10.0,54.0,681.0,3.0,,1.0,19.0,104.0,4.0,,1.7804,2.0,38.0,32.0,2.0,90.0,,,,,,28.0,,,,,,2.0,,,,,,,,,,,,,,,,,
491745,Elijah Campbell,Defender,Everton,11,England,2023-24,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17761,James Tarkowski,Defender,Everton,11,England,2023-24,147.0,3.0,2.7243,0.0,5.0,5.0,,0.9353,61.0,20.0,1.0,200.0,38.0,1.0,1.0,38.0,339.0,3.0,1525.0,1.0,1.0,1.0,,207.0,13.0,,3.0,4.0,3419.0,4.0,,62.0,242.0,6.0,1.0,36.0,97.0,1027.0,86.0,8.0,55.3325,21.0,15.0,186.0,51.0,5.0,85.0,252.0,25.0,1.0,389.0,26.0,0.0,674.0,186.0,38.0,,,19.0,,4.0,444.0,45.0,1.0,3.0,20.0,5.0,182.0,145.0,0.0,1479.0,15.0,2.0,391.0,42.0,16.0,56.0,467.0,45.0,56.0,159.0,132.0,2097.0,1.0,1.0,,35.0,745.0,30.0,,2.6222,11.0,139.0,73.0,,6.0,,,,,,,,,,1.0,,3.0,,,1.0,,1.0,1.0,,,,,,,,,,,
480455,Jarrad Branthwaite,Defender,Everton,11,England,2023-24,88.0,1.0,1.2858,0.0,3.0,4.0,1.0,1.8125,66.0,11.0,,164.0,35.0,,,35.0,273.0,,1371.0,3.0,5.0,1.0,1.0,140.0,12.0,,1.0,1.0,3117.0,1.0,,45.0,184.0,6.0,1.0,27.0,89.0,1025.0,41.0,6.0,49.7683,4.0,11.0,157.0,44.0,2.0,43.0,377.0,19.0,1.0,272.0,15.0,2.0,653.0,181.0,35.0,,,34.0,2.0,2.0,344.0,38.0,1.0,,4.0,2.0,132.0,95.0,0.0,1365.0,7.0,2.0,305.0,32.0,5.0,36.0,200.0,25.0,50.0,73.0,141.0,1827.0,1.0,,1.0,55.0,755.0,15.0,1.0,1.7396,8.0,109.0,111.0,,6.0,,,,,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,
447261,Mackenzie Hunt,Defender,Everton,11,United Arab Emirates,2023-24,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194164,Mason Holgate,Defender,Everton,11,Jamaica,2023-24,24.0,2.0,0.2062,1.0,1.0,,1.0,,12.0,2.0,,24.0,10.0,,1.0,9.0,47.0,5.0,165.0,,,,,16.0,,,2.0,,713.0,,,7.0,26.0,4.0,1.0,9.0,17.0,108.0,3.0,3.0,16.7829,1.0,3.0,39.0,22.0,1.0,17.0,16.0,4.0,0.0,50.0,7.0,,83.0,30.0,10.0,,,5.0,,1.0,43.0,18.0,,5.0,2.0,1.0,34.0,9.0,1.0,162.0,2.0,1.0,80.0,7.0,1.0,5.0,48.0,8.0,11.0,10.0,18.0,307.0,4.0,1.0,,12.0,77.0,8.0,,0.6397,3.0,23.0,17.0,1.0,18.0,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,
106611,Michael Keane,Defender,Everton,11,England,2023-24,25.0,,0.0583,0.0,1.0,4.0,,0.9789,7.0,5.0,,28.0,9.0,,,4.0,49.0,,220.0,1.0,,1.0,,27.0,1.0,,,3.0,438.0,3.0,,11.0,25.0,1.0,1.0,1.0,9.0,154.0,12.0,3.0,11.3743,,2.0,18.0,13.0,1.0,14.0,55.0,,0.0,50.0,1.0,0.0,80.0,26.0,9.0,,1.0,4.0,,1.0,52.0,12.0,,,4.0,1.0,23.0,16.0,0.0,217.0,1.0,1.0,56.0,3.0,2.0,4.0,65.0,5.0,5.0,17.0,20.0,277.0,1.0,1.0,,8.0,119.0,3.0,1.0,0.6872,2.0,21.0,13.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243571,Nathan Patterson,Defender,Everton,11,Scotland,2023-24,66.0,7.0,1.0396,0.0,2.0,,1.0,,34.0,2.0,1.0,74.0,20.0,2.0,,9.0,110.0,25.0,408.0,,1.0,,2.0,17.0,2.0,,7.0,,999.0,,1.0,10.0,53.0,2.0,,24.0,46.0,271.0,9.0,4.0,21.2601,6.0,5.0,28.0,21.0,,56.0,17.0,5.0,0.0,119.0,11.0,,173.0,60.0,20.0,,,10.0,,10.0,171.0,19.0,,25.0,16.0,,102.0,7.0,0.0,407.0,2.0,3.0,193.0,24.0,7.0,3.0,156.0,18.0,9.0,27.0,62.0,707.0,2.0,1.0,2.0,15.0,134.0,16.0,1.0,0.3345,4.0,36.0,22.0,11.0,88.0,,,,,,21.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
59949,Séamus Coleman,Defender,Everton,11,Ireland,2023-24,25.0,2.0,0.7064,0.0,,,,,17.0,,,39.0,12.0,,,7.0,72.0,11.0,220.0,,,,,5.0,3.0,,2.0,,662.0,,,4.0,29.0,2.0,,19.0,28.0,137.0,3.0,,9.5084,3.0,1.0,24.0,10.0,,21.0,12.0,5.0,0.0,54.0,8.0,,118.0,39.0,12.0,,,3.0,,7.0,77.0,8.0,,11.0,11.0,,49.0,1.0,0.0,219.0,,3.0,117.0,14.0,6.0,4.0,52.0,6.0,7.0,11.0,38.0,410.0,2.0,,,19.0,73.0,3.0,1.0,,0.0,33.0,23.0,5.0,57.0,,,,,,12.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
