playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,substituteOn,aerialDuels,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,successfulShortPasses,totalTouchesInOppositionBox,keyPassesAttemptAssists,groundDuelsLost,rightsidePasses,winningGoal,duels,forwardPasses,recoveries,appearances,unsuccessfulDribbles,successfulPassesOppositionHalf,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,leftsidePasses,totalFoulsConceded,successfulLongPasses,backwardPasses,touches,successfulPassesOwnHalf,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,overruns,totalTackles,starts,oboxBlocked,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,unsuccessfulLayoffs,groundDuelsWon,expectedGoalsOnTargetConceded,totalClearances,goalsConceded,totalFoulsWon,oboxTarget,tacklesLost,goalsConcededInsideBox,cornersWon,tacklesWon,successfulDribbles,interceptions,unsuccessfulCornersIntoBox,throwInsToOwnPlayer,shotsBlockedOutsideBox,unsuccessfulLaunches,expectedGoalsFreekick,throughBalls,goals,awayGoals,cleanSheets,goalsConcededOutsideBox,successfulCornersIntoBox,penaltyGoalsConceded,successfulLaunches,shotsBlockedInBox,homeGoals,rightFootGoals,freekickTotal,iboxBlocked,blocks,attemptsFromSetPieces,substituteOff,hitWoodwork,handballsConceded,secondGoalAssists,clearancesOffTheLine,punches,catches,savesMade,savesMadeFromOutsideBox,goalKicks,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,foulWonPenalty,offsides,throwInsToOppositionPlayer,leftFootGoals,headedGoals,setPiecesGoals,ownGoalScored,penaltiesTaken,lastPlayerTackle,penaltyGoals,penaltiesConceded,redCards2ndYellow,otherGoals,penaltiesFaced,goalkeeperSmother,drops,crossesNotClaimed
77762,Bryan Oviedo,Defender,Everton,11,Costa Rica,2012-13,17.0,0.578,0.0,1.0,0.1302,4.0,18.0,15.0,1.0,6.0,20.0,12.0,95.0,14.0,3.0,,227.0,,2.0,15.0,74.0,8.0,,15.0,23.0,0.0,32.0,35.0,19.0,15.0,2.0,58.0,14.0,12.0,29.0,1.0,0.0,94.0,3.0,52.0,18.0,2.0,1.0,19.0,167.0,19.0,0.1852,1.0,2.0,5.0,2.0,2.0,1.0,6.0,1.0,3.0,3.0,2.0,2.0,1.0,14.0,2.316,2.0,3.0,5.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10466,John Heitinga,Defender,Everton,11,Netherlands,2012-13,42.0,0.17,0.0,2.0,0.0244,8.0,38.0,26.0,,4.0,105.0,,609.0,9.0,44.0,4.0,1602.0,4.0,20.0,56.0,411.0,11.0,4.0,22.0,153.0,0.0,98.0,212.0,44.0,26.0,,151.0,,1.0,54.0,24.0,0.0,573.0,6.0,115.0,187.0,18.0,93.0,57.0,825.0,354.0,0.7254,5.0,67.0,8.0,1.0,1.0,,19.0,17.0,,,,1.0,1.0,32.0,26.0159,93.0,25.0,13.0,,7.0,22.0,2.0,12.0,,38.0,,4.0,,35.0,,,,,3.0,3.0,,1.0,17.0,2.0,,,,2.0,13.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
97299,John Stones,Defender,Everton,11,England,2012-13,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12745,Leighton Baines,Defender,Everton,11,England,2012-13,132.0,9.7492,0.0,12.0,4.5981,23.0,230.0,38.0,5.0,10.0,295.0,133.0,1663.0,,28.0,7.0,3420.0,7.0,17.0,191.0,1319.0,46.0,111.0,115.0,767.0,2.0,323.0,648.0,158.0,38.0,30.0,1008.0,247.0,64.0,295.0,11.0,0.0,1603.0,11.0,715.0,30.0,30.0,49.0,218.0,3012.0,466.0,4.1633,4.0,65.0,58.0,36.0,13.0,7.0,92.0,38.0,20.0,120.0,4.0,106.0,,180.0,41.8564,75.0,40.0,58.0,4.0,19.0,33.0,46.0,73.0,30.0,57.0,64.0,378.0,20.0,60.0,0.9225,2.0,5.0,2.0,11.0,7.0,48.0,2.0,20.0,5.0,3.0,,22.0,5.0,7.0,11.0,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,70.0,5.0,,1.0,2.0,2.0,1.0,2.0,,,,,,,
7645,Phil Jagielka,Defender,Everton,11,England,2012-13,79.0,2.2945,0.0,8.0,1.7051,20.0,155.0,36.0,1.0,3.0,320.0,19.0,1468.0,,137.0,10.0,3155.0,10.0,50.0,185.0,920.0,38.0,12.0,29.0,145.0,2.0,264.0,692.0,174.0,36.0,2.0,463.0,20.0,8.0,127.0,87.0,0.0,1397.0,12.0,381.0,505.0,12.0,228.0,126.0,2104.0,693.0,2.6249,1.0,165.0,47.0,8.0,6.0,,63.0,36.0,4.0,,,8.0,,98.0,36.9773,250.0,38.0,33.0,,20.0,32.0,4.0,43.0,2.0,82.0,,54.0,4.0,135.0,,1.0,2.0,1.0,10.0,6.0,,2.0,81.0,7.0,1.0,,,7.0,33.0,,1.0,2.0,,,1.0,,,,,,,,,,,,,14.0,,2.0,,,,3.0,,,,,,,,
61933,Shane Duffy,Defender,Everton,11,Ireland,2012-13,,,0.0,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,0.0,,,,1.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6219,Sylvain Distin,Defender,Everton,11,France,2012-13,79.0,2.3532,0.0,4.0,0.7401,17.0,159.0,34.0,1.0,2.0,251.0,1.0,1114.0,3.0,178.0,9.0,2837.0,9.0,52.0,204.0,769.0,41.0,11.0,27.0,252.0,0.0,283.0,575.0,111.0,34.0,,311.0,1.0,7.0,105.0,126.0,0.0,1067.0,13.0,272.0,213.0,13.0,94.0,74.0,1665.0,552.0,1.4473,2.0,92.0,44.0,,,,51.0,31.0,,,,,,78.0,32.5785,313.0,31.0,24.0,,10.0,25.0,6.0,41.0,3.0,55.0,,5.0,,97.0,,,,,10.0,6.0,,1.0,32.0,1.0,,,,1.0,20.0,,,2.0,,,2.0,,,,,,,,,,,,3.0,3.0,,,,,,1.0,,,,,,,,
59949,Séamus Coleman,Defender,Everton,11,Ireland,2012-13,93.0,2.546,0.0,1.0,0.2382,7.0,113.0,26.0,5.0,6.0,148.0,72.0,758.0,2.0,29.0,2.0,2163.0,2.0,14.0,145.0,580.0,54.0,22.0,79.0,13.0,0.0,238.0,242.0,105.0,26.0,30.0,379.0,73.0,59.0,209.0,15.0,0.0,751.0,6.0,381.0,345.0,18.0,30.0,158.0,1524.0,255.0,0.3907,4.0,35.0,31.0,24.0,3.0,7.0,62.0,24.0,1.0,1.0,,24.0,,130.0,25.4229,61.0,22.0,43.0,,10.0,17.0,19.0,52.0,25.0,50.0,1.0,190.0,1.0,37.0,,1.0,,,9.0,5.0,,1.0,15.0,3.0,,,,3.0,8.0,,1.0,,4.0,,,,,,,,,,,,,,2.0,62.0,,,,,,2.0,,1.0,,,,,,
9007,Tony Hibbert,Defender,Everton,11,England,2012-13,8.0,0.4929,0.0,,,,16.0,6.0,,,27.0,12.0,150.0,2.0,4.0,,431.0,,2.0,20.0,117.0,1.0,3.0,6.0,,0.0,28.0,66.0,13.0,6.0,,81.0,14.0,,24.0,2.0,0.0,147.0,,46.0,55.0,2.0,6.0,29.0,265.0,45.0,,1.0,11.0,8.0,3.0,,,14.0,4.0,,,,3.0,,18.0,5.3151,22.0,6.0,3.0,,3.0,5.0,,11.0,1.0,10.0,,38.0,,6.0,,,,,1.0,1.0,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,
149468,Tyias Browning,Defender,Everton,11,England,2012-13,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
