playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,iboxTarget,shotsOnTargetInBox,rightFootGoals,blocks,hitWoodwork,handballsConceded,throwInsToOppositionPlayer,foulWonPenalty,clearancesOffTheLine,headedGoals,setPiecesGoals,penaltiesConceded,penaltiesTaken,penaltyGoals,ownGoalScored,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox
60252,Andros Townsend,Midfielder,C Palace,31,England,2019-20,93.0,15.0,2.0086,0.0,0.0655,4.0,5.0,3.0,1.1142,34.0,8.0,1.0,65.0,24.0,1.0,11.0,14.0,92.0,41.0,393.0,1.0,1.0,0.0,3.0,10.0,9.0,16.0,1.0,4.0,16.0,1289.0,1.0,11.0,102.0,2.0,38.0,97.0,290.0,1.0,18.0,23.031,12.0,2.0,6.0,23.0,1.0,82.0,60.0,26.0,0.0,195.0,18.0,1.0,124.0,97.0,24.0,4.0,13.0,1.0,15.0,218.0,21.0,51.0,51.0,1.0,1.0,179.0,5.0,0.0,379.0,3.0,10.0,231.0,21.0,38.0,1.0,107.0,9.0,15.0,6.0,11.0,102.0,747.0,11.0,6.0,3.0,14.0,99.0,7.0,0.411,0.0,27.0,29.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55037,Cheikhou Kouyaté,Midfielder,C Palace,31,Senegal,2019-20,163.0,2.0,1.1302,0.0,,4.0,4.0,5.0,1.1488,67.0,20.0,1.0,182.0,35.0,1.0,8.0,29.0,222.0,15.0,851.0,1.0,2.0,0.0,3.0,6.0,,161.0,6.0,,2.0,2535.0,2.0,70.0,200.0,4.0,41.0,109.0,606.0,,57.0,41.6159,9.0,8.0,55.0,36.0,1.0,93.0,185.0,28.0,0.0,363.0,24.0,1.0,337.0,139.0,35.0,,35.0,,14.0,297.0,32.0,15.0,39.0,,1.0,202.0,91.0,0.0,844.0,16.0,8.0,328.0,32.0,16.0,,187.0,33.0,43.0,,23.0,142.0,1310.0,5.0,15.0,3.0,24.0,334.0,22.0,2.7121,4.0,40.0,71.0,,3.0,3.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
234720,Giovanni McGregor,Midfielder,C Palace,31,England,2019-20,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173954,Jairo Riedewald,Midfielder,C Palace,31,Netherlands,2019-20,22.0,1.0,0.3846,0.0,,2.0,,1.0,,14.0,1.0,1.0,58.0,17.0,,1.0,7.0,80.0,3.0,329.0,,,,2.0,10.0,,8.0,,,1.0,764.0,1.0,5.0,27.0,2.0,9.0,24.0,233.0,,5.0,14.716,2.0,2.0,19.0,9.0,,17.0,75.0,2.0,0.0,49.0,5.0,,161.0,47.0,17.0,,4.0,,3.0,135.0,7.0,5.0,10.0,,,41.0,3.0,0.0,321.0,1.0,,129.0,10.0,8.0,,35.0,3.0,17.0,,16.0,58.0,505.0,43.0,3.0,2.0,6.0,115.0,1.0,0.078,0.0,22.0,25.0,,,,,2.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,
50471,James McArthur,Midfielder,C Palace,31,Scotland,2019-20,250.0,7.0,2.3729,0.0,,8.0,6.0,3.0,0.9288,88.0,20.0,4.0,232.0,37.0,3.0,14.0,37.0,308.0,37.0,1431.0,,4.0,,2.0,,1.0,120.0,7.0,2.0,7.0,3104.0,1.0,75.0,195.0,4.0,99.0,150.0,1061.0,,89.0,48.3617,31.0,6.0,47.0,38.0,6.0,175.0,282.0,35.0,0.0,445.0,50.0,,536.0,186.0,37.0,2.0,37.0,,15.0,631.0,34.0,37.0,54.0,,6.0,325.0,45.0,0.0,1386.0,14.0,17.0,461.0,51.0,29.0,,333.0,57.0,60.0,,62.0,280.0,2102.0,38.0,15.0,2.0,35.0,499.0,29.0,2.0501,6.0,76.0,85.0,1.0,4.0,4.0,,19.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
50472,James McCarthy,Midfielder,C Palace,31,Ireland,2019-20,98.0,,1.0749,0.0,,3.0,3.0,1.0,0.2611,82.0,9.0,,104.0,33.0,,9.0,16.0,175.0,9.0,784.0,,,,3.0,17.0,22.0,34.0,2.0,3.0,11.0,1672.0,,19.0,122.0,4.0,39.0,107.0,557.0,11.0,11.0,32.0793,17.0,5.0,10.0,29.0,,79.0,165.0,18.0,0.0,220.0,19.0,,249.0,134.0,33.0,3.0,35.0,,3.0,317.0,25.0,24.0,14.0,,,186.0,15.0,0.0,753.0,6.0,2.0,235.0,47.0,7.0,,217.0,31.0,24.0,11.0,52.0,153.0,1088.0,5.0,5.0,3.0,33.0,303.0,22.0,0.5253,9.0,71.0,56.0,1.0,,,,5.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
86417,Jeffrey Schlupp,Midfielder,C Palace,31,Ghana,2019-20,77.0,2.0,0.3519,0.0,,6.0,10.0,6.0,1.6541,18.0,12.0,1.0,55.0,17.0,1.0,5.0,11.0,76.0,7.0,314.0,3.0,1.0,1.0,3.0,6.0,,44.0,1.0,5.0,2.0,1034.0,,24.0,63.0,,17.0,43.0,229.0,,31.0,12.9995,6.0,1.0,10.0,16.0,3.0,53.0,67.0,12.0,1.0,140.0,8.0,2.0,122.0,42.0,17.0,5.0,9.0,2.0,11.0,153.0,16.0,7.0,27.0,,3.0,96.0,20.0,0.0,311.0,2.0,10.0,151.0,9.0,13.0,,66.0,17.0,13.0,,9.0,59.0,532.0,11.0,6.0,3.0,6.0,87.0,12.0,1.7385,2.0,21.0,12.0,,2.0,2.0,1.0,3.0,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,
66975,Luka Milivojevic,Midfielder,C Palace,31,Serbia,2019-20,144.0,,2.844,0.0,0.7056,10.0,9.0,1.0,4.0524,61.0,21.0,3.0,169.0,31.0,1.0,13.0,28.0,258.0,11.0,1437.0,3.0,1.0,2.0,10.0,3.0,99.0,64.0,6.0,6.0,32.0,2514.0,,28.0,129.0,,44.0,93.0,1075.0,22.0,9.0,42.4883,28.0,3.0,37.0,38.0,,116.0,304.0,27.0,2.0,273.0,23.0,1.0,497.0,179.0,31.0,6.0,29.0,,4.0,579.0,38.0,112.0,17.0,11.0,,209.0,36.0,0.0,1319.0,12.0,13.0,414.0,32.0,7.0,11.0,429.0,50.0,42.0,70.0,104.0,207.0,1923.0,6.0,4.0,10.0,20.0,632.0,34.0,2.7355,12.0,89.0,84.0,,,,3.0,7.0,,,,,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,
141020,Max Meyer,Midfielder,C Palace,31,Germany,2019-20,47.0,1.0,0.2425,0.0,,2.0,2.0,,0.1186,19.0,7.0,,39.0,17.0,,9.0,6.0,44.0,8.0,201.0,,2.0,,,11.0,,11.0,1.0,,1.0,650.0,,9.0,43.0,2.0,14.0,41.0,154.0,,17.0,12.9355,4.0,,2.0,11.0,2.0,38.0,46.0,16.0,0.0,90.0,5.0,,57.0,27.0,17.0,,8.0,,7.0,91.0,9.0,8.0,22.0,,2.0,79.0,2.0,0.0,201.0,5.0,4.0,86.0,11.0,6.0,,44.0,6.0,7.0,,3.0,54.0,329.0,,5.0,,,67.0,3.0,0.5283,1.0,5.0,13.0,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
209043,Nya Kirby,Midfielder,C Palace,31,England,2019-20,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
