playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,totalTackles,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,aerialDuels,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,throwInsToOppositionPlayer,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,punches,catches,savesMade,savesMadeFromOutsideBox,crossesNotClaimed,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,penaltiesFaced,savesMadeParried,savesMadeFromInsideBox,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,goalAssists,successfulLayoffs,goals,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,successfulCornersIntoBox,keyPassesAttemptAssists,shotsBlockedInBox,oboxTarget,rightFootGoals,leftFootGoals,unsuccessfulDribbles,freekickTotal,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,attemptsFromSetPieces,unsuccessfulCornersIntoBox,hitWoodwork,shotsBlockedOutsideBox,handballsConceded,expectedGoals,cleanSheets,throughBalls,unsuccessfulLayoffs,penaltiesTaken,penaltyGoals,ownGoalScored,headedGoals,setPiecesGoals,foulWonPenalty,redCards2ndYellow,overruns,awayGoals,totalTouchesInOppositionBox,penaltyGoalsConceded,winningGoal,homeGoals,timesTackled,clearancesOffTheLine,goalkeeperSmother,drops
44343,Bakary Sako,Midfielder,C Palace,31,Mali,2015-16,93.0,7.0,2.1624,0.0,18.0,40.0,20.0,11.0,60.0,42.0,336.0,26.0,13.0,1074.0,18.0,58.0,2.0,,23.0,50.0,261.0,1.0,14.0227,1.0,7.0,14.0,75.0,60.0,12.0,151.0,10.0,88.0,68.0,20.0,3.0,189.0,12.0,64.0,125.0,8.0,0.0,329.0,208.0,15.0,20.0,4.0,81.0,13.0,14.0,15.0,107.0,626.0,5.0,8.0,13.0,100.0,5.0,1.0,20.0,14.0,,,,,,,,,,,,0.1787,11.0,15.0,2.387,23.0,1.0,22.0,2.0,8.0,5.0,9.0,20.0,7.0,6.0,6.0,5.0,9.0,6.0,7.0,1.0,1.0,15.0,3.0,6.0,8.0,21.0,3.0,15.0,1.0,5.0,1.0,2.6133,,,,,,,,,,,,,,,,,,,,
130103,Hiram Boateng,Midfielder,C Palace,31,England,2015-16,4.0,,,0.0,,,1.0,,1.0,,4.0,,,18.0,,,,,1.0,,3.0,,0.1908,,,,4.0,,,4.0,1.0,2.0,3.0,1.0,,,,,4.0,,0.0,4.0,4.0,,,,2.0,2.0,,,,9.0,,,1.0,3.0,2.0,0.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,0.03,,,,,,,,,,,,,,,,,,,,
138006,Jake Gray,Midfielder,C Palace,31,England,2015-16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50471,James McArthur,Midfielder,C Palace,31,Scotland,2015-16,166.0,1.0,0.8757,0.0,55.0,107.0,28.0,26.0,154.0,7.0,1059.0,74.0,1.0,2192.0,42.0,117.0,5.0,,43.0,85.0,839.0,1.0,27.1314,6.0,20.0,28.0,124.0,297.0,21.0,283.0,31.0,318.0,167.0,28.0,13.0,437.0,23.0,7.0,209.0,32.0,0.0,1036.0,226.0,42.0,10.0,10.0,280.0,41.0,66.0,66.0,164.0,1396.0,7.0,10.0,17.0,469.0,27.0,5.0,47.0,40.0,,,,,,,,,,,,,5.0,4.0,0.4586,11.0,2.0,23.0,2.0,1.0,1.0,2.0,,2.0,,,,20.0,4.0,2.0,1.0,1.0,10.0,,4.0,7.0,7.0,,,,1.0,2.0,1.1701,4.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,
19197,Jason Puncheon,Midfielder,C Palace,31,England,2015-16,173.0,13.0,3.812,0.0,54.0,180.0,31.0,31.0,248.0,44.0,1240.0,29.0,49.0,2624.0,16.0,141.0,8.0,,56.0,128.0,927.0,1.0,33.8791,7.0,14.0,36.0,157.0,211.0,29.0,314.0,22.0,429.0,219.0,31.0,9.0,699.0,28.0,102.0,285.0,13.0,0.0,1191.0,498.0,45.0,46.0,3.0,340.0,34.0,28.0,65.0,260.0,1832.0,20.0,10.0,30.0,342.0,16.0,3.0,68.0,46.0,,,,,,,,,,,,0.1854,18.0,14.0,2.8226,36.0,3.0,63.0,2.0,5.0,12.0,,74.0,7.0,5.0,5.0,31.0,56.0,6.0,7.0,,2.0,28.0,2.0,6.0,22.0,15.0,2.0,40.0,,12.0,,3.542,5.0,5.0,8.0,,,,,,,,,,,,,,,,,
18805,Joe Ledley,Midfielder,C Palace,31,Wales,2015-16,42.0,,0.1892,0.0,16.0,56.0,19.0,11.0,80.0,2.0,399.0,25.0,,980.0,13.0,34.0,5.0,,22.0,22.0,305.0,,17.7547,7.0,26.0,19.0,29.0,107.0,4.0,76.0,14.0,142.0,55.0,19.0,5.0,134.0,14.0,5.0,51.0,12.0,0.0,398.0,108.0,11.0,2.0,9.0,81.0,12.0,33.0,14.0,69.0,535.0,2.0,7.0,16.0,185.0,6.0,1.0,24.0,27.0,,,,,,,,,,,,,3.0,2.0,0.3824,4.0,,8.0,1.0,,2.0,8.0,3.0,,1.0,1.0,,3.0,1.0,,,1.0,,,1.0,2.0,2.0,,3.0,,2.0,,0.3167,1.0,,2.0,,,,,,,,,,,,,,,,,
103100,Jonny Williams,Midfielder,C Palace,31,Wales,2015-16,1.0,,0.0013,0.0,,,1.0,,,,5.0,1.0,,10.0,1.0,,,,,,5.0,,,,,,,2.0,,1.0,,1.0,2.0,1.0,,3.0,,,,,0.0,4.0,,,,,1.0,,,,1.0,5.0,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49438,Jordon Mutch,Midfielder,C Palace,31,England,2015-16,56.0,2.0,1.0759,0.0,18.0,53.0,20.0,7.0,68.0,24.0,307.0,32.0,7.0,795.0,22.0,49.0,3.0,,16.0,39.0,227.0,1.0,13.6319,3.0,8.0,16.0,34.0,81.0,10.0,105.0,9.0,96.0,47.0,20.0,2.0,167.0,13.0,35.0,73.0,10.0,0.0,295.0,143.0,16.0,11.0,1.0,65.0,11.0,15.0,12.0,65.0,487.0,5.0,4.0,4.0,79.0,3.0,0.0,15.0,16.0,,,,,,,,,,,,,5.0,2.0,0.1803,12.0,,20.0,,3.0,,13.0,15.0,1.0,1.0,1.0,5.0,7.0,5.0,1.0,,,2.0,,5.0,10.0,10.0,,10.0,,,,1.2713,,1.0,,,,,,,,,,,,,,,,,,
75773,Lee Chung-yong,Midfielder,C Palace,31,South Korea,2015-16,32.0,3.0,0.3455,0.0,15.0,20.0,13.0,4.0,25.0,3.0,177.0,13.0,6.0,385.0,8.0,34.0,3.0,,8.0,29.0,143.0,,8.0917,1.0,3.0,11.0,24.0,49.0,6.0,66.0,5.0,30.0,24.0,13.0,2.0,94.0,8.0,12.0,53.0,5.0,0.0,170.0,65.0,13.0,8.0,,50.0,4.0,6.0,9.0,48.0,280.0,5.0,4.0,2.0,64.0,3.0,0.0,5.0,6.0,,,,,,,,,,,,0.0471,1.0,2.0,0.5134,4.0,,9.0,1.0,,,9.0,8.0,1.0,,,2.0,6.0,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,5.0,1.0,5.0,,,,0.1749,,,,,,,,,,,,,,,,,,,,
221275,Luke Dreher,Midfielder,C Palace,31,England,2015-16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
